id,name,calculated_dob,wiki_dob,mentions,tweet
143redangel,Angel Locsin,17-02-1927,23-04-1985,['@iammanginasal'],b'Celebrating our dad\xe2\x80\x99s 94th birthday at home  saved by @iammanginasal\xe2\x80\x99s party pack dahil bawal lumabas si daddy sarap daw ng chicken empanada. Pwede na syang endorser Try nyo rin yung liempo  '
143redangel,Angel Locsin,19-02-1927,23-04-1985,[],"b""Last night was a blast! We brought everyone together to celebrate Daddy's 90th birthday with our\xe2\x80\xa6  """
50cent,50cent,25-04-1940,06-07-1975,[],b'Happy 80th birthday to the legendary Al Pacino. wishing you many more. #bransoncognac #lecheminduroi  '
ABdeVilliers17,AB de Villiers,01-10-1987,17-02-1984,['@richardstirton'],"b""Had the privilege of having @richardstirton at my beautiful wife's 30th birthday party last\xe2\x80\xa6  """
ABdeVilliers17,AB de Villiers,18-07-1918,17-02-1984,['@NelsonMandela'],"b""RT @NelsonMandela: Will you be giving #67Minutes in service to #humanity this #MandelaDay in honour of #NelsonMandela's 95th birthday? http\xe2\x80\xa6"""
ActuallyNPH,Neil Patrick Harris,01-07-1946,15-06-1973,[],"b""Today is my father's 70th birthday. Ron Harris is an extraordinary father. I'm beyond lucky to\xe2\x80\xa6  """
ActuallyNPH,Neil Patrick Harris,12-10-2010,15-06-1973,[],"b""Happy 4th birthday, Gideon and Harper. I can't believer that you used to be tiny baby things. And now, this. http://t.co/aohJ7XAKai"""
ActuallyNPH,Neil Patrick Harris,08-05-2011,15-06-1973,['@LastBottleWines'],"b'Happy 3rd birthday, @LastBottleWines! So glad you were born! #raiseaglass'"
adamlambert,ADAM LAMBERT,05-09-1946,29-01-1982,['@The_MPT'],"b""In honor of Freddie's 74th birthday we're raising funds to help support the @The_MPT, fighting AIDS and raising awareness globally! Head to   for a chance to win all of this!!  """
adamlambert,ADAM LAMBERT,05-09-1946,29-01-1982,['@LogoTV'],"b""RT @LogoTV: Today would've been #FreddieMercury's 69th birthday. 20 of his most fantastic fashion moments: http://t.co/qLHfn0fchf http://t.\xe2\x80\xa6"""
adamlevine,Adam Levine,15-10-1957,18-03-1979,['@blakeshelton'],"b""I don't appreciate the added pressure there @blakeshelton. Plus, you didn't tell me your 57th birthday was today. Happy birthday, man!"""
adamlevine,Adam Levine,07-06-1998,18-03-1979,"['@javierdunn', '@Maroon5Lover222']","b'RT @javierdunn: Happy 13, Katie! RT @Maroon5Lover222: Today is my 13th birthday and it would mean the world to me if you could at least  ...'"
AdamSchefter,Adam Schefter,06-07-1972,21-12-1966,['@michaeleaves'],"b""RT @michaeleaves: It's been 7 years since we lost #StuartScott, who died 6 months before his 50th birthday. With that in mind, I'm raising\xe2\x80\xa6"""
AdamSchefter,Adam Schefter,04-07-1940,21-12-1966,[],"b'Hank Goldberg, who worked at ESPN as an NFL reporter and handicapping expert for 17 years, died Monday on his 82nd birthday, his family confirmed. Goldberg had been in treatment for chronic kidney disease in recent years.\n\n '"
AdamSchefter,Adam Schefter,16-04-1952,21-12-1966,['@MikeReiss'],"b'RT @MikeReiss: On Bill Belichick\xe2\x80\x99s 70th birthday, a look at his longevity and success as Patriots coach against the rest of the NFL. https:\xe2\x80\xa6'"
akshaykumar,Akshay Kumar,12-11-1469,09-09-1967,[],"b'As we celebrate the 550th birthday of #GuruNankDevJi, may His teachings inspire you to achieve all your goals and bless you with peace and happiness.\nHappy #GuruNanakJayanti   '"
AlfredoFlores,Alfredo Flores,08-02-2019,16-06-1989,[],"b'happy 3rd birthday to thank u, next!! what a mfn timeeee!!'"
aliaa08,Alia Bhatt,30-11-1996,15-03-1993,"['@ELLEINDIA', '@shaheenb']",b'Happy 19th birthday @ELLEINDIA !!! Special issue with a special interview by my best friend/sister ;) @shaheenb  '
aliciakeys,Alicia Keys,25-01-1981,25-01-1980,"['@MTVNEWS', '@aliciakeys']","b""RT @MTVNEWS: Today is @aliciakeys's 41st birthday! In honor of her big day, we're throwing it back to 2002 when told us how her perseveranc\xe2\x80\xa6"""
aliciakeys,Alicia Keys,25-01-1981,25-01-1980,"['@revolttv', '@aliciakeys']",b'RT @revolttv: Happy 41st birthday to powerhouse vocalist and musical legend @aliciakeys  In honor of her birthday what\xe2\x80\x99s your favorite Ali\xe2\x80\xa6'
aliciakeys,Alicia Keys,05-06-1993,25-01-1980,[],b'Today would have been #BreonnaTaylor\xe2\x80\x99s 27th birthday. \n\nShe was an essential worker murdered by the police while she was sleeping. \n\nShe should be alive to celebrate! But instead no charges have been issued and no arrests have been made with the officers involved.  '
alo_oficial,Fernando Alonso,11-08-1988,29-07-1981,"['@alonsonum1', '@alo_oficial', '@McLarenF1', '@ZBrownCEO']",b'RT @alonsonum1: @alo_oficial check out my 30th birthday cake Fernando! @McLarenF1 @ZBrownCEO  '
alyankovic,Al Yankovic,14-03-1921,23-10-1959,[],"b'Happy 100th birthday to the great Al Jaffee, who is still very much alive and well. Being the subject of one of his famous MAD fold-ins was without question one of the absolute high points of my existence.  '"
alyankovic,Al Yankovic,12-02-2003,23-10-1959,[],"b'Oh wait, I just found some more recent footage. (Happy 18th birthday, Nina)  '"
Alyssa_Milano,Alyssa Milano,13-07-2003,19-12-1972,['@fred_guttenberg'],"b""RT @fred_guttenberg: Happy 18th birthday Jaime. This video of Jaime's life is from her bat Mitzvah in 2017. I've not been able to watch thi\xe2\x80\xa6"""
andersoncooper,Anderson Cooper,04-10-1926,03-06-1967,"['@60Minutes', '@ladygaga']",b'Another clip from last night\xe2\x80\x99s @60Minutes report about #TonyBennett and his struggle with dementia from Alzheimer\xe2\x80\x99s. He still remembers how to sing and did two amazing concerts with @ladygaga for his 95th birthday!    '
andersoncooper,Anderson Cooper,20-02-1924,03-06-1967,[],"b""It's my mom's 91st birthday today. This is her in the 1940's http://t.co/a77R66FA7b"""
andersoncooper,Anderson Cooper,21-02-1924,03-06-1967,[],"b""It's my mom's 90th birthday today. Photo of her in 1953 by Richard Avedon http://t.co/jHfKRVfj2R"""
andy_murray,Andy Murray,07-06-1974,15-05-1987,['@maheshbhupathi'],b'Its @maheshbhupathi 39th birthday today. Give the young man some love. was feeling a bit sorry 4 himself at courts today #multipleicebags'
andy_murray,Andy Murray,13-02-1986,15-05-1987,['@jamie_murray'],"b'With my big bro @jamie_murray big 25th birthday for him today, everyone show him some love'"
AnnaKendrick47,Anna Kendrick,11-02-1944,09-08-1985,[],b'That was extraordinary. I feel so grateful to have had a front row seat to witness a woman on her 75th birthday be better at everything than I will ever be. #DianaRoss #GRAMMYs'
aplusk,ashton kutcher,08-02-1978,07-02-1978,['@thorn'],"b'We are a #forceforgood. For my 40th birthday, I will match the generosity of @thorn\xe2\x80\x99s incredible community of supporters dollar for dollar up to $40,000.\n '"
