twitter_id,date,tweet,lang,data
1680625459325706242,2023-07-16T17:08:28.000Z,b'RT @Atletico: O Bruxo encontrando os companheiros de tantas gl\xc3\xb3rias! \xf0\x9f\xaa\x84\xf0\x9f\x8e\xa9\xf0\x9f\x8f\x86\n\n#LendasDoGalo #GaloPaix\xc3\xa3oNacional \xe2\x9a\xab\xe2\x9a\xaa https://t.co/uxUedYZ4Gk',pt,
1679915767821631493,2023-07-14T18:08:25.000Z,b'Parab\xc3\xa9ns pelo Mundial Brasil!! Vamo @PHzin cria da @R10Team \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe https://t.co/VsbmZxQATY',pt,
1679825511411769344,2023-07-14T12:09:46.000Z,b'A new era!!! @EASPORTSFC \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe\n#FC24 https://t.co/ocd2UmLtlx',pt,
1679825438309228544,2023-07-14T12:09:28.000Z,"b'RT @R10Team: Simplesmente @LuisFigo, @didierdrogba e @DjMaRiiO observando a magia acontecer\xf0\x9f\xa7\x99\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x9c\xa8\n\nQuer saber quem marcou o PRIMEIRO gol da\xe2\x80\xa6'",pt,
1679822810338717698,2023-07-14T11:59:02.000Z,b'RT @LuisFigo: @easportsfc it\xe2\x80\x99s in the game! \xf0\x9f\x94\xa5\xf0\x9f\x8e\xae @10Ronaldinho @didierdrogba @ErlingHaaland https://t.co/YH1k4DVieF',en,
1679478379584581635,2023-07-13T13:10:23.000Z,"b'Lembran\xc3\xa7as de grandes confrontos!!! \xc3\x89 melhor jogar contigo, do que contra parceiro \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe https://t.co/FvFWcBkdV4'",pt,
1679470644751155200,2023-07-13T12:39:39.000Z,"b""[Fluminense] VS [Flamengo], which team do you think will win?\nI have played for both teams in different periods of my career. This will be a big and exciting game. It seems that Flamengo have a slightly better squad so might be they have a better chance to win!\n\nLet's watch this\xe2\x80\xa6 https://t.co/K2N5hsemtf https://t.co/kLUqPIaKMK""",en,
1679220184903458818,2023-07-12T20:04:25.000Z,"b'Fala galera, R10 na \xc3\xa1rea pra mandar o papo para voc\xc3\xaa que \xc3\xa9 gamer!  \n\nJogue com o setup dos campe\xc3\xb5es aproveitando os melhores produtos e pre\xc3\xa7os do mercado com a @pichauinfo .  \n\nA @R10Team testou e aprovou, chegou\xc2\xa0a\xc2\xa0sua\xc2\xa0hora! https://t.co/JpzcLco146'",pt,
1678849001355976705,2023-07-11T19:29:28.000Z,b'RT @LigadeCampeones: Y cerramos el d\xc3\xada con la \xf0\x9d\x93\x9c\xf0\x9d\x93\x90\xf0\x9d\x93\x96\xf0\x9d\x93\x98\xf0\x9d\x93\x90 de @10Ronaldinho en Mil\xc3\xa1n \xf0\x9f\x8d\xbf\xf0\x9f\x8d\xbf\n\n#UCL https://t.co/g1QReGbjdS',es,
1678751010779459584,2023-07-11T13:00:05.000Z,b'Momento \xc3\xbanico e de pura emo\xc3\xa7\xc3\xa3o!!! \nQm lembra deste gol? \xf0\x9f\x8f\x86\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe https://t.co/BcbLDcl1xs',pt,
1678430872834277378,2023-07-10T15:47:58.000Z,b'Back on the cover for a new era \xf0\x9f\x98\x8d  @EASPORTSFC\n\nSee the full #FC24 reveal on July 13: https://t.co/8YfhqReplv https://t.co/96iHqg3Qbw https://t.co/AwWllN57Gb',en,
1676937542334070784,2023-07-06T12:54:00.000Z,b'#TBT CUL\xc3\x89!!! \xf0\x9f\x94\xb5\xf0\x9f\x94\xb4\nN\xc3\xa3o pode deixar cair Kkkkkk \xf0\x9f\xa4\xa3\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe https://t.co/78wqzhYIUT',pt,
1675842830680326149,2023-07-03T12:24:01.000Z,b'RT @LigadeCampeones: \xf0\x9f\x8e\xac \xe2\x9a\xbd Cerramos la semana con \xf0\x9d\x97\xa5\xf0\x9d\x97\xa2\xf0\x9d\x97\xa1\xf0\x9d\x97\x94\xf0\x9d\x97\x9f\xf0\x9d\x97\x97\xf0\x9d\x97\x9c\xf0\x9d\x97\xa1\xf0\x9d\x97\x9b\xf0\x9d\x97\xa2 \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\n\n\xf0\x9d\x99\x82\xe2\x9a\xbd\xf0\x9d\x99\x87\xf0\x9d\x98\xbc\xf0\x9d\x99\x95\xf0\x9d\x99\x8a\xf0\x9d\x99\x8e de todos los colores \xf0\x9f\x8e\xa8\n\n#UCL | @10Ronaldinho https://t.co/ti4Gx3pfEq',es,
1675488784337518593,2023-07-02T12:57:09.000Z,b'RT @FCBarcelona: See you in one month! \xf0\x9f\x94\xb5\xf0\x9f\x94\xb4\xf0\x9f\x86\x9a\xf0\x9f\x94\xb4\xe2\x9a\xab\xef\xb8\x8f https://t.co/VQZtGERVJc',en,
1675291740180193280,2023-07-01T23:54:10.000Z,"b'At\xc3\xa9 j\xc3\xa1, Massa Atleticana!!! \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe\n#GaloDoido \xe2\x9a\xaa\xef\xb8\x8f\xe2\x9a\xab\xef\xb8\x8f https://t.co/bXOzI7gOBJ'",pt,
1675246469274583042,2023-07-01T20:54:17.000Z,b'This is The Beautiful Game!!\nSee you next year \xf0\x9f\x94\xa5\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe https://t.co/saIMJMdl9p',en,
1674838454054551556,2023-06-30T17:52:59.000Z,"b'RT @Bruxo10Bet: H\xc3\xa1 exatamente 21 anos, o Bruxo,  junto da sele\xc3\xa7\xc3\xa3o brasileira, conquistou o t\xc3\xa3o sonhado pentacampeonato mundial em 2002. \xf0\x9f\x8f\x86\xe2\x80\xa6'",pt,
1674758207602925569,2023-06-30T12:34:06.000Z,b'30/06/02 dia que me tornei campe\xc3\xa3o mundial! \xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\nMomento especial para todos n\xc3\xb3s brasileiros... Mt obrigado a todos deste grupo que deram tudo de si pra conquistar este sonho. Estamos na hist\xc3\xb3ria!!! \n\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90 https://t.co/0cqo1mkr7K',pt,
1674403634765758474,2023-06-29T13:05:10.000Z,"b'Uma das maiores honras da minha vida, levantar um trof\xc3\xa9u como capit\xc3\xa3o da nossa sele\xc3\xa7\xc3\xa3o!!\nCopa das Confedera\xc3\xa7\xc3\xb5es 2005 \xf0\x9f\x8f\x86\xf0\x9f\x87\xa7\xf0\x9f\x87\xb7 https://t.co/5fHXzVQmtN'",pt,
1674063414895820801,2023-06-28T14:33:15.000Z,b'Prazer em te encontrar parceiro \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe https://t.co/azqNP5wKZT',pt,
1673783870922031107,2023-06-27T20:02:26.000Z,b'Come to Kavbet!! @kavbetofficial_ https://t.co/aZJ46ns2rU',en,
