twitter_id,date,tweet,lang,data
1680643439820435456,2023-07-16T18:19:55.000Z,b'@IHeartlyKnow @hotgirlrush Meeeeee \xe2\x9c\x8c\xf0\x9f\x8f\xbc\xf0\x9f\xa9\xb7',und,
1680635975066693632,2023-07-16T17:50:15.000Z,b'@hotgirlrush Ditto',it,
1680635866379583488,2023-07-16T17:49:49.000Z,b'@DaynaE502 \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x8f\x86',qme,
1680635620916338691,2023-07-16T17:48:51.000Z,b'@shyesara Illl wear a trash bag for encore',en,
1680635245593329667,2023-07-16T17:47:21.000Z,b'@NaomiRo248 Sure',en,
1679061643404144641,2023-07-12T09:34:25.000Z,"b""RT @thekiaforum: 2 moods when you realize we're ONE MONTH AWAY from @BigTimeRush, but we still have to wait 30 more days. \xf0\x9f\x94\x97: https://t.co/9\xe2\x80\xa6""",en,
1675856685720559619,2023-07-03T13:19:04.000Z,b'@julsheartisbtr \xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc',qme,
1675855639761788928,2023-07-03T13:14:55.000Z,b'@SamanthaSklenar Haha YES!',tl,
1675855455224995840,2023-07-03T13:14:11.000Z,b'@amyxboybands Can\xe2\x80\x99t wait',en,
1675854932631494656,2023-07-03T13:12:06.000Z,b'@woahgabi @writedreamlove8 @HeffronDrive @bigtimerush @Hersheys \xf0\x9f\x98\x82',qme,
1675854487271927808,2023-07-03T13:10:20.000Z,b'@gabandtherush \xf0\x9f\xa9\xb7',qme,
1675852628834566145,2023-07-03T13:02:57.000Z,b'@writedreamlove8 @HeffronDrive @bigtimerush Some might call it magic\xe2\x80\xa6',en,
1673744389141569537,2023-06-27T17:25:33.000Z,b'@scarolinaperez Fav part',es,
1673743858998427657,2023-06-27T17:23:27.000Z,b'@djtakemeawayy Actually loved them',en,
1673743550993907713,2023-06-27T17:22:13.000Z,b'@woahgabi Been WAY too long!',en,
1673743318361030660,2023-06-27T17:21:18.000Z,b'@midnightsrush Duh',und,
1673743150261649408,2023-06-27T17:20:38.000Z,b'@goldennjordan Yes \xf0\x9f\x98\x8a',und,
1673743062181330969,2023-06-27T17:20:17.000Z,b'@loganswify @bigtimerush @HeffronDrive \xf0\x9f\xa5\xb0',qme,
1673742741384183838,2023-06-27T17:19:00.000Z,b'@fallingonbtr Can\xe2\x80\x99t wait!',en,
1673742357987049477,2023-06-27T17:17:29.000Z,b'@umconnnor Ditto',it,
1672346184126545921,2023-06-23T20:49:35.000Z,b'What did y\xe2\x80\x99all (y\xe2\x80\x99all feels appropriate here :) think?',en,
1672344951340793864,2023-06-23T20:44:41.000Z,b'Fort Worth TX for the 1st show of the CAN\xe2\x80\x99T GET ENOUGH TOUR https://t.co/CKKi9f94jB',en,
1664988148177461248,2023-06-03T13:31:23.000Z,b'RT @bigtimerush: ANOTHER LIFE IS OUT!! \xf0\x9f\xa5\xb3\nhttps://t.co/ftBe7Exz7r\n\nFollow spree when we get Top #5 US Trending. LETS GOOOO\n\n#BTRAnotherLife\xe2\x80\xa6',en,
