twitter_id,date,tweet,lang,data
1658614298313146375,2023-05-16T23:23:58.000Z,b'RT @syraismith: Go watch ON MY OWN VIDEO https://t.co/qdPigFNQwt https://t.co/9bsUNg5HuX',en,
1654957403568316416,2023-05-06T21:12:47.000Z,b'RT @syraismith: ITS OUT STREAM ON MY OWN NOW! https://t.co/PYwSgdfL4z',en,
1639458297991385089,2023-03-25T02:44:52.000Z,"b""RT @etnow: Brandy and Paolo Montalban reunite as Cinderella and King Charming again after 26 years for 'Descendants: The Rise of Red.' http\xe2\x80\xa6""",en,
1638645928809889793,2023-03-22T20:56:48.000Z,"b'RT @DisneyPlus: A royal occasion. \xe2\x9c\xa8 King Charming (@PaoloMontalban) and Cinderella (@4everBrandy) have joined the upcoming Original movie,\xe2\x80\xa6'",en,
1605278247150837760,2022-12-20T19:05:33.000Z,b'I\xe2\x80\x99m so proud of you @syraismith \xf0\x9f\x8c\xb9 https://t.co/mDCtMSIedH',en,
1604562474849767425,2022-12-18T19:41:19.000Z,b'Happy Sunday \xe2\x98\xba\xef\xb8\x8f https://t.co/OzmOSE4pZD',en,
1603902861955538944,2022-12-17T00:00:16.000Z,b'Lots of holiday plans coming up? Stay in style with some of my favorite pieces from @hm and show off your looks with #hm #ad\n\nhttps://t.co/AnOjcWdF9K https://t.co/HOXtaOqvYk',en,
1600183018135916544,2022-12-06T17:38:56.000Z,"b'RT @heyyywhit: Just wow. The story, the performances!! I didn\xe2\x80\x99t know what to expect but this was so worth the listen. And chapter 5!!! Aww\xe2\x80\xa6'",en,
1598750505626476544,2022-12-02T18:46:38.000Z,"b'My new @audible_com Original, A New Moon, is out now! What a beautiful experience to share my story and perform a few fan favorites. \xe2\x99\xa5\xef\xb8\x8f\n\nUS listeners can stream the title for FREE now at: https://t.co/0aUmCd28B7 https://t.co/zcB9fL5eFe'",en,
1595100575871504384,2022-11-22T17:03:07.000Z,b'So excited to join this amazing cast and reprise my role as #Cinderella in the #DisneyDescendants sequel The Pocketwatch. Thank you to my @Disney fam \xe2\x9c\xa8 It\xe2\x80\x99s Still Possible \xf0\x9f\x91\x91\n\nhttps://t.co/fzpbTDBa4r https://t.co/cgLZrS1rJY',en,
1594745464536330240,2022-11-21T17:32:02.000Z,b'RT @DisneyPlus: \xf0\x9f\x91\x91 @4everBrandy as Cinderella (2/11) https://t.co/2JjKS0r4GG',tr,
1594744469068611584,2022-11-21T17:28:05.000Z,b'RT @DEADLINE: Brandy &amp; Rita Ora Among 7 Cast In \xe2\x80\x98Descendants\xe2\x80\x99 Sequel \xe2\x80\x98The Pocketwatch\xe2\x80\x99 At\xc2\xa0Disney+ https://t.co/YK5zd8KxVg',en,
1593318892650303488,2022-11-17T19:03:21.000Z,b'Had an incredible time at the Stella Rosa Brandy launch party. Got the chance to meet so many amazing people \xf0\x9f\xa4\x8e Find Stella Rosa Brandy near you by visiting https://t.co/I0FFpZGOqp https://t.co/nXvxc5YgA1',en,
1589335178702651392,2022-11-06T19:13:29.000Z,b'RT @VibeMagazine: More Than A Legacy: Sy\xe2\x80\x99Rai Smith Is Paving Her Own Lane\n\xf0\x9f\x96\x8b: @AmberCorrine_  https://t.co/3tYoXXZSxx',en,
1583825121520648194,2022-10-22T14:18:29.000Z,b'RT @BrandyLegion: Congratulations to Brandy on her first ever nomination at the 2022 @afrimaofficial Awards for \xe2\x80\x9cBest Global Act\xe2\x80\x9d \xf0\x9f\x92\x9b\n\nVote h\xe2\x80\xa6',en,
1580282968899080192,2022-10-12T19:43:14.000Z,b'https://t.co/HExdT4qgDZ',zxx,
1575962166389182464,2022-09-30T21:33:55.000Z,"b""RT @togethxr: .@syraismith flexed on everyone when she discovered her mom's fame @4everBrandy \xf0\x9f\xa4\xa9\n\nClick the link to hear Syrai's story in Mo\xe2\x80\xa6""",en,
1574823352484728846,2022-09-27T18:08:40.000Z,"b'RT @BrandyCharts: 28 years ago today, @4everBrandy released her debut album ""Brandy"". \n\nThe album peaked at #20 on the US Billboard 200 and\xe2\x80\xa6'",en,
1573316168903020545,2022-09-23T14:19:40.000Z,b'This still feels like a dream. Love you @MariahCarey \xf0\x9f\xa6\x8b\xf0\x9f\xa6\x8b #Butterfly25 https://t.co/wKxVM5tdTZ',en,
1571967617371631616,2022-09-19T21:01:00.000Z,b'Introducing Stella Rosa Brandy \xe2\x9c\xa8\n\n#SpiritofStellaRosa #StellaRosaBrandy https://t.co/45LT2haCsI',it,
1570862648727838720,2022-09-16T19:50:15.000Z,b'More looks from the shoot \xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f https://t.co/lWVlRMTvod',en,
1570829546773155842,2022-09-16T17:38:43.000Z,b'Stella Rosa Brandy \xe2\x9c\xa8 https://t.co/icDzFLpF18 https://t.co/zjq1kBHg13',it,
1570808536694919168,2022-09-16T16:15:14.000Z,b'Don\xe2\x80\x99t miss your chance to join me in LA to celebrate together! Enter here: https://t.co/bqNk5SUAoL \xe2\x9c\xa8\n\n#SpiritofStellaRosa #StellaRosaBrandy #partner https://t.co/limLIbphNW',en,
1570775899880181767,2022-09-16T14:05:32.000Z,"b'Love you @mariahcarey - so honored, overjoyed,and humbled to be a part of a body of work that changed my life. #Butterfly25 \xf0\x9f\xa6\x8b https://t.co/bA5tmUpMRS'",en,
1570662261076926467,2022-09-16T06:33:59.000Z,"b""RT @MariahCarey: I poured into every lyric and every note on every song. 25 years later, it's still one of the proudest moments of my life\xe2\x80\xa6""",en,
1569793705049194498,2022-09-13T21:02:39.000Z,"b'RT @GerrickKennedy: ""A New Moon,"" written and conceived by @4everBrandy  and me. Coming to @audible_com on Dec. 2. I cannot wait for you al\xe2\x80\xa6'",en,
1569725932314689537,2022-09-13T16:33:21.000Z,b'RT @Variety: Brandy\xc2\xa0and\xc2\xa0John Legend Tapped for Audible\xe2\x80\x99s \xe2\x80\x98Words + Music\xe2\x80\x99 Series (EXCLUSIVE)\n\nhttps://t.co/c7RzzDBZ3e',en,
1568766843820679168,2022-09-11T01:02:16.000Z,b'Thank y\xe2\x80\x99all \xf0\x9f\x8c\xb9\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xe2\x99\xa0\xef\xb8\x8f https://t.co/bzF0gWhJTY',en,
1568411557238915072,2022-09-10T01:30:29.000Z,"b""RT @DisneyStudios: Out of the sea, wish I could be... part of that world.\n\nDisney's The Little Mermaid is coming to theaters May 26, 2023.\xe2\x80\xa6""",en,
1566162611137380352,2022-09-03T20:33:59.000Z,"b'RT @Essence: Venus and Serena Williams taught Black girls around the world that if it is possible, you can achieve it.\n\nForever indebted. #\xe2\x80\xa6'",en,
1565065764020916225,2022-08-31T19:55:30.000Z,b'\xe2\x99\xa5\xef\xb8\x8f https://t.co/EPr1F8xJOv',art,
1565065521384624137,2022-08-31T19:54:32.000Z,b'RT @MonicaDenise: #FRIENDS ... Official video out now! https://t.co/GgNMvtuHHE',en,
1563315674076057602,2022-08-27T00:01:16.000Z,b'RT @RezDogsFX: Still got it. All new Wednesdays. Only on Hulu. #ReservationDogs https://t.co/fqDXul7QS4',en,
1563314831653908480,2022-08-26T23:57:55.000Z,b'RT @theFLOroom: FLO (@flolikethis) has 3 Brandy (@4EverBrandy) songs on their Spotify playlist.\xf0\x9f\x92\x96\n\n\xe2\x80\xa2 Angel In Disguise\n\xe2\x80\xa2 Best Friend\n\xe2\x80\xa2 The B\xe2\x80\xa6',en,
1562858553311760384,2022-08-25T17:44:50.000Z,"b'RT @Variety: .@4everBrandy is set to star in A24\xe2\x80\x99s \xe2\x80\x9cThe Front Room,\xe2\x80\x9d a psychological horror film from directors Max and Sam Eggers.\n\nhttps:\xe2\x80\xa6'",en,
1562851904795078659,2022-08-25T17:18:25.000Z,"b""RT @A24: Production begins on new horror THE FRONT ROOM, The Eggers Brothers' feature debut starring Brandy Norwood (THE Brandy), Kathryn H\xe2\x80\xa6""",en,
1562474843143974916,2022-08-24T16:20:06.000Z,"b""RT @POPSUGAR: . @4everBrandy 's Cinderella will always be iconic! \xf0\x9f\x91\x91 https://t.co/oNatQU82iZ""",en,
1562290741568749568,2022-08-24T04:08:33.000Z,b'\xf0\x9f\x91\x91\xe2\x9c\xa8 https://t.co/8vb6e1In16 https://t.co/pEi1EQGuSY',qme,
1562264043058085888,2022-08-24T02:22:27.000Z,"b""RT @RHCinderella: RT if you never questioned this family's casting! #Cinderella1997 https://t.co/R6MtwHhAVx""",en,
1562262878509563904,2022-08-24T02:17:50.000Z,"b""RT @kiaramonai: Yes I have the movie on DVD, the movie poster and still have my Brandy doll. @4everBrandy really is my girl! I don't think\xe2\x80\xa6""",en,
1562244810886578176,2022-08-24T01:06:02.000Z,"b'RT @RHCinderella: ""That movie changed the way Black little girls believed in themselves. I hear to this day, \'I believe I can be a princess\xe2\x80\xa6'",en,
1562238256133148672,2022-08-24T00:39:59.000Z,b'Wow. Speechless. Thank y\xe2\x80\x99all so much for this moment \xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f https://t.co/LpVF3ve9qV',en,
1562235271504175104,2022-08-24T00:28:08.000Z,b'RT @ratedRIAN: Being so young and not even realizing how diverse the cast of Cinderella was\xe2\x80\xa6 looking back Debra Martin Chase &amp; Whitney Hous\xe2\x80\xa6',en,
1562234440948109317,2022-08-24T00:24:50.000Z,b'RT @_Aquera: Seeing @4everBrandy and Whitney singing impossible is bringing back so many memories. I looove how she gets to relive these mo\xe2\x80\xa6',en,
1562230734462623744,2022-08-24T00:10:06.000Z,b'RT @AyannaPrescod: Thinking about these two as we head into the @RHCinderella reunion tonight. RIP Natalie Reid &amp; Whitney Houston. #Cindere\xe2\x80\xa6',en,
1562230057376120833,2022-08-24T00:07:25.000Z,"b""RT @RHCinderella: Brandy was SEVENTEEN when she was cast as Rodgers &amp; Hammerstein's Cinderella. That's it. That's the tweet. @4everBrandy #\xe2\x80\xa6""",en,
1562229505539833856,2022-08-24T00:05:13.000Z,b'RT @ShayLanise: This #cinderella1997 special warms my heart \xf0\x9f\xa6\x8b that representation meant EVERYTHING to me as a little girl https://t.co/fVZ3\xe2\x80\xa6',en,
1562228490086260736,2022-08-24T00:01:11.000Z,"b'RT @RHCinderella: Let\'s watch some magic happen... Tune in to ""Cinderella: The Reunion"" NOW on @ABCNetwork.\xf0\x9f\x8d\xbf \n\nRT if you\'re watching this R\xe2\x80\xa6'",en,
1562228255830458370,2022-08-24T00:00:15.000Z,b'Starting Now \xf0\x9f\x91\x91 Tune into the #Cinderella1997 reunion on @ABCNetwork \xe2\x9c\xa8 @RHCinderella https://t.co/rBrv8BFAHH',en,
1562221729979793408,2022-08-23T23:34:19.000Z,"b""RT @RHCinderella: 30 more minutes. \xf0\x9f\x91\x80 Take a peek inside tonight's digital @Playbill and tune in at 8/7c to @ABCNetwork! https://t.co/Zh5u1E\xe2\x80\xa6""",en,
1562220742107975680,2022-08-23T23:30:24.000Z,b'30 mins \xe2\x9c\xa8 #Cinderella1997 https://t.co/nmJscXksgB',en,
