twitter_id,date,tweet,lang,data
1680377163999072256,2023-07-16T00:41:50.000Z,"b'SALT LAKE CITY, UTAH! THE FINAL LAP TOUR celebrating GET RICH OR DIE TRYIN\xe2\x80\x99 \xe2\x80\x93 20 YEARS LATER with @BustaRhymes and @jeremih kicks off this Friday at the @Maverik_Center ! You don\xe2\x80\x99t want to miss this! Get your tickets now \xe2\x80\xa2 https://t.co/P4qRWUblmR\n\n\xf0\x9f\x8c\x8e\xe2\x9c\x88\xef\xb8\x8f #TheFinalLapTour https://t.co/X8HlHs0GXl'",en,
1679868557734162433,2023-07-14T15:00:49.000Z,b'THE FINAL LAP TOUR celebrating GET RICH OR DIE TRYIN\xe2\x80\x99 \xe2\x80\x93 20 YEARS LATER with @BustaRhymes and @jeremih\n kicks off next week! Get your tickets now. See you at the show \xe2\x80\xa2 https://t.co/P4qRWUblmR https://t.co/U5itxLvK6X',en,
1679622491239530497,2023-07-13T22:43:02.000Z,b'\xf0\x9f\x91\x80The funny shit is only @Eminem sold more then me. \xf0\x9f\x98\x86I made \xf0\x9f\xa5\xb7\xf0\x9f\x8f\xbe\xe2\x80\x99s so uncomfortable they don\xe2\x80\x99t want to remember. LOL \xe2\x80\xa2 https://t.co/jnbpt4Vpb3 https://t.co/qsiHKGXTpM',en,
1679617911235698691,2023-07-13T22:24:50.000Z,"b'And you say New York City, it\xe2\x80\x99s lit \xf0\x9f\x94\xa5 The Final lap \xf0\x9f\x8c\x8e world Tour 93 dates. take your time and make a classic. \xf0\x9f\x92\xa3BOOM\xf0\x9f\x92\xa8https://t.co/P4qRWUblmR #bransoncognac #lecheminduroi #thefinallaptour https://t.co/UX7hCjEP83'",en,
1679127118603509762,2023-07-12T13:54:36.000Z,"b'GERMANY! Due to phenomenal demand, we\xe2\x80\x99ve added an extra date to THE FINAL LAP TOUR celebrating GET RICH OR DIE TRYIN\xe2\x80\x99 \xe2\x80\x93 20 YEARS LATER with Busta Rhymes! See you in Hannover on October 13. Get your tickets now at Telekom and Ticketmaster presale. General on sale starts 14 July.\xe2\x80\xa6 https://t.co/g2FHtORD8v https://t.co/BOY5knn068'",en,
1678720741934616577,2023-07-11T10:59:48.000Z,"b'UK! Due to phenomenal demand, we\xe2\x80\x99ve added extra dates to THE FINAL LAP TOUR celebrating GET RICH OR DIE TRYIN\xe2\x80\x99 \xe2\x80\x93 20 YEARS LATER with Busta Rhymes and Jeremih.\xc2\xa0See you for a second Glasgow show on 19 November, and a third London show on 21 November! Tickets on sale Friday at 9am\xe2\x80\xa6 https://t.co/zz2mk8sNLc https://t.co/iNBzfoTKyi'",en,
1678504949666263041,2023-07-10T20:42:19.000Z,b'RT @GoldenKnights: #NoContextVGK https://t.co/IySN6LLE1Y',qme,
1678478557125701643,2023-07-10T18:57:27.000Z,b'Yeah man the guys came to see me for my birthday \xf0\x9f\x8e\x82 at this cool spot in London called the village \xe2\x80\xa2 https://t.co/jnbpt4Vpb3 https://t.co/ImslHxDDOo',en,
1678285309925048322,2023-07-10T06:09:33.000Z,b'What\xe2\x80\x99s up India! I\xe2\x80\x99m coming your way to Mumbai on November 25th for The Final Lap Tour. Pre-Register your tickets: https://t.co/P4qRWUblmR https://t.co/kifsjnJyq4 https://t.co/pNMqxGtzcu',en,
1676622346268954625,2023-07-05T16:01:32.000Z,"b'FRANCE! Shows in Nice, Strasbourg and Nantes are Sold Out! Last chance to catch the Final Lap Tour is in Paris la D\xc3\xa9fense Arena on Friday November 3rd! Get your tickets here: https://t.co/P4qRWUblmR \n\n#TheFinalLapTour \xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x8c\x8e https://t.co/O0aUISMpZk'",en,
1676270556495192078,2023-07-04T16:43:38.000Z,b'Yeah he rocking dat shit LOL \xf0\x9f\x98\x86 https://t.co/jnbpt4Vpb3 https://t.co/KD3Us8UpeR',en,
1675582809476329472,2023-07-02T19:10:47.000Z,"b'Portugal \xf0\x9f\x87\xb5\xf0\x9f\x87\xb9 was a vibe, you had to be there to understand \xe2\x80\xa2 https://t.co/jnbpt4Vpb3 https://t.co/8C7VSnSRyr'",en,
1674913028175691776,2023-06-30T22:49:18.000Z,"b'No thank you, I\xe2\x80\x99ll be fine right here. \xf0\x9f\x98\x95LOL https://t.co/jnbpt4Vpb3 https://t.co/SVcgDDPKwY'",en,
1674352099465764866,2023-06-29T09:40:23.000Z,b'BUDAPEST! I\xe2\x80\x99m coming your way on October 18th on the Final Lap Tour with Busta Rhymes. Tickets go on sale tomorrow at 4pm CEST \xf0\x9f\x94\xa5 Don\xe2\x80\x99t miss out \xe2\x80\xa2 https://t.co/P4qRWUblmR https://t.co/yeSYcDm2zN',en,
1674044770593697795,2023-06-28T13:19:10.000Z,b'Take your time make it a classic then it won\xe2\x80\x99t go away \xe2\x80\xa2 https://t.co/jnbpt4Vpb3 https://t.co/kjiUlEmyyD',en,
