twitter_id,date,tweet,lang,data
1679265525510307840,2023-07-12T23:04:35.000Z,b'Loading... building... one more week... https://t.co/GUSlkrJgsX',en,
1677418236131053568,2023-07-07T20:44:07.000Z,"b""It's this legend's birthday. 29 years young\xc2\xa0\xf0\x9f\xa5\xb3 @Ashton5SOS https://t.co/P3YVkl3sDV""",en,
1676642697115992066,2023-07-05T17:22:24.000Z,b'New 5SOS ESSENTIALS. Live in the store now https://t.co/iHoaWhZpnO https://t.co/hOoAjlCQfC',en,
1675267957172371456,2023-07-01T22:19:40.000Z,b'Whaddya wanna hear live? #The5SOSShow https://t.co/Us3rkOB8dX',en,
1674822428919500800,2023-06-30T16:49:18.000Z,b'Updates! El Significado de las Flores is with us in Chile and ARMN is supporting in Colombia \xf0\x9f\x98\x8a https://t.co/Px3xMUlFrs',en,
1674810382807097351,2023-06-30T16:01:26.000Z,b'https://t.co/ARnH7pNpsn',zxx,
1674810253307965441,2023-06-30T16:00:55.000Z,b'So many beautiful souls on the bus with us this time around. Thrilled to have these incredible artists joining us for tour. https://t.co/YpdUwAzod7',en,
1673766574904463360,2023-06-27T18:53:43.000Z,b'The original. Nine lives around the sun. \xf0\x9f\x92\x99 https://t.co/MnokT61kVr',en,
1670889889540509696,2023-06-19T20:22:47.000Z,b'ONE MONTH TIL WE UNLEASH THE 5SOS SHOW https://t.co/RfegPTIAwu',en,
1668326289038774273,2023-06-12T18:35:57.000Z,"b""RT @ipadkidcalum: Michael's fits for the tour https://t.co/8n2dCtsBF3""",en,
1668325719167082496,2023-06-12T18:33:42.000Z,"b'RT @Michael5SOS: hey, im gonna be a dad \xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb'",en,
1664715774450339842,2023-06-02T19:29:04.000Z,"b""From everywhere to here with you all.\xc2\xa0Who's been watching again? Royal Albert Hall, on demand now https://t.co/427NgQM8vm https://t.co/LI0AzPdpJI""",en,
1662178631337250816,2023-05-26T19:27:22.000Z,b'https://t.co/5WgL9okytF',zxx,
1662178406052823040,2023-05-26T19:26:28.000Z,"b'The Feeling of Falling Upwards is home. Watch on demand now, with more territories coming soon. https://t.co/rtHNDKWmKr'",en,
1661924033380724737,2023-05-26T02:35:41.000Z,b'The Feeling of Falling Upwards. On demand tomorrow. https://t.co/zyolfLxUFz',en,
1661850204264607747,2023-05-25T21:42:19.000Z,"b""We are thrilled to announce we are sharing our full Royal Albert Hall performance, re-edited and re-mastered specially for on demand viewing! It will be rolling out across major platforms and territories in the coming weeks starting tomorrow. We'll share more info as it goes\xe2\x80\xa6 https://t.co/KPLo6IgU4H https://t.co/VmbII9R4Na""",en,
1652014300200943617,2023-04-28T18:17:56.000Z,b'https://t.co/Cs8PKKd3Ln',zxx,
1652014186912792577,2023-04-28T18:17:29.000Z,"b'Peru! See you soon, tickets on sale now \xf0\x9f\x98\x8a #The5SOSShow https://t.co/VpwhpB6PAi'",en,
1650248292503265280,2023-04-23T21:20:27.000Z,b'https://t.co/ARnH7pNpsn',zxx,
1650248146449240064,2023-04-23T21:19:52.000Z,b'Hugely grateful for your excitement for The 5 Seconds of Summer Show!! See all you beautiful people on the road! \xf0\x9f\xab\xb6 #The5SOSShow https://t.co/a9XLy8R4bH',en,
1649496615798054912,2023-04-21T19:33:34.000Z,b'The Feeling of Falling Upwards merch is here\xc2\xa0\xf0\x9f\xa4\x8d https://t.co/3kflZHrP4o https://t.co/d1c5fUgapC',en,
1648110029994876928,2023-04-17T23:43:46.000Z,b'New Argentina show added! #The5SOSShow https://t.co/ARnH7pNpsn https://t.co/kBI0M7eMlU',en,
1648021302891147265,2023-04-17T17:51:12.000Z,b'https://t.co/pXOTM6oeDP',zxx,
1648021134405955584,2023-04-17T17:50:31.000Z,b'Take a look into our journey of making The Feeling of Falling Upwards the most special experience possible. Love you all!! Live on Youtube now https://t.co/NFxanSPmQi',en,
1647351833042763776,2023-04-15T21:30:57.000Z,"b'Fairfax, LA \xf0\x9f\x98\x8a #The5SOSShow https://t.co/KAYi3gQ3X5'",en,
1647313637273657344,2023-04-15T18:59:11.000Z,b'At #The5SOSShow \xf0\x9f\x8d\xbf https://t.co/zCRVLsB3k6',und,
1646979095593644033,2023-04-14T20:49:50.000Z,b'The Feeling of Falling Upwards - Live From The Royal Albert Hall\xc2\xa0\xf0\x9f\x96\xa4 https://t.co/PNv9HMzrMl',en,
1646922808751185920,2023-04-14T17:06:10.000Z,b'Get tickets here https://t.co/ARnH7pNpsn \xf0\x9f\xab\xb6',en,
1646922623216160768,2023-04-14T17:05:26.000Z,b'Tickets for The 5 Seconds of Summer Show are on sale now! See you out there\xc2\xa0\xf0\x9f\x98\x8a #The5SOSShow https://t.co/uiQPoGfcyB',en,
1646728139614351361,2023-04-14T04:12:37.000Z,b':) https://t.co/gErDbVouQy',zxx,
1646726610715045888,2023-04-14T04:06:33.000Z,"b'A journey over 10 years in the making. Overjoyed to be sharing this live experience with you in a new way. The Feeling of Falling Upwards - Live From The Royal Albert Hall is out now, listen\xc2\xa0everywhere. https://t.co/58R6qEOjh5'",en,
1646625674420166656,2023-04-13T21:25:28.000Z,"b""Thanks\xc2\xa0@billboard \xf0\x9f\x99\x8f\nWatch the full Royal Albert Hall 'Youngblood' performance now.\n\nhttps://t.co/CWfCIkcOay""",en,
1645847952760668160,2023-04-11T17:55:04.000Z,"b'South America On Sale Updates:\n-Brazil, Thu 13th\xc2\xa0April @ 10am local\n-Columbia, Fri 14th April @ 10am local\n-Chile, Fri 14th\xc2\xa0April @ 11am local\n-Peru, Fri 28th\xc2\xa0April @ 10am local\n\nhttps://t.co/UVPVUZSPC4'",ro,
1645838999876157440,2023-04-11T17:19:30.000Z,"b""The 5 Seconds of Summer Show 2023 World Tour presale began today! We have also added a second night in Boston \xf0\x9f\x96\xa4 Details below including all South America dates! We can't wait to see you out there \xf0\x9f\xab\xb6\n\nTickets on sale Friday 10am local time*\n\n-Tuesday April 11th 10am local: Citi\xe2\x80\xa6 https://t.co/asVhmvz8OZ https://t.co/t6RSfORyES""",en,
1644815431491002368,2023-04-08T21:32:12.000Z,b'https://t.co/BpDdF9G6XK',zxx,
1644815281695649792,2023-04-08T21:31:37.000Z,b'The Feeling of Falling Upwards \xe2\x80\x93 Live From The Royal Albert Hall. April 14th. https://t.co/9F4dxDs5Bq',en,
1644007573362991104,2023-04-06T16:02:04.000Z,b'Pre-save The Feeling of Falling Upwards \xe2\x80\x93 Live from The Royal Albert Hall \xf0\x9f\x92\x99\n\nhttps://t.co/gErDbVouQy',en,
1644007570439540736,2023-04-06T16:02:03.000Z,b'Playing this show for all of you was indescribable and we\xe2\x80\x99re thrilled you can all relive this moment with us over and over again. The Feeling of Falling Upwards \xe2\x80\x93 Live from The Royal Albert Hall is yours on April 14th \xf0\x9f\x92\x99 https://t.co/BD3qwPjNZX',en,
1644007242356920322,2023-04-06T16:00:45.000Z,b'Presenting: The 5 Seconds of Summer Show World Tour 2023!\n\nCan\xe2\x80\x99t wait to spend time on tour with all you beautiful people. Presales start from Tuesday next week. General tickets on sale Friday April 14th 10am local time (US and EUROPE). South America dates will be updated very\xe2\x80\xa6 https://t.co/X1F7enWYvW https://t.co/jukyjN1NIt',en,
1643360478310301696,2023-04-04T21:10:44.000Z,b'https://t.co/0wcKxiJ38s',zxx,
1642698230382362624,2023-04-03T01:19:12.000Z,b'Pal Norte!! Big \xf0\x9f\xab\xb6 @TecatePalNorte https://t.co/pm2r7y6H6U',tl,
1628455020005048320,2023-02-22T18:01:46.000Z,"b'When We Were Young Fest \xf0\x9f\x96\xa4 Second show, same lineup. Presale Friday February 24th @ 2pm PT @WWWYFest \n\nhttps://t.co/8yF3ZR0gKk https://t.co/EYE2Eh9f0S'",en,
1625642255854993408,2023-02-14T23:44:51.000Z,b'you make us complete \xf0\x9f\xa4\x8d what lyrics are you adding?? https://t.co/t8sGdvcuo1',en,
1622739708177707011,2023-02-06T23:31:10.000Z,"b'our sound continues to evolve over a decade together, a journey of judgement free expression \xf0\x9f\x96\xa4 catch all the stories and songs on @Xfinity Awesome Beats station @pandoramusic \n\nhttps://t.co/JsBbKcYJST https://t.co/R9DiHn09cw'",en,
1620567459765039106,2023-01-31T23:39:25.000Z,b'which one did you choose??',en,
1620566409523920897,2023-01-31T23:35:15.000Z,b'cooked up some wallpapers for you guys \xf0\x9f\x98\x8a https://t.co/YWGgqDqMeN',en,
1618368644827975685,2023-01-25T22:02:07.000Z,b'hbd brother bass man @Calum5SOS \xf0\x9f\x96\xa4 https://t.co/n1kIxg409g',in,
1611393382957584384,2023-01-06T16:04:55.000Z,"b""and that's a wrap \xe2\x9c\xa8 Australia Tour Diary is live on YouTube now \n\nhttps://t.co/xD3VKHX58k https://t.co/XnWQ11Sdan""",en,
1609324645370712065,2022-12-31T23:04:29.000Z,"b'Predict your 2023 with #5SOS5 \xf0\x9f\x94\xae Pause to reveal your answer, screenshot your result &amp; share in the replies \xe2\x9c\xa8 https://t.co/oHfyqMx9py'",en,
1609322812526964738,2022-12-31T22:57:12.000Z,b'RT @Ashton5SOS: Currently listening to our Royal Albert Hall show at home \xf0\x9f\x98\x89 I gotta say that was a real peak experience for me. Thanks for\xe2\x80\xa6',en,
1608598129926098945,2022-12-29T22:57:35.000Z,b'almost NYE\xe2\x80\xa6 what if we all blasted \xe2\x80\x98You Don\xe2\x80\x99t Go To Parties\xe2\x80\x99 at midnight?? post a video of you celebrating the new year using the audio &amp; tag us \xf0\x9f\x91\x80',en,
1606409646335754240,2022-12-23T22:01:19.000Z,"b'Happy holidays everyone \xe2\x9c\xa82022 has been a dream come true. Thank you for this absolute gift of a year, we couldn\xe2\x80\x99t do it without you. Love you all so much. https://t.co/xSRkMWpfKA'",en,
1605336625742913536,2022-12-20T22:57:31.000Z,b'The super real and definitely not fake holiday 5SOS playlist \xe2\x9d\x84\xef\xb8\x8f What other Christmas gems that totally exist are you adding? https://t.co/rMvhsvH7ka',en,
1602828885686571008,2022-12-14T00:52:40.000Z,b'RT @girlstalkcurls: \xe2\x80\x9clittle band from sydney can do great things\xe2\x80\x9d https://t.co/QELVmVSRrI',en,
1602826220067905537,2022-12-14T00:42:04.000Z,b'RT @MGCICARUS: a few more souls on the bus now. thank you @5SOS.\n#TakeMyHandTour https://t.co/V1eq4BKMB2',en,
1602789771784335360,2022-12-13T22:17:14.000Z,"b'Sydney, It will always be home \xe2\x99\xa5\xef\xb8\x8f https://t.co/m6KYtLVSAb'",en,
1601776169841348608,2022-12-11T03:09:33.000Z,"b'A few more souls on the bus now \xe2\x9c\xa8 #TakeMyHandTour has come to an end. A beautiful journey stretching across the globe, crossing paths with so many hearts and stories. Thank you to everyone who took the time to come out to a show. We love you. https://t.co/WlcL1H5vqb'",en,
1601698853471719425,2022-12-10T22:02:19.000Z,b'#TakeMyHandTour merch available for a limited time only \xe2\x9c\xa8 Grab yours now https://t.co/KzsA7rUDDH https://t.co/HQD00WEDPV',en,
1601387460230926337,2022-12-10T01:24:57.000Z,b'Tonight we\xe2\x80\x99re stepping on stage for the final show of #TakeMyHandTour \xf0\x9f\x96\xa4 Thank you Australia for welcoming us home https://t.co/YnAA4vyEfk',en,
1599921851924639744,2022-12-06T00:21:09.000Z,"b'RT @Ashton5SOS: From the drummers perspective over the past tour, one of the best parts has been witnessing the diversity of our 5SOS famil\xe2\x80\xa6'",en,
1599496195533307905,2022-12-04T20:09:44.000Z,"b""This weekend is 11 years as a band, and 1 year since we celebrated our 10th birthday with you. love y'all - The Summer Brothers https://t.co/pKK3PWu7GQ https://t.co/XRqU840ZyT""",en,
1598105484233297921,2022-12-01T00:03:33.000Z,b'false https://t.co/ovm0tz3f2a',en,
1597826675323985920,2022-11-30T05:35:40.000Z,b'Crucial AUS run prep #TakeMyHandTour https://t.co/sXQvrGxA39',fr,
1597377935450656768,2022-11-28T23:52:32.000Z,b'RT @babysb1ue: 5SOS brought me to my best friend! thank you for these memories. i\xe2\x80\x99ll treasure them forever @CarameIHaze \n\n#BEST5RIENDS @5SO\xe2\x80\xa6',en,
1597377249564844032,2022-11-28T23:49:48.000Z,b'RT @jetblackkheaart: me and my friends looking straight at the bad omens but still choosing to ignore them: https://t.co/eoJcOdPeRR',en,
1596646982575357952,2022-11-26T23:27:59.000Z,"b'RT @lgbtqrry: my best friends in the entire world, brought to me by this bird app and our shared love for music &lt;3 i love you all so much @\xe2\x80\xa6'",en,
1596645461825564672,2022-11-26T23:21:56.000Z,b'RT @highontwl: *5sos5*\nlyrics:                                   melody: https://t.co/elADU7FbIW',en,
1596191697452511232,2022-11-25T17:18:51.000Z,b'SURPRISE \xf0\x9f\x91\x80 New merch just dropped!! Available now at https://t.co/iHoaWigspO https://t.co/jnbQBog0vx',en,
1595900996328116224,2022-11-24T22:03:42.000Z,b'Celebrate the holidays with #5SOS5 \xe2\x9c\xa8 Grab your merch Friday November 25th at 9am PT!! https://t.co/nahorJpAoc',en,
1595213781214277632,2022-11-23T00:32:57.000Z,"b""RT @THESTARTlNGLINE: It's 5:00 a.m. clinging to my couch...\n\n@5SOS https://t.co/q37X97o7Xg""",en,
1595165321878388738,2022-11-22T21:20:24.000Z,b'RT @HANFROMTHEVAULT: these guys just knocked on my door and tried to sell me a vacuum https://t.co/rxbfdqLI3K',en,
1595100701503676417,2022-11-22T17:03:37.000Z,b'come visit \xf0\x9f\x90\xa8\n\nhttps://t.co/mP4O8nyVkJ https://t.co/dw6gfgiE4P',en,
1594450618881478660,2022-11-20T22:00:25.000Z,b'Happy Birthday to our brother @Michael5SOS \xf0\x9f\x96\xa4 https://t.co/34kV5YAvdQ',en,
1593795874559516672,2022-11-19T02:38:42.000Z,b'RT @tabithakaitlyn: my friends mean the entire world to me. love all my babies &lt;3 @5SOS #BEST5RIENDS https://t.co/pFUiSlqdBm',en,
1593726765276413953,2022-11-18T22:04:05.000Z,b'who are you thankful for?? we wanna see who you hold close through the holiday season. create a vertical video using \xe2\x80\x98Best Friends\xe2\x80\x99 audio and post with #BEST5RIENDS \xf0\x9f\xa4\x8d https://t.co/BJifjr0tO5',en,
