twitter_id,date,tweet,lang,data
1680641943481581568,2023-07-16T18:13:58.000Z,b'I consider myself lucky to have witnessed that! Especially Djoko\xe2\x80\x99s speech afterwards. What a Champion!\n\nWell done Alcaraz. Simply too good! Get used to seeing that face over the next while\xf0\x9f\x98\x84\xf0\x9f\x91\x8c',en,
1680624842393935872,2023-07-16T17:06:01.000Z,b'How did Djokovic turn it around after losing the 3rd? Absolutely insane. Not human surely. He was done and dusted. So much respect',en,
1680622331989827592,2023-07-16T16:56:03.000Z,"b'I\xe2\x80\x99m a big Djoko fan, but I don\xe2\x80\x99t care who wins here, it\xe2\x80\x99s the best tennis match I\xe2\x80\x99ve ever seen, and we\xe2\x80\x99re all so lucky to watch it live!'",en,
1680595605893136386,2023-07-16T15:09:51.000Z,b'The quality of this tennis match is mind blowing! #Wimbledon',en,
1680288831667417088,2023-07-15T18:50:50.000Z,"b'You Tennis lovers out there. Please tell me\xe2\x80\xa6 Mind and experience, or youth, skill and hunger. Ps. I think Djoko is hungry too\xf0\x9f\x98\xb3 #wimbledon'",en,
1680186438913073153,2023-07-15T12:03:58.000Z,"b'Another Wimbledon Final for @DjokerNole. What a sportsperson, with elite mental strength. \n\nWill he lift his 8th #Wimbledon title?\n\nI spoke about him in the latest 360 Show: https://t.co/LywqxHQ4HQ https://t.co/lGknvsnyOC'",en,
1679455210933026820,2023-07-13T11:38:19.000Z,"b'On the latest episode of The 360 Show presented by Fairplay:\n\n\xf0\x9f\x8f\x8f Mark Wood, Ashes &amp; Pace Bowling ft. @7polly7\n\xf0\x9f\x8f\x86 Netherlands qualify for #CWC23 \n\xe2\x81\x89\xef\xb8\x8f Tamim\xe2\x80\x99s retirement U-turn\n\xf0\x9f\x8e\xbe How diet helped @DjokerNole\xe2\x80\x99s fitness\n\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f Does Travis Head look like me?\n\n\xf0\x9f\x91\x89 https://t.co/LywqxHQ4HQ https://t.co/gTnpWCf8Jk'",en,
1678408950612480001,2023-07-10T14:20:51.000Z,"b'The same thing happens in Cricket! Comparing players with different skill sets, who play in different positions with different pressure\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8fnot cool'",en,
1678404222323249153,2023-07-10T14:02:04.000Z,b'Listening to John McEnroe commentating in the Djoko/Hurkacz game. Love how he questions stats! Saying \xe2\x80\x9cwho are these people?? Who are \xe2\x80\x9cthey\xe2\x80\x9d we\xe2\x80\x99re talking about here?\xe2\x80\x9d I have a very similar view! How are these people telling us how valuable a player is? Or what the win percentage\xe2\x80\xa6 https://t.co/RbtF1zy5NO',en,
1678051047707648000,2023-07-09T14:38:41.000Z,b'3 incredible Test matches in a row!!! Unreal',en,
1678046970739404800,2023-07-09T14:22:29.000Z,b'Big drop to 55',en,
1678044869548294145,2023-07-09T14:14:08.000Z,b'Now only entering the 70-80% mark',en,
1678040616289157121,2023-07-09T13:57:14.000Z,b'80% now. I feel it\xe2\x80\x99s more like 59/41',en,
1678032413476126720,2023-07-09T13:24:38.000Z,"b'20min ago the Win Predictor said 70% for Eng to win. It\xe2\x80\x99s never been anywhere near 70%. Whatever formula is used, it obviously doesn\xe2\x80\x99t take into account the situation of the game. Anyone can still win obviously, but 5 down in a final innings of a Test match with 100 out is never\xe2\x80\xa6 https://t.co/c3j8RFDBF3'",en,
1678028066445033472,2023-07-09T13:07:21.000Z,b'Thing are gonna get spicy now',en,
1678004363866914817,2023-07-09T11:33:10.000Z,"b'Had my eyes on 100/3 for Aus to be favourites, but not by much! Anyone\xe2\x80\x99s game. So much at stake! \n\nOne of those days where u have to earn the right before u can play freely'",en,
1677992065647427584,2023-07-09T10:44:18.000Z,"b'Starc bringing his A-game here! As always, when it matters most #Ashes2023'",en,
1677989587707109377,2023-07-09T10:34:27.000Z,b'@YnwaJeremy Was good to meet u!',en,
1677366335565701122,2023-07-07T17:17:53.000Z,"b'I think they\xe2\x80\x99ll need one to win this test. Either that or two 50 partnerships from here on in. 250-275 seems to be the number. \n\nAs Morgan just said now, this is the partnership Eng need to break. Two dangerous batters that can take the game away very quickly'",en,
1677362911570804736,2023-07-07T17:04:16.000Z,b'Will there be a centurion in the Aus innings here?',en,
1677359259342839814,2023-07-07T16:49:45.000Z,b'Just got to my tele for the 1st time today. Building up to be a proper finish again!!! I\xe2\x80\x99m getting exhausted here. Give us a break #Ashes',en,
1677007843394740228,2023-07-06T17:33:21.000Z,b'@ABD360Cricket @LeapBlock Slowly but surely! Can\xe2\x80\x99t wait',en,
1676975271751168001,2023-07-06T15:23:56.000Z,"b'Should\xe2\x80\x99ve been a 120 less, but a great comeback nonetheless.'",en,
1676960664320102401,2023-07-06T14:25:53.000Z,"b'Can I say it one more time please.. catches win matches. It\xe2\x80\x99s not a myth. \n\nEngland far from out of it, they should\xe2\x80\x99ve been batting by now though!'",en,
1676960250241617921,2023-07-06T14:24:14.000Z,b'Unbelievable knock Mitch Marsh! Wow',en,
1676954691736047616,2023-07-06T14:02:09.000Z,b'Had my eye on 180 for the dropped catches to become a mental problem for Eng. Aus got a very good opportunity here',en,
1676948214509862912,2023-07-06T13:36:25.000Z,b'98/6\n145/4\n\nStarting to hurt now.',en,
1676940138549477377,2023-07-06T13:04:19.000Z,b'98/6\n113/4\n\nBig difference',en,
1676939225038462976,2023-07-06T13:00:41.000Z,b'Catches catches catches!!! More often than not they make u pay for letting them slide. Let\xe2\x80\x99s see',en,
1676938712167378944,2023-07-06T12:58:39.000Z,"b'Gotta say, Eng looking hungry. I don\xe2\x80\x99t think this series is done yet.  They\xe2\x80\x99re gonna make Aus work for it #Ashes2023'",en,
1676623695446409216,2023-07-05T16:06:53.000Z,"b""I'm back with The 360 Show, and there's plenty to talk about: \n\n\xf0\x9f\x8f\x8f #TheAshes Controversies ft. @dmalan29 \n\xf0\x9f\x8f\x86 Windies-less #CWC23\n\xf0\x9f\xa7\xa0 Mental toughness in facing the Short Ball\n\xf0\x9f\x8e\xbc ... and some @jason_mraz \n\nIt's on my YouTube channel right here:\n https://t.co/lxTcydmMtg https://t.co/T1Xv5L1XzH""",en,
1675775943812562944,2023-07-03T07:58:14.000Z,"b'RT @ForbesIndia: In a freewheeling conversation with @kathakalichanda, @ABdeVilliers17, the former South African cricketer, explains how hi\xe2\x80\xa6'",en,
1675539711849365504,2023-07-02T16:19:31.000Z,b'We just witnessed another sensational Test match. So many incredibly talented players. What a joy to watch #Ashes2023',en,
1674462440048717824,2023-06-29T16:58:50.000Z,"b'And bear in mind, this pitch is fairly low and slow! Imagine\xe2\x80\xa6'",en,
