twitter_id,date,tweet,lang,data
1680650672193110018,2023-07-16T18:48:39.000Z,"b""RT @ESPNNFL: Who's excited to see this new duo in Tennessee? \xf0\x9f\xa4\xa9 https://t.co/HLBBsGx8sm""",en,
1680644689580441600,2023-07-16T18:24:53.000Z,"b""RT @MySportsUpdate: Here's what DeAndre Hopkins said he was looking for in his next NFL team:\n\n- Stable management.\n- A QB who loves the ga\xe2\x80\xa6""",en,
1680644084346634244,2023-07-16T18:22:29.000Z,"b'More about the Titans being expected to sign former Cardinals\xe2\x80\x99 WR DeAndre Hopkins to a two-year deal, via @TDavenport_NFL:\n\nhttps://t.co/crjVIPjx64'",en,
1680641587020275712,2023-07-16T18:12:33.000Z,"b'RT @diannaESPN: The deal is expected to be completed over the next few days. The Titans are giving him 2 year deal. For year 1, it\xe2\x80\x99s a base\xe2\x80\xa6'",en,
1680641067832451079,2023-07-16T18:10:30.000Z,b'Titans are giving WR DeAndre Hopkins a two-year contract. https://t.co/4pctOGvkYf',en,
1680637925271240705,2023-07-16T17:58:00.000Z,"b'RT @diannaESPN: 3x All-Pro wide receiver DeAndre Hopkins is expected to sign with the Tennessee Titans, per sources. This is new Titans GM\xe2\x80\xa6'",en,
1680621075040706563,2023-07-16T16:51:03.000Z,"b'More about the Jaguars and franchise TE Evan Engram reaching agreement today on a three-year, $41.25 million deal that includes $24 million fully guaranteed:\n\nhttps://t.co/r69ngwUUif'",en,
1680616868501938176,2023-07-16T16:34:20.000Z,"b'Evan Engram had a franchise tag worth $11.345 million all along. So the new deal tacks on two more years and another $29.905 million, which places him slightly under George Kittle\xe2\x80\x99s $15 million per year average. https://t.co/xj0l8zfU7z'",en,
1680614205659967490,2023-07-16T16:23:45.000Z,"b'Now that Jaguars TE Evan Engram has a new three-year deal, there are three remaining franchise players seeking long-term deals before Monday\xe2\x80\x99s 4 pm ET deadline:\n\n\xf0\x9f\x8f\x88Saquon Barkley\n\xf0\x9f\x8f\x88Josh Jacobs\n\xf0\x9f\x8f\x88Tony Pollard'",en,
1680612956244004871,2023-07-16T16:18:47.000Z,"b'Compensation update: Jaguars\xe2\x80\x99 franchise TE Evan Engram is signing a three-year, $41.25 million deal that includes $24 million fully guaranteed, per source. https://t.co/5jnqpT0qYx'",en,
1680610584838930432,2023-07-16T16:09:22.000Z,"b'Franchise TE Evan Engram and the Jaguars reached agreement on a three-year contract prior to Monday\xe2\x80\x99s 4 pm ET deadline for a long-term deal, per his agent @MikeMcCartney7.'",en,
1680010510048153601,2023-07-15T00:24:53.000Z,"b'Ahead of training camp, the Bengals and RB Joe Mixon reached agreement to rework the $9.4 million non-guaranteed base salary he was scheduled to make this season to ensure his return to Cincinnati.\n\nhttps://t.co/lzsunehEqA'",en,
1680003512011309057,2023-07-14T23:57:04.000Z,"b'Bengals\xe2\x80\x99 RB Joe Mixon, who had  $9.4 million non-guaranteed base salary, agreed tonight to restructure his contract to remain in Cincinnati. \xe2\x80\x9cJoe\xe2\x80\x99s goal is to win a Super Bowl and play his career in Cincinnati and this is the best way to accomplish these goals,\xe2\x80\x9d said his agent\xe2\x80\xa6 https://t.co/uv6lG9HTL8 https://t.co/AbMNhDteDL'",en,
1679992495936098305,2023-07-14T23:13:18.000Z,b'RT @JimNagy_SB: Can\xe2\x80\x99t recall when one program produced seven OL prospects in same class who got an opportunity\xe2\x80\x94drafted or UDFA\xe2\x80\x94to play in N\xe2\x80\xa6',en,
1679971471194750976,2023-07-14T21:49:45.000Z,"b'There\xe2\x80\x99s another \xe2\x80\x9cQuarterback\xe2\x80\x9d Netflix show: It involves the newest episode of \xe2\x80\x9cFlight Plan: Load1ng\xe2\x80\x9d,  where @AZCardinals QB Kyler Murray goes into detail about his season-ending injury and his plans for the future.\n\nWatch here: https://t.co/nf85LivdW9 https://t.co/iTLP1sp0Jn'",en,
1679858572744687617,2023-07-14T14:21:08.000Z,b'A strong start for the NFL\xe2\x80\x99s first project with Netflix and the latest venture for Peyton Manning\xe2\x80\x99s Omaha Productions: \xe2\x80\x9cQuarterback\xe2\x80\x9d is now the No. 1 show on Netflix. https://t.co/iJpEeNiInA',en,
1679787959392845826,2023-07-14T09:40:33.000Z,"b'Former NFL standout QB Philip Rivers announced that he and his wife Tiffany, his high school sweetheart, are expecting their  10th child.\n\nVia \xe2\x81\xa6@aldotcomSports\xe2\x81\xa9 https://t.co/FNmPJjANbD'",en,
1679624856797626368,2023-07-13T22:52:26.000Z,b'RT @MarcJSpears: Orlando #Magic rookie Jett Howard follows in his father Juwan Howard\xe2\x80\x99s #NBA footsteps. Son of the #Michigan legend and two\xe2\x80\xa6',en,
1679619935528443906,2023-07-13T22:32:53.000Z,b'RT @nyjets: A big day for @QuinnenWilliams and a big day for our organization.',en,
1679595299537297409,2023-07-13T20:54:59.000Z,"b'Just arrived in the mail.\nThank you, \xe2\x81\xa6@SharpFootball\xe2\x81\xa9. https://t.co/6c7X6JKa3I'",en,
1679558111105785858,2023-07-13T18:27:13.000Z,b'@RealTannenbaum Takes one to know one.',en,
1679553440664395780,2023-07-13T18:08:39.000Z,"b'More about the Jets and their standout DT Quinnen Williams reaching agreement on a four-year $96 million deal, via @RichCimini:\n\nhttps://t.co/B8bxgNDIGL'",en,
1679547876962082820,2023-07-13T17:46:33.000Z,"b'The Jets re-signed Quincy Williams earlier this offseason to a 3-year, $18M contract and they now reward his brother, Quinnen, with a four-year, $96 million extension. Two brothers get paid in the same offseason and get to continue to play together on the same defense.'",en,
1679547736331264000,2023-07-13T17:45:59.000Z,"b'Quinnen Williams now is the first Jets\xe2\x80\x99 player selected in round one to sign a second contract with the organization since Muhammad Wilkerson, whom they picked in 2011.\n\nNo Jets players selected in the first round from 2012-2018 had signed second contracts with the team.'",en,
1679547527035584512,2023-07-13T17:45:09.000Z,"b'Quinnen Williams becomes the latest DT to sign a mega contract this offseason:\xc2\xa0\n\n\xf0\x9f\x8f\x89\xc2\xa0Quinnen Williams: 4-years, $96 million.\n\xf0\x9f\x8f\x89\xc2\xa0Jeffery Simmons: 4-years, $94M\n\xf0\x9f\x8f\x89\xc2\xa0Daron Payne: 4-years, $90M\n\xf0\x9f\x8f\x89\xc2\xa0Dexter Lawrence: 4-years, $90M\n\xf0\x9f\x8f\x89\xc2\xa0Javon Hargrave: 4-years, $84M\n\xf0\x9f\x8f\x89\xc2\xa0Ed Oliver: 4-years,\xe2\x80\xa6 https://t.co/iNipyDMuLN'",en,
1679546621485260813,2023-07-13T17:41:33.000Z,"b'Jets and Quinnen Williams agreed to a four-year, $96 million deal that includes $66 million guaranteed, per sources. https://t.co/JbY6qpky7N https://t.co/zQOClPLBOD'",en,
1679519148454363138,2023-07-13T15:52:23.000Z,b'RT @jordonr: People on the internet have harassed him for 7 months. He\xe2\x80\x99s done nothing but give thanks and give back.\n\nHe had the most traum\xe2\x80\xa6',en,
1679297870762065921,2023-07-13T01:13:06.000Z,"b""Damar Hamlin presenting the Pat Tillman Award for Service to the Bills' training staff at the @ESPYS is pretty awesome. https://t.co/Lbt5B6yTYF""",en,
1679280058358288384,2023-07-13T00:02:20.000Z,b'Developing story: https://t.co/UyOJmBzLYJ',en,
1679233929784508416,2023-07-12T20:59:02.000Z,b'RT @espn: Nothing was stopping Jimmy V from delivering that speech \xf0\x9f\x8e\xa5 \n\nJoin us and @TheVFoundation in the fight against cancer. https://t.c\xe2\x80\xa6',en,
1679196814958788613,2023-07-12T18:31:33.000Z,"b""RT @espn: Happy @ESPYS Day \xe2\x9c\xa8\n\nTonight, @KingJames will accept a special honor as the @NBA's all-time leading scorer \xf0\x9f\x91\x91 https://t.co/o6XBl9lc\xe2\x80\xa6""",en,
1679192000518664193,2023-07-12T18:12:25.000Z,"b'RT @Broncos: Congratulations to Mike Shanahan, Dan Reeves, Randy Gradishar and Alex Gibbs on being named semifinalists for the @ProFootball\xe2\x80\xa6'",en,
1679180133662441479,2023-07-12T17:25:16.000Z,b'Pro Football Hall of Fame announced 60 semifinalists for the Class of 2024 in the Seniors and Coach/Contributor categories:\n\nhttps://t.co/tFQsqdjKEl',en,
