twitter_id,date,tweet,lang,data
1676766929497866240,2023-07-06T01:36:03.000Z,b'Follow me on Threads https://t.co/YlRGCMn9tE',en,
1675595339976306689,2023-07-02T20:00:34.000Z,"b'RT @UMusicMexico: El deporte es pasi\xc3\xb3n \xe2\x9a\xbd y m\xc3\xbasica \xe2\x9d\xa4 y nada mejor para celebrarlo que con  ""No Es S\xc3\xb3lo Un Juego"", el tema oficial de la @Gol\xe2\x80\xa6'",es,
1675144961845604353,2023-07-01T14:10:56.000Z,b'Belly Bananza https://t.co/eKhvut5dRK',it,
1674831926698426392,2023-06-30T17:27:02.000Z,b'\xf0\x9f\x92\xaf https://t.co/oolB4RyjaR',qme,
1674831447545331743,2023-06-30T17:25:08.000Z,b'Locked up https://t.co/102y96hRlw',en,
1673415299406655501,2023-06-26T19:37:52.000Z,b'RT @PhillipMacloud: You gat to love @Akon https://t.co/2PlDTsy0ee',en,
1673415220167864329,2023-06-26T19:37:33.000Z,"b""RT @Industrymee: @Akon Unveils Visuals For His New Music Video 'Slow Motion'\n\nhttps://t.co/UQFvSDWkKV""",en,
1672020312840458241,2023-06-22T23:14:41.000Z,"b'RT @Vevo: .@Akon brings the heat in ""Slow Motion."" Watch the video, filmed in South Africa, off his \'TT FREAK\' EP.\n\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n\xe2\x96\xb6\xef\xb8\x8f https://t.c\xe2\x80\xa6'",en,
1671862944076890112,2023-06-22T12:49:22.000Z,"b""RT @stereoboard: .@Akon has shared a video for 'TT Freak' single Slow Motion https://t.co/T5BwpFJiNB https://t.co/FTcndWszCk""",en,
1671836002669805568,2023-06-22T11:02:18.000Z,b'Official video for \xe2\x80\x9cSlow Motion\xe2\x80\x9d is live!! \nhttps://t.co/QjvM94g6JN https://t.co/xapQ0bvaAC',en,
1670824636295049218,2023-06-19T16:03:30.000Z,"b'RT @Vevo: Check out our ""Honoring Juneteenth"" playlist featuring tracks from @JonBatiste, @Akon, @KillerMike and more artists in celebratio\xe2\x80\xa6'",en,
1665042633939402752,2023-06-03T17:07:53.000Z,"b""RT @SIRIUSXM: We hear you @Akon! \xf0\x9f\x92\x90 Celebrate Black culture's impact with \xf0\x9f\x92\xb0... AND flowers! Learn more about the power of Black music at: ht\xe2\x80\xa6""",en,
1662130724391075863,2023-05-26T16:17:00.000Z,b'https://t.co/0QS3wa47GY https://t.co/wG9ogdMzVo',zxx,
1641937054375325697,2023-03-31T22:54:34.000Z,b'RT @nektunez: Out now',en,
1641880481053458432,2023-03-31T19:09:46.000Z,b'#newvideo @akon @nektunez #EnjoyThat Remix \n#konvictkulture #akon #nektunez #youtube #newmusic #afrobeat https://t.co/pwmPJ9Cori https://t.co/OJe2MqtFgZ',en,
1628483956768223232,2023-02-22T19:56:45.000Z,"b""RT @qatarairways: Can\xe2\x80\x99t stop myself from lookin' and noticin\xe2\x80\x99 you, noticing me! \xf0\x9f\x8e\xa4\n\nShout out to @Akon for stopping by and helping us celebr\xe2\x80\xa6""",en,
