twitter_id,date,tweet,lang,data
1680290440657121281,2023-07-15T18:57:13.000Z,b'@badformyheart Sab posted one in her dump!',en,
1680278692902375424,2023-07-15T18:10:33.000Z,b'@Janessa_Mariee @nichoolie HBD @nichoolie',und,
1680274286416916482,2023-07-15T17:53:02.000Z,b'\xe2\x9c\x88\xef\xb8\x8f \xe1\xa8\x92 \xf0\x9f\x87\xaf\xf0\x9f\x87\xb5 \xe1\xa8\x92 \xf0\x9f\x93\xb8 \xe1\xa8\x92 \xf0\x9f\x92\x8c\n \xe2\x97\xa1\xcc\x88',und,
1680230399945986048,2023-07-15T14:58:39.000Z,b'@Spotify @VictoriaMonet a time indeed \xf0\x9f\xa5\xb9\xf0\x9f\x93\xb8!',en,
1679386742938320896,2023-07-13T07:06:15.000Z,b'\xf0\x9f\x90\x9d https://t.co/ztGY4qrPpD',qme,
1679228557858357249,2023-07-12T20:37:41.000Z,b'\xf0\x9f\x93\x8d Philly \xf0\x9f\xaa\xa9',en,
1679124421791956994,2023-07-12T13:43:53.000Z,b'@ThatDudeMCFLY https://t.co/v5egCguMmB',qme,
1678630154547937280,2023-07-11T04:59:50.000Z,b'@floresdate \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd https://t.co/g2RPkzWEKz',qme,
1678446330224549913,2023-07-10T16:49:23.000Z,b'@MilladNoorbs 100%',und,
1678444585415057409,2023-07-10T16:42:27.000Z,b'@Janessa_Mariee \xf0\x9f\x98\x82\xf0\x9f\x98\x82',qme,
1678426566978674691,2023-07-10T15:30:51.000Z,b'@heart_rauhl https://t.co/hdGypUpXiv',qme,
1678426345951436800,2023-07-10T15:29:59.000Z,b'@ntltcanna sammmmmy gotta gooooooo',en,
1678421864421498880,2023-07-10T15:12:10.000Z,"b'Ella really choosing to stay with Ty? \xf0\x9f\x98\xb4 Molly really coming back and us not seeing Zach act absolutely mental during casa? \xf0\x9f\x99\x84 Scott giving Leah that 1,2 punch during movie night \xf0\x9f\x98\xb1 us only seeing 6 or so clips? \xf0\x9f\x98\xa0 my head is all over the place #LoveIsland'",en,
1678135726829912065,2023-07-09T20:15:10.000Z,b'\xf0\x9f\x93\xb8 @SabrinaAnnLynn https://t.co/ivnV03VTps',qme,
1677397683076472836,2023-07-07T19:22:26.000Z,b'\xf0\x9f\x98\xad wubbzy https://t.co/9ApwWPfmpH',en,
1677135505853493249,2023-07-07T02:00:38.000Z,b'@MANUELCAV No lies detected',en,
1676065059125055489,2023-07-04T03:07:04.000Z,b'@arisintuition HAPPY BIRTHDAY!!!!!',en,
1676063345328136192,2023-07-04T03:00:15.000Z,b'@floresdate @FredoWife Awwww',und,
1675867667956211713,2023-07-03T14:02:42.000Z,b'v proud of this one \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd https://t.co/C0lghf2rOP',en,
1675845097647222784,2023-07-03T12:33:01.000Z,"b'last european show of the emails I can\xe2\x80\x99t send tour, wild \xf0\x9f\x92\x8c I just got here lol'",en,
1674462432800931840,2023-06-29T16:58:48.000Z,b'@MachineGunKehl \xf0\x9f\xa5\xba\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd',qme,
1673832289757691908,2023-06-27T23:14:50.000Z,b'@LaurenJauregui \xf0\x9f\xa5\xba\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd',qme,
1673739250783731712,2023-06-27T17:05:08.000Z,b'https://t.co/noHcO0w5ED https://t.co/XtQkzv4Cf5',zxx,
1673644507458424833,2023-06-27T10:48:40.000Z,b'running around europe with sabrina \xf0\x9f\x92\x8c\xf0\x9f\x93\xb9 https://t.co/cZ69XjciCF',en,
1673329904446734338,2023-06-26T13:58:32.000Z,b'\xf0\x9f\xa5\xb9 june babies \xf0\x9f\x8e\x82 https://t.co/78OOX6ybzA',en,
1673329164311461888,2023-06-26T13:55:36.000Z,b'she\xe2\x80\x99s just\xe2\x80\xa6. \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/6EOWZRdgWy',en,
1673328959864406023,2023-06-26T13:54:47.000Z,b'30 \xf0\x9f\xa5\xba happy birthday to this gem. we\xe2\x80\x99ve had a time \xf0\x9f\x93\xb8  love you Ari! https://t.co/5PJDsfBza5',en,
1672763473212715009,2023-06-25T00:27:45.000Z,b'@jonasbieber16 I felt this.',en,
1672627361919975426,2023-06-24T15:26:53.000Z,b'@floresupdates HAPPY BIRTHDAY!!!!! I appreciate and love you so very much! \xf0\x9f\xa5\xba\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd',en,
1672431345627275264,2023-06-24T02:27:59.000Z,b'If y\xe2\x80\x99all could go back and relive one day in your life. What would that be? Be specific.',en,
1672422633319849986,2023-06-24T01:53:22.000Z,b'sure do. \xf0\x9f\x91\xb4\xf0\x9f\x8f\xbd https://t.co/XSQk55LTkp',en,
1672411174867210240,2023-06-24T01:07:50.000Z,b'@TamarBraxtonHer @mrLdavis you know @mrLdavis celebrating alll cancer szn \xf0\x9f\x98\xad',en,
1670857112660869153,2023-06-19T18:12:33.000Z,b'@AnnHegeBieber \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd',qme,
1670376354104082432,2023-06-18T10:22:11.000Z,b'@pasabist HAPPPYYY BIRTHDAYYYYY \xf0\x9f\xa7\x9a\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',en,
1670076959064313856,2023-06-17T14:32:30.000Z,b'@lolitsCloide \xf0\x9f\xa5\xba\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd',qme,
1670072583797067777,2023-06-17T14:15:07.000Z,b'@514Shay ty!',und,
1670064929569746945,2023-06-17T13:44:42.000Z,b'@floresdate \xf0\x9f\x92\x9b\xf0\x9f\x92\x9b',qme,
1670064806244515841,2023-06-17T13:44:12.000Z,b'\xe2\x80\xbc\xef\xb8\x8f TY https://t.co/5e9kXHvRHf https://t.co/U7c2cRDAFB',qst,
1670064676896399364,2023-06-17T13:43:41.000Z,b'@Janessa_Mariee Aww thank u!',en,
1670064587515785216,2023-06-17T13:43:20.000Z,b'@disposablekiana \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd thank you!',en,
1670064524618072068,2023-06-17T13:43:05.000Z,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/zk3xkqnBCe',art,
1670064447740690432,2023-06-17T13:42:47.000Z,b'@natoshiao TY!',und,
1670064413913620480,2023-06-17T13:42:39.000Z,b'\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd thank y\xe2\x80\x99all! https://t.co/TjOsANngCo',en,
1669345209166229505,2023-06-15T14:04:47.000Z,b'so real https://t.co/aZWtgF2tkP',en,
1669344861265481728,2023-06-15T14:03:24.000Z,b'cup o\xe2\x80\x99 coffee in Manchester and this cute ass straw \xf0\x9f\x90\x9d\xf0\x9f\x92\x9b https://t.co/VrGvEZ8E00',en,
1669344045423009794,2023-06-15T14:00:09.000Z,b'@PerksOfBeingEwa @Janessa_Mariee sorrrryyyy',en,
1669343849741955079,2023-06-15T13:59:23.000Z,"b'RT @TheCJPerry: For everyone who battles depression, suicidal thoughts, anxiety &amp; self harm. Please don\xe2\x80\x99t give up. Call anyone &amp; everyone f\xe2\x80\xa6'",en,
1669339163932479488,2023-06-15T13:40:46.000Z,b'@Janessa_Mariee Not this being me\xe2\x80\xa6.. https://t.co/rFvYI4Dqxe',en,
1668349160897011722,2023-06-12T20:06:51.000Z,b'@FrankieJGrande @joangrande @FlaPanthers @courtneychipol1 Awww court !',en,
1665109798411554816,2023-06-03T21:34:46.000Z,b'RT @torikelly: \xf0\x9f\x93\xb8: @AlfredoFlores https://t.co/1btAYcuAPS',und,
1664299462918045702,2023-06-01T15:54:47.000Z,b'June 1st! https://t.co/hqV0DRfJ9g',en,
