twitter_id,date,tweet,lang,data
1673546967908253696,2023-06-27T04:21:04.000Z,b'DElight party\xf0\x9f\x92\x99 https://t.co/uTadt3DpXF',en,
1669271884498874369,2023-06-15T09:13:25.000Z,b'RT @SJ_DnE_official: [#DElivery] D&amp;E \xea\xb3\xb5\xec\x8b\x9d \xec\x9c\xa0\xed\x8a\x9c\xeb\xb8\x8c \xec\xb1\x84\xeb\x84\x90\xec\x9d\xb4 \xea\xb0\x9c\xec\x84\xa4\xeb\x90\x98\xec\x97\x88\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4 \xf0\x9f\x92\x99\n\xf0\x9f\x94\xa5\xeb\xa7\x8e\xec\x9d\x80 \xea\xb4\x80\xec\x8b\xac \xeb\xb6\x80\xed\x83\x81\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x94\xa5\n\n\xf0\x9f\x93\x8d https://t.co/EpCHwAxhcc\n\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4DnE #SuperJuniorDnE\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 #SUPE\xe2\x80\xa6',ko,
1669182955196133376,2023-06-15T03:20:03.000Z,b'https://t.co/p8CZEMOLHR',zxx,
1664503879323774977,2023-06-02T05:27:04.000Z,b'RT @SJ_DnE_official: D&amp;E WORLD TOUR FANCON - [DElight Party]\n\nMAIN POSTER RELEASE!\n\n\xf0\x9f\x97\x93 2023.06.24 (SAT)~ 2023.06.25 (SUN)\n\xf0\x9f\x93\x8d \xec\x84\x9c\xec\x9a\xb8 \xec\x98\xac\xeb\xa6\xbc\xed\x94\xbd\xed\x99\x80 (Olympic\xe2\x80\xa6',en,
1664503564193116160,2023-06-02T05:25:49.000Z,b'https://t.co/4225EwyTbl',zxx,
1660300231345594371,2023-05-21T15:03:16.000Z,b'RT @withfansyizhiyu: \xe3\x80\x90#\xe4\xb8\x80\xe7\x9b\xb4\xe5\xa8\xb1 \xe7\x8b\xac\xe5\xae\xb6\xe5\x90\x88\xe4\xbd\x9c\xe3\x80\x91\n#SUPERJUNIOR #\xe6\x9d\x8e\xe8\xb5\xab\xe5\xae\xb0 #\xe9\x93\xb6\xe8\xb5\xab #EUNHYUK \n\xe9\x93\xb6\xe8\xb5\xab\xe5\x86\x99\xe7\x9c\x9f\xe3\x80\x8aEunHyuk\xe2\x80\x99s Moments\xe3\x80\x8b\xe6\x8b\x8d\xe6\x91\x84\xe8\x8a\xb1\xe7\xb5\xae\xe6\x8e\x89\xe8\x90\xbd\xef\xbc\x8c\xe4\xb8\x80\xe8\xb5\xb7\xe6\x8d\x95\xe6\x8d\x89\xe9\x93\xb6\xe8\xb5\xab\xe7\x9a\x84\xe6\xaf\x8f\xe4\xb8\x80\xe5\xb8\xa7\xe5\xbf\x83\xe5\x8a\xa8\xe7\x94\xbb\xe9\x9d\xa2\xe5\x90\xa7\xef\xbc\x81 https://t.co/YnprGxd9Yt',zh,
1657994087642058754,2023-05-15T06:19:29.000Z,b'RT @SJ_DnE_official: [#\xeb\x8f\x99\xed\x95\xb4 #\xec\x9d\x80\xed\x98\x81] D&amp;E WORLD TOUR FANCON - [DElight PARTY]\n\n\xf0\x9f\x93\x8d6/24-25 SEOUL\n\xf0\x9f\x93\x8d7/29 TAIPEI\n\xf0\x9f\x93\x8d8/19 BANGKOK\n\xf0\x9f\x93\x8d8/26 JAKARTA\n\xf0\x9f\x93\x8d9/2 HO CHI\xe2\x80\xa6',in,
1657767026612666377,2023-05-14T15:17:13.000Z,"b""RT @SJ_DnE_official: \xf0\x9f\x92\x99SUPERJUNIOR D&amp;E's Official Twitter Open\xf0\x9f\x92\x99\n\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4DnE #SuperJuniorDnE\n#\xec\x8a\x88\xed\x8d\xbc\xec\xa3\xbc\xeb\x8b\x88\xec\x96\xb4 #SUPERJUNIOR @SJofficial\n#\xeb\x8f\x99\xed\x95\xb4 #DONGHAE @don\xe2\x80\xa6""",nl,
1655222438798708736,2023-05-07T14:45:56.000Z,b'\xf0\x9f\x8c\xb1 https://t.co/q59yzdadcM',qme,
1640577602531512321,2023-03-28T04:52:35.000Z,"b'\xe2\x80\x99\xec\xa3\xbc\xea\xb0\x84 \xec\x95\x84\xec\x9d\xb4\xeb\x8f\x8c\xe2\x80\x98\xec\x9d\x84 \xed\x86\xb5\xed\x95\xb4\xec\x84\x9c \xec\xa2\x8b\xec\x9d\x80 \xec\x82\xac\xeb\x9e\x8c\xeb\x93\xa4\xec\x9d\x84 \xeb\xa7\x8c\xeb\x82\x98\xeb\xa9\xb0 \xec\xa0\x80\xec\x97\x90\xea\xb2\x8c \xed\x95\x84\xec\x9a\x94\xed\x96\x88\xeb\x8d\x98 \xec\x97\xac\xeb\x9f\xac\xea\xb0\x80\xec\xa7\x80 \xea\xb0\x92\xec\xa7\x84 \xea\xb2\xbd\xed\x97\x98\xeb\x93\xa4\xec\x9d\x84 \xed\x96\x88\xea\xb3\xa0, \xec\xa0\x95\xeb\xa7\x90 \xec\xa6\x90\xea\xb1\xb0\xec\x9b\xa0\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4! \xed\x8c\x8c\xed\x8a\xb8\xeb\x84\x88\xec\x98\x80\xeb\x8d\x98 \xea\xb4\x91\xed\x9d\xac\xeb\xa5\xbc \xeb\xb9\x84\xeb\xa1\xaf\xed\x95\xb4\xec\x84\x9c \xec\xa0\x9c\xec\x9e\x91\xec\xa7\x84 \xeb\xb6\x84\xeb\x93\xa4\xea\xb3\xbc \xec\x8b\x9c\xec\xb2\xad\xec\x9e\x90 \xeb\xb6\x84\xeb\x93\xa4, \xed\x8c\xac \xeb\xb6\x84\xeb\x93\xa4, \xea\xb7\xb8\xeb\xa6\xac\xea\xb3\xa0 \xec\xb6\x9c\xec\x97\xb0\xed\x95\xb4 \xec\xa3\xbc\xec\x85\xa8\xeb\x8d\x98 \xeb\xaa\xa8\xeb\x93\xa0 \xec\x95\x84\xec\x9d\xb4\xeb\x8f\x8c \xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8 \xeb\xb6\x84\xeb\x93\xa4\xea\xbb\x98 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xea\xb0\x90\xec\x82\xac \xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x99\x87\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/Sr5edHkctI'",ko,
1640575078751703040,2023-03-28T04:42:33.000Z,b'\xea\xb3\xa0\xeb\xa7\x88\xec\x9b\x8c\xec\x9a\x94\xf0\x9f\x92\x99 \xec\x96\xb4\xec\xa0\x9c \xec\x9e\x98 \xeb\xa8\xb9\xec\x97\x88\xec\x96\xb4\xec\x9a\x94! \xec\x8a\xa4\xed\x83\xad\xeb\xb6\x84\xeb\x93\xa4\xec\x9d\xb4 \xeb\xaa\xa8\xeb\x91\x90 \xec\xa0\x80\xec\x97\x90\xea\xb2\x8c \xec\x9e\x98 \xeb\xa8\xb9\xec\x97\x88\xeb\x8b\xa4\xea\xb3\xa0 \xea\xb3\xa0\xeb\xa7\x99\xeb\x8b\xa4\xea\xb3\xa0 \xed\x97\x88\xec\x85\x94\xec\x84\x9c \xec\x95\x84\xec\xa3\xbc \xeb\xbf\x8c\xeb\x93\xaf\xed\x96\x88\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4!!\xf0\x9f\x98\x8c https://t.co/QVkrI9qHkg',ko,
1638815134054498305,2023-03-23T08:09:10.000Z,b'\xe6\xb2\xb9\xe3\x81\x9d\xe3\x81\xb0\xf0\x9f\x94\xa5\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbb\xf0\x9f\x98\x8b https://t.co/rixHMbIQ3w',ja,
1638424614312505344,2023-03-22T06:17:23.000Z,b'\xe3\x81\x82\xe3\x82\x8a\xe3\x81\x8c\xe3\x81\xa8\xe3\x81\x86\xe3\x81\x94\xe3\x81\x96\xe3\x81\x84\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x82\xe3\x83\x95\xe3\x82\xb8\xe3\x83\x86\xe3\x83\xac\xe3\x83\x93\xf0\x9f\x93\xba https://t.co/wFB3NX5mZC',ja,
1638415038770995202,2023-03-22T05:39:20.000Z,b'\xe5\x85\xa8\xe5\x9b\xbd\xe5\x88\xb6\xe8\xa6\x87\xe3\x81\x8c\xe7\xa7\x81\xe3\x81\xae\xe5\xa4\xa2\xe3\x81\xa7\xe3\x81\x99\xf0\x9f\x8f\x80 https://t.co/vkGozH018s',ja,
