twitter_id,date,tweet,lang,data
1679450429178933249,2023-07-13T11:19:19.000Z,b'\xd9\x85\xd8\xa4\xd8\xb3\xd8\xb3\xd8\xa9 @alwaleed_philan \xd8\xaa\xd8\xb3\xd8\xb9\xd9\x89 \xd8\xaf\xd8\xa7\xd8\xa6\xd9\x85\xd8\xa7\xd9\x8b \xd9\x84\xd9\x85\xd8\xb4\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xb9 \xd9\x86\xd9\x88\xd8\xb9\xd9\x8a\xd8\xa9 \xd8\xaa\xd8\xae\xd8\xaf\xd9\x85 \xd8\xa7\xd9\x84\xd9\x85\xd8\xac\xd8\xaa\xd9\x85\xd8\xb9\xd8\xa7\xd8\xaa \xd9\x88\xd8\xa7\xd9\x84\xd8\xa3\xd9\x88\xd8\xb7\xd8\xa7\xd9\x86 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa5\xd9\x86\xd8\xb3\xd8\xa7\xd9\x86\xd9\x8a\xd8\xa9 \xd9\x84\xd8\xb9\xd9\x8a\xd8\xb4 \xd8\xad\xd9\x8a\xd8\xa7\xd8\xa9 \xd8\xa3\xd9\x81\xd8\xb6\xd9\x84. https://t.co/IbrH89U4TM',ar,
1679450239890014208,2023-07-13T11:18:34.000Z,"b'The @alwaleed_philan aspires to have quality projects to serve communities, countries and humanity to live a better life. https://t.co/G0oEc8wHu3'",en,
1662549128407048194,2023-05-27T19:59:35.000Z,b'\xd9\x86\xd8\xa8\xd9\x80\xd8\xa7\xd8\xb1\xd9\x83 \xd9\x84\xd9\x86\xd8\xa7\xd8\xaf\xd9\x8a #\xd8\xa7\xd9\x84\xd8\xa7\xd8\xaa\xd8\xad\xd8\xa7\xd8\xaf @ittihad \xd8\xaa\xd8\xad\xd9\x82\xd9\x8a\xd9\x82\xf0\x9f\x8f\x86#\xd8\xaf\xd9\x88\xd8\xb1\xd9\x8a_\xd8\xb1\xd9\x88\xd8\xb4\xd9\x86_\xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a \xd9\x84\xd9\x85\xd9\x88\xd8\xb3\xd9\x85 \xd9\xa2\xd9\xa0\xd9\xa2\xd9\xa2-\xd9\xa2\xd9\xa0\xd9\xa2\xd9\xa3\n\n\xd9\x88\xd8\xa3\xd8\xb9\xd9\x80\xd9\x84\xd9\x86 \xd8\xb9\xd9\x86 \xd9\x85\xd9\x83\xd9\x80\xd8\xa7\xd9\x81\xd8\xa3\xd8\xa9 \xd8\xab\xd9\x80\xd9\x84\xd8\xa7\xd8\xab\xd8\xa9 \xd9\x85\xd9\x84\xd9\x8a\xd9\x80\xd9\x88\xd9\x86 \xd8\xb1\xd9\x8a\xd8\xa7\xd9\x84 \xd9\x84\xd9\x84\xd9\x86\xd8\xa7\xd8\xaf\xd9\x8a',ar,
1658908377269903369,2023-05-17T18:52:32.000Z,b'My friend &amp; partner @elonmusk \xf0\x9f\xa4\x9d\xf0\x9f\x8f\xbb https://t.co/NhlNLhG1fP',en,
1657132880030572545,2023-05-12T21:17:21.000Z,"b'\xd8\xa5\xd9\x86\xd8\xac\xd8\xa7\xd8\xb2\xd8\xa7\xd8\xaa #\xd8\xa7\xd9\x84\xd9\x80\xd9\x87\xd9\x80\xd9\x84\xd8\xa7\xd9\x84 ""\xd9\x82\xd9\x80\xd9\x80\xd8\xa8\xd9\x84"" \xd9\x85\xd8\xa8\xd8\xa7\xd8\xb1\xd8\xa7\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x8a\xd9\x80\xd9\x88\xd9\x85:\n""\xd9\xa1\xd9\xa0"" \xd8\xa8\xd8\xb7\xd9\x88\xd9\x84\xd8\xa7\xd8\xaa \xd8\xaa\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xae\xd9\x8a\xd8\xa9 \xd9\x88\xd8\xa7\xd9\x84\xd9\x85\xd8\xb3\xd9\x8a\xd8\xb1\xd8\xa9 \xd9\x85\xd8\xb3\xd8\xaa\xd9\x85\xd8\xb1\xd8\xa9\n\n\xd9\x88\xd8\xb5\xd9\x8a\xd9\x81 \xd8\xa8\xd8\xb7\xd9\x80\xd9\x84 \xd9\x83\xd8\xa3\xd8\xb3 \xd8\xa7\xd9\x84\xd9\x80\xd8\xb9\xd9\x80\xd9\x80\xd8\xa7\xd9\x84\xd9\x80\xd9\x80\xd9\x85 \xd9\x84\xd9\x84\xd8\xa3\xd9\x86\xd9\x80\xd8\xaf\xd9\x8a\xd9\x80\xd8\xa9\xf0\x9f\xa5\x88\n\xd9\x83\xd8\xa3\xd8\xb3 \xd8\xae\xd9\x80\xd9\x80\xd9\x80\xd8\xa7\xd8\xaf\xd9\x85 \xd8\xa7\xd9\x84\xd8\xad\xd9\x80\xd8\xb1\xd9\x85\xd9\x80\xd9\x80\xd9\x8a\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb4\xd9\x80\xd8\xb1\xd9\x8a\xd9\x80\xd9\x81\xd9\x80\xd9\x8a\xd9\x80\xd9\x86\xf0\x9f\x8f\x86\n\xd9\x83\xd8\xa3\xd8\xb3 \xd8\xa8\xd9\x80\xd8\xb7\xd9\x80\xd9\x80\xd9\x88\xd9\x84\xd9\x80\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x80\xd9\x80\xd9\x88\xd8\xa8\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x80\xd8\xb9\xd9\x80\xd9\x80\xd9\x88\xd8\xaf\xd9\x8a\xf0\x9f\x8f\x86\n\xd8\xb1\xd8\xa7\xd8\xa8\xd9\x80\xd8\xb9 \xd8\xa8\xd8\xb7\xd9\x88\xd9\x84\xd8\xa9 \xd9\x83\xd8\xa3\xd8\xb3 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x80\xd9\x80\xd8\xa7\xd9\x84\xd9\x80\xd9\x85 \xd9\x84\xd9\x84\xd8\xa3\xd9\x86\xd9\x80\xd8\xaf\xd9\x8a\xd8\xa9\xf0\x9f\x8f\x85\xf0\x9f\x8f\x85\n\xd9\x83\xd8\xa3\xd8\xb3 \xd8\xaf\xd9\x88\xd8\xb1\xd9\x8a \xd8\xa3\xd8\xa8\xd9\x80\xd9\x80\xd8\xb7\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd8\xa7\xd9\x84 \xd8\xa2\xd8\xb3\xd9\x80\xd9\x8a\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd8\xa7\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\n\xd9\x83\xd8\xa3\xd8\xb3\xe2\x80\xa6 https://t.co/kNcguIi4ql'",ar,
1654851870861541376,2023-05-06T14:13:26.000Z,b'Congratulations King Charles III &amp; Queen Camilla on their #Coronation https://t.co/sKXX7WwE6y',en,
1643755048760123392,2023-04-05T23:18:37.000Z,b'\xd9\x88\xd8\xb7\xd9\x86 \xd8\xb9\xd8\xb8\xd9\x8a\xd9\x85\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6\n\xd9\x82\xd9\x8a\xd8\xa7\xd8\xaf\xd8\xa9 \xd8\xb9\xd8\xb8\xd9\x8a\xd9\x85\xd8\xa9\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6\n\xd9\x85\xd9\x88\xd8\xa7\xd8\xb7\xd9\x86 \xd8\xb9\xd8\xb8\xd9\x8a\xd9\x85\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6 https://t.co/IElX2JRvof',ar,
1639655036895600641,2023-03-25T15:46:38.000Z,b'\xd9\x85\xd8\xb3\xd8\xaa\xd9\x85\xd8\xb1\xd9\x8a\xd9\x86 \xd8\xa8\xd9\x85\xd8\xb3\xd8\xa7\xd9\x86\xd8\xaf\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x85\xd9\x88\xd8\xa7\xd8\xb7\xd9\x86\xd9\x8a\xd9\x86 \xf0\x9f\x8f\xa0\xf0\x9f\x9a\x98\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6 \xd9\x85\xd8\xb9:\n@SakanOrg\n@joodeskan\n@Saudimomrah https://t.co/0xqNVtwqai',ar,
1638549890916667398,2023-03-22T14:35:11.000Z,b'\xd9\x82\xd8\xa7\xd9\x84 \xd8\xaa\xd8\xb9\xd8\xa7\xd9\x84\xd9\x89:\n\n{\xd9\x87\xd9\x8e\xd8\xb0\xd9\x8e\xd8\xa7 \xd9\x85\xd9\x90\xd9\x86 \xd9\x81\xd9\x8e\xd8\xb6\xd9\x92\xd9\x84\xd9\x90 \xd8\xb1\xd9\x8e\xd8\xa8\xd9\x90\xd9\x91\xd9\x8a}\n\n{\xd9\x84\xd9\x8e\xd8\xa6\xd9\x90\xd9\x86 \xd8\xb4\xd9\x8e\xd9\x83\xd9\x8e\xd8\xb1\xd9\x92\xd8\xaa\xd9\x8f\xd9\x85\xd9\x92 \xd9\x84\xd9\x8e\xd8\xa3\xd9\x8e\xd8\xb2\xd9\x90\xd9\x8a\xd8\xaf\xd9\x8e\xd9\x86\xd9\x8e\xd9\x91\xd9\x83\xd9\x8f\xd9\x85\xd9\x92}\n\n{\xd9\x88\xd9\x8e\xd8\xa3\xd9\x8e\xd9\x85\xd9\x8e\xd9\x91\xd8\xa7 \xd8\xa8\xd9\x90\xd9\x86\xd9\x90\xd8\xb9\xd9\x92\xd9\x85\xd9\x8e\xd8\xa9\xd9\x90 \xd8\xb1\xd9\x8e\xd8\xa8\xd9\x90\xd9\x91\xd9\x83\xd9\x8e \xd9\x81\xd9\x8e\xd8\xad\xd9\x8e\xd8\xaf\xd9\x90\xd9\x91\xd8\xab\xd9\x92} https://t.co/maQbG9H7kO',ar,
1629893071654535169,2023-02-26T17:16:04.000Z,b'\xd9\x85\xd8\xa8\xd8\xb1\xd9\x88\xd9\x83 \xd9\x84\xd9\x80\xd9\x88\xd8\xa7\xd9\x84\xd9\x80\xd8\xaf\xd9\x8a \xd8\xa7\xd9\x84\xd9\x80\xd9\x85\xd9\x80\xd9\x84\xd9\x83 @KingSalman\n\xd9\x85\xd8\xa8\xd8\xb1\xd9\x88\xd9\x83 \xd9\x84\xd8\xa3\xd8\xae\xd9\x80\xd9\x8a #\xd9\x88\xd9\x84\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xb9\xd9\x87\xd8\xaf_\xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd9\x8a\xd8\xb1_\xd9\x85\xd8\xad\xd9\x85\xd8\xaf \n \n\xd9\x85\xd8\xa8\xd8\xb1\xd9\x88\xd9\x83 \xd9\x84\xd8\xa3\xd8\xae\xd9\x80\xd9\x8a \xd8\xa7\xd9\x84\xd9\x88\xd8\xb2\xd9\x8a\xd8\xb1 @AbdulazizTF \n \n\xd9\x85\xd8\xa8\xd8\xb1\xd9\x88\xd9\x83 \xd9\x84\xd9\x88\xd8\xb5\xd9\x8a\xd9\x81 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xf0\x9f\xa5\x88 #\xd9\x83\xd8\xa8\xd9\x8a\xd8\xb1_\xd8\xa7\xd8\xb3\xd9\x8a\xd8\xa7 #\xd8\xa7\xd9\x84\xd9\x87\xd9\x84\xd8\xa7\xd9\x84  #\xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xd9\x8a \xd8\xa7\xd9\x84\xd9\x88\xd8\xb5\xd9\x88\xd9\x84 \xd9\x84\xd9\x86\xd9\x87\xd8\xa7\xd8\xa6\xd9\x8a \xd9\x83\xd8\xa3\xd8\xb3 \xd8\xa3\xd8\xa8\xd8\xb7\xd8\xa7\xd9\x84 \xd8\xa2\xd8\xb3\xd9\x8a\xd8\xa7 \xf0\x9f\x8c\x8f\n\n\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6 \xd9\x85\xd8\xa8\xd8\xb1\xd9\x88\xd9\x83 \xd9\x84\xd9\x84\xd9\x88\xd8\xb7\xd9\x86 \xd9\x88\xd9\x84\xd9\x84\xd8\xac\xd9\x85\xd9\x87\xd9\x88\xd8\xb1 \xf0\x9f\x87\xb8\xf0\x9f\x87\xa6\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6',ar,
