twitter_id,date,tweet,lang,data
1680483668949880833,2023-07-16T07:45:03.000Z,b'@ConnorMEwing @joshchafetz Done.',en,
1680483467531026432,2023-07-16T07:44:15.000Z,"b""RT @joshchafetz: So, the NYT gave me 1800 words to say what I really think about the Supreme Court ... here's a gift link: https://t.co/BbK\xe2\x80\xa6""",en,
1679958995438542849,2023-07-14T21:00:11.000Z,b'RT @Alyssa_Milano: The store has been such a success\xe2\x80\x94we\xe2\x80\x99ve expanded!\n\nCheck out all the new items here: https://t.co/npdJvtf9Jd',en,
1679922998155915264,2023-07-14T18:37:08.000Z,"b""AMPTP refuses to create a modern contract to address modern issues.\n\nFor them, it's business as usual:\n\xf0\x9f\x91\x89Income erosion\n\xf0\x9f\x91\x89AI exploitation\n\xf0\x9f\x91\x89Abusive self-tape demands\n\nFor us, it's #SAGAFTRAstrike. We are #SAGAFTRAstrong. https://t.co/I1ln8csPbx""",en,
1679507235762761729,2023-07-13T15:05:03.000Z,"b'RT @sorrynotsorry: The New Deal was an incredibly progressive series of policies-unless you were not white. In 1948, Hubert Humphrey pushed\xe2\x80\xa6'",en,
1679153000076677122,2023-07-12T15:37:27.000Z,b'Paris! This is for you!  https://t.co/qMDV6io43C',en,
1679088881981947904,2023-07-12T11:22:40.000Z,"b'RT @sorrynotsorry: In 1948, a young Hubert Humphrey pushed the Democratic Party to adopt a civil rights platform that shaped continues to s\xe2\x80\xa6'",en,
1678773588822990848,2023-07-11T14:29:48.000Z,b'RT @sorrynotsorry: Are you on Threads?  We\xe2\x80\x99re not into billionaire measuring contests but we are into cool content!  Give us a follow. http\xe2\x80\xa6',en,
1678363369043025922,2023-07-10T11:19:44.000Z,b'RT @sorrynotsorry: \xf0\x9f\x8e\x99\xef\xb8\x8fNEW EPISODE\xf0\x9f\x8e\x99\xef\xb8\x8f\n\nHubert Humphrey pushed the Democratic Party toward making civil rights part of their platform. In his n\xe2\x80\xa6',en,
1676968782533902339,2023-07-06T14:58:08.000Z,"b'Bye, Twitter. It\xe2\x80\x99s been a wild ride. \n\n#ThreadsApp'",en,
1676906687741980674,2023-07-06T10:51:24.000Z,b'RT @sorrynotsorry: This week\xe2\x80\x99s episode takes on the extremist book bans happening in schools and libraries. @PENamerica\xe2\x80\x99s Nadine Farid John\xe2\x80\xa6',en,
1676675433188958211,2023-07-05T19:32:29.000Z,b'The store has been such a success\xe2\x80\x94we\xe2\x80\x99ve expanded!\n\nCheck out all the new items here: https://t.co/npdJvtf9Jd',en,
1676234348427636736,2023-07-04T14:19:46.000Z,"b'RT @sorrynotsorry: Defending the first amendment is patriotic. This #4thofJuly, hear from the patriots with @PENamerica who are suing to st\xe2\x80\xa6'",en,
1675822881417179138,2023-07-03T11:04:44.000Z,"b'RT @sorrynotsorry: \xf0\x9f\x93\x9aNEW\xf0\x9f\x93\x9a\n\nAcross the country, extremist groups are pushing book bans in schools and libraries. @PENamerica, with parents an\xe2\x80\xa6'",en,
