twitter_id,date,tweet,lang,data
1641547507737174016,2023-03-30T21:06:38.000Z,b'\xf0\x9f\x98\xae\xf0\x9f\x98\xae\xf0\x9f\x98\xae\xf0\x9f\x98\xae\xf0\x9f\x98\xae\xf0\x9f\x98\xae\xf0\x9f\x98\xaeit\xe2\x80\x99s happening!!!!!\n@edgarwright https://t.co/ll6BQka29q https://t.co/1ssiGU3Ig2',en,
1640757369071362050,2023-03-28T16:46:55.000Z,b'@bblkendrick Obviously',en,
1640757306764976128,2023-03-28T16:46:40.000Z,b'@Santino_imagery @michaelxdavidd Oh I think it\xe2\x80\x99s the only sane thing to think.',en,
1640753795058794496,2023-03-28T16:32:43.000Z,b'@michaelxdavidd Me ten minutes ago: \xe2\x80\x9cWho is *yelling* on this freeway on a Tuesday? \xe2\x80\xa6..Is someone yelling my name?? No. Don\xe2\x80\x99t be fucking self obsessed Anna.\xe2\x80\x9d But here we are. (And honestly can we imagine me driving a tinted Tesla or something? I\xe2\x80\x99ll stay basic for life.)',en,
1620136719617249280,2023-01-30T19:07:49.000Z,b'@lgbtkendrick @_alexromanova @obbstacles did not realize I was still following (I mute a lot) thanks for bringing to my attention xx',en,
1618644085056888832,2023-01-26T16:16:37.000Z,b'The worst day of my life \xe2\x9d\xa4\xef\xb8\x8f\nCheck it out https://t.co/jjuM0ugePL https://t.co/9hNpPJXWQV',en,
1618344968904663041,2023-01-25T20:28:02.000Z,b'So\xe2\x80\xa6 I honest to God don\xe2\x80\x99t remember any of this. \n\nWATCH TOMORROW @ 11am and I guess we\xe2\x80\x99ll all find out what happened together. https://t.co/fosF9mnkYK',en,
1618278969933172736,2023-01-25T16:05:47.000Z,"b'RT @firstwefeast: &amp; now a special announcement from this week\xe2\x80\x99s guest on @hotones, @annakendrick47. \xf0\x9f\x94\xa5 https://t.co/kWdYhkkzZ2'",en,
1616511321385897984,2023-01-20T19:01:47.000Z,"b'\xe2\x9c\xa8Alice, Darling\xe2\x9c\xa8in AMC theaters TODAY https://t.co/crDDAHPLAj'",en,
1614325021597663232,2023-01-14T18:14:12.000Z,"b'Ok ok, \xe2\x80\x9ccrashed\xe2\x80\x9d is a strong term, and while it might be fair - I mean there\xe2\x80\x99s CONTEXT \n\nhttps://t.co/tRZPaEdjK9'",en,
1613658324788027419,2023-01-12T22:04:59.000Z,b'Irrationally excited about the t-shirt every time. The show is pretty great too. I\xe2\x80\x99m on @LateNightSeth tonight! Good times and soft t-shirts! https://t.co/gxEnBSIA6u',en,
1613224630885486618,2023-01-11T17:21:38.000Z,"b'As an anemic little rodent, can I just ask: are there iron supplements that don\xe2\x80\x99t taste like I\xe2\x80\x99m swallowing a dirty penny?'",en,
1610125806222839808,2023-01-03T04:08:01.000Z,b'@AliDSpenceHxx !!!!!!!!!!!!!!!',qam,
