twitter_id,date,tweet,lang,data
1680621353790238721,2023-07-16T16:52:09.000Z,b'https://t.co/KuZKzTjoVh',zxx,
1680453946413035520,2023-07-16T05:46:56.000Z,b'This tweet is dedicated to the #Baldies of the world! \xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xb2 \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xac\xe0\xa4\xb9\xe0\xa5\x81\xe0\xa4\xa4 \xe0\xa4\x97\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xb5 \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa4\x95\xe0\xa4\xbf \xe0\xa4\xb5\xe0\xa5\x8b \xe0\xa4\x85\xe0\xa4\xaa\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xa5 \xe0\xa4\xac\xe0\xa4\xb9\xe0\xa5\x81\xe0\xa4\xa4 \xe0\xa4\x95\xe0\xa5\x81\xe0\xa4\x9b \xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\xb8\xe0\xa4\x95\xe0\xa4\xa4\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88!! \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xb5\xe0\xa5\x8b \xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\xb8\xe0\xa4\x95\xe0\xa4\xa4\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88?? \xe0\xa4\xb9\xe0\xa4\xb0\xe0\xa4\x97\xe0\xa4\xbf\xe0\xa4\x9c\xe0\xa4\xbc \xe0\xa4\xa8\xe0\xa4\xb9\xe0\xa5\x80\xe0\xa4\x82!! \xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x98\x8d\xf0\x9f\x99\x8c #BaldIsBeautiful #HairTodayGoneTomorrow #FashionStatement https://t.co/Ws6dt7yzXg',hi,
1680420658977837056,2023-07-16T03:34:40.000Z,b'https://t.co/u84ERSWTYV',zxx,
1680083377138040833,2023-07-15T05:14:26.000Z,b'Happy birthday dearest #Vanshika! May God give you all the happiness in the world! I know you will miss #Papa today. But he is wishing you &amp; also singing #HappyBirthdayVanshika for you! Everybody loves you. You are more than a daughter for me. \xe0\xa4\x9c\xe0\xa5\x80\xe0\xa4\xa4\xe0\xa5\x80 \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x8b \xe0\xa4\x94\xe0\xa4\xb0 \xe0\xa4\xb9\xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\xb6\xe0\xa4\xbe \xe0\xa4\x96\xe0\xa5\x81\xe0\xa4\xb6 \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x8b! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8c\xba https://t.co/pMOm9Xl3XM',en,
1679799749220925440,2023-07-14T10:27:24.000Z,b'\xe0\xa4\x9c\xe0\xa4\xaf \xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xa6! \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #Chandrayaan3 @isro https://t.co/CkzFPmuGgm',hi,
1679703554662203392,2023-07-14T04:05:09.000Z,b'India all set for its 3rd mission on the moon. Wishing our scientists at #ISRO all the very best for the launch of #Chandrayaan3 . \xe0\xa4\x9d\xe0\xa4\x82\xe0\xa4\xa1\xe0\xa4\xbe \xe0\xa4\x8a\xe0\xa4\x81\xe0\xa4\x9a\xe0\xa4\xbe \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xbe. \xe0\xa4\x9c\xe0\xa4\xaf \xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xa6! \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 @isro \n\n#Chandrayaan3 #IndiaontheMoon #ProudIndian #WorldwatchingIndia #SurgingIndia https://t.co/AHSi8wZj2T',en,
1679529669258006528,2023-07-13T16:34:11.000Z,b'\xf0\x9f\x99\x8f\xf0\x9f\x98\xac\xf0\x9f\x99\x8f https://t.co/xaXickluFI',qme,
1679401369487257606,2023-07-13T08:04:22.000Z,b'@shekharkapur Thank you Shekhar! \xf0\x9f\x98\x8d',en,
1679345622565158912,2023-07-13T04:22:51.000Z,b'ANNOUNCEMENT: My 539th film is not based on mythology or our great epics. But certainly India\xe2\x80\x99s biggest Multi language fantasy film and you know the subject very well.\xf0\x9f\x98\xac. The makers will announce the details on 24th of August! In the meantime you can share your guesses with me!!!\xe2\x80\xa6 https://t.co/a9vzgxWCfx https://t.co/Pg7UMy0V5A',en,
1679172096835063808,2023-07-12T16:53:20.000Z,"b""The ultimate gangster is here! His eyes have scared more people than the mere sound of a blast! Presenting Dr. Shivraj Kumar's character teaser in #GHOST! #BIGDADDY comes this Dasara\n\nhttps://t.co/0A02czzioF\n\n@Nimmashivanna\n@lordmgsrinivas\n@sandeshpro""",en,
