twitter_id,date,tweet,lang,data
1664905338082951170,2023-06-03T08:02:19.000Z,b'Heartbroken by the news of the train tragedy in Odisha. Heartfelt deepest condolences \xf0\x9f\x99\x8f\xf0\x9f\x92\x94',en,
1638936692559351811,2023-03-23T16:12:12.000Z,b'We will contribute in whatever way we can. We will do it as one. As a family. For the family that we belong to. The world that we live in. The society that has provided for us and loved us. The universe with which we are all connected.\n\n@sevvafoundation #SeVVA\n#InThisTogether',en,
1638936687735873536,2023-03-23T16:12:10.000Z,"b'So, with our heads bowed in gratitude we are offering SeVVA - our joint non-profit which stands for Se (of Self), V (of Virat), V (of Vamika) A (of Anushka). As Seva is always from self of self.'",en,
1638936683763859456,2023-03-23T16:12:10.000Z,"b""As Kahlil Gibran said, \xe2\x80\x98You give but little when you give of your possessions. It is when you give of yourself that you truly give\xe2\x80\x99.\n\n\xe2\x80\x98For in truth it is life that gives unto life- while you, who deem yourself a giver, are but a witness'. https://t.co/H3hRLIpCii""",en,
1620004865023029250,2023-01-30T10:23:52.000Z,b'You are an inspiration for so many! \xf0\x9f\x92\xaa\nWelcome to the #Puma fam @ImHarmanpreet \xf0\x9f\xa4\x97\xe2\x9d\xa4\xef\xb8\x8f \nCheering for you always! https://t.co/ON4O8aUpMz',en,
1602197708793843717,2022-12-12T07:04:35.000Z,b'A full cart and a happy heart with @myntra!\nGet ready for 2023 in style!\nMyntra End Of Reason Sale is LIVE now till 16th December. \nDownload the Myntra app and get SHOPPING NOW.\n\n#MyntraEORSIsLIVE  #MyntraEndOfReasonSale #ad https://t.co/FRac1j9uwV',en,
1601197649038036992,2022-12-09T12:50:43.000Z,b'Look effortlessly gorgeous with @LavieWorld handbags!\n\nShop their stylish collection during @myntra #EndOfReasonSale! \xe2\x98\xba\xc2\xa0\n\n#LavieWorld #LavieEnRose #FickleIsFun #LavieXAnushka #Myntra #EORS #ad https://t.co/cM5A7nvoCt',en,
1587722926362857473,2022-11-02T08:26:58.000Z,b'Woah birthday boy! \xf0\x9f\xa4\xa9\nSuper stoked to see you like this!! @iamsrk \n#PathaanTeaser #SiddharthAnand @deepikapadukone @TheJohnAbraham @yrf https://t.co/6mIGSogAWm',en,
1572828336916922368,2022-09-22T06:01:11.000Z,"b'\xe2\x80\xa2 Enjoy exciting deals on International brands &amp; festive selections, celeb loved curations, craziest rewards and gifting choices from Myntra \xf0\x9f\xa5\xb0 \n\xe2\x80\xa2 First-time shoppers get upto Rs. 400 Off &amp; Free Shipping during Myntra BFF.\nDownload the Myntra app and get ready to shop! \xf0\x9f\x9b\x8d\xef\xb8\x8f'",en,
1572828332416438273,2022-09-22T06:01:10.000Z,"b'\xe2\x80\xa2 This is India\xe2\x80\x99s Biggest Fashion Dhamaka \xf0\x9f\x92\xa5 with 50% to 90% off! \n\xe2\x80\xa2 Hey, Myntra Insiders! The sale is already LIVE for you, with up to 25% Extra Off*'",en,
1572828329497198594,2022-09-22T06:01:10.000Z,"b""The festive season is everyone's favourite \xf0\x9f\x92\xab and to make festive fashion statements, there's @myntra \xf0\x9f\xa5\xb0 \nThe Myntra Big Fashion Festival goes live on 23rd September!\n\n#MyntraBIGFashionFestival #IndiasBiggestFashionDhamaka #MyntraInsider #MyntraBFFEarlyAccess #MyntraGoForIt #Ad https://t.co/RJUK68H4ew""",en,
1564217567866396672,2022-08-29T11:45:04.000Z,b'@saurabh0903 @rajneesh_chopra #MeenalAgarwal @veerakapur7 #Naren_Benedict #AntiCasting #AnkitMalik',qme,
1564217563261050881,2022-08-29T11:45:03.000Z,b'@NetflixIndia @JhulanG10 @AnushkaSharma @renukash @anshul14chauhan @maheshthakur_ @OfficialCSFilmz #KarneshSsharma @prosit_roy #AbhishekBanerjee #PratikShah #AnishJohn #NikhelGonsallves',qme,
1564217554994106371,2022-08-29T11:45:01.000Z,"b""Here's a glimpse into the Chakda 'Xpress journey with our earnest director @prositroy\xf0\x9f\x8f\x8f\n\n#ChakdaXpress #ComingSoon #ChakdaXpressOnNetflix #HarDinFilmyOnNetflix https://t.co/W4AmuseFWS""",en,
1557315709231046656,2022-08-10T10:39:33.000Z,b'\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\n#HarGharTiranga\nhttps://t.co/1BQc4WSTGB https://t.co/xRTxRuYlkj',qme,
