twitter_id,date,tweet,lang,data
1664968415398834176,2023-06-03T12:12:58.000Z,"b""RT @THR: Watch @TaikaWaititi's full keynote speech about diversity, equity and inclusion at THR's #RaisingOurVoices event, presented by @Go\xe2\x80\xa6""",en,
1656374649348063232,2023-05-10T19:04:25.000Z,"b'RT @THR: Jesse Williams, Ashley Benson Join Pedro Pascal for Latest \xe2\x80\x98Merge Mansion\xe2\x80\x99 Digital Short https://t.co/k5ngQSXsE5'",en,
1656359001599393792,2023-05-10T18:02:14.000Z,"b""RT @Mergemansion: Here's proof that this Mr Rockford and some other friends of my granddaughter got inside my mansion with THEIR SHOES ON!\xe2\x80\xa6""",en,
1650963677737287680,2023-04-25T20:43:08.000Z,"b'RT @NanshyOfficial: Actress Ashley Benson Unveils New Fragrance Line: All ASH fragrances are vegan and cruelty free, as well as genderless.\xe2\x80\xa6'",en,
1636407312515751938,2023-03-16T16:41:20.000Z,b'RT @MarlowNYC: SPRING BREAK 4 EVA. @selenagomez @ashbenzo @vanessahudgens https://t.co/EiMK8Fj1wE',en,
1636394770238173185,2023-03-16T15:51:30.000Z,b'RT @letterboxd: Spring Breakers was released 10 years ago today. \xf0\x9f\x8c\xb4 https://t.co/ornFQeZ367',en,
1636225786624475136,2023-03-16T04:40:01.000Z,"b""RT @ETCanada: WATCH: We're going back to 2012 on the set of #SpringBreakers with stars @selenagomez @VanessaHudgens and #AshleyBenson in ho\xe2\x80\xa6""",en,
1613018896663216133,2023-01-11T03:44:08.000Z,b'Go off mike white',en,
1599668046720684033,2022-12-05T07:32:37.000Z,"b'RT @strategist: We asked @AshBenzo about the incense she burns in her home, comfortable heeled boots, and \xe2\x80\x9cpresentable\xe2\x80\x9d heart-shaped dog bo\xe2\x80\xa6'",en,
1599667711940100096,2022-12-05T07:31:17.000Z,b'RT @MAX40469625: @Frankie_Batista @AshBenzo @AshleyBenson @FrankieBatista I am looking forward to my ASH the eighth the story and descripti\xe2\x80\xa6',en,
1597820452952416256,2022-11-30T05:10:56.000Z,b'RT @Frankie_Batista: Mirror mirror \xf0\x9f\xaa\xa9 @ashleybenson for her new Fragrance ASH by Ashley Benson @ashbyashleybenson. \n\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\xa6',en,
1595207303535677440,2022-11-23T00:07:13.000Z,"b""RT @InStyle: With notes of bright bergamot, soft musk, and creamy cashmere wood, @AshBenzo's gender neutral fragrance brand, ASH By Ashley\xe2\x80\xa6""",en,
1593019569735884802,2022-11-16T23:13:56.000Z,b'RT @Frankie_Batista: Big Launch on this incredible collaboration with @ashleybenson for her new Fragrance ASH by Ashley Benson @ashbyashley\xe2\x80\xa6',en,
1593019554997075968,2022-11-16T23:13:53.000Z,b'RT @Frankie_Batista: Big Launch on this incredible collaboration with @ashleybenson for her new Fragrance ASH by Ashley Benson @ashbyashley\xe2\x80\xa6',en,
1592691093778595843,2022-11-16T01:28:42.000Z,b'RT @Frankie_Batista: Big Launch today on this incredible collaboration with @ashleybenson for her new Fragrance ASH by Ashley Benson @ashby\xe2\x80\xa6',en,
1592628567665676289,2022-11-15T21:20:14.000Z,b'@Forbes  https://t.co/LVC6WvNEdT',qme,
1592628321405521920,2022-11-15T21:19:16.000Z,"b'RT @wwd: ""Pretty Little Liars"" star Ashley Benson is bringing her own experience to the fore through scent. \nhttps://t.co/ez6CY0NWuz'",en,
1592628310714249217,2022-11-15T21:19:13.000Z,b'RT @ClickySound: #latestnews Ashley Benson Is Entering the Perfume Space and Taking It Back to the Basics - https://t.co/vGzzmkHS4w (POST_E\xe2\x80\xa6',en,
1592628286202712064,2022-11-15T21:19:07.000Z,"b'RT @Fashionista_com: #AshleyBenson gave Fashionista the scoop on ASH, a new fragrance line inspired by the East Village and H\xc3\xb4tel Costes.\nh\xe2\x80\xa6'",en,
1592628035932811265,2022-11-15T21:18:08.000Z,"b'RT @StyleCaster: .@AshBenzo just launched her own perfume and all pretty little lies aside, it smells amazing. https://t.co/2axZ9asrUT'",en,
1592627997596864513,2022-11-15T21:17:58.000Z,"b'RT @POPSUGAR: .@AshBenzo is entering the world of fragrance, and you should definitely be paying attention.  https://t.co/UKc9Wue5jB'",en,
1587881390594396160,2022-11-02T18:56:39.000Z,b'ASH coming soon. Sign up https://t.co/2MdV9qRgbZ https://t.co/0gvgL0Beoc',en,
1587541113857941504,2022-11-01T20:24:31.000Z,"b'RT @DEADLINE: Pretty Boy Floyd Biopic Attracts Emile Hirsch, Harvey Keitel, Thomas Jane, Ashley Benson, Shawn Hatosy, More; Vertical Pre-Bu\xe2\x80\xa6'",en,
1581150550988505088,2022-10-15T05:10:42.000Z,b'RT @wellgousa: Everyone needs friends \xe2\x80\x93 even if you have to dig a couple up (literally).\n\nTHE LONELIEST BOY IN THE WORLD in select theaters\xe2\x80\xa6',en,
1581150210805288961,2022-10-15T05:09:21.000Z,"b'RT @justjaredjr: Hero Fiennes Tiffin, Ashley Benson, and more attended the premiere of #TheLoneliestBoyInTheWorld this week! https://t.co/a\xe2\x80\xa6'",en,
1578118728046084096,2022-10-06T20:23:19.000Z,"b'RT @horrornerdonlin: The Loneliest Boy In The World Trailer (2022) | Hero Fiennes Tiffin, Ashley Benson | Comedy, Horror\n#horror - #Trailer\xe2\x80\xa6'",en,
1571977817377628164,2022-09-19T21:41:32.000Z,"b'RT @RottenTomatoes: Exclusive look at gothic horror-comedy #TheLoneliestBoyintheWorld starring @MaxHarwood, Hero Fiennes Tiffin and Ashley\xe2\x80\xa6'",en,
1564688457896579072,2022-08-30T18:56:13.000Z,b'RT @DEADLINE: Well Go USA Acquires Gothic Horror-Comedy \xe2\x80\x98The Loneliest Boy In The World\xe2\x80\x99 Starring \xe2\x80\x98Everybody\xe2\x80\x99s Talking About Jamie\xe2\x80\x99s Max\xc2\xa0Ha\xe2\x80\xa6',en,
1552748571778097153,2022-07-28T20:11:22.000Z,b'RT @18andovermovie: The way we experience movies is about to change https://t.co/SuSIS5et5O @AshBenzo @winnieharlow @LindseyPelas @ParisHil\xe2\x80\xa6',en,
1552402766236041216,2022-07-27T21:17:16.000Z,"b'RT @DEADLINE: \xe2\x80\x98Wilderness\xe2\x80\x99: Ashley Benson, Eric Balfour Among Cast Additions To Amazon Drama\xc2\xa0Series https://t.co/BeBaWiqwEW'",en,
1552402634081910785,2022-07-27T21:16:44.000Z,b'RT @bevjoneswriting: I\xe2\x80\x99ve been keeping this a secret! But look who\xe2\x80\x99s joining the cast of the @PrimeVideo series of #Wilderness - only the a\xe2\x80\xa6',en,
