twitter_id,date,tweet,lang,data
1664687779823976632,2023-06-02T17:37:49.000Z,"b""RT @cthbestyears: can't believe it's been 10 YEARS since the try hard music video was released https://t.co/u2RgI3zGk8""",en,
1663925072225243137,2023-05-31T15:07:06.000Z,b'RT @mculokii: wildflower by 5sos https://t.co/xIqHyE3nJo',en,
1663660895178981376,2023-05-30T21:37:21.000Z,b'Cheeky little bad omens cover \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb\xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbc love you!\n\nhttps://t.co/Aak140qrC2',en,
1663660782981369858,2023-05-30T21:36:54.000Z,b'@howlingatafi @5SOS @Calum5SOS @Michael5SOS Omg!!! Turned out so good\xe2\x80\xa6 waitin on mine \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbc\xe2\x99\xa5\xef\xb8\x8f',en,
1662972731435143168,2023-05-29T00:02:50.000Z,b'Give it %100 to honor your own existence',en,
1661983207133429760,2023-05-26T06:30:49.000Z,b'RT @5SOS: The Feeling of Falling Upwards. On demand tomorrow.',en,
1661901019230662656,2023-05-26T01:04:14.000Z,"b'RT @5SOS: We are thrilled to announce we are sharing our full Royal Albert Hall performance, re-edited and re-mastered specially for on dem\xe2\x80\xa6'",en,
1660689267411267584,2023-05-22T16:49:10.000Z,b'Not long now\xe2\x80\xa6 so excited to play live again \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb\xf0\x9f\xa4\xa9',en,
1660680501718573056,2023-05-22T16:14:20.000Z,b'RT @invisiblecass: My current 5sos CD collection including solos https://t.co/w8FX6xEcDe',en,
1660386703771832320,2023-05-21T20:46:53.000Z,b'RT @hourlylrh: oops https://t.co/W13UAXBO8Q',en,
1660386680426360832,2023-05-21T20:46:47.000Z,"b'RT @cliffordsriffs: they had skinny jeans, emo hairs and a dream https://t.co/UQtF1mjBDd'",en,
1658665252555489283,2023-05-17T02:46:27.000Z,b'RT @cool_guy_cally: baby on board https://t.co/flnSPwlXa2',en,
1658664764103626755,2023-05-17T02:44:30.000Z,"b'RT @5SOS_roadtrips: My vinyl arrived, adding to the collection \xe2\x9c\xa8 https://t.co/YsLxButYo4'",en,
1658539174419652608,2023-05-16T18:25:28.000Z,b'Looking forward to some amazing @5SOS crowds this year \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d',en,
1657161571800584192,2023-05-12T23:11:21.000Z,b'Gonna invent some more scents soon for @clubhousecandle \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d \xf0\x9f\x92\x90',en,
1656416176111783937,2023-05-10T21:49:25.000Z,b'Do you reckon Luke will be cool with it if I play the red desert drum solo at his show?',en,
1656416030703632384,2023-05-10T21:48:51.000Z,b'\xf0\x9f\x92\x8b thanks for listening to the songs I get to be apart of \xf0\x9f\xa5\xb9\xf0\x9f\x8e\x99\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f',en,
1656412233201745920,2023-05-10T21:33:45.000Z,b'LP - Golden (Official Audio) https://t.co/0sQbQSywOB via @YouTube',da,
1656207233087332352,2023-05-10T07:59:09.000Z,"b'Incredible news, I made a hot track with the incredible and shining  @iamlp, we collided and made many songs together, writing songs together has been a highlight of my musical life, this is the first one of many https://t.co/hNyieFm9iC'",en,
1654568238892843008,2023-05-05T19:26:23.000Z,b'@ashtonupdating London O2 coming in so hot. \xf0\x9f\x98\x8d\xf0\x9f\x8e\xb8\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb what a dream!!!!!!',en,
1654364613583204355,2023-05-05T05:57:15.000Z,"b'I just used the undo button, thank god it\xe2\x80\x99s there, I take it all back'",en,
1654210200918958080,2023-05-04T19:43:40.000Z,b'@badomensane The bag ran out! \xf0\x9f\xa4\xa3\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb',en,
1654210080991215616,2023-05-04T19:43:11.000Z,b'Supposed to be headed to the studio but now I got vortexed into the eternal conversation of the blue bird',en,
1654209922828210178,2023-05-04T19:42:33.000Z,b'Cutie pss pss pss https://t.co/2FEWCzVOm7',es,
1654209546485895171,2023-05-04T19:41:04.000Z,b'Met Gala obsessed with pussy',en,
1654209297012887552,2023-05-04T19:40:04.000Z,"b'Some of the excitement has been taken out of this app. It used to be like gambling when you hit send on a tweet, ya never knew what was gonna happen, now you can take back the bet. Hit \xe2\x80\x9csend tweet\xe2\x80\x9d with some gusto ya cowards \xf0\x9f\x98\x89I wanna know what you actually think \xf0\x9f\x92\xad'",en,
1654208828827897867,2023-05-04T19:38:13.000Z,b'@ashtonupdating @flatlineirwins \xf0\x9f\x98\x88',qme,
1651400016240734214,2023-04-27T01:37:00.000Z,b'RT @angelaisareject: this you? @Ashton5SOS https://t.co/yvqaufBHjP',en,
1648029317589520384,2023-04-17T18:23:02.000Z,b'RT @5SOS: https://t.co/pXOTM6oeDP',zxx,
1647711802955030528,2023-04-16T21:21:21.000Z,b'@carouselcari Good deal.',en,
1647711249424330752,2023-04-16T21:19:09.000Z,b'RT @lukeksser: @Ashton5SOS @unpredictacal dusting off my leather jacket from sounds live feels live it\xe2\x80\x99s time i feel',en,
1647710968158502912,2023-04-16T21:18:02.000Z,b'@greyhoundsrun Local moms looking for Sax',en,
1647710578977415169,2023-04-16T21:16:29.000Z,b'@MeganKruger31 Been trying to for almost 10 years',en,
1647710076881502208,2023-04-16T21:14:29.000Z,b'@alwayswithluke Ready to gtfo. My head hurts',en,
1647709984212520961,2023-04-16T21:14:07.000Z,"b'@unpredictacal It\xe2\x80\x99s rock n roll, historic, sexy, cute n chique, just wear what makes ya feel like a god'",en,
1647709757472645120,2023-04-16T21:13:13.000Z,b'RT @sunflowersvi: need more 5sos friends tbh',en,
1647709404656181248,2023-04-16T21:11:49.000Z,b'@oscoafi Yoga and weed',en,
1647709141950169089,2023-04-16T21:10:47.000Z,"b'I personally think our live albums are infinitely better / vibe more / fuck harder / resonate more of the soul of @5SOS  than the studio albums. If you get a moment, check out \xe2\x80\x9cThe Feeling Of Falling upwards\xe2\x80\x9d \xf0\x9f\x92\x8b thanks you absolute stunnah! https://t.co/TbX4kdHDc8'",en,
1647704178071064576,2023-04-16T20:51:03.000Z,"b'RT @5SOS: Fairfax, LA \xf0\x9f\x98\x8a #The5SOSShow https://t.co/KAYi3gQ3X5'",en,
1647697758571352064,2023-04-16T20:25:33.000Z,b'@superbIoom Good things take time \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\xa5\xb0\xe2\x9c\x8c\xf0\x9f\x8f\xbb',en,
1646931844850683904,2023-04-14T17:42:04.000Z,b'RT @5SOS: Tickets for The 5 Seconds of Summer Show are on sale now! See you out there\xc2\xa0\xf0\x9f\x98\x8a #The5SOSShow https://t.co/uiQPoGfcyB',en,
1646727456676782085,2023-04-14T04:09:55.000Z,b'RT @5SOS: A journey over 10 years in the making. Overjoyed to be sharing this live experience with you in a new way. The Feeling of Falling\xe2\x80\xa6',en,
1644132908855345152,2023-04-07T00:20:06.000Z,b'RT @5SOS: Pre-save The Feeling of Falling Upwards \xe2\x80\x93 Live from The Royal Albert Hall \xf0\x9f\x92\x99\n\nhttps://t.co/gErDbVouQy',en,
