twitter_id,date,tweet,lang,data
1675037498186289153,2023-07-01T07:03:54.000Z,b'In between shots #fateh \xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f https://t.co/p3cJbdOMby',en,
1674308876605472769,2023-06-29T06:48:37.000Z,b'In this exact sequence \xf0\x9f\x98\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x83\xf0\x9f\xa4\xa3 @SonuSood #fateh  #VincenzoCondorelli I think I need more classes! \xf0\x9f\x99\x8f https://t.co/2ky7nWQwxP',en,
1671388598745305089,2023-06-21T05:24:29.000Z,"b'Happy Yoga Day everyone! Teamed up with #pawasana and @capmumbai for \xe2\x80\x98yoga with a cause\xe2\x80\x99 with the cutest puppies, all up for adoption!! \xf0\x9f\x8c\xb8\xf0\x9f\x8c\xb8\xf0\x9f\x8c\xb8 #YoloFoundation https://t.co/GMW8WL5BbU'",en,
1671359175790821377,2023-06-21T03:27:34.000Z,b'RT @Lux_Innerwear: We at Lux Cozi were overjoyed to host the most talented and beautiful @Asli_Jacqueline at our office. Despite her stardo\xe2\x80\xa6',en,
1670653399086292994,2023-06-19T04:43:04.000Z,b'\xf0\x9f\x8c\xb8\xf0\x9f\x8c\xb8\xf0\x9f\x8c\xb8 catching up with #AnushkaMenon https://t.co/tiUWA5phuQ',en,
1667929999540903942,2023-06-11T16:21:15.000Z,b'The only person who makes me laugh till my sides hurts!!! Love you sis and happy bday \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/20He6zNxOE',en,
1666769386638819330,2023-06-08T11:29:23.000Z,b'\xf0\x9f\x91\xbd\xf0\x9f\x91\xbd\xf0\x9f\x91\xbd https://t.co/ROmC5FKxoU',qme,
1665029247159681027,2023-06-03T16:14:41.000Z,b'Sending my deepest condolences to all those impacted by this tragedy. May everyone find the strength and courage to overcome this difficult time. Keeping the passengers and their families in my thoughts and prayers. \xf0\x9f\x99\x8f https://t.co/AMGta0ArfO',en,
1663876102459363330,2023-05-31T11:52:30.000Z,b'\xf0\x9f\x8c\xb8 thank you @farfetch for the wonderful lunch at the most beautiful @LouvreAbuDhabi \xf0\x9f\x8c\xb8\xf0\x9f\x8c\xb8\xf0\x9f\x8c\xb8 @IIFA https://t.co/iuprvj14ep',en,
1663180017201995776,2023-05-29T13:46:31.000Z,b'@IIFA Abu Dhabi \xf0\x9f\xa4\x8d https://t.co/9smnbhS4sA',tr,
