twitter_id,date,tweet,lang,data
1679245905289986051,2023-07-12T21:46:37.000Z,b'Know the market! \xf0\x9f\x93\x8a',en,
1678611589971230720,2023-07-11T03:46:04.000Z,b'@MattWhitekiller \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82',qme,
1678611483377246216,2023-07-11T03:45:39.000Z,b'RT @jaderose1616: @AustinMahone\xe2\x80\x99s new country album is the saving grace of 2023 \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb bless this era #mahomieforever \xf0\x9f\x8e\x89',en,
1677890644772093953,2023-07-09T04:01:18.000Z,b'RT @ifavmahwnz: @AustinMahone dirty martini deserves to be a single too \xf0\x9f\x91\x80',en,
1677890634336677888,2023-07-09T04:01:15.000Z,b'RT @montrealugirl: @AustinMahone MUH\xe2\x80\x99 FUCKA\nI\xe2\x80\x99M KUNTRY \xf0\x9f\x97\xa3\xef\xb8\x8f',en,
1677890589176778753,2023-07-09T04:01:04.000Z,b'RT @BieberMahoneFan: @AustinMahone The shout out to Tony Parker and 281 always has me like https://t.co/AyTRq3GtK9',en,
1677449099434512386,2023-07-07T22:46:45.000Z,"b""RT @BieberMahoneFan: @AustinMahone you have \xe2\x80\x9cI know you love it when we're fucking at 3 in the morning Remember, you're just my homie\xe2\x80\x9d I ca\xe2\x80\xa6""",en,
1677449000012730370,2023-07-07T22:46:21.000Z,b'Check it out and drop a comment! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 \n\nhttps://t.co/sk9QLpU9QI https://t.co/JkyTgGfcO1',en,
1676758078895562752,2023-07-06T01:00:53.000Z,b'It\xe2\x80\x99s all in the eyes Chico',en,
1676458376048279552,2023-07-05T05:09:58.000Z,b'RT @ayeitssbritney: Not me walking around randomly singing \xe2\x80\x98 this that druggie music bad bitches be fuckin to \xe2\x80\x98 @AustinMahone \xf0\x9f\xab\xa3\xf0\x9f\xa4\xa3',en,
1676458294108467200,2023-07-05T05:09:39.000Z,b'@AMEEZYSGIRL Love it!!! \xf0\x9f\x94\xa5\xf0\x9f\x92\xaf',en,
1676458246368899074,2023-07-05T05:09:27.000Z,b'RT @AMEEZYSGIRL: @AustinMahone MY DAUGHTER TODAY MUTHA FUCKA THEY KUNTRY! \xf0\x9f\xa4\xaa\xf0\x9f\xa4\xad\xf0\x9f\xa4\xaa\xf0\x9f\xa4\xad\xf0\x9f\xa4\xaa\xf0\x9f\xa4\xad\xf0\x9f\x8e\xb6 https://t.co/ZnVVSMks90',en,
1676189484465938434,2023-07-04T11:21:29.000Z,"b'RT @andriellirod: My mind is on silence and out of nowhere my brain just comes with ""muh fucka I\'m kuntryyyyyyyy""\n@AustinMahone and is all\xe2\x80\xa6'",en,
1675975428111056897,2023-07-03T21:10:54.000Z,b'wishing you a fast metabolism',en,
1675949482809126933,2023-07-03T19:27:48.000Z,b'@BloodyLina97 Don\xe2\x80\x99t feel too bad I just released it last week \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',en,
1675949401150222355,2023-07-03T19:27:29.000Z,b'RT @BloodyLina97: How did I not know that @AustinMahone released a country album?!?!\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad and I just heard it the first time today and oh my\xe2\x80\xa6',en,
1675345676106858496,2023-07-02T03:28:30.000Z,"b'""Kuntry"" audio https://t.co/cQ5fVkxw0G via @YouTube'",tl,
1675267716654022657,2023-07-01T22:18:43.000Z,"b'""Withdrawal"" (audio) https://t.co/99X9vEJyMP via @YouTube'",en,
1674881083509186563,2023-06-30T20:42:22.000Z,b'@thenashnews \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',qme,
1674881033819287552,2023-06-30T20:42:10.000Z,b'RT @thenashnews: We got to chat with @AustinMahone about going country and releasing his record \xe2\x80\x98A Lone Star Story.\xe2\x80\x99 \n\nRead the full interv\xe2\x80\xa6',en,
1674863325316775937,2023-06-30T19:31:48.000Z,"b'""Kuntry"" video (behind the scenes) https://t.co/AYS5mIJyCN via @YouTube'",en,
1674633554586660865,2023-06-30T04:18:47.000Z,"b'RT @billboard: .@austinmahone is stepping into the country music world \xf0\x9f\x99\x8c. He joined #BillboardNews discuss to his latest single ""Kuntry,"" w\xe2\x80\xa6'",en,
1674624624770916354,2023-06-30T03:43:18.000Z,b'Sundress (audio) https://t.co/79dsSHs41c via @YouTube',en,
