twitter_id,date,tweet,lang,data
1679952474814427136,2023-07-14T20:34:16.000Z,b'@cap74024 \xf0\x9f\x96\xa4\xf0\x9f\xa4\x8d https://t.co/WdBldfRp0d',qme,
1679251080981647360,2023-07-12T22:07:11.000Z,b'RT @BeatboxBevs: We\xe2\x80\x99re on the cover of @FB101com July issue with our @avrillavigne pink lemonade collab \xf0\x9f\x92\x96\xf0\x9f\x8d\x8b Learn all about how this epic co\xe2\x80\xa6',en,
1678139639146901504,2023-07-09T20:30:42.000Z,b'RT @BeatboxBevs: TIME FOR LOAD IN \xf0\x9f\xa4\x98We\xe2\x80\x99re cranking the summer vibes up all the way with this epic giveaway\xf0\x9f\x92\x96\xf0\x9f\x8d\x8b ONE lucky winner will receive a\xe2\x80\xa6',en,
1675339757306667008,2023-07-02T03:04:59.000Z,b'Have you tried the drink of the summer yet? @BeatboxBevs \xf0\x9f\x92\x96\xf0\x9f\x8d\x8b \n\nhttps://t.co/0T9aK7o9Qj https://t.co/IeReqQUnN5',en,
1675320136293818368,2023-07-02T01:47:01.000Z,b'A Bitchin Summer..Vegasss \xf0\x9f\xa5\xb5\n@marshmello https://t.co/r9nc2x50q5',en,
1673411903035682817,2023-06-26T19:24:22.000Z,b'Vegas! I\xe2\x80\x99m performing at Encore Beach Club with @marshmello this Saturday! Let\xe2\x80\x99s party \xf0\x9f\x8e\x89 https://t.co/1MsX4eneJ5 https://t.co/EYR7CnwjZM https://t.co/Uf5HyWUrrx',en,
1672390402975072262,2023-06-23T23:45:18.000Z,b'Bebe ur gorgeous. Super talented and killing it \xf0\x9f\x92\x96\xf0\x9f\x92\x96 https://t.co/bFrMSOpN9T',en,
1672353699463856129,2023-06-23T21:19:27.000Z,b'Catch me being the DD and driving @Yungblud around town singing our favorite songs on a new episode of Carpool Karaoke available now on @AppleTV ! \xf0\x9f\x9a\x97\xf0\x9f\x8e\xa4 https://t.co/HdkpYWLYD7 https://t.co/eINzXfu9bh https://t.co/214dp1Izd5',en,
1671623144866725889,2023-06-21T20:56:29.000Z,b'RT @billboard: Avril Lavigne &amp; Yungblud Let It All Hang Out Singing a Shania Twain Classic for \xe2\x80\x98Carpool Karaoke\xe2\x80\x99 Series https://t.co/8A35Hl\xe2\x80\xa6',en,
1671549315121319938,2023-06-21T16:03:07.000Z,"b""It's the first Day of Summer! Have you tried my Pink Lemonade collab with @BeatboxBevs? \xf0\x9f\x92\x95\xf0\x9f\x8d\x8b\xf0\x9f\x92\x95\nhttps://t.co/0T9aK7o9Qj""",en,
1670226323942572032,2023-06-18T00:26:01.000Z,b'RT @avrilsapatao2: Avril Lavigne - Hush hush :( https://t.co/tBlPUnTU5G',da,
1668294960310022144,2023-06-12T16:31:28.000Z,b'CMA Fest Kerosene x Sk8er Boi https://t.co/qZnKi1ZfgR',it,
1667716609769627649,2023-06-11T02:13:19.000Z,"b'Cause he don\xe2\x80\x99t love me like tequila does, nobody can @mirandalambert \n\nhttps://t.co/rnm9WW4lFW'",en,
1667400037758914562,2023-06-10T05:15:22.000Z,"b""RT @Tennessean: It's not complicated: @mirandalambert\xc2\xa0brings @AvrilLavigne\xc2\xa0onstage at Nissan Stadium during CMA Fest! https://t.co/aDLvDmsp\xe2\x80\xa6""",en,
1667259198563061761,2023-06-09T19:55:43.000Z,b'\xf0\x9f\x92\x9c\xf0\x9f\x96\xa4 https://t.co/8RrzKHk0J0',qme,
