twitter_id,date,tweet,lang,data
1680526216741236736,2023-07-16T10:34:07.000Z,b'RT @Shehzad_Ind: Today at 7pm \n\nWatch me in conversation with @BDUTT on @themojostory \n\nLink here \n\nhttps://t.co/lAJXG9gbcm',en,
1680525915338539009,2023-07-16T10:32:55.000Z,"b""At 7pm on #InsideOut: @Shehzad_Ind on his journey from Congress to being one of BJP's most effective spokespersons, falling out with his brother over politics; what being Muslim means to him &amp; whether his debating has won his Mum over! Full podcast here https://t.co/Jd6IuQHdwF https://t.co/rjvEzu59UP""",en,
1680478058942464004,2023-07-16T07:22:45.000Z,"b'RT @themojostory: After Delhi &amp; Himachal Pradesh, incessant rains now disrupt normalcy in Assam. https://t.co/gStpQ8lOOZ'",en,
1680475519383638019,2023-07-16T07:12:40.000Z,b'Take a Sunday break from party politics and do pick up @JhaSanjay new all-heart book - on friendship and forgiveness !! Perfect weekend curl up read. https://t.co/upe9Y2mi7A',en,
1680469292213579779,2023-07-16T06:47:55.000Z,b'@major_pawan Lovely',en,
1680431355921051648,2023-07-16T04:17:10.000Z,b'@Vedmalik1 Lovely picture sir',en,
1680251161759080448,2023-07-15T16:21:09.000Z,"b'RT @themojostory: All about the ""womanly touch""| IPS officer @SatwantAtwal talks about how she&amp; a brave contingent of women are leading #re\xe2\x80\xa6'",en,
1680233689500860422,2023-07-15T15:11:43.000Z,"b'""A fight for Indian Federalism""- @sajadlone on the #Article370 #Kashmir petition in Supreme Court, possibility of joining hands with the BJP again &amp; why he calls himself ""currently unemployed"". Full conversation here https://t.co/LlmDZDvVgu https://t.co/jkI9Gpjy8j'",en,
1680229786894073857,2023-07-15T14:56:13.000Z,b'@akm1410 Down the generations',en,
1680221080567390215,2023-07-15T14:21:37.000Z,b'@wjmoya Clever but also true !',en,
1680220928427585536,2023-07-15T14:21:00.000Z,"b""RT @gzeromedia: The US and India aren't allies, @BDUTT says.\n\nStill, they share a common interest in countering a rising China. So how does\xe2\x80\xa6""",en,
1680202159395319808,2023-07-15T13:06:26.000Z,b'@Fire_and_Move Well said \xf0\x9f\x87\xae\xf0\x9f\x87\xb3',en,
1680201889424773120,2023-07-15T13:05:21.000Z,"b'RT @themojostory: Mujhe Mera beta lauta do | Vinod - who runs a subzi thela - is heartbroken at the loss of his young son, Aashish. Aashish\xe2\x80\xa6'",en,
1680150766764322816,2023-07-15T09:42:13.000Z,b'@Akshay001 @vishalgondal Happy happy Vishal \xf0\x9f\x92\x9c',en,
1680081989549043712,2023-07-15T05:08:55.000Z,b'@MajDPSingh Happy Second birthday sir you\xe2\x80\x99re the best \xf0\x9f\x92\x9c\xf0\x9f\x87\xae\xf0\x9f\x87\xb3',en,
