twitter_id,date,tweet,lang,data
1679183736577851392,2023-07-12T17:39:35.000Z,b'I can\xe2\x80\x99t get over these images from the James Webb Space Telescope! They\xe2\x80\x99re\xc2\xa0igniting curiosity and wonder in a whole new generation. https://t.co/MbNthEEBo5',en,
1678207694061043713,2023-07-10T01:01:08.000Z,b'Congratulations\xc2\xa0to fellow Hawaiian Allisen Corpuz for winning the U.S. Women\xe2\x80\x99s Open! You make us all proud \xe2\x80\x94 and look forward to a round at Kapolei! \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe',en,
1677378008951189504,2023-07-07T18:04:16.000Z,"b'Meet Randi \xe2\x80\x94 a young woman working as a home care aide and raising her daughter in rural Mississippi. I had the chance to talk with Randi, and you can hear her story as part of @HGMedia\xe2\x80\x99s Working: What We Do All Day, now streaming on Netflix. https://t.co/OTrhS5Wc9p'",en,
1677075548948910085,2023-07-06T22:02:24.000Z,b'You can watch more from my conversation with Hasan Minhaj as we talk about everything from democracy to staying hopeful in difficult times: https://t.co/J7tTXo2hZ0',en,
1677075431462260736,2023-07-06T22:01:56.000Z,b'Here\xe2\x80\x99s the advice I shared with Malia about what progress looks like \xe2\x80\x93 and the work we can do right now to make a difference. https://t.co/c3fbAEp3eu',en,
1676705937518735360,2023-07-05T21:33:41.000Z,"b'While I was in Athens, I spent time with a remarkable group of leaders from the @GirlsAlliance who are working to educate and empower girls in their communities. I was inspired to know that folks like them are out there leading the way\xe2\x80\x94keep up the good work! https://t.co/5R11kUj1QL'",en,
1676229602061045763,2023-07-04T14:00:54.000Z,"b'Happy birthday to this talented, hilarious, and beautiful young woman. Malia, I hope 25 brings you everything you\xe2\x80\x99re looking for and more. https://t.co/eEZgODiFQ0'",en,
1676215090482126848,2023-07-04T13:03:14.000Z,"b'Happy Fourth of July, everybody.\n\nToday and every day, Michelle and I are grateful to our troops and their families for their sacrifice, courage, and strength.'",en,
1674876470617952257,2023-06-30T20:24:02.000Z,"b""RT @POTUS: In the wake of today's Supreme Court decision on student loan relief, we need a new way forward. And we're moving as fast as we\xe2\x80\xa6""",en,
1674442779374637056,2023-06-29T15:40:42.000Z,"b'So, if you\xe2\x80\x99re looking for ways to help right now, here are some organizations doing important work: https://t.co/kFSoVoeXkT'",en,
1674442710927785989,2023-06-29T15:40:26.000Z,b'Affirmative action was never a complete answer in the drive towards a more just society. But for generations of students who had been systematically excluded from most of America\xe2\x80\x99s key institutions\xe2\x80\x94it gave us the chance to show we more than deserved a seat at the table. \n\nIn the\xe2\x80\xa6 https://t.co/QrYeVKh8DO https://t.co/Kr0ODATEq3',en,
1674113527236403200,2023-06-28T17:52:23.000Z,"b'Around the world, @ObamaFoundation Leaders are working to help shape their communities for the better.\n\nLast week, our latest group of Obama Leaders met in Athens, Greece to talk about their work, the challenges they\xe2\x80\x99re facing, and what they\xe2\x80\x99re hoping to do next. https://t.co/sEorTC6tDO'",en,
1673704784849944577,2023-06-27T14:48:11.000Z,"b""This ruling rejects the far-right theory that threatened to undermine our democracy, and makes clear that courts can continue defending voters' rights\xe2\x80\x94in North Carolina and in every state. Thanks to @RedistrictFdn and @EricHolder for helping make this happen.""",en,
1673704780139761664,2023-06-27T14:48:10.000Z,"b'Today, the Supreme Court rejected the fringe independent state legislature theory that threatened to upend our democracy and dismantle our system of checks and balances.'",en,
1673479387428147201,2023-06-26T23:52:32.000Z,"b""Jim Crown was a pillar of Chicago who cared deeply about making our city a place where everybody can thrive. Michelle and I were also very lucky to call him a dear friend. We're heartbroken today, and we send our love to Paula and their wonderful family in this difficult time. https://t.co/IWLLd1IYtF""",en,
1673388501042118656,2023-06-26T17:51:23.000Z,"b'RT @DemRedistrict: \xf0\x9f\x86\x95\xf0\x9f\x9a\xa8In a win for Louisiana voters, the Supreme Court has dismissed Galmon v. Ardoin \xe2\x80\x94 reinstating the order that blocked L\xe2\x80\xa6'",en,
1672999078358286336,2023-06-25T16:03:57.000Z,"b'I\xe2\x80\x99m inspired by the courageous Africa, Asia-Pacific, and Europe @ObamaFoundation Leaders I met in Athens, Greece.\n\nThey\xe2\x80\x99re working on the most pressing issues facing our world \xe2\x80\x93 from climate change and human rights to empowering women and girls.\n\nTake a look: https://t.co/RTszRkZvpp'",en,
1672606948351524864,2023-06-24T14:05:46.000Z,"b'Now it\xe2\x80\x99s time to join the activists who have been leading this work for years and do even more.\xc2\xa0\n\nThat means volunteering in your community. It means supporting organizations\xc2\xa0like @PPFA, @USOWomen, and your local abortion fund that are doing great work. And it means voting\xc2\xa0in\xe2\x80\xa6 https://t.co/dqearAUW2V'",en,
1672606946522742784,2023-06-24T14:05:46.000Z,"b'It\xe2\x80\x99s been a year since the Supreme Court overturned Roe v. Wade. Since then, 14 states have banned most abortions, leaving millions of women and girls with nowhere to turn for the care they need.\xc2\xa0\xc2\xa0\n\nAnd yet, there are reasons to hope.\xc2\xa0\n\nAfter Roe v. Wade was overturned, voters in\xe2\x80\xa6 https://t.co/46CyKXUq3L'",en,
1671975724855468050,2023-06-22T20:17:31.000Z,"b'I spoke at the 2023 SNF Nostos Conference about the challenges facing democracy around the world, and what we can do to protect it. \n\nAt the Obama Presidential Center, that work will be part of the Democracy In Action Lab \xe2\x80\x94 a programming hub focused on democracy, civic\xe2\x80\xa6 https://t.co/CHIZw28g44 https://t.co/66COO6Lz1X'",en,
1671927799806935060,2023-06-22T17:07:05.000Z,"b'Yesterday, my sister Maya and I had an inspiring conversation with the 2023 @ObamaFoundation Leaders. They\xe2\x80\x99re working to make our communities more inclusive and more equitable \xe2\x80\x93 and showing the rest of us the way. \n\n@MichelleObama, Maya, and I are so proud of you all. https://t.co/vg9yrzCcY1'",en,
1671889804731232260,2023-06-22T14:36:06.000Z,b'RT @ObamaFoundation: Tune in as President @BarackObama speaks at the\n@SNForg #Nostos 2023 Conference: https://t.co/6qlGGWe4pR',en,
1671284609571487746,2023-06-20T22:31:16.000Z,"b""Michelle and I started the @ObamaFoundation to support the next generation of leaders creating sustainable change in their communities.\xc2\xa0\n\nThis week, I'll be joining our Obama Leaders in Greece where we\xe2\x80\x99ll share ideas and dive deeper into the work they\xe2\x80\x99re doing. https://t.co/RYhmkUO2QR""",en,
1671208521319297024,2023-06-20T17:28:55.000Z,"b'On World Refugee Day, we recognize the courage and resilience of those seeking refuge in our communities, and commit to helping everyone who is displaced or searching for safety.\n\nI hope you\xe2\x80\x99ll support @WelcomeUS\xe2\x80\x99s work by signing up to become a sponsor at\xe2\x80\xa6 https://t.co/9KV2g280XS https://t.co/2ZLQkLWOGS'",en,
1670797536456482818,2023-06-19T14:15:49.000Z,"b'On Juneteenth, we commemorate the anniversary of the delayed but welcome news of freedom reaching the enslaved Black folks in Galveston, Texas. It\xe2\x80\x99s a reminder that even in the darkest hours, there is cause to hope \xe2\x80\x94 and a reason to keep building a country that lives up to its\xe2\x80\xa6 https://t.co/Hm2YJEFvUf'",en,
1670462246407864320,2023-06-18T16:03:29.000Z,"b'Happy Father\xe2\x80\x99s Day to all those fortunate enough to take on the role of being a dad or father-figure. To Malia and Sasha, being your dad will always be the greatest gift of my life. https://t.co/pslJLI85tb'",en,
1670448392240070658,2023-06-18T15:08:26.000Z,"b'To Joseph and all of the dads working to make a difference in the lives of our young people, I hope you have a great Father\xe2\x80\x99s Day. It\xe2\x80\x99ll take all of us doing our part to build the brightest future possible for our kids. https://t.co/BKsj6MG7dn'",en,
1669402420114276360,2023-06-15T17:52:07.000Z,"b'RT @POTUS: Today, on the 11th Anniversary of DACA, I celebrate the Dreamers who enrich our nation every day, and who deserve lasting stabil\xe2\x80\xa6'",en,
1669393162916200467,2023-06-15T17:15:20.000Z,"b'DACA recipients are teachers, service members, business owners, doctors, and parents. They are our friends and neighbors. We are a better nation\xe2\x80\x94a stronger nation\xe2\x80\x94because they\xe2\x80\x99re here.\n\nAs we mark the 11th anniversary of DACA, let\xe2\x80\x99s continue to organize and push Congress to build\xe2\x80\xa6 https://t.co/QlSXSLrrPP'",en,
1668461080689950720,2023-06-13T03:31:34.000Z,b'Congrats to the Denver @Nuggets and the remarkable finals MVP Nikola Joki\xc4\x87\xc2\xa0for bringing home the franchise\xe2\x80\x99s first NBA Championship!',en,
1667563249678548992,2023-06-10T16:03:55.000Z,"b'Where does the time go? Happy birthday, Sasha! It\xe2\x80\x99s been the greatest gift to watch you become such a confident, intelligent, and beautiful young woman. Can\xe2\x80\x99t wait to see what this year ahead brings you. https://t.co/eZPJIZXSDL'",en,
1666887501565370369,2023-06-08T19:18:44.000Z,"b'.@RedistrictFdn and Alabama voters showed tenacity in their fight for fair maps, and now Alabama must draw a new, fairer map that is representative of its people.'",en,
1666887500084965376,2023-06-08T19:18:43.000Z,"b'In an important victory for\xc2\xa0Black\xc2\xa0Alabamians and\xc2\xa0voters\xc2\xa0of color\xc2\xa0across the country, the Supreme Court has upheld Section 2 of the Voting Rights Act. https://t.co/hxYt2sN7o6'",en,
1666498608831553548,2023-06-07T17:33:25.000Z,"b""RT @StoryCorps: At StoryCorps, people have real conversations around the meaning of work in their lives. With the release of @BarackObama's\xe2\x80\xa6""",en,
1664656189165109250,2023-06-02T15:32:17.000Z,"b'On National Gun Violence Awareness Day, let\xe2\x80\x99s honor the victims of gun violence \xe2\x80\x93 and do what we can to prevent even more tragedies.\n\nKeep using your voice to call for change, keep voting, keep urging Congress to take action. And support the work of organizations like @Everytown\xe2\x80\xa6 https://t.co/NHwOA5fHEJ'",en,
1663994370134278144,2023-05-31T19:42:28.000Z,"b'I had fun answering some questions about my work journey. Check it out, and then make sure to watch Working: What We Do All Day on Netflix. https://t.co/yZY8NygXVD'",en,
1663614474106929154,2023-05-30T18:32:53.000Z,"b""My sister Maya and I had the chance to speak with the talented Asia-Pacific Obama Leaders about leadership, the values that are important to us, and the work they're doing to lift up their communities. \n\nTake a look at our conversation: https://t.co/YXtqIm1kt8""",en,
1663190960325443587,2023-05-29T14:30:00.000Z,"b'This Memorial Day, take a moment to honor the brave Americans who have served our country and given their lives for our freedom. May God bless our fallen heroes, their families, and all who serve. https://t.co/KamJVWRwIE'",en,
1662198836373192707,2023-05-26T20:47:39.000Z,"b'The rise of antisemitic attacks should alarm all of us. Antisemitism and bigotry - like all forms of hate - have no place in our world, and it\xe2\x80\x99s on each of us to combat this growing threat. @POTUS is right to take on this issue, and he deserves our support.\xe2\x80\xa6 https://t.co/pUzPxoxCS2'",en,
1662120331794841600,2023-05-26T15:35:42.000Z,"b""It's a reminder that, while the pace of change can often be slow, a small group of people can still help us take a giant leap forward \xe2\x80\x93 but only if we vote.""",en,
