twitter_id,date,tweet,lang,data
1678786091284070400,2023-07-11T15:19:29.000Z,"b'Pathan jawan ban gaya, outstanding trailer, absolutely loved it. Now this is the kind of a movie we should see in theatres only. I toh for sure seeing it 1st day ko hi. Mazaa ahh gaya wahhhhh.. @iamsrk https://t.co/UMra4Iamfg'",en,
1674384219387179010,2023-06-29T11:48:01.000Z,b'EID UL ADHA MUBARAK https://t.co/9ytammlKJG',et,
1672132487882100736,2023-06-23T06:40:26.000Z,b'#KisiKaBhaiKisiKiJaan streaming now on @ZEE5India \n\n#BhaijaanOnZEE5\n\n@hegdepooja @VenkyMama @farhad_samji @IamJagguBhai @bhumikachawlat @boxervijender #AbhimanyuSingh @TheRaghav_Juyal @jassiegill @siddnigam_off @ishehnaaz_gill @palaktiwarii @vinalibhatnaga1 @RaviBasrur\xe2\x80\xa6 https://t.co/ct6me5amGg https://t.co/iuGan0aMbI',en,
1670452096305618945,2023-06-18T15:23:09.000Z,b'Happy Father\xe2\x80\x99s Day daddy \xe2\x80\xa6 https://t.co/W1o3y5USKU',en,
1669767277586022400,2023-06-16T18:01:56.000Z,b'#BiggBossOTT2 @JioCinema https://t.co/xUosfwRSBr',qme,
1669585820771299329,2023-06-16T06:00:53.000Z,"b'Watch action, drama aur romance se packed #KisiKaBhaiKisiKiJaan, World Digital Premiere on 23rd June only on @ZEE5India \n#BhaijaanOnZEE5 \n\n@hegdepooja\xc2\xa0@VenkyMama @farhad_samji @IamJagguBhai @bhumikachawlat @boxervijender #AbhimanyuSingh @TheRaghav_Juyal @jassiegill @siddnigam_off\xe2\x80\xa6 https://t.co/n5Q3HlVAu9 https://t.co/0MVqSdoCla'",en,
1667057724381863936,2023-06-09T06:35:08.000Z,"b'Aagaya hoon main lekar #BiggBossOTT2 ka anthem! \n\nKiski lagegi, kiski bachegi hai aapke power mein, kyunki iss baar JANTA HAI ASLI BOSS! \n\nWritten, Composed &amp; Backing Vocals by @raftaarmusic \n\n#BBOTT2 streaming free 17 June onwards only on @JioCinema \n\n#BBOTT2onJioCinema https://t.co/VijhQgFwig'",et,
1664858092755095555,2023-06-03T04:54:35.000Z,"b'Really saddened to hear abt the accident,May God rest the souls of the deceased in peace,Protect n give strength to the families n the injured from this unfortunate accident.'",en,
1662490228907732992,2023-05-27T16:05:32.000Z,b'Reel &amp; Real \n#IIFA2023 @IIFA https://t.co/9uSpWiAEOR',en,
1661699105431912450,2023-05-25T11:41:54.000Z,b'IIFA Abu Dhabi \n\n#IIFA2023 @IIFA https://t.co/bDAvtyKN6H https://t.co/v18JR0FVAx',in,
1660598855849885707,2023-05-22T10:49:54.000Z,b'https://t.co/m93ZwfC9EI',zxx,
1659921801139601410,2023-05-20T13:59:31.000Z,b'Boat ho Gaya https://t.co/CMisPmwfZr https://t.co/jpB0lBA7AN',hi,
