twitter_id,date,tweet,lang,data
1656814917679460352,2023-05-12T00:13:53.000Z,b'Ep.4 of Follow Me aka the competition show I\xe2\x80\x99m hosting is live right now! :) check it out \xf0\x9f\x98\x98 \nhttps://t.co/NTWwlbEE0D',en,
1637690780193259522,2023-03-20T05:41:23.000Z,b'soooo tempted to get sza tickets \xf0\x9f\x98\xab i just know i\xe2\x80\x99d have the best time screaming my lil heart out and bawling',en,
1637606613711474691,2023-03-20T00:06:56.000Z,b'@ccrystalllch it makes me so mad fr',en,
1637606257833160705,2023-03-20T00:05:31.000Z,b'why are there always convenient lil puddles of water all around the house as soon as i put on a fresh pair of socks \xf0\x9f\x98\xa1',en,
1611184752903753728,2023-01-06T02:15:54.000Z,b'i think i\xe2\x80\x99ll make 2023 my vlogging era',en,
1609516290359848961,2023-01-01T11:46:01.000Z,b'happy new year \xf0\x9f\xa5\xb3',en,
1606702969537572866,2022-12-24T17:26:53.000Z,b'Merry Christmas Eve besties !! what are ur plans today?',en,
1603899981709987841,2022-12-16T23:48:49.000Z,b'RT @semipilots: always excited for new @BethanyMota videos! https://t.co/p8sJeXDszi',en,
1603543853998280704,2022-12-16T00:13:41.000Z,b'new videooooo! 2022 FAVORITES \xf0\x9f\x98\x9a\xf0\x9f\x98\x8c https://t.co/KP4hxS2HLC',en,
1598099219021463553,2022-11-30T23:38:39.000Z,"b'so @d_TRIX is hosting a live virtual dance convention next month and it\xe2\x80\x99s gonna be craaaazy! i\xe2\x80\x99ll be there, will u?!!! sign up so u can hang w all these amazing people https://t.co/pfhl7ARA5X https://t.co/GWEFDR9OdS'",en,
1598040246049853440,2022-11-30T19:44:19.000Z,b'my spotify wrapped this year is not only embarrassing but also underwhelming so i will not be sharing \xf0\x9f\x98\x9a\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc',en,
1594051583666290688,2022-11-19T19:34:48.000Z,b'Christmas Decorate w meee! New video @youtube \n#FromYouTubeToYou\nhttps://t.co/7GLKJZTCIl',en,
1594028611950239744,2022-11-19T18:03:31.000Z,b'@allylgaul omg love u ally \xe2\x98\xba\xef\xb8\x8f\xf0\x9f\xa4\x8d',en,
1594028385214550016,2022-11-19T18:02:37.000Z,b'new video today \xf0\x9f\x8e\x84',en,
1589686772757561344,2022-11-07T18:30:36.000Z,b'omg thank youuuu\xf0\x9f\xa5\xb9 we have to meet again \xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d https://t.co/Y0FbHyVZuT',en,
1584656199185682433,2022-10-24T21:20:54.000Z,b'karma on repeat today',en,
1582903725361807360,2022-10-20T01:17:11.000Z,b'@laurjefferies literally every time i hear it i\xe2\x80\x99m astonished by how well she worded everything \xf0\x9f\x98\xad',en,
1582903243796979712,2022-10-20T01:15:16.000Z,b'i love every couple months when i rediscover tolerate it by taylor swift and let it break me all over again \xf0\x9f\xa5\xb0',en,
1573837772216946688,2022-09-25T00:52:20.000Z,b'i\xe2\x80\x99m fully ready to start blasting ariana christmas albums tbh',en,
1573454408280526848,2022-09-23T23:28:58.000Z,b'new video today :)',en,
1572846898490540035,2022-09-22T07:14:57.000Z,b'@millielovesari sadly yes \xf0\x9f\x98\x94',en,
1572846716893949952,2022-09-22T07:14:14.000Z,b'thought i was gonna get lucky and not lose my taste w covid but i just spent the last 30 mins wondering why my ginger ale tastes like perrier \xf0\x9f\x98\xad',en,
1565459395139424256,2022-09-01T21:59:39.000Z,b'who wants to have a cute fall party w me',en,
1563958516867420162,2022-08-28T18:35:42.000Z,b'been so busy moving but new videos and fun stuff coming soon :)',en,
1560766677108699136,2022-08-19T23:12:28.000Z,b'what videos would u like to see the rest of this year? :)',en,
1560065613514489856,2022-08-18T00:46:41.000Z,b'@mysweetestplace the way this literally made me tear up \xf0\x9f\xa5\xba',en,
1560065296563482625,2022-08-18T00:45:25.000Z,b'oof the anxiety has rlly been shining this week',en,
1554479769169047554,2022-08-02T14:50:32.000Z,"b'why is the feed from people i follow on instagram all posts from literal DAYS AGO ? \nIG, what is this babe'",en,
1553869453753851904,2022-07-31T22:25:21.000Z,b'im still not okay after that one https://t.co/U6yeE1i95h',en,
1553868706660241408,2022-07-31T22:22:23.000Z,b'new videooooo besties :) reading viral tiktok books for a day! warning: lots of feelings loll\nhttps://t.co/pAylHHRBcp https://t.co/Pvw74hWNLQ',en,
1551023454987509761,2022-07-24T01:56:22.000Z,b'@heavndior emails i can\xe2\x80\x99t send and nonsense are both on repeat for me \xf0\x9f\x98\xa9\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f',en,
1551021056428687360,2022-07-24T01:46:51.000Z,b'@laurjefferies yes it\xe2\x80\x99s so overwhelming and exciting at the same time !!',en,
1551015186407993344,2022-07-24T01:23:31.000Z,b'also x2 don\xe2\x80\x99t look too close at my hand in this thumbnail.. i had to photoshop an extra finger on myself bc looked like i was flipping everyone off',en,
1551014578632372224,2022-07-24T01:21:06.000Z,b'also btw i\xe2\x80\x99m in the process of moving currently so thank u besties for being patient w me!!!',en,
1551014251728277504,2022-07-24T01:19:48.000Z,b'video coming real \xf0\x9f\x94\x9c',en,
1549507878582493185,2022-07-19T21:34:01.000Z,b'not me putting my phone on do not disturb and then getting sad bc no one is responding to me',en,
1548800962143260672,2022-07-17T22:44:59.000Z,b'stressin',en,
1547515807604781057,2022-07-14T09:38:14.000Z,b'@penyihirrrr yessss love that for u \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x8d\x89',en,
1547515591728119808,2022-07-14T09:37:23.000Z,b'@alyssajiwani sending love to u \xf0\x9f\xa5\xba',en,
1547515477055852544,2022-07-14T09:36:55.000Z,b'@sabspillstea same',en,
1547500928143540224,2022-07-14T08:39:07.000Z,b'hi besties how are you?',en,
