twitter_id,date,tweet,lang,data
1679206466010615808,2023-07-12T19:09:54.000Z,"b'@ekonomy_ Finishing up now, its a process but we almost there  \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe'",en,
1679205834465906688,2023-07-12T19:07:23.000Z,b'\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe\xe2\x9c\xa8\nhttps://t.co/tKEcdIHYtZ',qme,
1677087029228879872,2023-07-06T22:48:01.000Z,"b'When you realize you not in control of anybody but you, you gon save a lot of time and gain a lot of peace'",en,
1674555554520502272,2023-06-29T23:08:50.000Z,"b'RT @seanandersonorg: Did you know that today marks the third anniversary of #BigSeanDay? From impact to influence, the work that @bigsean a\xe2\x80\xa6'",en,
1667608704576028672,2023-06-10T19:04:32.000Z,b'@ImAceEdwards @wowthatshiphop \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbe',qme,
1661837596824317952,2023-05-25T20:52:13.000Z,"b'Some of yall got some big decisions to make. Just know whatever, wherever, whoever you choose, sooner or later its gon be fine so dont even stress  \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe'",en,
1659659428407414784,2023-05-19T20:36:57.000Z,b'DID I SKATE ON THIS BITCH?! This was fun!  @KAYTRANADA n @heyamine KAYTRAMIN\xc3\x89 OUT NOW!!!! \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe\xf0\x9f\x8c\x8d\xf0\x9f\x94\xa5\xe2\x9c\xa8 https://t.co/ZHTvnTwV5p',en,
1659612591579185163,2023-05-19T17:30:50.000Z,b'RT @JustVitto: \xe2\x80\x9cMaster P\xe2\x80\x9d @KAYTRANADA @heyamine  ft @BigSean #Kaytramine https://t.co/vECOV43sAV',en,
1659466096351805443,2023-05-19T07:48:43.000Z,b'Cause it do \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe\xe2\x9c\xa8 https://t.co/Ima3oOOYzl',en,
1659354366095290368,2023-05-19T00:24:44.000Z,"b'To everybody stressed the fuck out or overwhelmed cause y\xe2\x80\x99all busy\xe2\x80\xa6 just remember,  It\xe2\x80\x99s much more stressful when things ARENT happening versus stress bc they are. Ok, back to work\xe2\x80\xa6 but take care of you too  \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe\xe2\x9c\xa8'",en,
1655620194713366528,2023-05-08T17:06:29.000Z,b'@DerekHryn \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',qme,
1653891271067598848,2023-05-03T22:36:21.000Z,b'@MissyElliott @ElliottWilson You deserve it!!! Congrats!',en,
1649530149413728256,2023-04-21T21:46:49.000Z,b'@murdabeatz Song hard too \xf0\x9f\x94\xa5',en,
1648508005426806784,2023-04-19T02:05:10.000Z,"b'No matter how busy you are, you gotta live your life \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe'",en,
1645219736509349888,2023-04-10T00:18:46.000Z,"b'@TierraWhack Breaking Bad, Better Call Saul, Succession, GOT, Mandalorian, Alice In Borderland Snowfall, Yellow Jackets, Your Honor\xe2\x80\xa6 Love Is Blind, Ozark, etc.'",en,
1644948325760921600,2023-04-09T06:20:17.000Z,b'Fuck',en,
1642788602194296833,2023-04-03T07:18:18.000Z,"b'Talkin bout \xe2\x80\x9ctrust me i got you\xe2\x80\x9d, but I\xe2\x80\x99m not trusting it\xe2\x80\xa6'",en,
1640157601068638208,2023-03-27T01:03:39.000Z,"b'@DiscussingFilm Weekend not over, im bout to see it in 15 mins'",en,
1639830653205377024,2023-03-26T03:24:28.000Z,b'RT @new_branches: Big Sean\xe2\x80\x99s first time on an Alchemist beat and he slid with Larry June &gt;&gt;\n\nhttps://t.co/A2UXGHhdRh',en,
1639571563661107201,2023-03-25T10:14:57.000Z,b'Two word prayer: THANK YOU \n3/25/88 \xf0\x9f\x8e\x82\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe\xf0\x9f\x8c\x8d\xe2\x99\x88\xef\xb8\x8f https://t.co/3iXVBVx11u',en,
1639378305119059969,2023-03-24T21:27:00.000Z,"b'Not to sound dark but just remember everyday you wake up, you one day closer to death. So what you gon do with the time you got left?!!!'",en,
1639378260634243072,2023-03-24T21:26:50.000Z,b'@CheddahAndretti Garden of Life is a pretty quality brand of vitamins n supplements',en,
1639031586862813185,2023-03-23T22:29:16.000Z,"b'\xe2\x80\x9cI tell the truth like a polygraph in the booth, or like these rappers do when they plea\xe2\x80\x99n in front of the judge cause they feel like they having to, judicial system is not a system its a trap for you n*ggas\xe2\x80\x9d \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe\xf0\x9f\x8d\x8a\xf0\x9f\x8c\x8d https://t.co/xWQOjh9S34'",en,
1638993334793560066,2023-03-23T19:57:16.000Z,b'RT @LarryJuneTFM: This how you make magic \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd\xf0\x9f\x8d\x8a\n\n@BigSean @Alchemist https://t.co/aLsfCwatTt',en,
1638705813501128704,2023-03-23T00:54:46.000Z,"b'First time on a Alchemist beat \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\xe2\x80\x9cPalisades, CA\xe2\x80\x9d https://t.co/QFCMMROTO7'",en,
1638672640692084737,2023-03-22T22:42:57.000Z,"b'Betting on myself every time, its a Hit!!! @LarryJuneTFM they hittin me bout this one! \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe\xf0\x9f\x8d\x8a\xe2\x9c\xa8\xf0\x9f\x8c\x8d https://t.co/GorkveGkij'",en,
1638645926410747904,2023-03-22T20:56:48.000Z,b'RT @LarryJuneTFM: https://t.co/V8Fl22WpSl',zxx,
1638639149522747392,2023-03-22T20:29:52.000Z,"b'We really got blessed with the most incredible, brilliant, happy, amazing, wise, handsome, fun, healthy, Son. Old soul n everything, so grateful for Noah  \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe\xe2\x9c\xa8\xf0\x9f\x8c\x8d'",en,
1638616938686615553,2023-03-22T19:01:36.000Z,"b'Talk yo mufuckin sh*t! U a real legend in this, Im usually the same way but you know what u did on this bitch! https://t.co/JZ1netBOhT \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/KJXgOvOCVB'",en,
1638376688466952193,2023-03-22T03:06:56.000Z,b'Droppin a fire song w/ my bro @LarryJuneTFM tomorrow. First time on a @Alchemist beat\xe2\x80\xa6 had to go crazy   \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/15LZzBOUE8',en,
1638276661769801728,2023-03-21T20:29:28.000Z,b'Big Dad \xf0\x9f\x8c\x8d',tl,
1638275504989171712,2023-03-21T20:24:52.000Z,"b'Count ya blessings n watch them multiply, its that season \xe2\x99\x88\xef\xb8\x8f\xe2\x9c\xa8\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe\xf0\x9f\x8c\x8d https://t.co/8mwyP07Gze'",en,
1637947878374244352,2023-03-20T22:43:00.000Z,"b'Aries season like a mufucka! Spring equinox, its on! Wishing yall alotta of prosperity, abundance n whatever else is meant for you \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe\xe2\x99\x88\xef\xb8\x8f\xe2\x9c\xa8'",en,
1637604576210866177,2023-03-19T23:58:50.000Z,b'Sometimes you gotta reset some boundaries u let fade over time \xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe',en,
1636946301517705216,2023-03-18T04:23:05.000Z,b'How I\xe2\x80\x99m dumpin on sh*t all year!! RIP LIL KEED \xf0\x9f\x8c\xb9\xf0\x9f\x8c\x8d\xf0\x9f\x94\xa5\xf0\x9f\xa4\xb2\xf0\x9f\x8f\xbe https://t.co/SHzDnb1PsR',en,
1636800679678472192,2023-03-17T18:44:26.000Z,b'RIP Keed \xf0\x9f\x8c\xb9 https://t.co/gtEo557JRn',en,
