twitter_id,date,tweet,lang,data
1680637310315151360,2023-07-16T17:55:34.000Z,b'Hail to our new king Carlos Alcaraz!!!! Ridiculous shotmaking and got to literally everything. I had a great time! Now Djoker can move into the aging star/belated fan favorite stage of his career.',en,
1679891452200095744,2023-07-14T16:31:47.000Z,b'RT @itsbrianbarrett: New \xe2\x80\x9cOff The Pike\xe2\x80\x9d Pod!\n\n@ac13alex \n\n- The improving defense \n- Bello\xe2\x80\x99s breakout season \n- Paxton\xe2\x80\x99s fastball \n- Jansen\xe2\x80\xa6',en,
1679890079198883840,2023-07-14T16:26:20.000Z,b'It\xe2\x80\x99s fine. https://t.co/oUDeChUdoI',en,
1679706054165417985,2023-07-14T04:15:05.000Z,"b'New BS Podcast w/ @CKlosterman \xe2\x80\x94 Portland\xe2\x80\x99s dilemma, autobiography docs, most influential musicians of past 15 years, ghosts, the rise of unexplained phenomena, memory loss, the reading drought\xe2\x80\xa6 this just keeps going\xe2\x80\xa6 \n\nhttps://t.co/4B2T62qMF8'",en,
1679520092365938689,2023-07-13T15:56:08.000Z,b'RT @ringernba: One relatively under-the-radar suitor makes as much sense as any of the other teams interested in Dame: the Raptors.\n\n@Micha\xe2\x80\xa6',en,
1679239307062829056,2023-07-12T21:20:24.000Z,"b'RT @ringer: At ESPN, there aren\xe2\x80\x99t many shows that @stephenasmith doesn\xe2\x80\x99t make an appearance on. Does it ever get to be too much?\n\nHe spoke\xe2\x80\xa6'",en,
1679143025673641986,2023-07-12T14:57:48.000Z,b'Ha and it was in the \xe2\x80\x98Elway to Marino\xe2\x80\x99 30 for 30 that we did in 2013. One of the only good things about getting old is completely forgetting shit you already knew and then being re-surprised. I used to remember everything!',en,
1679141792770580480,2023-07-12T14:52:54.000Z,b'More on the Elway trade that wasn\xe2\x80\x99t\xe2\x80\xa6 can\xe2\x80\x99t believe Teenage Conspiracy Bill missed this whole story in 1983. \n\nhttps://t.co/PSLsKGMINd',en,
1679140605073453057,2023-07-12T14:48:11.000Z,b'This piece is bonkers! There are like 20 \xe2\x80\x9cwhat???\xe2\x80\x9d moments but I think the one that stunned me the most was Al Davis believing the league blocked him on a John Elway trade in 1983. Somehow never heard that one. Incredible football What-If.\n\nhttps://t.co/9ad8bAIgBL',en,
1678977732120813569,2023-07-12T04:00:59.000Z,b'New BS Podcast: an hour-long convo w/ @stephenasmith. Yeah basketball came up.\n\nhttps://t.co/6kn2kw7lgX',en,
1678878543495979008,2023-07-11T21:26:51.000Z,b'RT @BillSimmons: New @TheRewatchables \xe2\x80\x94 COURTROOM MONTH continues with \xe2\x80\x98A Time To Kill\xe2\x80\x99 (with me + @wesley_morris).\n\nhttps://t.co/fOw7839XI7',en,
