twitter_id,date,tweet,lang,data
1680246520585789445,2023-07-15T16:02:42.000Z,b'@joma_gc \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',qme,
1679910258553257984,2023-07-14T17:46:31.000Z,b'Good news from Cycling Governing Body today. Protect Women\xe2\x80\x99s Sports! I cannot believe we have to keep saying this. https://t.co/0UMv273ND2',en,
1678483505402245120,2023-07-10T19:17:07.000Z,b'@ClayTravis @Riley_Gaines_ @Outkick Congrats!!! @Riley_Gaines_ and the entire @Outkick team!!!',en,
1678244821348282370,2023-07-10T03:28:40.000Z,b'@RichardGrenell Don\xe2\x80\x99t forget it\xe2\x80\x99s listed director @KyleGAdema',en,
1678146562571272193,2023-07-09T20:58:13.000Z,b'@DonaldJTrumpJr \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8',qme,
1678136263826866176,2023-07-09T20:17:18.000Z,b'My goodness\xe2\x80\xa6emotional much - too much estrogen? Are you transitioning? You have bigger breasts than me! https://t.co/spxWOTnPfr https://t.co/C8uH1DwI3T',en,
1677869869251829760,2023-07-09T02:38:44.000Z,"b'@TheLeoTerrell @CortesSteve He would destroy the stage. But with the commanding lead he has, I wouldn\xe2\x80\x99t give the primary field the time of day. Keep running as if this is a general. RDS is quickly quickly tanking.'",en,
1677864877510258688,2023-07-09T02:18:54.000Z,b'Biden could never\xe2\x80\xa6and neither can all the PAC $ behind DeSantis\xe2\x80\xa6get them a moment like this. \nThe walk in \xf0\x9f\x94\xa5 \nThe People\xe2\x80\x99s President! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/EnpFUXqss6',en,
1677863748646866944,2023-07-09T02:14:25.000Z,b'RT @_johnnymaga: HE\xe2\x80\x99S BACK #UFC290 https://t.co/jX1jYjMzn4',en,
1677863642631671808,2023-07-09T02:14:00.000Z,b'RT @bennyjohnson: My Heavens. Who is in the dominant position here? So humiliating \n\nhttps://t.co/6KeN8UaquZ',en,
1677765319463690240,2023-07-08T19:43:18.000Z,b'@NikkiHaley Yes! You are right! Not just in the primaries! We must keep this messaging consistent through to the general as well.',en,
1677761144570929152,2023-07-08T19:26:42.000Z,b'I\xe2\x80\x99d be beyond wealthy if I moved there - but I have an odd feeling they wouldn\xe2\x80\x99t give me the 10k / violation\xe2\x80\xa6 what a joke of a policy! A FARCE! https://t.co/cnXlReUeK6',en,
1677760147278667777,2023-07-08T19:22:45.000Z,b'@HARRISFAULKNER @AmericanAir Gotta love it! \xf0\x9f\x98\x89 hang in there!!',en,
1677481046470967298,2023-07-08T00:53:42.000Z,b'@FOXlightMichael \xf0\x9f\x92\xaf',qme,
1677479109960818688,2023-07-08T00:46:00.000Z,b'@HumanEvents @JackPosobiec The Biden crime family has made the White House a disgrace!',en,
1677477117976805376,2023-07-08T00:38:05.000Z,b'@SalliJames1 Leave the kids alone! Agree!',en,
1677475398853206017,2023-07-08T00:31:15.000Z,b'@mschlapp They definitely know',en,
1677474785536917504,2023-07-08T00:28:49.000Z,b'@FoxNews #IStandWithEvan',qme,
1677474530267373568,2023-07-08T00:27:48.000Z,b'@TheLeoTerrell @ByronDonalds Ohhh it\xe2\x80\x99s so early\xe2\x80\xa6 how about Americas governor @KristiNoem ???',en,
1677474336004014080,2023-07-08T00:27:02.000Z,b'@ClayTravis \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',qme,
1677473635009966080,2023-07-08T00:24:15.000Z,b'@TomiLahren @willcain Great segment @willcain and commentary @TomiLahren you\xe2\x80\x99re sport on - not only laughable - but very scary! Leave the kids alone!! What is wrong with these radicals?!',en,
1677470685436973056,2023-07-08T00:12:31.000Z,b'I was just discussing this on @FoxNews today and now @DeSantisWarRoom just took the video down. Is this an admission of wrong doing? He doubled down on @TomiLahren show calling Trump the \xe2\x80\x9cradical gender ideology pioneer\xe2\x80\x9d a couple days ago. What\xe2\x80\x99s going on? https://t.co/k2SgBfcUCo',en,
1677465673264689152,2023-07-07T23:52:36.000Z,b'@RichardGrenell Did they realize it was a mistake? *waiting for the spin*',en,
1677465454389133314,2023-07-07T23:51:44.000Z,b'Wow\xe2\x80\xa6the anti-gay video was just taken down? Will the campaign acknowledge it was a mistake? @DeSantisWarRoom https://t.co/92huAwXs7C',en,
1677435298073149440,2023-07-07T21:51:54.000Z,b'@mercedesschlapp I don\xe2\x80\x99t think they know what that is over there in this admin\xe2\x80\xa6 esp coming from the briefing room!',en,
1677432627694039041,2023-07-07T21:41:18.000Z,b'RT @Caitlyn_Jenner: Desantis is tanking and @FoxNews let me on A WEEK after this weird video release to give my response. Who in the hell t\xe2\x80\xa6',en,
