twitter_id,date,tweet,lang,data
1679826802796011520,2023-07-14T12:14:54.000Z,b'RT @CalvinHarris: https://t.co/eY3RLtwKpp',zxx,
1679826312699994114,2023-07-14T12:12:57.000Z,b'@EddieMakesGames yes mate 2 years running biggest party on the island try having 40+ hits over 16 years see what happens',en,
1675888458420854786,2023-07-03T15:25:19.000Z,b'https://t.co/eY3RLtwKpp',zxx,
1669633421516177408,2023-06-16T09:10:02.000Z,b'All the Miracle remixes are out now! \n\nhttps://t.co/02Bvdm3Cwm https://t.co/O3WSraw5Op',en,
1669413472008847380,2023-06-15T18:36:02.000Z,b'@GavinDanielsson @JahTalksMusic Thanks mate I agree ha ha',en,
1669362232478646272,2023-06-15T15:12:26.000Z,b'@JahTalksMusic Well don\xe2\x80\x99t worry you won\xe2\x80\x99t see me in your space again \xe2\x9c\x8c\xef\xb8\x8f\xf0\x9f\xa5\xb1',en,
1664693202291392512,2023-06-02T17:59:22.000Z,b'8 WEEKS!!!!!!!!! https://t.co/sEB5z1qrOd',en,
1664693187326234645,2023-06-02T17:59:19.000Z,b'@pinned_someone @chartdata @elliegoulding US will prob like it in 4 years that\xe2\x80\x99s how long it took them with one kiss \xf0\x9f\x98\x86',en,
1664692691144257540,2023-06-02T17:57:20.000Z,"b'@heimdallr59 @RitaOra Lol you don\xe2\x80\x99t even know the story pal, give up now'",en,
1659640254947532814,2023-05-19T19:20:46.000Z,b'Fuckin yessssssssss have ittttttttttt!!!!!!!! \xf0\x9f\xa5\x9b\xf0\x9f\xa5\x9b\xf0\x9f\xa5\x9b\xf0\x9f\xa5\xa9\xf0\x9f\xa5\xa9\xf0\x9f\xa5\xa9 https://t.co/kFBAUi1Pjb',en,
1659639877753774082,2023-05-19T19:19:16.000Z,"b'RT @chartdata: .@CalvinHarris and @elliegoulding\'s ""Miracle"" spends a sixth week at #1 on the UK singles chart. It ties as Calvin\'s second\xe2\x80\xa6'",en,
1650252608228163585,2023-04-23T21:37:36.000Z,b'\xf0\x9f\x98\xae\xf0\x9f\x98\xae\xf0\x9f\x98\xae https://t.co/DGh6rKqiR1',art,
1650052419496312832,2023-04-23T08:22:07.000Z,b'@dancingastro Stage was already running late and I couldn\xe2\x80\x99t go over this time \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',en,
1649268409983700992,2023-04-21T04:26:45.000Z,b'Mau P remix of Miracle is here!!!\n\nhttps://t.co/PX4XAfij9v',en,
1646455413796118531,2023-04-13T10:08:54.000Z,b'See you Saturday night! https://t.co/N7IV9fCvCT',en,
1643564656940777474,2023-04-05T10:42:04.000Z,b'@thecounciltale @StevieCarnie @HannahLaingDJ Fully missing the point here. I\xe2\x80\x99ll let you into a secret about all this music stuff pal\xe2\x80\xa6you\xe2\x80\x99re not supposed to hear the time and effort\xe2\x80\xa6and surely I couldn\xe2\x80\x99t be  responsible for how that vocal *sounds* could I? \xf0\x9f\xa4\xaf',en,
1641777683158958080,2023-03-31T12:21:17.000Z,b'It\xe2\x80\x99s outtttt\n\nhttps://t.co/0GwS7k9HYY https://t.co/5t1RnBLfbC',en,
1641669193342009345,2023-03-31T05:10:11.000Z,b'Miracle church version is out everywhere now! @elliegoulding \n\nhttps://t.co/0GwS7k9HYY',en,
1640883518732668928,2023-03-29T01:08:11.000Z,b'Love this https://t.co/OEQxi0HKtJ',en,
1640461241557868544,2023-03-27T21:10:12.000Z,b'Wow Miracle must be my most remixed record of all time haha',en,
1640264924210532353,2023-03-27T08:10:07.000Z,b'Wow! https://t.co/jUyBdomlmv',qst,
1640086068912599041,2023-03-26T20:19:24.000Z,b'Epic https://t.co/PejQNMPKdH',en,
1639987889521188867,2023-03-26T13:49:17.000Z,b'\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/heLg545PGv',art,
1639984489643511808,2023-03-26T13:35:46.000Z,b'Anyone got videos of @HARDWELL playing his Miracle remix last night? \xf0\x9f\x91\x80',en,
1639559460514582528,2023-03-25T09:26:51.000Z,b'Miracle video is here! \xf0\x9f\xaa\xac\xf0\x9f\xaa\xac\xf0\x9f\xaa\xac https://t.co/L1MIv2d35c',en,
1639267843756703747,2023-03-24T14:08:04.000Z,b'https://t.co/CMziZiAuOf',zxx,
1639253931296698368,2023-03-24T13:12:47.000Z,b'https://t.co/HRm2h6xL2v',zxx,
1638970937562263561,2023-03-23T18:28:16.000Z,b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 https://t.co/b7akcnZxqY',art,
1638662443890012161,2023-03-22T22:02:26.000Z,b'I love it! https://t.co/gE0jLR2gAF',en,
1638620685152178176,2023-03-22T19:16:30.000Z,b'Love itttt https://t.co/3mb3KkmT6m',en,
1637588444011429889,2023-03-19T22:54:44.000Z,b'\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a https://t.co/1kcnUZbyxF',art,
1636817071689416704,2023-03-17T19:49:35.000Z,"b'Miracle in at number 3 UK, so happy you like it - cheers!!! cc @elliegoulding \n\nhttps://t.co/JDV2UDAtbG'",en,
1635758411399741440,2023-03-14T21:42:50.000Z,b'\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a https://t.co/4XgDcME3Nb',art,
1634253036909629445,2023-03-10T18:01:01.000Z,b'RT @elliegoulding: Miracle with @CalvinHarris is out now \xf0\x9f\x98\x83 so excited to have this one out - let us know what you think \xf0\x9f\x92\x9bhttps://t.co/SDZkX\xe2\x80\xa6',en,
1634242384317001733,2023-03-10T17:18:41.000Z,"b""RT @DJmag: .@CalvinHarris goes full-on '90s trance on his new single with @elliegoulding \xf0\x9f\x9a\xa8\n\nhttps://t.co/j81UkN1bPa""",en,
1634204667629404162,2023-03-10T14:48:49.000Z,"b""RT @nicholasceci: everytime @CalvinHarris and @elliegoulding collab you know, even before you liste to the song, that it's gonna be a BANGE\xe2\x80\xa6""",en,
1634196104446201861,2023-03-10T14:14:47.000Z,b'RT @positvlyjess: WOWWWWW @CalvinHarris new song \xe2\x80\x9cMiracle\xe2\x80\x9d with @elliegoulding has me crying/dancing/goosebumps\xe2\x80\xa6all of it. This song is eve\xe2\x80\xa6',en,
1634195720184930304,2023-03-10T14:13:16.000Z,b'RT @Deanorourke: Miracle is a banger @CalvinHarris @elliegoulding \xf0\x9f\x94\xa5\xf0\x9f\x95\xba\xf0\x9f\x8f\xbc',en,
1634195436826247168,2023-03-10T14:12:08.000Z,b'RT @koolaidmonsta: the new @CalvinHarris @elliegoulding tune is already the song of the year',en,
1634161099082792962,2023-03-10T11:55:41.000Z,b'RT @CalvinHarris: https://t.co/JDV2UDAtbG\n\nHope you enjoy \xf0\x9f\x98\x8f',en,
1634135593348128769,2023-03-10T10:14:20.000Z,b'Yesssssssssssss https://t.co/pIbUgQ4Y1b',und,
1634093589658574853,2023-03-10T07:27:26.000Z,b'https://t.co/JDV2UDAtbG\n\nHope you enjoy \xf0\x9f\x98\x8f',en,
1633180639712124929,2023-03-07T18:59:42.000Z,b'Miracle is coming on Friday! @elliegoulding https://t.co/ViBthEDFHU',en,
1633116519688200192,2023-03-07T14:44:54.000Z,b'It\xe2\x80\x99s cominggggggg https://t.co/UN1EqnDlOC',en,
1633116476411465729,2023-03-07T14:44:44.000Z,b'RT @elliegoulding: Omg\xe2\x80\xa6 it\xe2\x80\x99s coming. #Miracle \xe2\x9c\xa8\xf0\x9f\xa4\xa4\xf0\x9f\xab\xa0',en,
1633116353086226432,2023-03-07T14:44:15.000Z,b'@SonyMusicPubUK \xf0\x9f\x98\xad\xe2\x9d\xa4\xef\xb8\x8f',qme,
1633073941076910083,2023-03-07T11:55:43.000Z,b'@SonyMusicPubUK You\xe2\x80\x99d think you\xe2\x80\x99d get the title right being the publisher n all',en,
1630622585028329483,2023-02-28T17:34:54.000Z,b'Amazing idea for wedding song!!! https://t.co/Vxe5mrs7LI',en,
1628413504322473985,2023-02-22T15:16:48.000Z,"b'@seaninsound @Darkstar @eli1ah No you did the first album, and yes I remember it well because it went a long way in shaping my opinion of people in your line of work. Something along the lines of \xe2\x80\x98absolute bunch of cunts\xe2\x80\x99'",en,
1628404469279883264,2023-02-22T14:40:54.000Z,"b'@seaninsound @Darkstar @eli1ah That\xe2\x80\x99s right mate fighting the good fight, shitting on a lad from dumfries with an advance big enough to last 3 months out of his job at the fish factory, on his first album he made entirely without any help from any cunt thank god for your crucial opinion'",en,
1613589120089219072,2023-01-12T17:29:59.000Z,b'Back in studio with @elliegoulding !! \xf0\x9f\x92\xbf https://t.co/1uJV8E7NqW',en,
1610652479825367041,2023-01-04T15:00:50.000Z,b'@DaneBaptweets These aren\xe2\x80\x99t my songs',en,
1609995293642080256,2023-01-02T19:29:24.000Z,b'We Found Love just hit 1 Billion streams on Spotify 12 years later !! Still can\xe2\x80\x99t believe what this song did! Cheers @rihanna \xf0\x9f\x99\x8f',en,
1596670237406990337,2022-11-27T01:00:23.000Z,"b'@georgegriffiths Entire thing is a myth, there is one unreleased song i worked on and it isn\xe2\x80\x99t good'",en,
1582437134505369601,2022-10-18T18:23:07.000Z,"b'@wearecrapsons I paid fair and square, and loved every minute of it'",en,
1582413979141689346,2022-10-18T16:51:07.000Z,"b'@wolfofwalgrnz And what mate, I made both of them \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f I win, I\xe2\x80\x99m better than me'",en,
1582375129308618752,2022-10-18T14:16:44.000Z,b'One Kiss still doing it eh',en,
1580268221089083392,2022-10-12T18:44:38.000Z,b'Needed a more metallic hi hat like not really distorted',en,
1570137858404651008,2022-09-14T19:50:11.000Z,b'I\xe2\x80\x99m looking well https://t.co/FsN0OH3Wev',en,
1563196162303471616,2022-08-26T16:06:22.000Z,"b'Because I write, produce, mix, play every instrument and sometimes vocal. We found love, Summer, Feel so close for example 100% publishing because I did everything. Only reason I got Frank Ocean feature was he told me we found love was one of his favorite songs. I wrote that song https://t.co/aIc0Wktscb'",en,
1562135262162984962,2022-08-23T17:50:44.000Z,b'\xe2\x9c\x8c\xef\xb8\x8f',art,
1558943354553073665,2022-08-14T22:27:14.000Z,b'RT @ohfckitsb: That fucking @CalvinHarris album is just magical. Got damn it',en,
1556704679022698499,2022-08-08T18:11:32.000Z,b'RT @OfficerStephNY: I DEMAND to know what @CalvinHarris put in funk wav bounces vol. 2 bc I *know* it wasn\xe2\x80\x99t just funk wav bounces https://\xe2\x80\xa6',en,
1556654536495960065,2022-08-08T14:52:17.000Z,"b""RT @Chelseeea92: Not even joking, I've been streaming from the moment I woke up on Friday. I love it so much, @CalvinHarris you've smashed\xe2\x80\xa6""",en,
1556654217590366209,2022-08-08T14:51:01.000Z,b'RT @DjM_Eazy: @CalvinHarris bruh u BODIED this funky wavs bounces vol. 2\xe2\x80\xa6this what the summer needed. \xf0\x9f\x90\x90\xf0\x9f\xa4\x9f\xf0\x9f\x8f\xbd\xf0\x9f\x94\xa5',en,
1556654091555725312,2022-08-08T14:50:31.000Z,b'RT @lorenabobitt: I cannot get enough of funk wav bounces vol 2. @CalvinHarris killed it again. Such summer cruising vibes',en,
1556562822594707458,2022-08-08T08:47:51.000Z,"b'RT @crown_re_becca: This whole album is a vibe, every arist featured and @CalvinHarris understood the ""Funk"" assignment. \xe2\x9d\xa4\xf0\x9f\x91\x91\xe2\x9d\xa4\xf0\x9f\x91\x91\xe2\x9d\xa4'",en,
1556562780081332224,2022-08-08T08:47:40.000Z,"b'RT @jerzeepeech: OMG!! I\xe2\x80\x99m in LOVEEEEEEE with @CalvinHarris new album. It\xe2\x80\x99s definitely a feel good kinda hitta. Like, a ride with the top d\xe2\x80\xa6'",en,
1556366066015666186,2022-08-07T19:46:00.000Z,b'Vol.2 is here\xe2\x80\xa6anybody who\xe2\x80\x99s downloaded or streamed\xe2\x80\xa6thank you!!\n\nhttps://t.co/S7aoZn5Qr6',en,
1556347949143232512,2022-08-07T18:34:01.000Z,b'RT @_itsmearbie: Amen @CalvinHarris has blessed us again',en,
1556347908005429252,2022-08-07T18:33:51.000Z,"b'RT @lmendezyx: Alright, last one from me. Absolute summer VIBES from this new @CalvinHarris album. Major WAVES \xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a See you till Vol. 3 http\xe2\x80\xa6'",en,
1556298184221249536,2022-08-07T15:16:16.000Z,b'RT @Dreter: @CalvinHarris Funk Wav Bounces Vol.2 track after track! Unexpected and surprised how amazing this album is. #albumoftheyear',en,
1556267229020409859,2022-08-07T13:13:16.000Z,b'RT @califucking: THIS ALBUM IS A WORK OF ART. THANK YOU \xf0\x9f\x98\xad @CalvinHarris https://t.co/VL4F5JLDZ2',en,
1556189696820236288,2022-08-07T08:05:10.000Z,b'RT @EliasBerbari: Thanks be to the god for the new @CalvinHarris album. It\xe2\x80\x99s just fun music. Good car vibes.',en,
1556036299886395394,2022-08-06T21:55:38.000Z,b'Combine with Vol.1 for a 1 hour 23 min experience \nhttps://t.co/rK6hHvXOnf https://t.co/ZkL9R1ZwWH',en,
1556011378795847682,2022-08-06T20:16:36.000Z,b'RT @emma_yrnh: Zoning out. Such a long time coming @CalvinHarris \n\n https://t.co/wgqKfO3l1Z',en,
1556011312462938112,2022-08-06T20:16:20.000Z,"b""RT @zachgloria52: Funk Wav Bounces Vol. 2. That's it. That's the tweet. @CalvinHarris This is the music my soul needs right now. It just ma\xe2\x80\xa6""",en,
1555948363559870467,2022-08-06T16:06:12.000Z,b'RT @squance_matthew: Nahh this is too good \xf0\x9f\x94\xa5 Stay With Me in repeat for the foreseeable future @CalvinHarris da \xf0\x9f\x90\x90 no \xf0\x9f\xa7\xa2\nhttps://t.co/TbOOkwm\xe2\x80\xa6',en,
