twitter_id,date,tweet,lang,data
1678833041123209242,2023-07-11T18:26:02.000Z,b'@RebelsGaming @R4venlol @dajorlol @Beaneuw @obstinatus1 @Prod1LoL @PawnedLoL @TeamRazer @Kelmesports @N26ES @LVPesLoL We\xe2\x80\x99ll be back \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbc',en,
1678476154183774225,2023-07-10T18:47:54.000Z,b'@RebelsGaming @EXCEL @nelicsv @didii_val @CecilieKallio @Scarlettglh @devilasxa @TeamRazer @Kelmesports @N26ES @temphys \xf0\x9f\x91\x89\xf0\x9f\x8f\xbc\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa6\xb1',qme,
1677671990910484480,2023-07-08T13:32:26.000Z,b'I just wanted to send this farewell message to all Manchester United supporters. \n\nI would like to express my unwavering gratitude and appreciation for the love from the last 12 years. We\xe2\x80\x99ve achieved a lot since my dear Sir Alex Ferguson brought me to this club. I took incredible\xe2\x80\xa6 https://t.co/6GrHj7t3N1 https://t.co/6R7ezOEf1E',en,
1676933931621310464,2023-07-06T12:39:39.000Z,b'\xf0\x9f\xa4\xb9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',art,
1675273628101877760,2023-07-01T22:42:12.000Z,b'Life is beautiful \xe2\x9d\xa4\xef\xb8\x8f',en,
1674071220604616708,2023-06-28T15:04:16.000Z,b'\xf0\x9f\xa5\xb1',art,
1673996484600123396,2023-06-28T10:07:17.000Z,b'@DaniKongi Algo que decir de la clase gratuita?? \xf0\x9f\xa4\xab',es,
1673461565385760769,2023-06-26T22:41:43.000Z,b'@Mixwell @RachelXGin @DaniKongi @Fabicoco7 @EstelaMiralles @AirynDv Brutal \xf0\x9f\x8e\xac',no,
1671474047438278656,2023-06-21T11:04:02.000Z,b'@RebelsGaming @DaniKongi Este t\xc3\xado no aprende \xf0\x9f\x98\x82\xf0\x9f\x98\x82',es,
1670790124093710340,2023-06-19T13:46:22.000Z,b'\xf0\x9f\x98\x8e https://t.co/rZdy1GR0HX',qme,
1667213946305101824,2023-06-09T16:55:54.000Z,b'Relax. Recharge. Contemplate. https://t.co/39WmiHIaF2',pt,
1664010996187365380,2023-05-31T20:48:31.000Z,b'@ZoK3R \xe2\x9d\xa4\xef\xb8\x8f',qme,
1663657679280123904,2023-05-30T21:24:34.000Z,b'@juanmata8 @GalatasaraySK @Galatasaray Daleeeeeeee!!!!!! \xf0\x9f\x8f\x86',it,
