twitter_id,date,tweet,lang,data
1679987037250760705,2023-07-14T22:51:36.000Z,"b'Pick a color, any color \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 9 vinyl variants available #dollyrockstar https://t.co/vioy8plkOB https://t.co/gxX5rMKLKF'",en,
1679945988864106501,2023-07-14T20:08:30.000Z,"b'Yay! Merry Christmas! I just found out we got nominated for an Emmy on our @nbc \xe2\x80\x9cMagic Mountain Christmas\xe2\x80\x9d. Let\xe2\x80\x99s hope we win. I would like to thank the Tennessee Film Commission for their assistance in making the film at @Dollywood, as well as to all involved and most\xe2\x80\xa6 https://t.co/Go43iPSv0C https://t.co/GqN9m7LDNE'",en,
1676992066583252992,2023-07-06T16:30:40.000Z,b'50 years ago #CMAFest started in Nashville and it was the greatest thing ever! Stream \xe2\x80\x9cCMA Fest: 50 Years of Fan Fair\xe2\x80\x9d on Hulu today and see how it all started \xe2\x9d\xa4\xef\xb8\x8f @CountryMusic https://t.co/vKqcNPxBdt',en,
1675524546051428352,2023-07-02T15:19:16.000Z,"b'The first-ever vinyl release of \xe2\x80\x98For God and Country\xe2\x80\x99 is coming to @VinylMePlease! You can order it on 2LP \xe2\x80\x9cRed, White and Bluegrass\xe2\x80\x9d vinyl today!\n\nThere are only 2,000 copies, so get it here while you can: https://t.co/Qb3937N9jp https://t.co/CEV3pxN2Pw'",en,
1674836116371898368,2023-06-30T17:43:41.000Z,"b'Let bygones, be bygones \xf0\x9f\x8e\xb6 https://t.co/PrkZIPhd3o'",en,
1674766487725264899,2023-06-30T13:07:00.000Z,"b'Thank you to #TheOneShow for having me on today. My new album \xe2\x80\x9cRockstar\xe2\x80\x9d is available to pre-order now!\n\nOut Nov 17th on CD, Vinyl, Boxsets and Download:\nhttps://t.co/9YSkRRTV0v https://t.co/8pdImMRfcP'",en,
1674089309387776001,2023-06-28T16:16:09.000Z,"b'RT @dollyslibrary: Join us in celebrating a monumental milestone: Over 200 million books gifted worldwide! Enroll your child by July 31, 20\xe2\x80\xa6'",en,
1672338104735219713,2023-06-23T20:17:29.000Z,"b'From @Dollywood to Hollywood, Tony Chase was so creative with all the embellishments on my gowns. I love looking at his sketches for the intricate beadwork. I wore this blue dress on tour in the 1990s, and the lavender and purple one for the premiere of Steel Magnolias in\xe2\x80\xa6 https://t.co/14q2qEaHpM https://t.co/lx5Sy5wqEh'",en,
1671311905774764034,2023-06-21T00:19:44.000Z,"b""I'm so honored that my Mountain Magic Christmas was the most viewed TV movie of the year! I feel so humbled, yet proud. Thank you! @TelevisionAcad \xe2\x9d\xa4\xef\xb8\x8f https://t.co/3aDmOr4EsT""",en,
1669751111912239107,2023-06-16T16:57:42.000Z,b'I\xe2\x80\x99m rockin\xe2\x80\x99 with @iHeartRadio for the official World Premiere of my song \xe2\x80\x9cBygones\xe2\x80\x9d (Feat. Rob Halford) with special guests @NikkiSixx and @john5guitarist! You can head to your favorite iHeartRadio Classic Rock station and blast it all day long \xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb6 https://t.co/rXSeuBNM4O',en,
1669713960398905346,2023-06-16T14:30:04.000Z,b'\xe2\x80\x9cMagic Man (Carl Version)\xe2\x80\x9d featuring @annwilson and special guest #HowardLeese. Out now. https://t.co/KTR9JPsNuY https://t.co/zYwmxbl1PJ',en,
1669713652255977473,2023-06-16T14:28:51.000Z,b'\xe2\x80\x9cBygones\xe2\x80\x9d featuring #RobHalford of @JudasPriest and special guests @NikkiSixx &amp; @john5guitarist. Out now. https://t.co/USRQxy9kqu https://t.co/kXuz2PNUJk',en,
1669563271018340352,2023-06-16T04:31:17.000Z,"b'Two brand new tracks from Rockstar are out now! \xe2\x80\x9cBygones\xe2\x80\x9d featuring #RobHalford of @JudasPriest with special guests @NikkiSixx, @john5guitarist and \xe2\x80\x9cMagic Man (Carl Version)\xe2\x80\x9d featuring @annwilson with special guest #HowardLeese are out now!  Stream wherever you get your music \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x80\xa6 https://t.co/ShIB2Yp18h https://t.co/wwKS9420oV'",en,
1669393395402276893,2023-06-15T17:16:15.000Z,"b""Can you believe it's the 55th anniversary of 'Just Because I'm a Woman'? Celebrate and get it on vinyl with a special merch item as part of my monthly record club \xe2\x80\x94 Vinyl Me, Parton. \xf0\x9f\x98\x89\n\nLearn more about my club at @VinylMePlease: https://t.co/jsbCwBuveU https://t.co/wAew1PAR5Z""",en,
1668768262035841024,2023-06-13T23:52:12.000Z,b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/OYu53MpzWo',qme,
1668380526292480001,2023-06-12T22:11:29.000Z,b'\xe2\x80\x98Dolly Parton\xe2\x80\x99s Magic Mountain Christmas\xe2\x80\x99 is up for nomination for best holiday movie at this year\xe2\x80\x99s Emmy Awards! Thank you @TelevisionAcad \xe2\x9d\xa4\xef\xb8\x8f https://t.co/3OvlsO4IQr',en,
1666511554030739465,2023-06-07T18:24:51.000Z,b'My calendar books up so far in advance! #ParisOlympics @nbcolympics \xf0\x9f\x87\xab\xf0\x9f\x87\xb7\xf0\x9f\xa5\x87 https://t.co/qTRM1SoPmq',en,
1665775958442270722,2023-06-05T17:41:51.000Z,b'What has rock n\xe2\x80\x99 roll ever done for you \xf0\x9f\x8e\xb6  Click the link to pre-order \xe2\x80\x98Rockstar\xe2\x80\x99 now! https://t.co/9YSkRRTV0v https://t.co/1k8WB1yaxb',en,
1665151694274011138,2023-06-04T00:21:15.000Z,b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/1wHfVBR3uU',qme,
1661535661147451394,2023-05-25T00:52:26.000Z,b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/GoZlKOvPIJ',qme,
1659992593785126916,2023-05-20T18:40:50.000Z,b'Behind the scenes of \xe2\x80\x98Rockstar\xe2\x80\x99 \xe2\x9c\xa8 Pre-order my new album now! #dollyrockstar https://t.co/9YSkRRTV0v https://t.co/7lzKC6gYYr',en,
1659330182581309440,2023-05-18T22:48:39.000Z,"b""'Blue Smoke' shares a part of my history and home, and includes covers of artists I admire. I can't wait for everyone to get it next month in their Vinyl Me, Parton shipments. \xf0\x9f\x92\x93 Join my record club at @VinylMePlease : https://t.co/EwUqM2Pac0 https://t.co/t9AWsXtLJy""",en,
1657171713270874116,2023-05-12T23:51:39.000Z,"b'Are you ready for \xe2\x80\x98Rockstar?\xe2\x80\x99 Box Sets, Vinyl and CDs are available now for pre-order! Grab some before they\xe2\x80\x99re gone \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xf0\x9f\x8e\xb8\xe2\xad\x90\xef\xb8\x8f #dollyrockstar https://t.co/zVgiCKuX9g https://t.co/urT317a4EC'",en,
1656910808427683843,2023-05-12T06:34:55.000Z,"b'RT @ACMawards: No one lights up the #ACMawards stage like @DollyParton with her WORLD PREMIERE performance of ""World On Fire"" \xf0\x9f\x94\xa5 \n\nCatch up\xe2\x80\xa6'",en,
1656889634230611971,2023-05-12T05:10:46.000Z,"b""Show some love, let's rise above \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 The official music video for \xe2\x80\x9cWorld On Fire\xe2\x80\x9d from tonight\xe2\x80\x99s performance at the @ACMawards is out now! https://t.co/teXfc2DyDA https://t.co/THes9drC2Y""",en,
1656782163994353664,2023-05-11T22:03:44.000Z,"b'Lights, camera, action\xe2\x9c\xa8 Tune in tonight to the @ACMawards only on @PrimeVideo #ACMawards https://t.co/FE4n3HCZ1F'",en,
1656660568215011334,2023-05-11T14:00:33.000Z,"b'Hello world! My new single, \xe2\x80\x9cWorld On Fire\xe2\x80\x9d off my upcoming album, \xe2\x80\x98Rockstar\xe2\x80\x99 is out now. Listen wherever you stream your music and tune in to the @ACMawards tonight on @primevideo for my live performance \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 https://t.co/8wzOLehQZ5 https://t.co/Q2KKhACWXJ'",en,
1656316039909593089,2023-05-10T15:11:31.000Z,b'We\xe2\x80\x99re already having a good time! Tune in to the @ACMawards tomorrow night on @PrimeVideo to see @garthbrooks and I have even more fun \xf0\x9f\x98\x89 #ACMawards https://t.co/cv5t2xQKfm',en,
1656134245851561984,2023-05-10T03:09:08.000Z,b'What an amazing performance by @gracewestmusic on @NBCTheVoice! Thanks for showing my song \xe2\x80\x9cHere You Come Again\xe2\x80\x9d some love \xe2\x9d\xa4\xef\xb8\x8f https://t.co/BLbnH5msiR',en,
1656076895622946817,2023-05-09T23:21:14.000Z,"b'Here\xe2\x80\x99s a sneak peek of my pop-up, \xe2\x80\x98Dolly! All Access\xe2\x80\x99 kicking off today at @thestarinfrisco, Texas. Stop by if you\xe2\x80\x99re in town, you won\xe2\x80\x99t want to miss it! \xf0\x9f\x92\x98 https://t.co/ymbR0wslRB'",en,
1656046377724461093,2023-05-09T21:19:58.000Z,b'\xe2\x80\x9cWorld On Fire\xe2\x80\x9d out Thursday. \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 https://t.co/8wzOLehj9x https://t.co/CjToAlgmVf',en,
1655981029457362952,2023-05-09T17:00:18.000Z,b'I\xe2\x80\x99m a rockstar now! My new album \xe2\x80\x98Rockstar\xe2\x80\x99 is coming November 17 and it\xe2\x80\x99s available for pre-order. Let\xe2\x80\x99s rock n\xe2\x80\x99 roll \xf0\x9f\x8e\xb8\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 https://t.co/9YSkRRTV0v https://t.co/EEBii6BYCv',en,
1655961484889923584,2023-05-09T15:42:38.000Z,b'Who\xe2\x80\x99s ready to rock?! #dollyrockstar https://t.co/SsBqqd0mL6',en,
1654493263682760708,2023-05-05T14:28:27.000Z,b'We can\xe2\x80\x99t be 21 forever\xe2\x80\xa6 but I wish we could! \xe2\x80\x9c21 Forever\xe2\x80\x9d with @janson_chris and @Slash is out now! https://t.co/rRKatE18tK https://t.co/khv3a52RPN',en,
