twitter_id,date,tweet,lang,data
1663965198913536004,2023-05-31T17:46:33.000Z,b'All episodes of #SaintXOnHulu available now @hulu https://t.co/fd7mhPSOZc',en,
1651314257542393868,2023-04-26T19:56:13.000Z,b'RT @drakerelated: It\xe2\x80\x99s All A Blur Tour @Drake @21savage updates and new dates announced: https://t.co/b4qbtMMjwx https://t.co/jZMrR2NWu7',en,
1651314210507468803,2023-04-26T19:56:02.000Z,"b'Welcome to Saint X. The first three episodes are now streaming, only on @hulu. #SaintXOnHulu @saintxonhulu https://t.co/0tS2EiDJLJ'",en,
1650549001241120769,2023-04-24T17:15:22.000Z,b'RT @OVOSound: \xe2\x80\x9cYoung Boy Problems\xe2\x80\x9d Out Now @RoyWoods \n\nhttps://t.co/xv1XmwJQED https://t.co/s8zeWf4FAd',en,
1644188893259124736,2023-04-07T04:02:34.000Z,b'RT @OVOSound: SEARCH &amp; RESCUE OUT NOW ON ALL PLATFORMS\n@Drake \nhttps://t.co/rSbxh0Q8y3 https://t.co/61j6kUuY5W',en,
1644085820561948672,2023-04-06T21:12:59.000Z,b'RT @OVOSound: SEARCH &amp; RESCUE OUT AT MIDNIGHT ON ALL PLATFORMS\n@Drake https://t.co/w1LxSccUlm',en,
1644085704748863488,2023-04-06T21:12:32.000Z,"b'RT @OVOSound: ""Nicky Nine Door"" Single and Official Video Out Now @smiley61st \n\nhttps://t.co/CCAKtQ65zH https://t.co/Wt2Z81ydt5'",en,
1636412694889889792,2023-03-16T17:02:44.000Z,"b'RT @drakerelated: Exclusive presale ticket access from @Sprite here: https://t.co/LKOPACV375\n\nToday only, limited quantities. https://t.co/\xe2\x80\xa6'",en,
1636022749935329281,2023-03-15T15:13:14.000Z,"b'RT @drakerelated: IT\xe2\x80\x99S ALL A BLUR TOUR\n@Drake &amp; @21savage \n\n@CashApp card presale starts this Wednesday, 3/15/23. Anyone 13 and up in the U\xe2\x80\xa6'",en,
1635299167571701767,2023-03-13T15:17:58.000Z,b'RT @OVOSound: IT\xe2\x80\x99S ALL A BLUR TOUR\nwith @Drake &amp; @21savage\n\nDates now live on https://t.co/HhizEVu5LP click the link in bio for more inform\xe2\x80\xa6',en,
1629209724364410880,2023-02-24T20:00:42.000Z,b'RT @OVOSound: SPIN BOUT U (Official Video) @Drake x @21savage \n\nhttps://t.co/B3NFLfPZXg https://t.co/UTRGPN7rqI',en,
1618990072166240256,2023-01-27T15:11:27.000Z,b'RT @OVOSound: New Album \xe2\x80\x98GREAT IS HE\xe2\x80\x99 OUT NOW @popcaanmusic #GIHE \n\nhttps://t.co/9ZEEsSn1Zj https://t.co/wOncLYWJpI',en,
1616307701276868610,2023-01-20T05:32:40.000Z,"b'RT @NaomiSharon: Two new songs for you out now: ""Another Life"" &amp; ""Celestial"". \n\n""Another Life"" Official video on my YouTube\xf0\x9f\xa4\x8d https://t.co/E\xe2\x80\xa6'",en,
1615232999758655488,2023-01-17T06:22:11.000Z,b'RT @OVOSound: JUMBOTRON SHIT VIDEO OUT NOW \n@Drake \n\nhttps://t.co/Q7vCc8jDP1 https://t.co/Wdl0BFIDF4',en,
1614137360396189697,2023-01-14T05:48:30.000Z,b'RT @partynextdoor: \xe2\x80\x9cHer Old Friends\xe2\x80\x9d Out Now.\n\nhttps://t.co/6H6Ra0gKuz https://t.co/M0qfH5Rb8j',en,
1611421206464593922,2023-01-06T17:55:29.000Z,"b'RT @OVOSound: \xe2\x80\x9dWe Caa Done"" ft. @Drake Single and Video Out Now \xe2\x80\x98Great Is He\xe2\x80\x99 Album 1/27 @PopcaanMusic \n\nhttps://t.co/r21thl7rPJ https://t.\xe2\x80\xa6'",en,
1611117562166939648,2023-01-05T21:48:54.000Z,b'RT @OVOSound: New Single and Video \xe2\x80\x9cWe Caa Done\xe2\x80\x9d Out Tonight at Midnight @PopcaanMusic @Drake \n\nhttps://t.co/BERnYmATnW https://t.co/wTizPo\xe2\x80\xa6',en,
1593064875487825920,2022-11-17T02:13:58.000Z,b'RT @OVOSound: Drake &amp; 21 Savage Rich Flex Her Loss Recap Out Now \n\nhttps://t.co/zJR90b1Dlf https://t.co/pNYemtVast',en,
1590866842691973122,2022-11-11T00:39:46.000Z,b'RT @OVOSound: RICH FLEX\n\nhttps://t.co/5I8i7nk7sg https://t.co/ph4Nn2pVi1',de,
1590833871901577221,2022-11-10T22:28:45.000Z,b'RT @OVOSound: \xe2\x80\x98Her Loss\xe2\x80\x99 Out Now - @Drake @21savage @OVO40 \n\xf0\x9f\xa6\x89\xf0\x9f\x94\xaa\n\nhttps://t.co/9BPjMmv472 https://t.co/x1lTipTTG9',en,
1589122381070884864,2022-11-06T05:07:54.000Z,b'RT @OVOSound: SNL musical guests once again  @Drake\xc2\xa0@21savage.\xc2\xa0Thank you for the love. HER LOSS OUT NOW\xc2\xa0\xc2\xa0\xf0\x9f\x97\xa1\xef\xb8\x8f\xf0\x9f\xa5\x80\n\nhttps://t.co/kQFmjjCT0H https\xe2\x80\xa6',en,
1588657228755894272,2022-11-04T22:19:33.000Z,b'HER LOSS Available Everywhere \xf0\x9f\x97\xa1\xef\xb8\x8f\xf0\x9f\xa6\x89\xf0\x9f\xa5\x80 https://t.co/h5tkvg8JNg https://t.co/AI58aeo5qI',en,
