twitter_id,date,tweet,lang,data
1679612791869546496,2023-07-13T22:04:29.000Z,"b""From the US-Africa Leaders Summit, to Namibia, to the @gflaorg \xe2\x80\x93 I continue to be grateful for my friendship with @FirstLadyNam.\n\nMonica, you're a fierce advocate for women and girls in Namibia and beyond \xe2\x80\x93 thank you for raising your voice and helping fellow First Ladies do the\xe2\x80\xa6 https://t.co/rsmynAPrec https://t.co/Q8Lvw4asTx""",en,
1679606841167208448,2023-07-13T21:40:51.000Z,"b'At the @gflaorg Summit, I had the opportunity to reunite with fellow First Ladies from the US-Africa Leaders Summit in December.\n\nIn these moments, we find hope, community, and inspiration in the bonds that connect us across oceans and continents. https://t.co/kh3c806fF5'",en,
1679268659175235584,2023-07-12T23:17:02.000Z,"b'.@MayorGinther and @RepBeatty, thank you both for working with the Administration to strengthen pathways to good jobs.\n\nThe City of Columbus is an example of Bidenomics at the local level \xe2\x80\x93 Joe\xe2\x80\x99s vision to build the economy from the bottom up and the middle out. https://t.co/cQ90jcMghm'",en,
1679268057175191554,2023-07-12T23:14:38.000Z,b'To the students of Columbus State Community College who are training to be the leaders of tomorrow \xe2\x80\x93 you inspire us all! https://t.co/2HMQ9N6GgR',en,
1679257789493911554,2023-07-12T22:33:50.000Z,"b'I\xe2\x80\x99m hitting the road today as part of the Investing in America Tour to see how communities are working together to create new education and training programs to prepare the next generation for jobs of the future. \xc2\xa0\xc2\xa0\n\nFirst stop: Columbus, Ohio! https://t.co/fihw7z2jgh'",en,
1676359639141687296,2023-07-04T22:37:37.000Z,"b'Thank you for having us today, Becky!\n\nJoe and I know how important educators and unions are to our students, our families, and our country. We promise to never stop fighting for you. https://t.co/2oXiV9Tl2V'",en,
1675276404508827656,2023-07-01T22:53:14.000Z,"b'Today marks 50 years of our Nation\xe2\x80\x99s All-Volunteer force \xe2\x80\x94and it continues only because generations of Americans see the honor, dignity, and patriotism of the call to service. \xc2\xa0\n\xc2\xa0\nGod bless our service members and the families who serve alongside them every step of the way. https://t.co/tlVePv223n'",en,
1675276067504881667,2023-07-01T22:51:54.000Z,b'RT @SecDef: Today we celebrate the 50th Anniversary of the All-Volunteer Force.\n\nOur nation\xe2\x80\x99s founding principles continue to inspire men a\xe2\x80\xa6',en,
1674896093681688576,2023-06-30T21:42:01.000Z,b'From the @FoodNetwork all the way to the White House!\n\nCHOPPED champion military chefs Opal Poullard and Dustin Lewis served as guest chefs at the Navy Mess today to cook up some Osso Buco and Seared Scallops ahead of the 4th of July holiday. https://t.co/ByaZNhitkz',en,
1674832055522279441,2023-06-30T17:27:33.000Z,"b'50 years ago the draft ended, and every day since, Americans have chosen to serve and protect our country.\n\nToday, these brave and bold new service members joined our all-volunteer force to keep us safe during times of war and peace. https://t.co/KwFKroLPWf'",en,
1674831785455239199,2023-06-30T17:26:29.000Z,"b'Our military families may not wear a uniform, but they serve, too.\n\nAs these families join the Marine community, Joe and I promise to keep doing everything we can to support them too. https://t.co/ZfpT3daEln'",en,
