twitter_id,date,tweet,lang,data
1674436611575087104,2023-06-29T15:16:12.000Z,b'An honour to receive my MBE from The Prince of Wales.\n\nA very special morning surrounded by so many incredible and inspiring people. https://t.co/SPAXrN2trY',en,
1667510921692864512,2023-06-10T12:35:59.000Z,b'A knockout performance playing PlayStation VR2 at the PS House in Istanbul ahead of the #UCLfinal \xf0\x9f\xa5\x8a \xf0\x9f\x99\x8c  #PlayStationHouse #ad https://t.co/Z2O7YIXeDU',en,
1667218536228372490,2023-06-09T17:14:09.000Z,b'Put through my paces again at #PlayStationHouse in Istanbul #UCLFinal @PlayStation #ad https://t.co/eAquqV4HBZ',en,
1660706491559452678,2023-05-22T17:57:36.000Z,b'Racism has no place in football or society! @LaLiga need to take serious and unequivocal action to stop this from happening. All my support to @vinijr https://t.co/1bsgN7EtTZ',en,
1650966429116628992,2023-04-25T20:54:04.000Z,b'Depends what course \xe2\x9b\xb3\xef\xb8\x8f\xe2\x80\xa6 @RandA https://t.co/j4xHdXnAzs',en,
1647670048209682432,2023-04-16T18:35:26.000Z,b'9 years ago today! Great memories! \xe2\x9a\xbd\xef\xb8\x8f\xf0\x9f\x8f\x86 @realmadrid https://t.co/0a0g7HS5yN',en,
1645798849943048194,2023-04-11T14:39:57.000Z,b'RT @NFLUK: .@GarethBale11 x @JoshAllenQB!\n\nFootball players at #themasters. \xe2\x9b\xb3\xef\xb8\x8f https://t.co/6slXsiHMpu',en,
1645798649010745344,2023-04-11T14:39:10.000Z,b'Special feeling to spend Easter Sunday at Augusta! Congrats to Jon Rahm on the victory \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc @TheMasters https://t.co/OiUYU7PM0K',en,
1643720942089109504,2023-04-05T21:03:06.000Z,b'Unbelievable performance \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc https://t.co/V09VHI3MdE',en,
1641546623183466505,2023-03-30T21:03:08.000Z,b'Thank you for the incredible reception on Tuesday night. It\xe2\x80\x99s been such an honour to represent my country and play in front of the best fans in the world  \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf @Cymru https://t.co/u7KY7uGbbD',en,
1641543609433595904,2023-03-30T20:51:09.000Z,b'RT @Cymru: VIVA GARETH BALE \xe2\x9d\xa4\xef\xb8\x8f\n\n#TogetherStronger https://t.co/ucHa4piC16',it,
