twitter_id,date,tweet,lang,data
1671919233096372225,2023-06-22T16:33:02.000Z,b'1-2-3-4 Go! Records Color Vinyl Exclusives up for pre-order NOW! Ships on July 14th! These are exclusive to our store and not available anywhere else! https://t.co/1cokAGcmId #GreenDay #vinylcollection @1234gorecords https://t.co/i8kJJdAKtX https://t.co/DbGBKlsm09',en,
1669369802341613569,2023-06-15T15:42:30.000Z,"b""RT @OaklandCoffee: We'll be flying one lucky winner &amp; their guest out to attend the Harley-Davidson Homecoming Festival on July 13-16th in\xe2\x80\xa6""",en,
1669369775317831680,2023-06-15T15:42:24.000Z,"b'.@OaklandCoffee + @harleydavidson are giving you the chance to see us perform LIVE at the H-D Homecoming Festival in Milwaukee, WI on July 14th!! \xe2\x98\x95\xf0\x9f\x94\xa5\xf0\x9f\x8e\xb6  go go go enter before 6/21 \xf0\x9f\x8f\x8d\xef\xb8\x8f\xf0\x9f\x92\xa8https://t.co/x8XLtz61T1 https://t.co/Xbh9ZfkyrK'",en,
1654147387185569792,2023-05-04T15:34:04.000Z,b'May the 4th be with @mikedirnt today \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xf0\x9f\x8e\x82 https://t.co/bSUU6cSKFr',en,
1646950023651794947,2023-04-14T18:54:19.000Z,"b'Just launched a special collab with one of our favorite Oakland brands, Rock Roll Repeat. Pre-order is now live, and tbh the collection rules https://t.co/zpeifBoF7u https://t.co/0aVMjLymaD'",en,
1638574010198814721,2023-03-22T16:11:01.000Z,"b""Quebec City, you ready?! Making our return on July 16th at\xc2\xa0@festivaleteqc, it's about to be epic\xc2\xa0https://t.co/JSJ9CEDixb https://t.co/ERMQjuFk2j""",en,
1636042170242068480,2023-03-15T16:30:24.000Z,"b'RT @LTLFest: Get ready for the LOUDEST weekend of the year with Foo Fighters, Green Day, Tool, Avenged Sevenfold, Godsmack, Pantera, Queens\xe2\x80\xa6'",en,
1629894567586611205,2023-02-26T17:22:01.000Z,b'Arizona \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x94\xa5\xf0\x9f\xa5\xb5 You were lit\xf0\x9f\x98\x9c #inningsfestival #greenday https://t.co/tCCVVPqTw3',en,
1628455577289388032,2023-02-22T18:03:59.000Z,b'Doubling down in Vegas for @WWWYFest see you there for day two \xf0\x9f\xa4\x98\xf0\x9f\x8f\xbc\xf0\x9f\x8e\xb2 https://t.co/cUBwbp2QCV https://t.co/vxjZM1rCzD',en,
1626612072447451140,2023-02-17T15:58:33.000Z,b'Happy happy bday to @billiejoe!!! \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xf0\x9f\x8e\x82\xf0\x9f\x8e\x88 https://t.co/vuvz0wMs09',en,
1622649198867890176,2023-02-06T17:31:31.000Z,"b'Lil bit of 4K action for ""Nice Guys Finish Last"" \xf0\x9f\x8e\xb8\xf0\x9f\x8e\xb6\xf0\x9f\xa5\x81\xe2\x9a\xa1\xf0\x9f\x96\x95\xf0\x9f\x8f\xbb https://t.co/GD3wSnJ6xK https://t.co/5aLxUu0XSe'",en,
1621264803527331845,2023-02-02T21:50:25.000Z,"b'If you thought we looked good before, check us out in 4K - watch the new and improved Good Riddance video now! https://t.co/0w5xq9CWM7 https://t.co/2ySBdGNK9x'",en,
