twitter_id,date,tweet,lang,data
1678788139631128576,2023-07-11T15:27:37.000Z,b'RT @TheatreWindsor: \xf0\x9f\x91\x8f We wanted to give a shoutout to the brilliant tech team behind the scenes on #FrankandPercy who have helped bring the\xe2\x80\xa6',en,
1678451301817151489,2023-07-10T17:09:09.000Z,"b""RT @WhatsOnStage: Ian McKellen and Roger Allam discuss Frank and Percy's world premiere https://t.co/r2ylD83ppT https://t.co/DgHzqZRWIt""",en,
1675901036698161152,2023-07-03T16:15:18.000Z,b'RT @lorraine: They are acting icons but it sounds like Sir @IanMcKellen and @All_Allam should be thinking about adding a late night cookery\xe2\x80\xa6',en,
1668325658748162048,2023-06-12T18:33:27.000Z,"b'RT @TheatreWindsor: ""Not only outrageously funny but poignant, touching and honest\xe2\x80\xa6 Outstanding in every respect!""\n\n""A beautifully moving a\xe2\x80\xa6'",en,
1667914512496992256,2023-06-11T15:19:42.000Z,"b""RT @TheatreWindsor: \xf0\x9f\x90\x95 The world premiere of #FrankAndPercy is in just a few short days! @BenWeatherill's brand new tale of love, loss, iden\xe2\x80\xa6""",en,
1666846741931630593,2023-06-08T16:36:46.000Z,b'RT @TheatreWindsor: \xe2\x98\x80\xef\xb8\x8f The sun is shining over the theatre today as we welcome the #FrankAndPercy company ahead of tomorrow\xe2\x80\x99s opening night\xe2\x80\xa6',en,
1665012635392155648,2023-06-03T15:08:41.000Z,b'RT @TheatreWindsor: \xf0\x9f\x93\xba Did you catch @IanMcKellen and @All_Allam on @thismorning yesterday? Catch up at the link below and hear a little mor\xe2\x80\xa6',en,
1664304174962704385,2023-06-01T16:13:31.000Z,b'RT @TheatreWindsor: Get an exclusive first look at @IanMcKellen and @All_Allam in rehearsals for #FrankAndPercy courtesy of @WhatsOnStage!\xe2\x80\xa6',en,
1661758422398926848,2023-05-25T15:37:36.000Z,"b'RT @TheatreWindsor: \xf0\x9f\x8e\x82 From all of us here at Theatre Royal Windsor, we want to wish the one and only @IanMcKellen a most wonderful birthday\xe2\x80\xa6'",en,
1660664213860401153,2023-05-22T15:09:36.000Z,"b'Of course not being a Quizmaster any longer gives me time and space to do lovely jobs like the forthcoming comedy \xe2\x80\x9cFrank and Percy"" at Windsor (https://t.co/BZpS2cEuUy) and Bath (https://t.co/ZfvChcAuHP). https://t.co/qI2fm1iE8d'",en,
1659579831703711744,2023-05-19T15:20:40.000Z,b'RT @BBCTheOneShow: Prepare for a theatrical treat as the legendary @IanMcKellen and @All_Allam take the stage to talk about their sensation\xe2\x80\xa6',en,
1657461712734523392,2023-05-13T19:04:01.000Z,"b""RT @TheatreWindsor: \xf0\x9f\x90\x95 If you're visiting Windsor, you may well notice these two handsome faces on the side of the theatre! #FrankAndPercy,\xe2\x80\xa6""",en,
1656714231914586112,2023-05-11T17:33:47.000Z,b'RT @DickieBeau: Excerpt from Re-Member Me featuring @ianmckellen. Re-Member Me runs from 25 May - 17 June @Hamps_Theatre . All preview tick\xe2\x80\xa6',en,
1653864706095067136,2023-05-03T20:50:47.000Z,"b""RT @BKL_Productions: WORLD PREMIERE - FRANK &amp; PERCY STARRING IAN MCKELLEN &amp; ROGER ALLAM - opens at @TheatreWindsor Fri 9 June!\n\nHere's a sn\xe2\x80\xa6""",en,
1651669952787804160,2023-04-27T19:29:37.000Z,"b""RT @DickieBeau: RE-MEMBER ME goes on general sale today at @Hamps_Theatre. Here's the link: https://t.co/5rD5J7dNzS ... I'd love people to\xe2\x80\xa6""",en,
1650139991249657858,2023-04-23T14:10:06.000Z,"b'RT @PeterTatchell: Emergency protest! \n\nGlobal Day of Action against the Ugandan #AntiHomosexualityBill, which will jail &amp; execute LGBT+ pe\xe2\x80\xa6'",en,
1649960973325963264,2023-04-23T02:18:45.000Z,"b'Despite the implication when you click the blue badge that has mysteriously re-appeared beside my name, I am not paying for the ""honour"".'",en,
1646180251440148480,2023-04-12T15:55:31.000Z,b'RT @MotherGooseShow: HONK FOR HAPPINESS!  \nWe are egg-static to have won the @UKpantomime 2023 award for Best Pantomime (500-900 seats).\xe2\x80\xa6',en,
1644947217730469888,2023-04-09T06:15:53.000Z,b'What I found for Easter! Photo by Frederic Aranda https://t.co/oX9pwhVxEC',en,
1644715644225753089,2023-04-08T14:55:41.000Z,b'Manchester! https://t.co/CPJqJRYGvd',fr,
1644004172403204096,2023-04-06T15:48:33.000Z,"b""It's hard to believe it\xe2\x80\x99s been 20 years, but it's terribly exciting to see this the way it was meant to be seen: on the big screen, beginning April 13 in US. For best seats in your neighborhood, click here: https://t.co/jBxEpndsPR https://t.co/UgaWR4PImo""",en,
1642920447124836353,2023-04-03T16:02:13.000Z,b'RT @MotherGooseShow: Only TWO WEEKS left of our gander touring the Nation. \n\nScramble for tix: https://t.co/GAbm3xU2Qd https://t.co/oLYGBn8\xe2\x80\xa6',en,
1642559616872775681,2023-04-02T16:08:24.000Z,"b""Please note that I am not paying for the blue checkmark, which I've displayed for many years.""",en,
1638596744920600576,2023-03-22T17:41:22.000Z,"b'RT @MotherGooseShow: People of DUBLIN, get ready for take off... performances of #MotherGooseShow begin TODAY. \n\xf0\x9f\x92\x9c\xf0\x9f\xa5\x9a https://t.co/Ff9bMbvzRB'",en,
1636780937936801792,2023-03-17T17:26:00.000Z,b'Feathers will fly next week as @mothergooseshow lands in #Dublin. For best seats visit https://t.co/7j2WXvjwAH\nPhoto by Frederic Aranda https://t.co/vjIcA68GXG',en,
1636048173419614208,2023-03-15T16:54:15.000Z,"b'It\xe2\x80\x99s LIVE! #FiveFilmsForFreedom online celebration of global LGBTQIA+ short film, is live until 26 March - watch 5 sweet shorts online for free at https://t.co/J6X042Yx3I &amp; share the love with communities in places where freedom is limited @BritishFilm @BFIFlare #LGBTQIAplus https://t.co/quJPrcJ2eE'",en,
1635671769758715910,2023-03-14T15:58:33.000Z,"b'""Mother Goose\xe2\x80\x99s Animal Sanctuary for Waifs and Strays"" is the setting for our pantomime, arriving next week in #Dublin. I\xe2\x80\x99m looking forward to meeting Linda Martin at her Dog Shelter. https://t.co/pxJG5FXuxp\nFor best seats visit https://t.co/uTlKphOpB2 https://t.co/pFX63B6k6L'",en,
1633583088520527873,2023-03-08T21:38:53.000Z,b'RT @BrownAds: Tonight is show 100! https://t.co/nqXIyLvdsf',en,
