twitter_id,date,tweet,lang,data
1680259167611699203,2023-07-15T16:52:57.000Z,"b'Anarkali ka phone tha, ice cream khana bahut zaroori hai \xf0\x9f\x93\x9e\xf0\x9f\x98\x82 https://t.co/v1ObmfCWNh'",hi,
1680077907400458241,2023-07-15T04:52:42.000Z,b'Job done \xe2\x9c\x85\nTime to carry this momentum to the next one. https://t.co/1rgcp9MZr7',en,
1671031669350907905,2023-06-20T05:46:10.000Z,"b'#Ad Stay ahead of the game, always. \n\n#GoBeyondTime with Verve Smartwatches by @TAGGOfficial. \n\n#TAGG https://t.co/1A8TOxTvA8'",en,
1665656859976499202,2023-06-05T09:48:36.000Z,"b'The theme for this World Environment Day is #BeatPlasticPollution, a cause close to my heart &amp; the need of the hour for our planet earth. \xf0\x9f\x8c\x8e\n\nMay this World Environment Day be a reminder to do our bit to keep the planet safe by re-using, reducing &amp; recycling. \xe2\x99\xbb\xef\xb8\x8f https://t.co/ASj3Ra5Plq'",en,
1665280901922664451,2023-06-04T08:54:41.000Z,"b""#Ad You've got what it takes to make your dreams come true. Never let anyone tell you otherwise. \xe2\x9c\x8a https://t.co/PHj3gO20cw""",en,
1664924069559676930,2023-06-03T09:16:45.000Z,b'My heart goes out to each and everyone affected by the train accident in Odisha. \n\nMay God give strength to the grieving families &amp; wishing a swift recovery to those injured.',en,
1664665069337051136,2023-06-02T16:07:35.000Z,b'In the Zone \xf0\x9f\x94\xb4\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 https://t.co/LnSFXawIMi',en,
1663548591682756610,2023-05-30T14:11:06.000Z,b'WTC o\xe2\x80\x99clock \xf0\x9f\xa4\x8d\xf0\x9f\x92\x99 https://t.co/NxWfq72eWP',es,
1663484528130949120,2023-05-30T09:56:32.000Z,b'What an @IPL it has been this year. So many wonderful talents have come through. Well done to @ChennaiIPL for winning the title and also very well done to @gujarat_titans for playing consistently well through the tournament. https://t.co/1uxNp47XWn',en,
1662505119395758080,2023-05-27T17:04:42.000Z,b'Disappointing result but very proud of the effort from the team throughout the season. \xf0\x9f\x91\x8f https://t.co/kAANOq4qT3',en,
