twitter_id,date,tweet,lang,data
1680623650326626304,2023-07-16T17:01:17.000Z,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/M2i6WHcjB9',qme,
1678109727719342084,2023-07-09T18:31:51.000Z,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/xR7r7XTth8',qme,
1677058253698547713,2023-07-06T20:53:40.000Z,b'4 of the London dancers who helped me prepare for the Together Again Tour.  You guys were so wonderful to work with. Thank you for being there for me!!! \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\n\npictured: \nSebastian Skov \nKane Klendjian \nBrett Sewell\nKieran Curtin \n\nand special thanks to (not pictured):\nJames\xe2\x80\xa6 https://t.co/BuprQ0bAFz https://t.co/aLjIunS7be',en,
1675550239267201025,2023-07-02T17:01:21.000Z,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/6JzrRzWoJ4',qme,
1675293514932920320,2023-07-02T00:01:14.000Z,"b'I wish I could be with you tonite, watching your amazing show and bein\xe2\x80\x99 our silly selves.  Have an incredible BDAY \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 love you Jack. https://t.co/o2kO7tZoUj'",en,
1674563471462072322,2023-06-29T23:40:18.000Z,b'#tbt these rehearsals with the kidz and @LuBrown felt like yesterday\n\nShot/Edited by oldirtycamera \n\n#TogetherAgainTour \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd https://t.co/29N9gBHbbO',en,
1673134395757154307,2023-06-26T01:01:39.000Z,b'\xf0\x9f\xa4\x8d https://t.co/OzwFTCHd51',qme,
1673013642097221634,2023-06-25T17:01:50.000Z,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/YU092iQII1',qme,
1671710035150532608,2023-06-22T02:41:45.000Z,"b'Luda, thank you so much for joining me on this special tour. You are such an incredible talent and I\xe2\x80\x99m so honored to share the stage with you every night. I am always so excited to see what you do next and wish you the best with EVERYTHING! Have a great show tonight! Love &amp;\xe2\x80\xa6 https://t.co/BSRX4wuuVi https://t.co/QbvydRMlkD'",en,
1671537733704220672,2023-06-21T15:17:06.000Z,"b'I know I\xe2\x80\x99ve said this, but I\xe2\x80\x99ll say it again: This is the most fun I\xe2\x80\x99ve had on any tour since my first. A huge reason for that is all of you. Thank you so much for your hard work and dedication. I am incredibly grateful. I\xe2\x80\x99m praying we all have a great show tonight and wish you\xe2\x80\xa6 https://t.co/8Ogvjqfn2m https://t.co/ztZr9puR0R'",en,
1671325650680963073,2023-06-21T01:14:21.000Z,b'Can\xe2\x80\x99t believe there are only two more left\xe2\x80\xa6\n#TogetherAgainTour \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbd\n\n\xf0\x9f\x93\xb8: @solaimonster \nMakeup: Preston Meneses \nHair: Cassidy Blaine\nStyling: Laurel Thomson https://t.co/G9hjrNeKmh',en,
1670885511026581505,2023-06-19T20:05:24.000Z,"b'We\xe2\x80\x99ve had so much fun back in day, laughing until we\xe2\x80\x99ve cried! \xf0\x9f\x98\x82 I miss those times \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 enjoy your special day @PaulaAbdul https://t.co/tex8ybcyA2'",en,
1670574907158036482,2023-06-18T23:31:10.000Z,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/nXxyRBumoV',qme,
