twitter_id,date,tweet,lang,data
1678483008037220361,2023-07-10T19:15:08.000Z,b'43 makeup free (kinda. Ha. I did curl my lashes) \xf0\x9f\xa6\x80\xe2\x99\x8b\xef\xb8\x8f\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d https://t.co/kvFGjivUct',en,
1677029242310205442,2023-07-06T18:58:23.000Z,"b'RT @bustle: \xe2\x80\x9cAm I going to let the negativity derail me? No, I\xe2\x80\x99m too old for that. I am too connected to myself right now to let that derai\xe2\x80\xa6'",en,
1677029212606062592,2023-07-06T18:58:16.000Z,b'RT @bustle: @JessicaSimpson .@JessicaSimpson on her daughters: \xe2\x80\x9cIf they don\xe2\x80\x99t see me following my dreams and fighting for what I believe in\xe2\x80\xa6',en,
1677029168595304448,2023-07-06T18:58:06.000Z,b'RT @charlowen: New on @bustle - @JessicaSimpson is BACK and told all to @mickeyrapkin \n\nhttps://t.co/2uYZJvRifn https://t.co/uAo4kBbvOv',en,
1677029065537011713,2023-07-06T18:57:41.000Z,b'@bustle https://t.co/UT6I7EA1ZB',qme,
1677028863870640129,2023-07-06T18:56:53.000Z,b'First time I ever did a push-up in backless jeans! Thanks so much for having me @Bustle and @mickeyrapkin  I\xe2\x80\x99d share queso with you any day. What an honor! https://t.co/o4iIOEDaEO',en,
1673145480035856387,2023-06-26T01:45:42.000Z,b'A cutie that loves herself the creek https://t.co/0vePneQpgH',en,
1669071333202821120,2023-06-14T19:56:30.000Z,b'Lights Camera Action https://t.co/8qlFDkxcTL',en,
1667677996256309249,2023-06-10T23:39:52.000Z,b'My sugar cookies \xf0\x9f\xa4\x8d https://t.co/VWybE0E6rL',en,
1665867175712772098,2023-06-05T23:44:19.000Z,b'I call this Carpoolin\xe2\x80\x99 \n\nGet my look: https://t.co/poHXLX1IpF https://t.co/Fy0Mk1ncdZ',en,
1665867075624026116,2023-06-05T23:43:55.000Z,b'Generation Jack @ThirdManRRS https://t.co/VECTIvAufE',en,
1661886022123155456,2023-05-26T00:04:38.000Z,b'Are these wings pig or chicken? https://t.co/NQHEMFVDyK',en,
