twitter_id,date,tweet,lang,data
1634967704565342209,2023-03-12T17:20:51.000Z,"b'It\xe2\x80\x99s the FINAL!!! It\xe2\x80\x99s all come down to this moment, please vote JOEY &amp; VANESSA call 6505103 from 6:30pm! \nLove you all and I\xe2\x80\x99m going to give it everything tonight \xf0\x9f\xa4\xa9\xe2\x9c\xa8\n@dancingonice @ITV https://t.co/mjyAoeJq5H'",en,
1634809559930765313,2023-03-12T06:52:27.000Z,b'Just want to say a massive thankyou to you all for the support and love you\xe2\x80\x99ve given me throughout my @dancingonice journey.\nAnd I\xe2\x80\x99m now here at the FINAL \xe2\x80\xa6 I actually made it!\nThe journey continues tomorrow 6:30pm on @ITV \nPLEASE VOTE JOEY &amp; VANESSA \xe2\x9b\xb8\xef\xb8\x8f https://t.co/UqLC59Sy38',en,
1633831800748523523,2023-03-09T14:07:11.000Z,b'\xf0\x9f\xa4\xa9 https://t.co/AkowHJaKZX',art,
1632685886230986753,2023-03-06T10:13:43.000Z,"b'Woww thank you all so much for all the love and support! It means a lot \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9c\xa8\nWe survived the skate off, and got through to the FINAL buzzingggg \xf0\x9f\x8e\x89 \xf0\x9f\x98\x81\n@dancingonice @ITV @ITVX'",en,
1632481841109258240,2023-03-05T20:42:55.000Z,"b'RT @dancingonice: They must be flying high in the sky after scoring 38 points, a beautiful tribute from @JoeyEssex_ &amp; @TheVanessaBauer \xf0\x9f\xa7\xa1 #D\xe2\x80\xa6'",en,
1630496561498058752,2023-02-28T09:14:08.000Z,b'Surfing on ice \xf0\x9f\x8c\x8a \xf0\x9f\x8f\x84\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f \xf0\x9f\x8c\x8a https://t.co/B5XrnOuijU',en,
1630011075797106688,2023-02-27T01:04:59.000Z,"b'RT @dancingonice: That performance by @JoeyEssex_ and @TheVanessaBauer had us going crazy, crazy \xf0\x9f\x8f\x84\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f Scoring 36.5 points #DancingOnIce htt\xe2\x80\xa6'",en,
1627415757700190213,2023-02-19T21:12:07.000Z,b'RT @dancingonice: We love to watch @JoeyEssex_ and @TheVanessaBauer soar and fly around the rink \xf0\x9f\x8f\x80 32.5 points tonight #DancingOnIce https:\xe2\x80\xa6',en,
1627309693340160000,2023-02-19T14:10:39.000Z,b'TONIGHT on @ITV @dancingonice get ready! It\xe2\x80\x99s show day \xf0\x9f\x98\x8e https://t.co/Dw6DAzRqbG',en,
1626079571740065792,2023-02-16T04:42:35.000Z,b'\xf0\x9f\x92\x9a\xf0\x9f\x92\x9b\xf0\x9f\xa7\xa1\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x99\xf0\x9f\x92\x9c\xf0\x9f\xa4\x8d \n@dancingonice @ITV @ITVX #DancingOnIce https://t.co/wLwpUVYo9f',qme,
1624846723389464576,2023-02-12T19:03:41.000Z,"b'RT @dancingonice: Our very own rocketman! \xf0\x9f\x9a\x80 With a score of 33 points, how are @JoeyEssex_  and @TheVanessaBauer still standing after that\xe2\x80\xa6'",en,
1624488865695256577,2023-02-11T19:21:41.000Z,b'Passo Doble was something I\xe2\x80\x99ll never forget! Powerful. \xf0\x9f\xa5\x80\xf0\x9f\x99\x86\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x9b\xb8\xef\xb8\x8f\n@dancingonice @ITV #DancingOnIce https://t.co/m5jtyAZlDJ',en,
1623387264171515917,2023-02-08T18:24:19.000Z,b'\xf0\x9f\xa7\x8a \xf0\x9f\xa5\xb6 \xe2\x9b\xb8\xef\xb8\x8f \xf0\x9f\x92\x99 can\xe2\x80\x99t wait for Sunday already! Elton John let\xe2\x80\x99s goooooo! \xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\n@dancingonice @ITV #DancingOnIce',en,
1623386395191418882,2023-02-08T18:20:52.000Z,b'@TaneshiaD thank you! \xe2\x98\xba\xef\xb8\x8f',en,
