twitter_id,date,tweet,lang,data
1677748537973702656,2023-07-08T18:36:37.000Z,"b'RT @axios: Earth recorded its hottest day on record on Thursday, making it the fourth straight to set or tie the record for warmest day glo\xe2\x80\xa6'",en,
1677357008285229056,2023-07-07T16:40:49.000Z,"b'2023 is the year for breakthrough #ClimateAction &amp; action for the #GlobalGoals, our blueprint for the well-being and dignity for everyone on a healthy planet\n\nHere\xe2\x80\x99s how you can #ActNow for a better future for all. https://t.co/RBUDLIvdDQ https://t.co/s6wKMW72A9'",en,
1676574838650019842,2023-07-05T12:52:45.000Z,"b'Watch the official trailer for #KillersOfTheFlowerMoon - exclusively in theaters this October. @AppleTV, @ParamountPics https://t.co/7Ex2cBqebl'",en,
1674512205956677632,2023-06-29T20:16:35.000Z,"b'It also supports millions of species, many of which haven\xe2\x80\x99t yet been discovered by science, and stores up to 140 billion tonnes of carbon, playing a key role in climate stabilization.'",en,
1674512204320878593,2023-06-29T20:16:35.000Z,b'Amazonia is critically important to the estimated 20 million Indigenous peoples from more than 350 Indigenous groups that depend on natural ecosystems and resources for their livelihoods and cultures.',en,
1674512202420858883,2023-06-29T20:16:34.000Z,b'We call on additional philanthropists to join the new commitment to protect and restore Amazonia in Brazil and beyond.',en,
1674512200151740418,2023-06-29T20:16:34.000Z,b'We are honored to help support Brazil\xe2\x80\x99s ambitious and critical goals of achieving zero deforestation in the Amazon and accelerating the country\xe2\x80\x99s transition to a sustainable and green economy.',en,
1674512197320585216,2023-06-29T20:16:33.000Z,"b'The Protecting Our Planet Challenge, which includes my organization @Rewild, announced plans in partnership with the Brazilian govt. to invest $200 million in the Amazon over the next four years to support the expansion &amp; management of protected areas &amp; Indigenous territories. https://t.co/tKLA1MXQG1'",en,
1671212840060088320,2023-06-20T17:46:05.000Z,"b'The #Vaquita has avoided extinction thanks to 24/7 protection by @SeaShepherdSSCS &amp; the Mexican Navy, &amp; the local communities working toward Vaquita-safe seafood. @CetaceanAction @pescaabc @pronaturaNoroes @Rewild\n\nhttps://t.co/MCeTt4v4fc'",en,
1666843502813265921,2023-06-08T16:23:54.000Z,b'Os brasileiros tamb\xc3\xa9m podem entrar em contato diretamente com os senadores do Brasil por meio deste link para consulta p\xc3\xbablica: https://t.co/CkFtwPmFXN',pt,
