twitter_id,date,tweet,lang,data
1678464991467569153,2023-07-10T18:03:32.000Z,b'https://t.co/F4zpLD6Kk3 \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5 https://t.co/IZHN7H1yUp',qme,
1678438150212055040,2023-07-10T16:16:53.000Z,b'RT @LandoNorris: P2 AT MY HOME RACE AAAAAAAAHH https://t.co/Ha32O0MgH3',en,
1677230074318278656,2023-07-07T08:16:25.000Z,"b""RT @mission44: So proud to be featured on our founder, @LewisHamilton's helmet for the #BritishGP weekend \xf0\x9f\x92\x9c https://t.co/dZz9N2x3RZ""",en,
1676529487201153025,2023-07-05T09:52:32.000Z,b'Roscoe says hi https://t.co/ILkc3c2309',en,
1676529047843622912,2023-07-05T09:50:48.000Z,"b""RT @mission44: Introducing our Youth Advisory Board \xf0\x9f\x92\xa5\n\nWe're excited to be working with 15 passionate young people from across the UK who w\xe2\x80\xa6""",en,
1672211100811624450,2023-06-23T11:52:49.000Z,"b""RT @LouisVuitton: Men's Spring-Summer 2024 Show. @LewisHamilton attended @Pharrell's debut presentation on the iconic Pont Neuf Bridge in P\xe2\x80\xa6""",en,
1672211071476682753,2023-06-23T11:52:42.000Z,b'RT @mission44: Breaking down barriers \xf0\x9f\x91\x8a\n\nStephanie Travers was the first Black woman to stand on an @F1 podium. Amber is a Rail Engineering\xe2\x80\xa6',en,
1672191197673078784,2023-06-23T10:33:43.000Z,b'RT @MercedesAMGF1: Happy International Women in Engineering Day. \xf0\x9f\x92\xaa Celebrating all the innovative female engineers in our sport and around\xe2\x80\xa6',en,
1671502689404952585,2023-06-21T12:57:50.000Z,b'\xf0\x9f\x98\x82 https://t.co/fwDe4Ignt3',qme,
1671501706260107265,2023-06-21T12:53:56.000Z,b'Louis \xf0\x9f\x87\xab\xf0\x9f\x87\xb7 https://t.co/bjOmzXLrts',fr,
1670860028809445381,2023-06-19T18:24:08.000Z,b'\xe2\x9c\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 https://t.co/FziSLbQBcj',qme,
1669417706091626497,2023-06-15T18:52:52.000Z,"b'RT @tweetingshak: He is the man, the moment \xe2\x80\xa6\xe2\x80\xa6..  introducing Sir Lewis Hamilton. @MercedesAMGF1 @LewisHamilton #CanadianGP #F1 https://t.c\xe2\x80\xa6'",en,
1669346635523174403,2023-06-15T14:10:27.000Z,b'\xf0\x9f\x93\x8d\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6',art,
1669346229900414981,2023-06-15T14:08:50.000Z,b'RT @MercedesAMGF1: 2007 \xf0\x9f\x8f\x86 2010 \xf0\x9f\x8f\x86 2012 \xf0\x9f\x8f\x86 2015 \xf0\x9f\x8f\x86 2016 \xf0\x9f\x8f\x86 2017 \xf0\x9f\x8f\x86 2019 \xf0\x9f\x8f\x86\n\nLewis Hamilton loves Canada. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/8U1W8dOSwB',en,
1666850351020908544,2023-06-08T16:51:06.000Z,"b'RT @alexisohanian: OK! You asked me for more AI-generated Multiverse-Serenas, so here are some more... F1-Serena is coming for you @LewisHa\xe2\x80\xa6'",en,
1666095249708716035,2023-06-06T14:50:36.000Z,b'RT @mission44: We\xe2\x80\x99re excited to be working with @AdvocacyAcademy and @_TheFEA to empower young changemakers and build a better future. \n\nFo\xe2\x80\xa6',en,
1665418242758778882,2023-06-04T18:00:25.000Z,b'\xe2\x9a\xaa\xef\xb8\x8f\xe2\x9c\xa8 https://t.co/SFcBYs0l5A',qme,
1665417577865068546,2023-06-04T17:57:47.000Z,b'RT @MercedesAMGF1: Yes! That\xe2\x80\x99s P2 for @LewisHamilton. \xf0\x9f\x92\x9b\xf0\x9f\x92\x9c He was on a mission today. \xf0\x9f\x99\x8c https://t.co/zd3xZaI2hy',en,
1664267499502809088,2023-06-01T13:47:47.000Z,"b""RT @mission44: Every young person has the right to feel included in the classroom. That's why we\xe2\x80\x99re excited to be working with three new or\xe2\x80\xa6""",en,
1663907078811926529,2023-05-31T13:55:36.000Z,"b'Thank you for everything dad, happy birthday ~ https://t.co/2rnr0ruE4X'",en,
1662902411030085633,2023-05-28T19:23:24.000Z,b'RT @MercedesAMGF1: An intense race. But some good points scored. \xf0\x9f\x92\xaa https://t.co/KRP4L5Dg7l',en,
1662895362300956674,2023-05-28T18:55:24.000Z,b'RT @OconEsteban: \xf0\x9f\x87\xb2\xf0\x9f\x87\xa8\xf0\x9f\x8f\x86 https://t.co/MHYirQHJNV',qme,
1662895164031922177,2023-05-28T18:54:36.000Z,b'Merci Monaco \xe2\x9c\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x87\xb2\xf0\x9f\x87\xa8 https://t.co/0Mq0iuJzzK',fr,
1659925227223105539,2023-05-20T14:13:08.000Z,"b'RT @MercedesAMGF1: Today marks four years since we lost our friend, Niki. \n\nAlthough he may be gone, his spirit is still at the very heart\xe2\x80\xa6'",en,
1657492913952022528,2023-05-13T21:08:00.000Z,"b'RT @ExtremeELive: YOUR HYDRO X PRIX, ROUND 3 WINNERS ARE X44 VIDA CARBON RACING \xf0\x9f\x92\x9c\xf0\x9f\x99\x8c \n\n\xf0\x9f\xa5\x87 @TeamX44\n\xf0\x9f\xa5\x88 @AndrettiXE\n\xf0\x9f\xa5\x89 @carlcoxmotorsport\n \n#Extre\xe2\x80\xa6'",en,
1657363464392679425,2023-05-13T12:33:36.000Z,b'RT @MercedesAMGF1: This moment from Miami. \xf0\x9f\xa5\xb9\xe2\x9d\xa4\xef\xb8\x8f https://t.co/KyhPLYlidy',en,
1657046635472384002,2023-05-12T15:34:38.000Z,b'same https://t.co/Morr7X3Y0v https://t.co/CZIJe5d6Zz',en,
1655989029874040870,2023-05-09T17:32:06.000Z,"b'Then and now. Thanks for the love, Miami \xe2\x80\x94 https://t.co/F4zpLD6cuv https://t.co/gqKkb3jIWN'",en,
1653115808556408835,2023-05-01T19:14:56.000Z,"b'See you in Miami, @IWC . Looking forward to a fun one \xf0\x9f\x8f\x96\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f https://t.co/ho6ujwVDqv'",en,
1653041944203780096,2023-05-01T14:21:26.000Z,b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/u68Ryg9xRI',art,
1652032461088636930,2023-04-28T19:30:06.000Z,b'Up late https://t.co/96rSsl4HQs',en,
1650886818957492225,2023-04-25T15:37:44.000Z,b'TRAIN HARD https://t.co/UYgrCPff1R',en,
1649767285127520257,2023-04-22T13:29:06.000Z,b'RT @MercedesAMGF1: Marking #EarthDay2023 by taking you behind the scenes of how we\xe2\x80\x99re embedding sustainability into the daily life of our T\xe2\x80\xa6',en,
1649150030584987648,2023-04-20T20:36:21.000Z,b'RT @mission44: We\xe2\x80\x99re proud to announce a new four year partnership with @UBS to scale our impact and transform the lives of young people fr\xe2\x80\xa6',en,
1649095264760909824,2023-04-20T16:58:44.000Z,b'Roscoe says hi https://t.co/686sEnPq3Z',en,
1646911487548567555,2023-04-14T16:21:11.000Z,b'Family man https://t.co/7tLXtEos6c',en,
1646856548122066949,2023-04-14T12:42:52.000Z,"b""RT @MercedesAMGF1: Food? Lego? George?! \xf0\x9f\xa4\xa3\n\nWe challenged our drivers to a game of What's in the Box \xf0\x9f\x93\xa6\xe2\x9d\x93 Here's how they got on...""",en,
1646838260407185408,2023-04-14T11:30:12.000Z,b'RT @MercedesAMGF1: Mr Mercedes-AMG. \xf0\x9f\x96\xa4\xf0\x9f\x92\x9c https://t.co/vOkXEGckUK',en,
1646178439819407361,2023-04-12T15:48:19.000Z,b'the kid https://t.co/TsgRIyMiAH',en,
1645824791952146432,2023-04-11T16:23:03.000Z,b'@britcedez \xf0\x9f\xab\xa1',qme,
1645824017507442688,2023-04-11T16:19:58.000Z,b'RT @MonsterEnergy: #MonsterEnergy \xf0\x9f\xa4\x9d @LewisHamilton = All new #LH44 Zero Sugar\n\nVisit https://t.co/rEdCVLcgMc to find near you. https://t.co\xe2\x80\xa6',en,
1644067372679024642,2023-04-06T19:59:41.000Z,"b'RT @NASAHubble: ""Ring in"" @NASAWebb\'s new image of Uranus!\n\nHubble has observed the planets in our solar system for decades, and its consis\xe2\x80\xa6'",en,
1644067133373009921,2023-04-06T19:58:44.000Z,b'RT @MercedesAMGF1: Lewis got to meet some of the awesome kids from @DeadlyScience in Melbourne. \xf0\x9f\x98\x81\n\nDeadlyScience provide books and STEM res\xe2\x80\xa6',en,
1642961570782236672,2023-04-03T18:45:37.000Z,"b'RT @McLarenF1: On this day in 1998, McLaren announced the signing of a 13-year-old young Brit. \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 His name was @LewisHamilton. The rest? Th\xe2\x80\xa6'",en,
