twitter_id,date,tweet,lang,data
1675609132991397888,2023-07-02T20:55:23.000Z,b'Congrats to my slime Rickie Fowler!!!!! I am and I been a huge fkn fan brudda!!!! I\xe2\x80\x99m wearing orange for my slime on the 4th! I hope it pop!!! Get it?! \xf0\x9f\x98\x82\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',en,
1675273428121833473,2023-07-01T22:41:24.000Z,b'Let\xe2\x80\x99s GO RED SOX!!!!!\nAye JT  That swing guru paying off frfr!!!!\nI need a jersey too brudda!',en,
1674916746526879744,2023-06-30T23:04:05.000Z,b'Welcoming the newest @ymapaasports family members @NolleyLanders @rickythe4th @dezcambridgejr to the NBA \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbf #YMAPAA https://t.co/86M0ANxkNA',en,
1673522101985382401,2023-06-27T02:42:16.000Z,b'Let\xe2\x80\x99s GEAUX!!!!!!!!!!!!!!!!!!!!!!! Tigers',fr,
1672066763889180673,2023-06-23T02:19:16.000Z,b'GEAUX TIGERS!',fr,
1672066591692046336,2023-06-23T02:18:35.000Z,"b'RT @Flaujae: The Hardest Doing It .\n6ft, 7ft Remix out now. 4\xef\xb8\x8f\xe2\x83\xa34\xef\xb8\x8f\xe2\x83\xa34\xef\xb8\x8f\xe2\x83\xa34\xef\xb8\x8f\xe2\x83\xa3\nhttps://t.co/JOd0MoVRGQ https://t.co/lYciOKBqe3'",en,
1671944503455010817,2023-06-22T18:13:27.000Z,b'RT @Flaujae: @LilTunechi \xf0\x9f\x90\x90 https://t.co/2wBqViUQXC',qme,
1671631867995623424,2023-06-21T21:31:09.000Z,b'RT @Cdunn19: So excited!!! Let\xe2\x80\x99s get it!\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x92\xa5 https://t.co/yPDZcs3vp7',en,
1665815495377838081,2023-06-05T20:18:58.000Z,"b'Your moment. Your fight. For everyone.\nTime to hit the streets with #StreetFighter6. Available now on PS5, PS4, Xbox Series X|S, and Steam. #streetfighterpartner\n\nhttps://t.co/4Rn0PGfP6X'",en,
1663744355490832385,2023-05-31T03:08:59.000Z,b'\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe https://t.co/KZ6qshebsb',art,
1653066655600197634,2023-05-01T15:59:37.000Z,b'That\xe2\x80\x99s luv Big Perk!!',en,
1647428795505278977,2023-04-16T02:36:47.000Z,b'No bang if there\xe2\x80\x99s no boom.',en,
1642611098376609792,2023-04-02T19:32:58.000Z,b'LFGeaux TIGERS!!!!!!  Bayou Barbie baby!!!!',nl,
1640162633608470529,2023-03-27T01:23:39.000Z,b'#GeauxTigers #TheBayouBarbie',qht,
1639443972258144256,2023-03-25T01:47:57.000Z,b'Angel fkn Reese!!!!!!  Home team',en,
1629206659431014403,2023-02-24T19:48:31.000Z,b'Sometimes I smile to hide the miles of my road traveled \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe \n\n\xe2\x80\x9cKant Nobody\xe2\x80\x9d video OUT NOW ft. @DMX and @THEREALSWIZZZ \n\nhttps://t.co/QBVjTlx8xr https://t.co/Z0neraKQuD',en,
1628853402573721602,2023-02-23T20:24:48.000Z,b'RT @Genius: .@liltunechi just dropped a new single called \xe2\x80\x9ckant nobody\xe2\x80\x9d featuring the late #dmx and production by @therealswizzz! \xf0\x9f\x8e\xb6\xf0\x9f\x98\xb3 how\xe2\x80\x99s\xe2\x80\xa6',en,
1628813205291008001,2023-02-23T17:45:04.000Z,b'\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8 My new joint \xe2\x80\x9cKant Nobody\xe2\x80\x9d ft. @THEREALSWIZZZ and @DMX OUT NOW!!! https://t.co/RmP3JuMArS https://t.co/vMRje7TKWU',en,
1628802720994889728,2023-02-23T17:03:25.000Z,b'Tune IN!!!!!!! \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\n\nhttps://t.co/wE22jbiFsM',fr,
1628789398941696001,2023-02-23T16:10:28.000Z,b'Live this morning at 9am\xc2\xa0PT with @zanelowe on @applemusic! \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe\n\nhttps://t.co/wE22jbiFsM https://t.co/ybTHem6Lgv',en,
1628297234801459201,2023-02-22T07:34:47.000Z,b'SZN \xe2\x8f\xb3 @VibeMagazine @billboard \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe https://t.co/mGr4dXHfUz',und,
1626075917922566144,2023-02-16T04:28:04.000Z,b'Newest edition to MyTEAM\xe2\x80\x99s crossover series \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe @Ronnie2k\n\nTunechi x @NBA2K https://t.co/ClGQ3vWzoF',en,
1625996856911183872,2023-02-15T23:13:54.000Z,b'\xf0\x9f\x91\x80 https://t.co/FcZavCenDy',art,
1624648710314668033,2023-02-12T05:56:51.000Z,"b'Wait, Bones Jones komin bak?!\nOk I lied  \nand u know I kant miss dat Pereira v Stylebender!!!!  And Connor bak right??\nYeah I lied'",en,
1624646503867498496,2023-02-12T05:48:05.000Z,b'Did Volk bad bad',en,
1624646432182636545,2023-02-12T05:47:48.000Z,b'Not sure if I\xe2\x80\x99ll ever watch UFC again',en,
1623186704449552384,2023-02-08T05:07:22.000Z,b'Kongrats King!! Glad to say I\xe2\x80\x99ve shaken your hand brudda. God bless you and the fam and the homies.',en,
1621955475435835392,2023-02-04T19:34:54.000Z,b'\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe https://t.co/l2tLt8TlpF',art,
1621605642615259137,2023-02-03T20:24:47.000Z,"b'The wait is over, the YMAPAA KINGDOM is officially open! Follow @YMAPAAKingdom and become part of the exclusive KINGDOM by getting your membership here: https://t.co/x1lBey95pL https://t.co/lgvjISDxYr'",en,
1621183280484868097,2023-02-02T16:26:28.000Z,b'RT @SportsCenter: Lil Wayne at Colorado? Deion really for the culture \xf0\x9f\x98\x82\n\n(via @DeionSanders) https://t.co/3jwoVS5K9v',en,
1620900050758176768,2023-02-01T21:41:01.000Z,b'#WelcomeToThaCarterTour coming to a city near you. \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe\n\nTickets go on sale this Friday at 10am EST on https://t.co/aaScbZ6Wc1 https://t.co/D6M6Sie30D',en,
1620291842909806593,2023-01-31T05:24:13.000Z,b'Porch lights!  1time for my slime @michaeleaves for ALWAYS showin luv!!  Heard u the other night w it too!! \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe',en,
1612470001818300417,2023-01-09T15:23:01.000Z,"b'Man as a Packers fan, all I can say is R E L A P S E!!!   I been done w 12    12 been done w football     Now when tf are they gon be done w 12???????!!!!!   Idk but GO PACK GO.'",en,
1612303840568823809,2023-01-09T04:22:45.000Z,b'Pls do me a favor and don\xe2\x80\x99t call or text me I don\xe2\x80\x99t want talk.',en,
1612105424907702272,2023-01-08T15:14:19.000Z,b'GO PACK GO!!!!!!!',en,
1609654298425839618,2023-01-01T20:54:25.000Z,b'GO PACK GO!!!!',en,
1608969799119536129,2022-12-30T23:34:27.000Z,b'Lil Wayne Goes Pro https://t.co/KrAzJX0QSW',en,
