twitter_id,date,tweet,lang,data
1674446227755216896,2023-06-29T15:54:25.000Z,b'@benitopagotto @RIMOWA @RTFKT \xf0\x9f\xa4\x9d\xf0\x9f\x9a\x80',qme,
1674438048287686657,2023-06-29T15:21:54.000Z,b'Unboxing my @RIMOWA x @RTFKT \nForge complete \xf0\x9f\x9b\xa0\xef\xb8\x8f\xf0\x9f\xab\xa1 https://t.co/4jmTps8VRc',en,
1671591356593053700,2023-06-21T18:50:10.000Z,b'@fabiankamberi \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80',qme,
1670496262720815105,2023-06-18T18:18:40.000Z,b'All-Star 06? @dotswoosh @Nike https://t.co/EWYb3xGlGC',en,
1670496172790693889,2023-06-18T18:18:18.000Z,b'Kiwi? @dotswoosh @Nike https://t.co/0S7TLHX1zk',ht,
1670496106503892993,2023-06-18T18:18:02.000Z,b'Neon 95? @dotswoosh @Nike https://t.co/KQkdKkmkLb',en,
1670496019824427008,2023-06-18T18:17:42.000Z,b'Sprm Max? @dotswoosh @Nike https://t.co/pFsChcMxBg',in,
1670495953306935301,2023-06-18T18:17:26.000Z,"b'Revealed my OF1 boxes. Which one is your favorite? All-Star 06, Kiwi, Neon 95, or SPRM Max? @dotswoosh @nike https://t.co/0VsbL8CXBA'",en,
1669371003410034691,2023-06-15T15:47:17.000Z,b'@RTFKT \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80',qme,
1669028493257056271,2023-06-14T17:06:16.000Z,b'@taiwanswag_ @RTFKT @benitopagotto @clegfx @Zaptio @RTFKTcreators @cas3333333 @HondroRTFKT @mrjiang1993 \xf0\x9f\xa4\x9d\xf0\x9f\xa4\x9d',qme,
1668255305438842882,2023-06-12T13:53:54.000Z,b'@CambreanHQ @mattturck Lets go',en,
1668170148748959744,2023-06-12T08:15:31.000Z,b'@punk6529 @RikOostenbroek \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80',qme,
1667973232283009027,2023-06-11T19:13:02.000Z,b'@6529er @RikOostenbroek \xf0\x9f\xa4\x9d',qme,
1667898545863622656,2023-06-11T14:16:16.000Z,b'@andreaspreis @RikOostenbroek \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c',qme,
1667889587635535872,2023-06-11T13:40:40.000Z,b'@RikOostenbroek \xf0\x9f\x99\x8c',qme,
1667878874837819392,2023-06-11T12:58:06.000Z,"b""@RikOostenbroek was one of the first artists I got to know in the NFT space. I was immediately drawn to his art, and we've had several video calls since then. I've learned a lot from him and I'm excited to dive deeper into the digital art scene.\n\nA few days ago he gifted me a\xe2\x80\xa6 https://t.co/FEQwRykCN7 https://t.co/8iNFEGgPBB""",en,
1665307008080158726,2023-06-04T10:38:25.000Z,"b'Reaching a final is a big achievement, but of course, if you\xe2\x80\x99re at this point in a tournament, you want to win the cup. We\xe2\x80\x99re disappointed but even more hungry for next year. \n\nIncredibly proud of the team, the club, the fans. Thanks for your support! \xf0\x9f\xa6\x85 #SGE https://t.co/3k1FnjMI3i'",en,
1664698955920203777,2023-06-02T18:22:14.000Z,"b'2\xef\xb8\x8f\xe2\x83\xa30\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa36\xef\xb8\x8f\xe2\x83\xa3\n\nLiked it quite a lot so far, think I\xe2\x80\x99m staying here a little longer \xf0\x9f\x98\x9c @Eintracht https://t.co/orsjx80DIC'",en,
1663531236361469954,2023-05-30T13:02:08.000Z,b'Being invisible on the pitch would help once in a while. At least I am an IF now @InvsbleFriends  @MotionMarkus https://t.co/wvnEnK0are',en,
1663502145495212034,2023-05-30T11:06:32.000Z,b'@YoDontMentionMe @InvsbleFriends \xf0\x9f\xa4\x9d',qme,
1663500498568204288,2023-05-30T10:59:59.000Z,"b'@Cain_Beaudoin @InvsbleFriends @RTFKT Good choice, really like them'",en,
1663271070508433423,2023-05-29T19:48:19.000Z,b'@CambreanHQ \xf0\x9f\x9a\x80',qme,
1661484808252555264,2023-05-24T21:30:21.000Z,b'Got\xc2\xb4Em. Who will unbox? @Nike @dotSWOOSH https://t.co/tRhPDYIjDx',en,
1659994551254122496,2023-05-20T18:48:36.000Z,b'@walixxxq Congrats - good choice \xf0\x9f\x98\x9c',en,
1658918605315010562,2023-05-17T19:33:11.000Z,b'@celiapreihs Congrats!! The journey is the goal \xf0\x9f\x99\x8c',en,
1657508295140147200,2023-05-13T22:09:07.000Z,b'@Alts_Anonymous I would be down',en,
1654805199737827329,2023-05-06T11:07:59.000Z,b'@MizanArRahman @KingJames @RTFKT Well spotted \xf0\x9f\xa4\x9d',en,
1654558857707020293,2023-05-05T18:49:06.000Z,b'\xf0\x9f\x94\xa5\xf0\x9f\x91\x9f @RTFKT @NIKE Genesis AF1. Thx @benitopagotto @clegfx https://t.co/wO0DkIyaac',in,
1653882782907498497,2023-05-03T22:02:37.000Z,b'What it means \xf0\x9f\x99\x8f #POKALFINALE #VFBSGE @Eintracht https://t.co/DW3QUtC2gT',en,
1653656075390812160,2023-05-03T07:01:46.000Z,b'@RTFKT \xf0\x9f\x9a\x80',qme,
1650578606043586586,2023-04-24T19:13:00.000Z,b'Should I get one? Which one is your favorite?\xf0\x9f\xa4\x94 @RTFKT @Nike https://t.co/w3i0bxmxWT',en,
1648774140625657857,2023-04-19T19:42:42.000Z,b'Referees \xf0\x9f\xa4\x94',es,
1643961438329876481,2023-04-06T12:58:44.000Z,b'@UltiChamps @BNBCHAIN \xf0\x9f\x9a\x80',qme,
1643351826815655936,2023-04-04T20:36:22.000Z,"b'Get the ball, pass to Kolo, celebrate, repeat \xf0\x9f\x94\x81 Next round @DFB_Pokal here we come \xf0\x9f\x92\xaa https://t.co/0af06fqUTk'",en,
1641847765197004800,2023-03-31T16:59:45.000Z,b'@H4N1M0N @RTFKT @samisosa100 @web3_alex @__chidz__ @jwshua @RTFKTcreators \xf0\x9f\x98\x9c \xe2\x9a\xbd\xef\xb8\x8f',qme,
