twitter_id,date,tweet,lang,data
1679545532317073410,2023-07-13T17:37:14.000Z,b'RT @ReachHigher: The Supreme Court ruled against President Biden\xe2\x80\x99s proposed student debt relief plan last month. Here\xe2\x80\x99s what you need to kn\xe2\x80\xa6',en,
1679205799267106817,2023-07-12T19:07:15.000Z,"b'In honor of #MalalaDay, we asked a few members of the @GirlsAlliance from Namibia, India, Nepal, Guatemala, and Uganda to tell us why Malala inspires them\xe2\x80\x94and I just love their responses. Thank you @Malala for all that you do for girls around the world! \xf0\x9f\x92\x96 https://t.co/ExwGdk58tX'",en,
1678845869255282688,2023-07-11T19:17:01.000Z,"b'So even though it might not always feel like the judiciary reflects the kind of future we hope to see, the truth is, it\xe2\x80\x99s up to us to make sure that it does. \n\nSo today, I hope you\xe2\x80\x99ll take a second to double check your voter registration at https://t.co/LqTAmvFQzX and make a\xe2\x80\xa6 https://t.co/TplGln3WtS https://t.co/HnRtsP9J1n'",en,
1678845817199763458,2023-07-11T19:16:48.000Z,"b'We elect a President that appoints Supreme Court justices and senators who confirm or reject them. And in many states and cities, we elect the judges who determine how we\xe2\x80\x99re governed in our communities.'",en,
1678845810811781121,2023-07-11T19:16:47.000Z,"b""I know that a lot of you are frustrated with some of the Supreme Court's recent decisions. I am, too.\xc2\xa0\n\xc2\xa0\nBut just being disappointed isn\xe2\x80\x99t going to get us anywhere. We\xe2\x80\x99ve got to remember that our elections \xe2\x80\x94 from the White House to the local courthouse \xe2\x80\x94 play a critical role in\xe2\x80\xa6 https://t.co/SOA2RzOSMX https://t.co/gmuZfB9cPI""",en,
1677067945497837569,2023-07-06T21:32:11.000Z,"b""I\xe2\x80\x99m proud to be a Co-Founder and Strategic Partner of PLEZi Nutrition, a public benefit company that's working to drive the kind of positive change for kids\xe2\x80\x99 health I've always hoped to see. I wrote about the impact we\xe2\x80\x99re aiming to achieve on @OprahDaily: https://t.co/KQD6S9kqV4""",en,
1676683263954305025,2023-07-05T20:03:36.000Z,"b'In Athens, the @GirlsAlliance gathered some incredible leaders who are empowering girls around the world.\xc2\xa0I hope you\xe2\x80\x99ll check out some highlights from the event \xe2\x80\x94 @BarackObama\xc2\xa0even sat down for a discussion with these changemakers.\xc2\xa0\xf0\x9f\x8c\x8d https://t.co/BwOIQQe6TZ'",en,
1676229601947787270,2023-07-04T14:00:54.000Z,"b'Happy birthday, Malia! I feel so lucky to be your mom and to be able to watch you become the wonderful young woman you are today. Love you so much! \xef\xbf\xbc\xf0\x9f\x92\x95 https://t.co/gDhxZpWufI'",en,
1676216898109808643,2023-07-04T13:10:25.000Z,"b'From our family to yours, we hope you have a happy Fourth of July! https://t.co/0p01TC62ug'",en,
1676215946023714817,2023-07-04T13:06:38.000Z,"b'RT @BarackObama: Happy Fourth of July, everybody.\n\nToday and every day, Michelle and I are grateful to our troops and their families for th\xe2\x80\xa6'",en,
1674880593199341568,2023-06-30T20:40:25.000Z,"b""RT @POTUS: In the wake of today's Supreme Court decision on student loan relief, we need a new way forward. And we're moving as fast as we\xe2\x80\xa6""",en,
1674430722529169408,2023-06-29T14:52:48.000Z,"b""I wanted to share some of my thoughts on today's Supreme Court decision on affirmative action: https://t.co/Wa6TGafzHV""",en,
1674154744401612804,2023-06-28T20:36:10.000Z,"b""I'm so inspired by\xc2\xa0@ObamaFoundation\xc2\xa0Leaders like Tom who are working hard to create a safer, more inclusive world for us all. https://t.co/8U18E9AJ8A""",en,
1674093934300086274,2023-06-28T16:34:31.000Z,"b'Loved seeing our @ObamaFoundation staff, their families, and folks around my hometown come together for Chicago\xe2\x80\x99s Pride Parade! It\xe2\x80\x99s always such a fun and joyful celebration of the LGBTQ+ community\xe2\x80\x94and a powerful reminder of the progress that\xe2\x80\x99s possible when we come together. https://t.co/4Z97jhnUHh'",en,
1673479580009611265,2023-06-26T23:53:18.000Z,b'RT @BarackObama: Jim Crown was a pillar of Chicago who cared deeply about making our city a place where everybody can thrive. Michelle and\xe2\x80\xa6',en,
1672591732259581953,2023-06-24T13:05:18.000Z,"b""So today, I hope you'll join me in showing a little love to groups like @USOWomen and @PPFA. Go to https://t.co/Opjrzacnrg or https://t.co/aeksSNkrK7 to access care, donate to abortion funds, and pledge to become an abortion advocate.""",en,
1672591730745516032,2023-06-24T13:05:18.000Z,"b'On days like this, it\xe2\x80\x99s important to remember that change won\xe2\x80\x99t happen overnight. It may take years to achieve the outcome that we want to see. That\xe2\x80\x99s why it\xe2\x80\x99s critical we support organizations on the ground who are putting in the work every day to make a difference.'",en,
1672591729248149507,2023-06-24T13:05:18.000Z,"b'But even in a difficult year, we\xe2\x80\x99ve seen so many people putting in the work to push us forward again. We\xe2\x80\x99ve seen people rally for change in cities across the country. We\xe2\x80\x99ve seen state governments, companies, nonprofits, and local leaders step up to protect reproductive access.\xe2\x80\xa6 https://t.co/1oWRd0rr3O'",en,
1672591727465488389,2023-06-24T13:05:17.000Z,"b'It was heartbreaking then, and it\xe2\x80\x99s heartbreaking now to see so many women and girls lose control over their decisions about their own bodies. I think most of us hoped \xe2\x80\x94 even assumed \xe2\x80\x94 that these days were behind us. It\xe2\x80\x99s been painful to feel like we are going backward.'",en,
1672591726031130626,2023-06-24T13:05:17.000Z,"b'And this past year, we\xe2\x80\x99ve heard devastating stories of women\xe2\x80\x99s health being put in jeopardy because of regressive new state laws, others left with no option but to travel hours across state lines to get the care they need, doctors being unable to help, and families being forced\xe2\x80\xa6 https://t.co/F59mM4Vk4h'",en,
1672591720238784515,2023-06-24T13:05:16.000Z,"b'One year ago today, we watched as the Supreme Court overturned Roe v. Wade \xe2\x80\x94 taking away the right to abortion access that so many fought so hard to protect.'",en,
1670799458370482176,2023-06-19T14:23:27.000Z,b'I can\xe2\x80\x99t think of a more meaningful way to honor the actions of so many who came before us than by registering to vote. You can check your registration status at\xc2\xa0https://t.co/LqTAmvFQzX. #Juneteenth https://t.co/R7M4Owsumu',en,
1670799448841101313,2023-06-19T14:23:25.000Z,"b'Juneteenth is a celebration of freedom\xe2\x80\x94a chance to pay tribute to countless advocates, activists, and changemakers and the work they did to build a more perfect Union.'",en,
1670416361946750976,2023-06-18T13:01:10.000Z,"b'Happy Father\xe2\x80\x99s Day to all of the amazing dads out there \xe2\x80\x94 and to this guy in particular. @BarackObama, thank you for being such a loving, caring, and attentive dad to our two beautiful girls. We love you so much! \xf0\x9f\x92\x95 https://t.co/mAn6O0Vcys'",en,
