twitter_id,date,tweet,lang,data
1680161756981923840,2023-07-15T10:25:53.000Z,"b'Happy birthday to his highness , the King of the most beautiful country in the world @visitdubai the respected @HHShkMohd  . https://t.co/veRcWrUIj9 https://t.co/zp9FLDAFhu'",en,
1679397744325324803,2023-07-13T07:49:58.000Z,"b'I always feel So proud and happy to fly in @airindia . First of of all they have direct flight from New York to delhi , and you will get indian food. \nI know some people has lot\xe2\x80\x99s problem with air india but let me tell you that in every indian flights we get so much love,respect\xe2\x80\xa6 https://t.co/KTHdT8123v https://t.co/Y9kE5YsDlv'",en,
1676399110595960833,2023-07-05T01:14:28.000Z,b'Happy 4th of July Independence Day to All the Americans ..wishing you all the very best from the  king Mika Singh &amp; the honourable president of #America @JoeBiden \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/AbnpCyuylR',en,
1676390903668264961,2023-07-05T00:41:51.000Z,b'Happy Independence Day to all the Americans ..\nWishing you all the very best on behalf of Mika singh &amp; honourable president of america @JoeBiden \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/Mzqx223Z6v https://t.co/bMQdjbP8GP',en,
1671453670666534914,2023-06-21T09:43:03.000Z,"b'RT @MikaSingh: The Baap of entertainment king Mika singh is doing 100 shows this year .. America, Canada , Uk, #Europe, #Asia, Middle East\xe2\x80\xa6'",en,
1671434978167513088,2023-06-21T08:28:47.000Z,b'Have a wonderful day https://t.co/vXvBxREk4L',en,
1671395237921423361,2023-06-21T05:50:52.000Z,"b'The Baap of entertainment king Mika singh is doing 100 shows this year .. America, Canada , Uk, #Europe, #Asia, Middle East , Australia India ,\n1st time in the history of indian entertainment an artist is doing a real world tour with 100 shows . \nNo Bollywood actor or singer has\xe2\x80\xa6 https://t.co/h1qhus0Qfh https://t.co/EhRXaM9OoX'",en,
1668637907056308224,2023-06-13T15:14:13.000Z,b'Had a wonderful show in new york .. thank you so much New York walo for your incredible love ..\n#mikasinghusatour2023. https://t.co/qIjMYbtLzX https://t.co/s5p3RwW77O',en,
1668637688583315457,2023-06-13T15:13:21.000Z,b'Thank you Bhaaji \xf0\x9f\x99\x8f. So sorry for the late reply . Busy in usa tour.. https://t.co/UQOkRvvYVk',en,
1668636343797268482,2023-06-13T15:08:00.000Z,b'Good morning:) https://t.co/E8lXXiwnbo',en,
1664316074446454784,2023-06-01T17:00:48.000Z,b'Sat sri Akal bhaaji .. please send me the address and account details .. waheguru ji ka khalsa waheguru ji ki fateh.. rabb mehar kare sab te.. @Divine_T \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/jvbqrKhFev https://t.co/yFyFiKbFeE',hi,
1661074157373648896,2023-05-23T18:18:35.000Z,"b'Hello America! This is Mika Singh. Get your dancing shoes on and be ready to party with me very soon as I am coming to your City after 4 years. \n\nSo look forward to 3 hours of non-stop singing, dancing and dhamaal! Hurry and grab your tickets now so we can all party together.\xe2\x80\xa6 https://t.co/eVNm3n61Ol https://t.co/wb0zNmLTpI'",en,
1659441961722576896,2023-05-19T06:12:49.000Z,"b'Hello Indore, \nHere we present @mikasingh Live in Concert on 19th of may at Jardins Hotel,Indore...\n7pm onwards\n.\nAnd Guess What? Entries are definitely Free \xf0\x9f\x98\x8d\nYess You Hear It Right!!! \n\nSo what are you waiting for? Grab Your Complimentary Passes now! For Passes Call -\xe2\x80\xa6 https://t.co/pyuPr3tMge https://t.co/ccHZ9mA232'",en,
1657683327745404929,2023-05-14T09:44:38.000Z,b'The honourable Respected  Delhi CM @ArvindKejriwal and Punjab CM @BhagwantMann with @MikaSingh at @raghav_chadha and @ParineetiChopra engagement party at delhi. https://t.co/sIGCaylp5A',en,
1657664866998534145,2023-05-14T08:31:16.000Z,b'Handsome Munda te beautiful kudi.\nCongratulations brother @raghav_chadha and dear @ParineetiChopra .. https://t.co/ZBWGDo1EAO',en,
1654341525210374145,2023-05-05T04:25:30.000Z,"b'@OberoiVarinder @mika Thank you Bhaaji , but isse pehle mai bohat achha play karta tha'",hi,
1654341231688777730,2023-05-05T04:24:20.000Z,b'@farismohaab \xf0\x9f\xa4\x97\xf0\x9f\x99\x8c',qme,
1654341164865126400,2023-05-05T04:24:04.000Z,b'@k_pannag \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97',qme,
1654339865671241728,2023-05-05T04:18:54.000Z,b'Good morning have you seen this \xe2\x9d\xa4\xef\xb8\x8f https://t.co/kQlhEHYxPn',en,
1654121576676352006,2023-05-04T13:51:30.000Z,"b'Hello friends.. As some of you know, I was a very good guitarist. I used to play all the songs and my payment was only Rs 150 rupees for each event. \nI now charge so much money for concerts but the irony is that in the process I have forgotten to play guitar. This makes me feel\xe2\x80\xa6 https://t.co/Q2irWqEthx https://t.co/SoeT9WvI7Y'",en,
1652641702631604224,2023-04-30T11:51:01.000Z,b'RT @musicsoundoffi1: \xe2\x80\x98Channa Ve\xe2\x80\x99 is all Yours \xe2\x9d\xa4\xef\xb8\x8f\n\nOut Now!!! \n\non Music &amp; Sound Youtube Channel.\n.\n.\nSinger*\nYasser Desai\n\nFeaturing*\nRony\xe2\x80\xa6',en,
1650933359621853184,2023-04-25T18:42:40.000Z,"b'Ok Bhaaji jiddan tussi kahoge, assi oddan hi follow karange, https://t.co/euyzi2S9Er'",in,
1650916344358125568,2023-04-25T17:35:03.000Z,"b'A great man, king of punjab &amp; the real sardar who ruled Punjab for  more then 50 years . Many politicians will come and go but ,\nwe will only remember one name and that is , one and only \n#Parkashsinghbadal .\nMay waheguru bless his soul rest in peace..\nBig loss. https://t.co/AA0LiNyJv9'",en,
1650707029915471873,2023-04-25T03:43:19.000Z,b'@akanksha800 @TimesFashionWk Wah',und,
1650706967894331393,2023-04-25T03:43:04.000Z,"b'Birthday wishes going out to the multitalented, the true rock star of India my younger brother @arijitsingh \nMay God continue to bless you with all the success and happiness. https://t.co/VZVrOmg3nY'",en,
