twitter_id,date,tweet,lang,data
1669022062952984576,2023-06-14T16:40:43.000Z,"b""Fax you gotta look out and do your own research tho! Don't just be putting money into anything that you aren't sure of! https://t.co/zEI3ILc6dr""",en,
1669021707200339976,2023-06-14T16:39:18.000Z,b'@Pauly0x Still got nothing.. \xf0\x9f\xa7\x91\xe2\x80\x8d\xf0\x9f\x9a\x80',en,
1669020820335730699,2023-06-14T16:35:47.000Z,b'Yall fw crypto or nah? I been holdin btc since 2016 feels like a lifetime \xf0\x9f\x98\x82',en,
1669019625323999232,2023-06-14T16:31:02.000Z,b'RT @purpdranknotaro: Feeling SUPER bullish about $pepe all of a sudden \xf0\x9f\x91\x80 https://t.co/33hF51tToP',en,
1669019591144775682,2023-06-14T16:30:54.000Z,"b""RT @Ashcryptoreal: At 21, my net worth is $20M. \n\nHere's how I got there:\n\n* Saved $700 from my job over 8 years\n\n* Saved $500 from my side\xe2\x80\xa6""",en,
1669019534840193024,2023-06-14T16:30:40.000Z,b'RT @eth_ben: YES I WILL SWEEP THE ORANGE...DUH. \n\n@thisisorange.',en,
1669019504150552576,2023-06-14T16:30:33.000Z,"b'RT @JakeGagain: Are you still bullish on $PEPE? I am. \n\nIn this episode, I provide the three main reasons why #PEPE is my pick to FLY when\xe2\x80\xa6'",en,
1669019412869918720,2023-06-14T16:30:11.000Z,b'RT @Nakamigos: Gotta stay fly \xf0\x9f\xa6\x85 https://t.co/muPxPYQrTi',en,
1669019403898241025,2023-06-14T16:30:09.000Z,b'RT @eth_ben: \xf0\x9f\xa7\xb9 \xf0\x9f\x9f\xa7\xf0\x9f\xa7\xb9\xf0\x9f\x9f\xa7\xf0\x9f\xa7\xb9\xf0\x9f\x9f\xa7\xf0\x9f\xa7\xb9\xf0\x9f\x9f\xa7\xf0\x9f\xa7\xb9\xf0\x9f\x9f\xa7\xf0\x9f\xa7\xb9\xf0\x9f\x9f\xa7\xf0\x9f\xa7\xb9\xf0\x9f\x9f\xa7\xf0\x9f\xa7\xb9',art,
1669019386894602241,2023-06-14T16:30:05.000Z,b'RT @3orovik: Do you think $pepe makes a new high? https://t.co/wO2rIVmAM6',en,
1669019371585380362,2023-06-14T16:30:01.000Z,b'RT @eth_ben: FF6000. ALL I\xe2\x80\x99M GOING TO SAY. \xf0\x9f\x9f\xa7',en,
1669019317780860931,2023-06-14T16:29:48.000Z,b'RT @eth_ben: $PSYOP GANG. \xf0\x9f\x9f\xa7 GANG.',in,
1668485900681072641,2023-06-13T05:10:12.000Z,b'RT @Pauly0x: https://t.co/Wb5goaXoXB',zxx,
1668485817172475906,2023-06-13T05:09:52.000Z,b'RT @opensea: hbd @cryptopunksnfts \xf0\x9f\xa5\xb3 https://t.co/9nRNNQDLBL',und,
1666370113241579522,2023-06-07T09:02:49.000Z,b'How is yall doing today!!! https://t.co/fJ7353f142',en,
1660713190299148289,2023-05-22T18:24:13.000Z,b'@ArapperJust Soon as you take those \xe2\x80\x9cFunYuns\xe2\x80\x9d out ya head ..?!\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f deal..? \xf0\x9f\x98\x82',en,
1660171462697791488,2023-05-21T06:31:35.000Z,b'https://t.co/Q2RNljie4c',zxx,
1649184357469523968,2023-04-20T22:52:45.000Z,"b""RT @VH1: The Battle Of The Sexes always goes crazy! \xe2\x9a\xa4 Who y'all got @Nelly_Mo or @AngelaSimmons? #WildNOut https://t.co/JJJjgh2zj4""",en,
