twitter_id,date,tweet,lang,data
1677041596662157312,2023-07-06T19:47:29.000Z,b'everyday is the next step into the rest of your life',en,
1674800528390332418,2023-06-30T15:22:16.000Z,"b'Magic is magic until you try to explain it, then it becomes science.'",en,
1672418213978849280,2023-06-24T01:35:48.000Z,"b'A polyrhythmic twerk is the light, the truth and, the way.'",en,
1670889263762665501,2023-06-19T20:20:18.000Z,b'Classical &amp; jazz music are the true foundation',en,
1669811872911196160,2023-06-16T20:59:08.000Z,b'Won\xe2\x80\x99t she do it',en,
1666356814798262273,2023-06-07T08:09:58.000Z,b'Everything is ephemeral. Just like me.',en,
1666336916428685313,2023-06-07T06:50:54.000Z,b'Whoever\xe2\x80\x99s writing the code for the program of this reality is a goddamn genius',en,
1666317351405649920,2023-06-07T05:33:09.000Z,b'@RickRubin hmu',und,
1665171920780775424,2023-06-04T01:41:37.000Z,b'everyone is just a beautiful lil mess',en,
1662612273750487040,2023-05-28T00:10:30.000Z,"b'When you approach a bruised heart with tenderness, the true beauty of existence opens itself.'",en,
1661072331534655489,2023-05-23T18:11:19.000Z,b'Life is too short not to be cringe.',en,
1661062655141109760,2023-05-23T17:32:52.000Z,b'Not me picking my fro and listening to Off The Wall all morning',en,
1660133616591187969,2023-05-21T04:01:12.000Z,"b'at it\xe2\x80\x99s core, romanticism is about self gratification.'",en,
1659591867217092608,2023-05-19T16:08:29.000Z,b'one act done with the intention of escape opens the door to many more',en,
1653818547951517696,2023-05-03T17:47:22.000Z,b'I need help lol',en,
1648477224662888451,2023-04-19T00:02:52.000Z,b'\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbd https://t.co/uRQFYg5Xdh',art,
1644402488743714816,2023-04-07T18:11:19.000Z,"b""RT @Spotify: We've got the volume all the way up for WILLOW: Live At Electric Lady \xe2\x9a\xa1 @OfficialWillow https://t.co/rNlnu3ptfu https://t.co/x\xe2\x80\xa6""",en,
1644111707323637762,2023-04-06T22:55:51.000Z,b'See you in Pomona on 4/19! Tickets on sale at https://t.co/Bhj1dLrtmT https://t.co/04cTGiyjhx',en,
1635989857246879746,2023-03-15T13:02:31.000Z,b'Due to unforeseen circumstances I won\xe2\x80\x99t be able to perform for my fans in South America and Mexico. I hope to be back really soon.',en,
1633632372909572097,2023-03-09T00:54:43.000Z,b'enlighthinmints',en,
1633159949080735744,2023-03-07T17:37:29.000Z,b'https://t.co/Vy3b5dWgvH https://t.co/5ZQk4BD5R0',zxx,
1610498886711533569,2023-01-04T04:50:30.000Z,"b'RT @TheOfficialA7X: With 2022 coming to an end, we\xe2\x80\x99ve put together our Top 5 Albums of the Year: https://t.co/sC3Yd1hFdY https://t.co/5QJWr\xe2\x80\xa6'",en,
1607117389166182401,2022-12-25T20:53:39.000Z,b'The amount of people I\xe2\x80\x99ve put on is hilarious',en,
1607043482031632385,2022-12-25T15:59:58.000Z,b'Shitty but necessary',en,
1604606004938670080,2022-12-18T22:34:18.000Z,b'At this point I just wanna make tunes with @Sevendust',en,
1588665036461211648,2022-11-04T22:50:35.000Z,b'\xf0\x9f\x96\xa4@deftones\xf0\x9f\x96\xa4\n\nhttps://t.co/5Lt3W6iKHp',qme,
1588656951063646208,2022-11-04T22:18:27.000Z,b'https://t.co/glOuPjb1Yn',zxx,
1588655823336927232,2022-11-04T22:13:58.000Z,"b'RT @webabybears: Watch our BFF Unica, voiced by @OfficialWillow, \xf0\x9f\xa6\x84\xf0\x9f\x8c\x88 help us bros \xf0\x9f\x90\xbb\xf0\x9f\x90\xbc\xf0\x9f\x90\xbb\xe2\x80\x8d\xe2\x9d\x84\xef\xb8\x8f become bubbleologists Saturday 10/29 at 9a on @cart\xe2\x80\xa6'",en,
1588655717967437825,2022-11-04T22:13:33.000Z,b'RT @RocNation: .@OfficialWillow at Terminal 5 https://t.co/tZsSjIAZd9',en,
1586063512425504768,2022-10-28T18:33:03.000Z,b'@dojasbreastmilk @AltPress Everyday! They are the first faves I see what I wake up and the last before I go to sleep. They are literally EVERYTHING.',en,
1586062249558347776,2022-10-28T18:28:02.000Z,b'@heytamie @AltPress I\xe2\x80\x99ve been getting into painting with watercolors a lot lately. It\xe2\x80\x99s incredibly soothing.',en,
1586061699500474368,2022-10-28T18:25:51.000Z,"b'@ynosaur @AltPress Being able to make music is one of the greatest gifts of this life. And the fact that people care about what I have to say inspired me everyday to inject gratitude, positivity and healing into the world in every way I can.'",en,
1586061226638905345,2022-10-28T18:23:58.000Z,b'@piercehawkz @AltPress More merch definitely and just more art in general can\xe2\x80\x99t wait for the world to see what I\xe2\x80\x99ve been cooking up.',en,
1586058935684825088,2022-10-28T18:14:52.000Z,b'@iimauri @AltPress Yes! Absolutely. Can\xe2\x80\x99t wait! #copingmechanism',en,
1586058662761537536,2022-10-28T18:13:47.000Z,b'@ketsuktiamx @AltPress Michael Gondry &amp; I can\xe2\x80\x99t lie I\xe2\x80\x99d have to play myself lol',en,
1586055947092271105,2022-10-28T18:02:59.000Z,b'@BrettRash @AltPress I have a strong feeling that @st_vincent &amp; I would absolutely SLAY on tour together.',en,
1585380394727526400,2022-10-26T21:18:35.000Z,b'Join me as I answer your questions with @AltPress #COPINGMECHANISM https://t.co/kb7yX5slvJ',en,
1582191996730363907,2022-10-18T02:09:02.000Z,b'a candid pic of @pitchfork writing the &lt;COPINGMECHANISM&gt; review https://t.co/C4uq1bF5Bi',en,
1579914043749322752,2022-10-11T19:17:16.000Z,"b""Thanks for the love @pandoramusic \xe2\x9d\xa4\xef\xb8\x8f I'm taking over The Pop-Up on EMOTE to go behind-the-scenes of my brand-new album. Listen on Pandora!\xc2\xa0\n\nhttps://t.co/YDbgKi6Z8L https://t.co/gnhhqnOCes""",en,
1579904743966547968,2022-10-11T18:40:18.000Z,b'&lt;GRATITUDE&gt; @Spotify \nhttps://t.co/kvt4YbRKT3 https://t.co/A4YPeqznkQ',en,
1579599896511815681,2022-10-10T22:28:57.000Z,b'RT @Spotify: A new album from @OfficialWillow is just what we needed \xe2\x9c\xa8 &lt;COPINGMECHANISM&gt; is out now https://t.co/II4kqtqGiW https://t.co/a1\xe2\x80\xa6',en,
1579143884914847744,2022-10-09T16:16:55.000Z,b'@RollingStone \xf0\x9f\xa4\x98\xf0\x9f\x8f\xbe\xf0\x9f\x96\xa4',qme,
