twitter_id,date,tweet,lang,data
1673744326415851520,2023-06-27T17:25:18.000Z,"b'\xd8\xb9\xd9\x8a\xd8\xaf \xd8\xa3\xd8\xb6\xd8\xad\xd9\x89 \xd9\x85\xd8\xa8\xd8\xa7\xd8\xb1\xd9\x83\xd8\x8c \xd8\xa7\xd9\x86 \xd8\xb4\xd8\xa7\xd8\xa1 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x81\xd8\xb1\xd8\xa7\xd8\xad \xd8\xaf\xd8\xa7\xd8\xa6\xd9\x85\xd8\xa7\xd9\x8b \xd9\x81\xd9\x8a \xd9\x85\xd9\x86\xd8\xa7\xd8\xb2\xd9\x84\xd9\x83\xd9\x85 #\xd8\xb9\xd9\x8a\xd8\xaf_\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb6\xd8\xad\xd9\x89\nEid Adha Mubarak! May your homes be filled with happiness, always https://t.co/LqpXp7GFBQ'",und,
1671198509133864961,2023-06-20T16:49:08.000Z,b'\xd9\x8a\xd8\xa3\xd8\xaa\xd9\x8a \xd9\x8a\xd9\x88\xd9\x85 \xd8\xa7\xd9\x84\xd9\x84\xd8\xa7\xd8\xac\xd9\x89\xd8\xa1 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xd9\x8a \xd9\x83\xd8\xaa\xd8\xb0\xd9\x83\xd9\x8a\xd8\xb1 \xd9\x85\xd8\xa4\xd9\x84\xd9\x85 \xd8\xa8\xd8\xa3\xd9\x86\xd9\x86\xd8\xa7 \xd9\x85\xd8\xa7 \xd8\xb2\xd9\x84\xd9\x86\xd8\xa7 \xd9\x86\xd8\xb4\xd9\x87\xd8\xaf \xd9\x87\xd8\xb1\xd9\x88\xd8\xa8\xd8\xa7 \xd9\x8a\xd8\xa7\xd8\xa6\xd8\xb3\xd8\xa7 \xd9\x84\xd9\x84\xd8\xa3\xd8\xb4\xd8\xae\xd8\xa7\xd8\xb5 \xd9\x85\xd9\x86 \xd8\xaf\xd9\x8a\xd8\xa7\xd8\xb1\xd9\x87\xd9\x85 \xd8\xa5\xd9\x84\xd9\x89 \xd8\xa3\xd9\x85\xd8\xa7\xd9\x83\xd9\x86 \xd8\xba\xd9\x8a\xd8\xb1 \xd9\x85\xd8\xa3\xd9\x84\xd9\x88\xd9\x81\xd8\xa9\xd8\x8c \xd9\x85\xd9\x87\xd8\xac\xd8\xb1\xd9\x8a\xd9\x86 \xd8\xa8\xd8\xb3\xd8\xa8\xd8\xa8 \xd8\xa7\xd9\x84\xd9\x86\xd8\xb2\xd8\xa7\xd8\xb9 \xd8\xa3\xd9\x88 \xd8\xaa\xd8\xba\xd9\x8a\xd8\xb1 \xd8\xa7\xd9\x84\xd9\x85\xd9\x86\xd8\xa7\xd8\xae\xd8\x8c \xd8\xa3\xd9\x88 \xd8\xa3\xd8\xb3\xd8\xa8\xd8\xa7\xd8\xa8 \xd8\xa3\xd8\xae\xd8\xb1\xd9\x89 \xd8\xaa\xd9\x81\xd8\xb7\xd8\xb1 \xd8\xa7\xd9\x84\xd9\x82\xd9\x84\xd8\xa8. \xd8\xb9\xd8\xaf\xd8\xaf \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb4\xd8\xae\xd8\xa7\xd8\xb5 \xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a\xd9\x86 \xd8\xa3\xd8\xac\xd8\xa8\xd8\xb1\xd9\x88\xd8\xa7 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd9\x84\xd9\x86\xd8\xb2\xd9\x88\xd8\xad \xd8\xad\xd9\x88\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85 \xd9\x88\xd8\xb5\xd9\x84 \xd9\xa1\xd9\xa1\xd9\xa0 \xd9\x85\xd9\x84\xd9\x8a\xd9\x88\xd9\x86. \xd9\x88\xd8\xa3\xd8\xb6\xd8\xa7\xd9\x81\xd8\xaa \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb2\xd9\x85\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xad\xd8\xa7\xd9\x84\xd9\x8a\xd8\xa9 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb3\xd9\x88\xd8\xaf\xd8\xa7\xd9\x86 \xd9\xa2 \xd9\x85\xd9\x84\xd9\x8a\xd9\x88\xd9\x86 \xd8\xb4\xd8\xae\xd8\xb5 \xd8\xa5\xd9\x84\xd9\x89\xe2\x80\xa6 https://t.co/tZGiYJpxwu https://t.co/yZm8KK3kl7',ar,
1671197178872705033,2023-06-20T16:43:51.000Z,"b'World Refugee Day is a powerful yet devastating reminder that we are still marking the desperate escape of people from their homelands to unfamiliar places, driven by conflict, climate change, and a host of other heartbreaking reasons. The world\xe2\x80\x99s population of forcibly displaced\xe2\x80\xa6 https://t.co/AFQRjFXVlJ https://t.co/6PWWPu2h10'",en,
1661667797028536324,2023-05-25T09:37:29.000Z,b'RT @KingAbdullahII: \xd8\xb3\xd9\x86\xd9\x88\xd8\xa7\xd8\xb5\xd9\x84 \xd8\xa7\xd9\x84\xd8\xa5\xd9\x86\xd8\xac\xd8\xa7\xd8\xb2 \xd9\x88\xd8\xa7\xd9\x84\xd8\xaa\xd8\xad\xd8\xaf\xd9\x8a\xd8\xab \xd8\xa8\xd9\x87\xd9\x85\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb1\xd8\xaf\xd9\x86\xd9\x8a\xd9\x8a\xd9\x86 \xd9\x88\xd8\xb9\xd8\xb2\xd9\x85\xd9\x87\xd9\x85. \xd8\xa3\xd8\xa8\xd8\xa7\xd8\xb1\xd9\x83 \xd8\xa8\xd8\xa7\xd8\xb3\xd8\xaa\xd9\x82\xd9\x84\xd8\xa7\xd9\x84 \xd9\x88\xd8\xb7\xd9\x86\xd9\x86\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xa8\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb3\xd8\xa7\xd8\xa8\xd8\xb9 \xd9\x88\xd8\xa7\xd9\x84\xd8\xb3\xd8\xa8\xd8\xb9\xd9\x8a\xd9\x86\xd8\x8c \xd9\x88\xd8\xb0\xd9\x83\xd8\xb1\xd9\x89 \xd9\x85\xd8\xa6\xd9\x88\xd9\x8a\xd8\xa9 \xd8\xaa\xd8\xa3\xd8\xb3\xd9\x8a\xd8\xb3 \xd8\xac\xd9\x8a\xd8\xb4\xd9\x86\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xe2\x80\xa6',ar,
1652955223994892288,2023-05-01T08:36:50.000Z,b'\xd8\xb9\xd9\x8a\xd8\xaf \xd8\xb9\xd9\x85\xd8\xa7\xd9\x84 \xd8\xb3\xd8\xb9\xd9\x8a\xd8\xaf \xd9\x88\xd9\x83\xd9\x84 \xd8\xb9\xd8\xa7\xd9\x85 \xd9\x88\xd8\xa3\xd9\x86\xd8\xaa\xd9\x85 \xd8\xa8\xd8\xa3\xd9\x84\xd9\x81 \xd8\xae\xd9\x8a\xd8\xb1\n\nWishing a Happy Labor Day to Jordan and all of its workers',und,
1649108742581911561,2023-04-20T17:52:17.000Z,b'\xd8\xb9\xd9\x8a\xd8\xaf \xd9\x81\xd8\xb7\xd8\xb1 \xd9\x85\xd8\xa8\xd8\xa7\xd8\xb1\xd9\x83\xd8\x8c \xd8\xaa\xd9\x82\xd8\xa8\xd9\x84 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xa7\xd9\x84\xd8\xb7\xd8\xa7\xd8\xb9\xd8\xa7\xd8\xaa \xd9\x88\xd9\x83\xd9\x84 \xd8\xb9\xd8\xa7\xd9\x85 \xd9\x88\xd8\xa3\xd9\x86\xd8\xaa\xd9\x85 \xd8\xa8\xd8\xa3\xd9\x84\xd9\x81 \xd8\xae\xd9\x8a\xd8\xb1 #\xd8\xb9\xd9\x8a\xd8\xaf_\xd8\xa7\xd9\x84\xd9\x81\xd8\xb7\xd8\xb1_\xd8\xa7\xd9\x84\xd9\x85\xd8\xa8\xd8\xa7\xd8\xb1\xd9\x83 \n\nEid Mubarak to all! Wishing everyone a blessed holiday https://t.co/VCfb266DQd',und,
1648028712967831554,2023-04-17T18:20:38.000Z,b'\xd9\x81\xd9\x8a \xd9\x84\xd9\x8a\xd9\x84\xd8\xa9 \xd9\x87\xd9\x8a \xd8\xae\xd9\x8a\xd8\xb1 \xd9\x85\xd9\x86 \xd8\xa3\xd9\x84\xd9\x81 \xd8\xb4\xd9\x87\xd8\xb1\xd8\x8c \xd8\xa7\xd9\x84\xd9\x84\xd9\x87\xd9\x85 \xd8\xa7\xd9\x82\xd8\xa8\xd9\x84\xd9\x86\xd8\xa7 \xd8\xb7\xd8\xa7\xd8\xa6\xd8\xb9\xd9\x8a\xd9\x86 \xd9\x88\xd8\xa7\xd8\xb1\xd8\xb2\xd9\x82\xd9\x86\xd8\xa7 \xd8\xb1\xd8\xad\xd9\x85\xd8\xa9 \xd9\x88\xd8\xa7\xd8\xb3\xd8\xb9\xd8\xa9 \xd9\x88\xd9\x82\xd9\x84\xd9\x88\xd8\xa8\xd8\xa7\xd9\x8b \xd8\xae\xd8\xa7\xd8\xb4\xd8\xb9\xd8\xa9 \n#\xd9\x84\xd9\x8a\xd9\x84\xd8\xa9_\xd8\xa7\xd9\x84\xd9\x82\xd8\xaf\xd8\xb1',ar,
1638589324504571923,2023-03-22T17:11:53.000Z,b'\xd9\x87\xd9\x84 \xd8\xb4\xd9\x87\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xae\xd9\x8a\xd8\xb1\xd8\x8c \xd9\x83\xd9\x84 \xd8\xb9\xd8\xa7\xd9\x85 \xd9\x88\xd8\xa7\xd9\x84\xd8\xac\xd9\x85\xd9\x8a\xd8\xb9 \xd8\xa8\xd8\xb5\xd8\xad\xd8\xa9 \xd9\x88\xd8\xb3\xd8\xb9\xd8\xa7\xd8\xaf\xd8\xa9 #\xd8\xb1\xd9\x85\xd8\xb6\xd8\xa7\xd9\x86_\xd9\x83\xd8\xb1\xd9\x8a\xd9\x85\n \nRamadan is upon us once more! May the holy month bring health and happiness to all',und,
1636361137808629760,2023-03-16T13:37:52.000Z,"b""Find out why Aqaba, Jordan is on TIME\xe2\x80\x99s 2023 list of the World's Greatest Places https://t.co/wDFhwLJgBI""",en,
1633415244608417792,2023-03-08T10:31:56.000Z,b'\xd9\x81\xd9\x8a \xd9\x8a\xd9\x88\xd9\x85 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb1\xd8\xa3\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xd9\x8a\xd8\x8c \xd8\xaa\xd8\xad\xd9\x8a\xd8\xa9 \xd8\xa8\xd8\xad\xd8\xac\xd9\x85 \xd8\xb9\xd8\xb7\xd8\xa7\xd8\xa6\xd9\x87\xd8\xa7 \xd9\x88\xd9\x81\xd8\xae\xd8\xb1 \xd9\x83\xd8\xa8\xd9\x8a\xd8\xb1 \xd8\xa8\xd9\x86\xd8\xb3\xd8\xa7\xd8\xa1 \xd8\xa8\xd9\x84\xd8\xaf\xd9\x8a  #\xd9\x8a\xd9\x88\xd9\x85_\xd8\xa7\xd9\x84\xd9\x85\xd8\xb1\xd8\xa7\xd9\x87_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xd9\x8a\n\nForever proud of the determined and inspirational women in Jordan and beyond. Happy International Women\xe2\x80\x99s Day',und,
