twitter_id,date,tweet,lang,data
1679154612828356608,2023-07-12T15:43:51.000Z,b'\xf0\x9f\x92\x99 Happy Birthday to @MRodOfficial! #FastFam #TeamPW https://t.co/c5WT4w8uoP',en,
1675874883178319876,2023-07-03T14:31:23.000Z,"b'\xe2\x80\x9cLife is like riding a bicycle. To keep your balance, you must keep moving.\xe2\x80\x9d - Albert Einstein\n\n #MondayMotivation #TeamPW https://t.co/l1zVrqEw2b'",en,
1674814629216763912,2023-06-30T16:18:18.000Z,"b'The @PaulWalkerFdn teamed up w/ @InnoceanaOrg to make a splash all month, &amp; #WorldOceansDay may be over, but the commitment to the ocean never ends! \xf0\x9f\x8c\x8a\n\nVisit https://t.co/72vLBcTSul to continue your support. Together, we can make a difference! \xf0\x9f\x92\x99 #DoGood\n\n#PWFxInnoceana #TeamPW https://t.co/Aa4RbBN7IB'",en,
1673473052493873153,2023-06-26T23:27:21.000Z,"b'RT @paulwalkerfdn: Purchase our World Oceans Day Trucker Cap, custom-designed exclusively by The Paul Walker Foundation. 100% of profits fu\xe2\x80\xa6'",en,
1672293249774436357,2023-06-23T17:19:15.000Z,"b'\xe2\x80\x9cI think that the character of Caleb wants to be like Luke. You know, everything was handed to Caleb, he never had to work for anything. He was born with a silver spoon in his mouth.\xe2\x80\x9d - Paul on his character #TheSkulls\n\n#FBF #TeamPW https://t.co/1FbAZtGYTH'",en,
1672293132849823744,2023-06-23T17:18:47.000Z,b'RT @paulwalkerfdn: Meadow discovers the wonders of the ocean with a new friend. \xf0\x9f\x90\x9a\xf0\x9f\x92\x99Visit the link in our bio to learn about how you can shar\xe2\x80\xa6',en,
1671190030201626624,2023-06-20T16:15:27.000Z,b'.@MeadowWalker shares her love of the ocean &amp; the importance of keeping our beaches clean. Help @PaulWalkerFdn conserve and celebrate our beautiful oceans. Visit https://t.co/72vLBcTSul to learn about how you can share your support. #pwfxinnoceana #dogood #worldoceansday\n\n#TeamPW https://t.co/0gF4XGqYBw',en,
1669768907165519875,2023-06-16T18:08:24.000Z,"b'\xe2\x80\x9cFor beautiful eyes, look for the good in others.\xe2\x80\x9d - Audrey Hepburn \n\n#TeamPW https://t.co/cXsL6sfALP'",en,
1669747636197371923,2023-06-16T16:43:53.000Z,"b'RT @paulwalkerfdn: When your weekend plans involve a deep clean of the ocean. \xf0\x9f\x92\x99\xf0\x9f\x8c\x8a\n\nTime to suit up, dive in, and make our oceans a little cl\xe2\x80\xa6'",en,
1668653310591614977,2023-06-13T16:15:25.000Z,b'RT @paulwalkerfdn: Come along with us as we take inventory of the reef! \xf0\x9f\xa4\xbf\xf0\x9f\x92\x99 Visit the link in our bio to learn about how you can share your\xe2\x80\xa6',en,
1668653155821793281,2023-06-13T16:14:49.000Z,"b'RT @paulwalkerfdn: !REMINDER!: Get your World Oceans Day Bundle, custom-designed exclusively by The Paul Walker Foundation, and support our\xe2\x80\xa6'",en,
1667208105015296007,2023-06-09T16:32:42.000Z,b'RT @paulwalkerfdn: The Paul Walker Foundation is partnering with Innoceana to help the next generation learn about and connect with the oce\xe2\x80\xa6',en,
1666808421688147972,2023-06-08T14:04:30.000Z,"b""Let's make waves for a better world! \xf0\x9f\x92\x99 @PaulWalkerFdn is partnering w/ @InnoceanaOrg this #WorldOceansDay to preserve our precious oceans. Support efforts in educating future generations &amp; shop the limited edition World Oceans Day Bundle: https://t.co/35Fy0sU5OU\n\n#DoGood #TeamPW https://t.co/3w0D2EGaGE""",en,
1664683453051174933,2023-06-02T17:20:38.000Z,b'Can you name the Paul Walker film? #FBF\n\n#TeamPW https://t.co/GS71JMo7kR',en,
1662138435312709632,2023-05-26T16:47:38.000Z,b'Shout out to the talented McMiller94 from @DeviantArt for this incredibly realistic #PaulWalker sketch! \xe2\x9c\x8f\xef\xb8\x8f #FanArtFriday #PaulWalkerArt\n\n#TeamPW https://t.co/RsM4udavRP',en,
1659635872986288128,2023-05-19T19:03:21.000Z,b'#FBF to #FastFive\xe2\x80\xa6 \xf0\x9f\x98\x89\n\nWho\xe2\x80\x99s seeing #FastX this weekend?\n\n#TeamPW https://t.co/2a1XkHG1uv',en,
1657111719221645332,2023-05-12T19:53:16.000Z,b'\xe2\x80\x9cNever regret anything that made you smile.\xe2\x80\x9d - Mark Twain\n\n#TeamPW https://t.co/jE6i356yk6',en,
1654167780726276099,2023-05-04T16:55:06.000Z,b'\xf0\x9f\x92\x99 #TBT #TeamPW https://t.co/uJnQRMaoQj',qme,
