twitter_id,date,tweet,lang,data
1660418948771487744,2023-05-21T22:55:01.000Z,b'RT @Hari_Ravi_: Be sure to tune into @60Minutes tonight at 7pm EST! \n\nI\xe2\x80\x99ll be talking about how @Aura_Protects new call assistant can help\xe2\x80\xa6',en,
1656328274002452481,2023-05-10T16:00:08.000Z,"b'Congrats to my partners @Aura_Protects for launching our new, proprietary, AI-powered scam call &amp; text protection. Surely this will chip away at the $1.15 billion lost to scam calls and texts last year.. https://t.co/8HJDS0zD2r'",en,
1634701400759480322,2023-03-11T23:42:39.000Z,b'RT @sxsw: .@RobertDowneyJr shed light on the on the prevalence of online crime in America and  what you can do to better protect yourself o\xe2\x80\xa6',en,
1633869158495682561,2023-03-09T16:35:37.000Z,b'@Aura_Protects Can\xe2\x80\x99t wait to master the metanet..',en,
1633864012470550528,2023-03-09T16:15:10.000Z,b'Online safety is no joke. I\xe2\x80\x99m glad @Aura_Protects squeezed me in to audition for the role of a lifetime. #proudpartner https://t.co/i0vjtlgQD7',en,
1633860307155124227,2023-03-09T16:00:27.000Z,b'@Aura_Protects - the solution we\xe2\x80\x99ve all been waiting for. #proudpartner https://t.co/mwr36k1n12',en,
1633513034676330497,2023-03-08T17:00:31.000Z,"b""I'm taking on the role of a lifetime.. check back on 03.09.23 to learn more. https://t.co/IPB5wMiXVB""",en,
1589309180527116289,2022-11-06T17:30:11.000Z,"b'At the heart of every family (if you\xe2\x80\x99re fortunate), you\xe2\x80\x99ll find a mother. A fiercely sophisticated protector, nurturer, teacher and friend... Susan Downey, you are all that (and a party-sized bag of chips). https://t.co/88uxWbXS9L'",en,
1588199421279354881,2022-11-03T16:00:24.000Z,"b'He was a groundbreaking filmmaker. As well as my dad. It\xe2\x80\x99s not uncomplicated\xe2\x80\xa6 \xe2\x80\x9dSr.\xe2\x80\x9d is a documentary that tells the story of Robert Downey\xe2\x80\x99s maverick rise in NYC, his crash, burn and redemption in Hollywood and our relationship in the aftermath. Only on Netflix, December 2nd. https://t.co/uQBWIHmfFw'",en,
1587166898281623552,2022-10-31T19:37:31.000Z,"b'RT @MarkRuffalo: Parab\xc3\xa9ns aos her\xc3\xb3is da democracia brasileira! Pela primeira vez, o n\xc3\xbamero de votos aumentou no segundo turno. Os brasileir\xe2\x80\xa6'",pt,
1586101602657648650,2022-10-28T21:04:25.000Z,"b'Excelente, @debora_dpio! A melhor estrat\xc3\xa9gia, assim como a melhor tecnologia, \xc3\xa9 simples e eficiente. Vc consegue mudar o mundo conversando com quem est\xc3\xa1 do seu lado. \xc3\x89 preciso coragem, mas funciona. O mundo est\xc3\xa1 com voc\xc3\xaa. #NemTodoHer\xc3\xb3iUsaCapa\n\nhttps://t.co/Tb5ChOsuAy'",pt,
1586098430363017217,2022-10-28T20:51:48.000Z,"b'Eu t\xc3\xb4 com voc\xc3\xaas, @RDJBrazil! Essa semana, estamos todos unidos pelo Brasil. Unidade n\xc3\xa3o \xc3\xa9 sobre sermos iguais, mas sobre trabalharmos juntos.\n\nI love you 3000, Brazil. Votem!  #NemTodoHer\xc3\xb3iUsaCapa https://t.co/5xL8EtQBGl'",pt,
1586078321963663361,2022-10-28T19:31:54.000Z,"b'Parab\xc3\xa9ns, @odjgust! Isso que \xc3\xa9 estrat\xc3\xa9gia de verdade! Precisamos conquistar cora\xc3\xa7\xc3\xb5es e mentes. Se parecer muito dif\xc3\xadcil, lembre-se que, \xc3\xa0s vezes, vc tem que correr pra depois conseguir andar. Eu acredito em voc\xc3\xaas. #NemTodoHer\xc3\xb3iUsaCapa \n\nhttps://t.co/rl6X2aRLcI'",pt,
1586068276878233602,2022-10-28T18:51:59.000Z,"b'Exatamente, @LucianoHuck. Com a acesso a uma educa\xc3\xa7\xc3\xa3o de qualidade, toda crian\xc3\xa7a pode inventar seu melhor futuro. N\xc3\xa3o espere por isso. Vote por isso. #NemTodoHer\xc3\xb3iUsaCapa\n\nPS: Ainda est\xc3\xa1 reformando latas velhas? Vamos conversar. \n\nhttps://t.co/jf01SBYQEO'",pt,
1575897063174262785,2022-09-30T17:15:13.000Z,b'Fall Ball theme song!!\n\n\xf0\x9f\x8e\xb5: Check out the #RUNAWAY music video by Indio Ink out NOW: https://t.co/UCtTN4xC8J https://t.co/E28H6kYzIC',en,
1574945806343282688,2022-09-28T02:15:15.000Z,b'Striking a pose after the IG Live with Indio Ink..\n\nStream #RUNAWAY now: https://t.co/TdXVsFfqrd \xe2\x80\xa6and look out for the music video this Friday. See you there! https://t.co/Yg7joQhQA4',en,
1573426389570973696,2022-09-23T21:37:38.000Z,"b'Join Indio Ink and me over on my Instagram, this coming Tuesday (9/27 @ 3p PT). https://t.co/TzBOy1ct35'",en,
1573356454907625473,2022-09-23T16:59:45.000Z,b'Bandercize groove!! @TracyAnderson \n\n\xf0\x9f\x8e\xb5: #Runaway by Indio Ink now streaming! https://t.co/wLCrUJAogX https://t.co/Jr6vq0otaB',en,
1570815676633485314,2022-09-16T16:43:36.000Z,b'#Runaway by Indio Ink: https://t.co/OSzkXlOcnL https://t.co/NXR4O0ScOS',en,
1570815659919159296,2022-09-16T16:43:32.000Z,"b""The hits keep comin'. I dare you to keep this song out of your head. Stream #Runaway by Indio Ink now: https://t.co/OSzkXlOcnL https://t.co/2dMR7fIrDb""",en,
1570454934608572418,2022-09-15T16:50:08.000Z,b'RT @fp_coalition: Microplastic pollution and antibiotics could soon make salmon suppers unBEARable. But @wildtypefoods has a solution that\xe2\x80\xa6',en,
1569881414610620416,2022-09-14T02:51:10.000Z,b'RT @fp_coalition: We\xe2\x80\x99re thrilled to announce that @Falling_Walls named the FootPrint Coalition Science Engine as one of their breakthroughs\xe2\x80\xa6',en,
1567559811071619073,2022-09-07T17:05:57.000Z,"b'Anyone who knows him will tell you he\xe2\x80\x99s one of the kindest, strongest, most talented, &amp; least materialistic humans. I dropped by a recording session a few weeks back &amp; witnessed his musicianship up close &amp; was literally gob smacked. Keep an eye out for his band, Indio Ink https://t.co/TS4xHrTMqw'",en,
1567559544964005888,2022-09-07T17:04:54.000Z,"b'Happiest of 29th bdays to Indio Falconer Downey. His growth as an artist and man have been astonishing. Over the last several years, many storms have been weathered, and he\xe2\x80\x99s emerged as one of my favorite recording artists, no joke. https://t.co/O1LemqZzUj'",en,
