twitter_id,date,tweet,lang,data
1648054225262264321,2023-04-17T20:02:01.000Z,b'I am thrilled to announce that we have signed a brilliant new songwriter/producer @johnsamuelco and in the very near future I\xe2\x80\x99m going to start sharing some new songs that I particularly love. https://t.co/LIARsJwx2C',en,
1644481237573337088,2023-04-07T23:24:14.000Z,"b'Yes, it really was Chaos https://t.co/DiLAr32J3t'",en,
1630406557128093697,2023-02-28T03:16:29.000Z,b'The rest of the judges and I sat down to learn some things about each other! Some of them might surprise you! @heidiklum @terrycrews @howiemandel #agtallstars https://t.co/A9aKgsEP2H',en,
1630387924721172480,2023-02-28T02:02:27.000Z,b'It\xe2\x80\x99s always good to see my friend @adamlambert #agtallstars https://t.co/7Pkr0ZleVs',en,
1627928948310151168,2023-02-21T07:11:21.000Z,"b'Is @AidanMagician a magician or comedian? Either way, he\xe2\x80\x99s a star #agtallstars https://t.co/8MDq75iBAO'",en,
1627866072266178561,2023-02-21T03:01:30.000Z,b'@tomballofficial turned it up! #agtallstars https://t.co/WpdzpUwnJh',en,
1627851221829619713,2023-02-21T02:02:29.000Z,"b'It just got better, and better, and better! #agtallstars https://t.co/mD3Yjw2pOd'",en,
1625496841562492932,2023-02-14T14:07:01.000Z,b'Congratulations @Harry_Styles ! Very very proud of you! #BRITs #GRAMMYs\n\n \xf0\x9f\x93\xb8 @TomDymond https://t.co/PN58YxhXTq',en,
1625359561480626178,2023-02-14T05:01:31.000Z,"b'@tomballofficial: teacher by day, singer by\xe2\x80\xa6 later in the day. An extraordinary talent! #agtallstars https://t.co/2WmGAF0OiY'",en,
1625344689703424003,2023-02-14T04:02:26.000Z,"b'@averydixononsax has come so far since we first saw him audition on @agt, he has truly incredible talent! #agtallstars https://t.co/ZQ4b7KQhMD'",en,
1625329612946345985,2023-02-14T03:02:31.000Z,"b'@mikeewinfield is a great comedian, winning really does mean everything to him. #agtallstars https://t.co/Mwl3fiVrtG'",en,
1625261041226596352,2023-02-13T22:30:02.000Z,b'It\xe2\x80\x99s been such a great round of auditions for #agtallstars. Bring on the Final! https://t.co/pJjX5nb01y',en,
1622792885115531264,2023-02-07T03:02:28.000Z,"b'One of our greatest performers, thank you @brandon_leake_ctm #agtallstars https://t.co/P9CSFsAfdd'",en,
1622725121042534400,2023-02-06T22:33:12.000Z,"b""I'm a natural #agtallstars https://t.co/3OIfZVGvZb""",en,
1620248435990433794,2023-01-31T02:31:44.000Z,b'This was a performance I wish I could see again for the first time. #agallstars https://t.co/zICy3uBAdA',en,
1620206579760119809,2023-01-30T23:45:25.000Z,b'It\xe2\x80\x99s a thumbs up for me! #agtallstars https://t.co/o6iCHhY0FC',en,
1617764718248173569,2023-01-24T06:02:20.000Z,b'I LOVE choirs! @choirafrica was incredible #AGTAllStars https://t.co/k6hTkoZLks',en,
