twitter_id,date,tweet,lang,data
1679217269556256768,2023-07-12T19:52:50.000Z,b'We love doing our show. Congrats to all. https://t.co/55A6qJHeYx',en,
1678813359230324736,2023-07-11T17:07:50.000Z,b'Prime Day deal on Amazon. Ten measly dollars! https://t.co/mRdaDH484z',en,
1676782722252156928,2023-07-06T02:38:48.000Z,"b'I\xe2\x80\x99m proud to be a player on this album. Oh, do we still say \xe2\x80\x9calbum?\xe2\x80\x9d  https://t.co/vclhVV7pSW'",en,
1676065161717895168,2023-07-04T03:07:28.000Z,b'They do this when I\xe2\x80\x99m not looking. https://t.co/2SQw189YSa',en,
1674837678586757126,2023-06-30T17:49:54.000Z,"b'So proud of our tune and that I\xe2\x80\x99m playing with such great musicians. I have no problem with having a number one song! Thanks, Alison! https://t.co/FV9RfBKat8'",en,
1674242247146233856,2023-06-29T02:23:52.000Z,b'I knew this; just waited for verification. https://t.co/F6KcrMai4s',en,
1672664591757889536,2023-06-24T17:54:49.000Z,b'RT @blisscartoon: Today\xe2\x80\x99s cartoon from \xe2\x81\xa6@SteveMartinToGo\xe2\x81\xa9 and Harry\xe2\x80\xa6 https://t.co/qoRP1d38Kt',en,
1671366515273404416,2023-06-21T03:56:44.000Z,b'Cat water is very different from water. Please check facts. https://t.co/3n8UdQ2B4G',en,
1670613897156661248,2023-06-19T02:06:06.000Z,"b'RT @GirlLovesMagic: \xe2\x80\x9cPretty Flowers\xe2\x80\x9d by @SteveMartinToGo &amp; @DollyParton is one of my favorite songs ever. \n\nThe banjo, the lyrics, their vo\xe2\x80\xa6'",en,
1669934961456201728,2023-06-17T05:08:15.000Z,b'RT @blisscartoon: Todays\xe2\x80\x99 cartoon from \xe2\x81\xa6@SteveMartinToGo\xe2\x81\xa9 and me\xe2\x80\xa6 https://t.co/qaVf1MeNZy',en,
1668727949409890305,2023-06-13T21:12:01.000Z,"b'Got it, Jake. Thank you. https://t.co/zKWKjxZ8SG'",en,
