twitter_id,date,tweet,lang,data
1679962830961881088,2023-07-14T21:15:25.000Z,b'Demokrasimiz ve milletimiz i\xc3\xa7in kendini feda eden kahraman \xc5\x9fehitlerimizi sayg\xc4\xb1 ve rahmetle an\xc4\xb1yorum. https://t.co/8y3Qsls0sR',tr,
1678503134111453186,2023-07-10T20:35:06.000Z,"b'Sevgili Liam, yeni ya\xc5\x9f\xc4\xb1n\xc4\xb1 g\xc3\xb6n\xc3\xbclden kutluyorum. G\xc3\xbczel bir sezonu beraber ge\xc3\xa7irdik. Umar\xc4\xb1m bir\xc3\xa7ok ba\xc5\x9far\xc4\xb1ya beraber imza atar ve bir\xc3\xa7ok ya\xc5\x9f g\xc3\xbcn\xc3\xbcn\xc3\xbc ba\xc5\x9far\xc4\xb1larla beraber kutlar\xc4\xb1z.\n\nDear Liam, congratulations on your new age from the bottom of my heart. We had a great season together. I\xe2\x80\xa6 https://t.co/0eL4OFQtQ6 https://t.co/OK5sMQVYMw'",tr,
1677687824135356417,2023-07-08T14:35:21.000Z,b'Ba\xc5\x9f\xc4\xb1m\xc4\xb1z sa\xc4\x9f olsun #\xc3\x96zkanU\xc4\x9fur https://t.co/BHNVzE5Zgr',tr,
1676561416092897280,2023-07-05T11:59:25.000Z,b'\xe2\x80\x9cGalatasaray \xe2\x80\x93 Hull City\xe2\x80\x9d haz\xc4\xb1rl\xc4\xb1k ma\xc3\xa7\xc4\xb1n\xc4\xb1n saati g\xc3\xbcncellenmi\xc5\x9ftir. Bu ak\xc5\x9fam 20.30\xe2\x80\x99da canl\xc4\xb1 yay\xc4\xb1nla @tv8\xe2\x80\x99de.. https://t.co/0iEphyWw2E',tr,
1676347394999345154,2023-07-04T21:48:58.000Z,b'73 y\xc4\xb1l sonra b\xc3\xbcy\xc3\xbck r\xc3\xb6van\xc5\x9f :)\n\n\xe2\x80\x9cGalatasaray-Hull City\xe2\x80\x9d kar\xc5\x9f\xc4\xb1la\xc5\x9fmas\xc4\xb1 bu ak\xc5\x9fam 19.45\xe2\x80\x99te canl\xc4\xb1 yay\xc4\xb1nla @tv8\xe2\x80\x99de.. https://t.co/kRiqwqcWMe',tr,
1673949623373684737,2023-06-28T07:01:05.000Z,b'https://t.co/yJX3tgHYmP',zxx,
1668934436564393987,2023-06-14T10:52:31.000Z,b'MasterChef T\xc3\xbcrkiye All Star yeni sezonuyla bu ak\xc5\x9fam @TV8\xe2\x80\x99de ba\xc5\x9fl\xc4\xb1yor..\n\n@TvMasterchef @chefyalcinkaya @Danilo_Zanna @SomerSivrioglu @iremkanan @bilginarslan03 #TV8 #MasterChefT\xc3\xbcrkiyeAllStar https://t.co/6pSx7WAtx2',tr,
1668883396020391937,2023-06-14T07:29:42.000Z,"b'#Survivor2023 \xc5\x9fampiyonumuz Nefise Karatay\xe2\x80\x99\xc4\xb1 g\xc3\xb6n\xc3\xbclden tebrik ediyorum. Gen\xc3\xa7 ya\xc5\x9f\xc4\xb1nda \xc3\xa7ok zor bir sezondan y\xc3\xbcz\xc3\xbcn\xc3\xbcn ak\xc4\xb1yla \xc3\xa7\xc4\xb1kt\xc4\xb1. Seyircimize, ekibimize ve t\xc3\xbcm yar\xc4\xb1\xc5\x9fmac\xc4\xb1lar\xc4\xb1m\xc4\xb1za te\xc5\x9fekk\xc3\xbcrler.. \n\n#Survivor #SurvivorT\xc3\xbcrkiye #SurvivorFinal @survivorturkiye @tv8 https://t.co/nwgfxzGE4r https://t.co/VvcADIQNdy'",tr,
1668622842915852295,2023-06-13T14:14:21.000Z,b'#Survivor2023 final bu ak\xc5\x9fam 20.00\xe2\x80\x99de canl\xc4\xb1 yay\xc4\xb1nla @tv8\xe2\x80\x99de..\n\n@survivorturkiye #Survivor #SurvivorT\xc3\xbcrkiye #TV8 https://t.co/MM8UOox41S',tr,
1668161596777013250,2023-06-12T07:41:32.000Z,b'#Survivor yar\xc4\xb1 final bu ak\xc5\x9fam 20.00\xe2\x80\x99de canl\xc4\xb1 yay\xc4\xb1nla @tv8\xe2\x80\x99de..\n\n@survivorturkiye #Survivor2023 #SurvivorT\xc3\xbcrkiye #TV8 https://t.co/NXJgCQgYqh',tr,
