twitter_id,date,tweet,lang,data
1678956097418452992,2023-07-12T02:35:01.000Z,"b'Absolutely LOVED my time on @BravoWWHL with the one and only @kylieminogue \xf0\x9f\xa4\x8d Thank you so much for having us @Andy! With love, Padam Lambert #WWHL https://t.co/ocKZ9KFc5M'",en,
1678458098179260417,2023-07-10T17:36:09.000Z,b'Join me over on @BravoWWHL @BravoTV tomorrow night with the icon herself @kylieminogue and @Andy! See you there \xe2\x9c\xa8 #WWHL https://t.co/aKh989zzD5',en,
1677072441183719425,2023-07-06T21:50:03.000Z,b'What a time we had at @PrideInLondon this past week! Thanks for singing along with me \xf0\x9f\x8c\x88 https://t.co/Qtc0iB9KpQ',en,
1675164968797503491,2023-07-01T15:30:26.000Z,b'You Make Me Feel (Mighty Real) is one of the trending songs over on @hitsradiouk this week! \xf0\x9f\x8c\x88 https://t.co/XKl531x2XL',en,
1674808503008137217,2023-06-30T15:53:58.000Z,"b'Join the auction for VIP seats, flights and accommodation to a North American show of your choice, all in aid of @nordoffrobbins, Childline, @TeenageCancer &amp; @savechildrenuk via the @hmtruants charity \xf0\x9f\xa4\x8d\n\nhttps://t.co/vtlSCdupbZ https://t.co/Jh7Z8097OH'",en,
1674630387019173888,2023-06-30T04:06:12.000Z,"b""Pride is ALL YEAR LONG, so I've got some more music for you! The official remix EP for You Make Me Feel (Mighty Real) is now available everywhere \xf0\x9f\x8c\x88 @weare808BEACH @TheOnlyMikeQ\n\nhttps://t.co/5473kyr8Kz https://t.co/AV3JgszTN7 https://t.co/LKPsWSiewb""",en,
1674137915616817152,2023-06-28T19:29:17.000Z,"b""I'm so honored to be on the cover of @pridelife this month and excited to see you all at @PrideInLondon soon!!! \xf0\x9f\x8c\x88 \xe2\x9c\xa8\n\nhttps://t.co/fHSQjgenRN https://t.co/55Sf24JOGC""",en,
1673815861680033794,2023-06-27T22:09:34.000Z,b'What an unforgettable night at Planet Pride this past weekend \xf0\x9f\x8c\x88 Thank you for dancing the night away with me \xe2\x9c\xa8 @jakeresnicow @TySunderland \n\n\xf0\x9f\x8e\xa5: @nightmodevideo https://t.co/RtFG58ivZD',en,
1673392688417374208,2023-06-26T18:08:01.000Z,"b""Who knew that a friendly 'have a great show' text would turn into an invitation to perform with the iconic diva @xtina?! Like many of you know, I've been a stan for her since like.... '2000!!! I learned how to truly wail listening to her. Thank you Xtina for this surreal moment\xe2\x80\xa6 https://t.co/WGKzArTgaM https://t.co/X7OCOjDiRO""",en,
1673389128774488064,2023-06-26T17:53:53.000Z,b'Listen to my new Pride Essentials playlist over on @TIDAL \xf0\x9f\x92\x95\n\nhttps://t.co/CfUD4uHidu https://t.co/tRw2HRS1iP',en,
1672349096043253760,2023-06-23T21:01:09.000Z,b'You Make Me Feel (Mighty Real) live on @GMA! #sigala #sylvester #disco #dance #pride #nypride #gma\n\nhttps://t.co/Vo9Qrns0nE https://t.co/VV41V1GsmA',en,
1672325546859167751,2023-06-23T19:27:35.000Z,"b'Support the @stonewallvisctr as we preserve LGBTQ+ history, honor the pioneers of the past, and ignite inspiration for the future. Starting June 20, claim your piece of history with the incredible Michael Kors x SNMVC bag at select @MichaelKors locations \xf0\x9f\x8c\x88   \n\nDive into an\xe2\x80\xa6 https://t.co/WwlGY7GTv3 https://t.co/Pyl0p4qwcY'",en,
1671912158664458242,2023-06-22T16:04:55.000Z,"b""I should've known Alexa was going to get me with that one \xf0\x9f\x98\x85 https://t.co/2FRwMUeJpr""",en,
