twitter_id,date,tweet,lang,data
1679967423846395905,2023-07-14T21:33:40.000Z,b'Thanks for having me on @HOLLYWIRE \xf0\x9f\x96\xa4\n\nWatch me play Explain That Post!! https://t.co/HSfB7LHvdP https://t.co/ndGDy1rsI9',en,
1679077839180644352,2023-07-12T10:38:47.000Z,b'AG. \n\nUnity in Diversity sweats and tees are here \xf0\x9f\x96\xa4\n\n\xf0\x9f\x91\x89 https://t.co/Ntn26DFn75\n\n#AGMXXD #AGNEZMO https://t.co/rSOVFnIVqy',en,
1678463322671251456,2023-07-10T17:56:55.000Z,b'Ok\xe2\x80\xa6 but have you seen the choreography for #GETLOOSE yet??\n\n#AGNEZMO #AGNEZMOxCIARA https://t.co/GyVfajR1Qe',en,
1678106837848309761,2023-07-09T18:20:22.000Z,b'U know whats amazing?? It\xe2\x80\x99s that the universe has a way of getting rid of people whos not supposed to be a part of your journey. And guess w... https://t.co/PVWPsAeBb1',en,
1677795915598536704,2023-07-08T21:44:52.000Z,b'@iamkatie1312 @ciara @moiciaratoo @AGNEZMOAG \xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d',qme,
1677330005544534020,2023-07-07T14:53:31.000Z,"b""RT @iamkatie1312: I swear I'm SOOOOO obsessed with the song. The best of the best tbh. \xf0\x9f\x94\xa5 \n\n@Ciara @Agnezmo https://t.co/t4AZhLWDyz""",en,
1676673368102404097,2023-07-05T19:24:16.000Z,b'\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/0hrTrRlokP',art,
1675898261553696768,2023-07-03T16:04:16.000Z,"b'RT @RatedRnB: Stream @agnezmo\'s new song ""Get Loose"" featuring @ciara. https://t.co/ruWxSWc5sE'",en,
1675070784950407168,2023-07-01T09:16:11.000Z,"b'RT @iamrobbie__: ayeeee get loose, get loose get loose \xf0\x9f\x92\x83\xf0\x9f\x8f\xbd\xf0\x9f\x95\xba\xf0\x9f\x8f\xbe\xf0\x9f\x94\xa5\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb5 @ciara @agnezmo https://t.co/aQmyQtQnAt'",en,
1674939683380543488,2023-07-01T00:35:14.000Z,b'Thank uuuu for including GET LOOSE!! \xf0\x9f\xa5\xb0 https://t.co/l6ZMkD6poO',en,
