twitter_id,date,tweet,lang,data
1679661529468383232,2023-07-14T01:18:09.000Z,b'And the time has come to rise! Great luck to all our scientists at @isro for #Chandrayaan3. A billion hearts are praying for you. \xf0\x9f\x99\x8f https://t.co/Lbcp1ayRwQ',en,
1678713312060780549,2023-07-11T10:30:17.000Z,b'\xe0\xa4\xac\xe0\xa4\xb8 \xe0\xa4\x8f\xe0\xa4\x95 \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa5\x80\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa4\x9c\xe0\xa4\xbc\xe0\xa4\xbe\xe0\xa4\xb0 \xf0\x9f\x94\xb1\n#OMG2 in theatres on August 11.\n\n#OMG2Teaser out now: https://t.co/qYD4YwO3Gc https://t.co/AbkLbpXNF4',und,
1678637744329719809,2023-07-11T05:30:00.000Z,b'\xe0\xa4\xb0\xe0\xa4\x96 \xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb8 \xf0\x9f\x99\x8f\n#OMG2Teaser out now. \n\n#OMG2 in theatres on August 11. https://t.co/huoKuAIKw9',und,
1678435772872130561,2023-07-10T16:07:26.000Z,b'\xe0\xa5\xa7\xe0\xa5\xa7:\xe0\xa5\xa6\xe0\xa5\xa6 \xf0\x9f\x94\xb1',und,
1677920631399268352,2023-07-09T06:00:27.000Z,b'\xe0\xa5\xa7\xe0\xa5\xa7.\xe0\xa5\xa6\xe0\xa5\xad.\xe0\xa5\xa8\xe0\xa5\xa6\xe0\xa5\xa8\xe0\xa5\xa9 \xf0\x9f\x99\x8f \n#OMG2Teaser out on July 11. \n\n#OMG2 in theaters on August 11. https://t.co/MlYB0FUo9s',en,
1676927269569449984,2023-07-06T12:13:11.000Z,"b'Holiday for me means getting some time to watch good content with my kids. Just watched this excellent documentary on Operation Ganga, the mission to rescue Indian students from Ukraine after the war began. I have goosebumps. After doing a film like Airlift, I now know what it\xe2\x80\xa6 https://t.co/uDT3MFSNkd'",en,
1676883899987922944,2023-07-06T09:20:51.000Z,b'\xe0\xa4\xb8\xe0\xa4\x9a \xe0\xa4\xb5\xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\x9c\xe0\xa5\x8b \xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xac\xe0\xa4\xbf\xe0\xa4\xa4 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\x9c\xe0\xa4\xbe \xe0\xa4\xb8\xe0\xa4\x95\xe0\xa5\x87.\nThe battle for truth is about to begin.\n#OMG2 in theatres on August 11.\nTeaser drops soon. https://t.co/HB5RV3lrry',en,
1675768839420690433,2023-07-03T07:30:00.000Z,b'\xe0\xa4\xae\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa4\xa4\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\xb8\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\x88 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xb9 \xe0\xa4\xaa\xe0\xa4\xb0 \xf0\x9f\x99\x8c\n#OMG2 in theatres on August 11! \nTeaser\xc2\xa0drops\xc2\xa0soon. https://t.co/qUL7b4tNYa',et,
1675753753981636609,2023-07-03T06:30:03.000Z,b'\xe0\xa4\xac\xe0\xa4\xb8 \xe0\xa4\x95\xe0\xa5\x81\xe0\xa4\x9b \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xa8\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82\xe2\x80\xa6\xf0\x9f\x99\x8f\n#OMG2 in theatres on August 11.\nTeaser Drops Soon. https://t.co/62oLCPKkCa',et,
1674666072723832833,2023-06-30T06:28:00.000Z,"b""Get ready for FIVE  times the madness! \xf0\x9f\x92\xa5\n\nBringing to y'all #SajidNadiadwala\xe2\x80\x99s #Housefull5 \nDirected by @Tarunmansukhani \n\nSee you in cinemas on Diwali 2024! \n\n@Riteishd @NGEMovies @WardaNadiadwala https://t.co/CbzMy0PxOO""",en,
1674327467635650560,2023-06-29T08:02:30.000Z,b'#EidMubarak to you and your families. Peace and happiness to all.',en,
1667767773521670144,2023-06-11T05:36:37.000Z,"b""ENVY's Nice Perfume: Your fragrance, their envy. \n\n#Ad @EnvyFrench https://t.co/omHgNNt6f0""",en,
1667011134224756738,2023-06-09T03:30:00.000Z,"b'\xe0\xa4\x86 \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\xb9\xe0\xa4\xae,\n\xe0\xa4\x86\xe0\xa4\x87\xe0\xa4\xaf\xe0\xa5\x87\xe0\xa4\x97\xe0\xa4\xbe \xe0\xa4\x86\xe0\xa4\xaa \xe0\xa4\xad\xe0\xa5\x80.\n11th August. In theatres. #OMG2 https://t.co/Fij3N8wco6'",und,
1666334189179006976,2023-06-07T06:40:04.000Z,b'Kem cho Surat? We\xe2\x80\x99re thrilled to launch our third store in your city. \n@ForceIXofficial is now open in Surat. Aavjo \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\n\n#ForceIX #\xe0\xa4\xab\xe0\xa4\xbc\xe0\xa5\x8b\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xb8\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x88\xe0\xa4\xa8 #EngineeredWithEmotion #FashionForAll https://t.co/gA5TS1pcbb',en,
1664867860643205121,2023-06-03T05:33:24.000Z,b'Heartbreaking to see the visuals from the tragic train accident in Odisha. Praying for the speedy recovery of the injured. My thoughts and condolences to the families of the affected during this difficult time. Om Shanti \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/NlDpyo8O6U',en,
1662475021972025345,2023-05-27T15:05:07.000Z,b'Proud to see this glorious new building of the Parliament. May this forever be an iconic symbol of India\xe2\x80\x99s growth story. #MyParliamentMyPride https://t.co/vcXfkBL1Qs',en,
1661249175349256193,2023-05-24T05:54:02.000Z,"b'Namaskara Bengaluru \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb With a lot of excitement we\xe2\x80\x99ve taken our second step, a step closer to you\xe2\x80\xa6\n@ForceIXofficial is now open in your city!\n\n#ForceIX #\xe0\xa4\xab\xe0\xa4\xbc\xe0\xa5\x8b\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xb8\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x88\xe0\xa4\xa8 #EngineeredWithEmotion https://t.co/1xhnbUwP8Z'",en,
