twitter_id,date,tweet,lang,data
1679515972678582272,2023-07-13T15:39:46.000Z,"b'Made a quick trip to \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa5\x8d\xe0\xa4\xb2\xe0\xa5\x80 and spoke from my \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xb2 to support #MissionStartAbOnPrime \xf0\x9f\xa4\x8d\n@PrimeVideoIN\n\nMany thanks to Principal Scientific Advisor, Govt of India, Ajay Kumar Sood ji for his support of this initiative to discover grassroots entrepreneurs in India. https://t.co/saQpk61Dvi'",en,
1679016722584731648,2023-07-12T06:35:55.000Z,b'What Jhumka ? \xf0\x9f\x94\x8a\n\n#RockyAurRaniKiiPremKahaani in cinemas\xc2\xa0July\xc2\xa028\xe2\x99\xa5\n\nhttps://t.co/FxQVYBE5yA',in,
1678688419508289536,2023-07-11T08:51:22.000Z,b'Kal Jhumka girega \xf0\x9f\x94\x8a\n\n#RockyAurRaniKiiPremKahaani in cinemas July 28\xe2\x99\xa5\xef\xb8\x8f https://t.co/XtyMXy3JTQ',in,
1678651120594604032,2023-07-11T06:23:09.000Z,b'My first ever song vlog is out on YouTube!\xc2\xa0Go\xc2\xa0watch\xc2\xa0now\xc2\xa0\xf0\x9f\xa4\x8d\nhttps://t.co/mNMFzjMZnF',en,
1676116415257128960,2023-07-04T06:31:08.000Z,"b'Once upon a time, ek tha Rocky aur ek thi Rani\xe2\x80\xa6 aur ye hai unki Kahaani \xe2\x99\xa5\n#RockyAurRaniKiiPremKahaani in cinemas July 28 \xe2\x99\xa5\n\nhttps://t.co/wb1GbJS5cx \n\n#RRKPK @aapkadharam #JayaBachchan @azmishabana @RanveerOfficial @tota_rc @utterlyChurni @kshiteejog @AamirBashir @dasnamit\xe2\x80\xa6 https://t.co/j5OCXg225g'",hi,
1675874291810975745,2023-07-03T14:29:02.000Z,b'#RockyAurRaniKiiPremKahaani \xf0\x9f\x92\x95 Trailer out tomorrow!! https://t.co/PjgS89O6D8',en,
1673964594535215106,2023-06-28T08:00:34.000Z,b'Tum Kya Mile \xf0\x9f\x92\x9b\xf0\x9f\x92\x99\xf0\x9f\x92\x9c\xf0\x9f\xa7\xa1\nSong out now: https://t.co/qhcA4Ee7T5\n\n#RockyAurRaniKiiPremKahaani releasing in cinemas on 28th July.',en,
1673569418524385280,2023-06-27T05:50:17.000Z,b'@aapkadharam #JayaBachchan @azmishabana @RanveerOfficial #KaranJohar @apoorvamehta18 @andhareajit @ishita_moitra #ShashankKhaitan #SumitRoy @somenmishra0 @ipritamofficial @arijitsingh @shreyaghoshal @OfficialAMITABH @VMVMVMVMVM @DharmaMovies @Viacom18Studios @saregamaglobal',qme,
1673569414061637638,2023-06-27T05:50:16.000Z,b'#TumKyaMile \xf0\x9f\x92\x95\n\n#RRKPK https://t.co/zWuYBwxOj1',qme,
1671046358479011841,2023-06-20T06:44:33.000Z,b'Teasing you with a teaser for now\xe2\x80\xa6 kahaani toh bas shuru hui hai abhi\xe2\x80\xa6\n \n#RockyAurRaniKiiPremKahaani Teaser out now!\n\nhttps://t.co/DrdM8gyRsD https://t.co/hPYOh9DjtL',en,
1670677943570550784,2023-06-19T06:20:36.000Z,b'#RockyAurRaniKiiPremKahaani\nTeaser out tomorrow!\nhttps://t.co/l3bNUvvYxf https://t.co/W5lwvOFy2F',en,
1670233707234336768,2023-06-18T00:55:21.000Z,b'HEART OF STONE \xf0\x9f\x94\xa5 \nAugust 11. \n@Netflix @NetflixIndia #Tudum https://t.co/cDbIsfMJHz',en,
1666748398521966592,2023-06-08T10:05:59.000Z,b'Towards a sustainable future! \xf0\x9f\x8c\x8e\xf0\x9f\x92\x9a\n@bhamlafoundatio @G20org #BhamlaFoundation https://t.co/8cRqXU7grV',en,
1664633821243817985,2023-06-02T14:03:25.000Z,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc\n#GucciChime for gender equality\n#Chimeln https://t.co/0is374M0YO',en,
1663971928552644608,2023-05-31T18:13:17.000Z,b'Excited to be chiming in for Gucci Chime\xe2\x80\x99s 10th Anniversary Campaign!\n\n#GucciChimeForGenderEquality #ChimeIn\n\n@gucci https://t.co/ssvKrnVJaX',en,
1661625344875716609,2023-05-25T06:48:48.000Z,"b'Meet Rocky, Rani aur unke parivaar\xf0\x9f\x8f\xa0\n\n#RRKPK @aapkadharam #JayaBachchan @azmishabana @RanveerOfficial @tota_rc @utterlyChurni @kshiteejog @AamirBashir @dasnamit #AnjaliDineshAnand #KaranJohar @apoorvamehta18 @andhareajit @ishita_moitra #ShashankKhaitan #SumitRoy @somenmishra0\xe2\x80\xa6 https://t.co/OUe9pIJybj https://t.co/ufNoci13ao'",et,
1661601419240296449,2023-05-25T05:13:44.000Z,"b'Meet Rocky aur Rani \xf0\x9f\xab\x85\xf0\x9f\x8f\xbb\xf0\x9f\x91\xb8\xf0\x9f\x8f\xbb\n\n#RockyAurRaniKiiPremKahaani, a film by Karan Johar in his 25th anniversary year.   \nIn cinemas 28th July, 2023. \n\n#RRKPK @aapkadharam #JayaBachchan @azmishabana @RanveerOfficial #KaranJohar @apoorvamehta18 @andhareajit @ishita_moitra #ShashankKhaitan\xe2\x80\xa6 https://t.co/Y2S91AgLKj https://t.co/pZlQspB3gX'",en,
1661596482410283009,2023-05-25T04:54:07.000Z,b'Meet Rani \xf0\x9f\x91\xb8\xf0\x9f\x8f\xbb \n\n#RRKPK @aapkadharam #JayaBachchan @azmishabana @RanveerOfficial #KaranJohar @apoorvamehta18 @andhareajit @ishita_moitra #ShashankKhaitan #SumitRoy @somenmishra0 @DharmaMovies @Viacom18Studios @saregamaglobal https://t.co/SIPcISEYsr',et,
1661594286046199808,2023-05-25T04:45:23.000Z,b'Meet Rocky \xf0\x9f\xab\x85\xf0\x9f\x8f\xbb\n#RRKPK @aapkadharam #JayaBachchan @azmishabana @RanveerOfficial #KaranJohar @apoorvamehta18 @andhareajit @ishita_moitra #ShashankKhaitan #SumitRoy @somenmishra0 @DharmaMovies @Viacom18Studios @saregamaglobal https://t.co/lH2vaL580T',en,
1656694342256574466,2023-05-11T16:14:45.000Z,b'\xf0\x9f\x92\x9f @gucci https://t.co/gFEMwYWgL5',qme,
1656574032253427712,2023-05-11T08:16:41.000Z,b'Honoured to represent the house of Gucci as its Global Ambassador. Looking forward to creating magic\xc2\xa0together\xc2\xa0\xe2\x99\xa5 https://t.co/fePDFSHN4l',en,
1654473274594852873,2023-05-05T13:09:01.000Z,b'outtakes \xf0\x9f\x91\x80\n\nhttps://t.co/2tc9WFxppH https://t.co/AzNNbS2LVH',en,
1653377561005793283,2023-05-02T12:35:03.000Z,b'\xf0\x9f\xa4\x8d\xf0\x9f\x98\x87\xf0\x9f\xab\xa0\n\n#metgala2023 https://t.co/UPI7DXqXLc',qme,
