twitter_id,date,tweet,lang,data
1680243711882477573,2023-07-15T15:51:32.000Z,b'Cleveland \xf0\x9f\x91\x80 See you tonight!! Text me 917-970-2001 I have a few extra tickets\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c',en,
1679926542669864961,2023-07-14T18:51:13.000Z,b'Getting ready for TO tonight!!!!!!!! Wanted to put you onto my latest skin secret \xe2\x80\x9cIt\xe2\x80\x99s Like Skin\xe2\x80\x9d!! This 2-in-1 skincare color hybrid by @keyssoulcare is an AMAAZING skin tint and concealer. It makes you Glow!! \xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8 \n\nI\xe2\x80\x99m using it for all my shows. I LOVE how it looks! It\xe2\x80\xa6 https://t.co/WaDFeKMmvp https://t.co/S8orFO2rHp',en,
1679900427574292485,2023-07-14T17:07:27.000Z,b'TORONTO \xf0\x9f\xa4\xa9 I have a few extra tickets!!! Text me 917-970-2001\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c',en,
1679514094661976064,2023-07-13T15:32:18.000Z,b'AIR HORN!!!!!!!! \xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/kuOErpM7td',ca,
1679512785762283520,2023-07-13T15:27:06.000Z,b'you\xe2\x80\x99re the best!!! \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/6qHxI8phEf',en,
1679512656057712641,2023-07-13T15:26:35.000Z,b'We shut down the city!!!! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/jqtLsTtdPG',en,
1679512469595734016,2023-07-13T15:25:51.000Z,b'i love this soooo much!!! and that FIT you made me!!!! \xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf\xf0\x9f\xa4\xaf sending ultimate love! you are incredible!!! \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/XxvxhvBcae',en,
1679512048592470021,2023-07-13T15:24:10.000Z,b'looovveeeee thissssss!!!!! you touched me the same!!! \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/aZAsf2aJP2',en,
1679511860024954880,2023-07-13T15:23:25.000Z,b'haaaaaaaa!!!!! i love this tweet!!! get to know me! \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/cLmX1cn1Nt',en,
1679511669150564358,2023-07-13T15:22:40.000Z,b'i felt youuuuuuuu!!!! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/5WXBCgsapf',en,
