twitter_id,date,tweet,lang,data
1679312628055945218,2023-07-13T02:11:45.000Z,b'Just gonna leave this here... https://t.co/QPGvTMuxG8',en,
1679199265695088640,2023-07-12T18:41:17.000Z,b'RT @EricIdle: BRAVO!',pt,
1679185662388637702,2023-07-12T17:47:14.000Z,"b'Congratulations to promising young newcomer Daniel Radcliffe, who just got his very first Emmy nomination! #EmmysSoWeird'",en,
1679176626326892544,2023-07-12T17:11:19.000Z,b'https://t.co/fhrJ4MY8jp',zxx,
1679176473616465921,2023-07-12T17:10:43.000Z,b'Look look look!!! https://t.co/vRbPTxSu3p',en,
1679157296713306112,2023-07-12T15:54:31.000Z,"b'Sorry for screaming at the top of my lungs, but WEIRD: THE AL YANKOVIC STORY JUST GOT EIGHT EMMY NOMINATIONS!!!!'",en,
1677810622778703872,2023-07-08T22:43:19.000Z,b'RT @GQMagazine: It\xe2\x80\x99s never been more fun\xe2\x80\x94or more overwhelming\xe2\x80\x94to shop secondhand. Here\xe2\x80\x99s how to cut through the clutter: https://t.co/URRSo\xe2\x80\xa6',en,
1674872736080973827,2023-06-30T20:09:12.000Z,b'Yay!!  Thanks to the TCA for the nomination! https://t.co/m8ahmD9ewu',en,
1674583126474125313,2023-06-30T00:58:24.000Z,"b'Dan Butts, the production designer for WEIRD: The Al Yankovic Story, just gave my daughter a tour of his studio, and also was nice enough to give her her the exact thing every young woman wants: her father\xe2\x80\x99s melted head in a bucket. https://t.co/l3kqUTSVxw'",en,
1674491064676421632,2023-06-29T18:52:35.000Z,"b""RT @ComicBook: Get your exclusive first look at @alyankovic's @Nickelodeon #SantiagoOfTheSeas debut in a clip from the Sky Pirates special\xe2\x80\xa6""",en,
1673372146062737408,2023-06-26T16:46:24.000Z,b'Happy Last Day of Emmys Voting! https://t.co/jCf7panzph',en,
1673000077919662080,2023-06-25T16:07:56.000Z,"b'Hey Emmy voters, don\xe2\x80\x99t sleep on the Sound Editing and Sound Mixing categories for #WEIRDTheAlYankovicStory - those guys absolutely CRUSHED it. Here they are talking about their craft: https://t.co/MXzHJpc29Z'",en,
1672657932956368896,2023-06-24T17:28:22.000Z,"b'I\xe2\x80\x99m so incredibly proud of our #WEIRDTheAlYankovicStory team. Everybody in the crew worked at the absolute top of their game, including our unbelievably talented hair and make-up department heads Kat Bardot and Leslie Borchard, who wrote this in-depth article. https://t.co/ZrS1M01KdA'",en,
1672260071185846272,2023-06-23T15:07:24.000Z,b'RT @FilmMusicMedia: Now streaming! @alyankovic @leobirenberg @zachrobinson\nhttps://t.co/kxliIRmu7y\n\n#weirdalyankovic #leobirenberg #zachrob\xe2\x80\xa6',en,
1672014500328001537,2023-06-22T22:51:36.000Z,"b'Roku just gave me all these \xe2\x80\x9csocial media assets\xe2\x80\x9d and\xe2\x80\xa6 well, it seems like a darn shame to waste \xe2\x80\x98em, so\xe2\x80\xa6 here ya go! https://t.co/sm9sK823k7'",en,
1671987132729290761,2023-06-22T21:02:51.000Z,b'\xf0\x9f\x91\x80\n\nhttps://t.co/XTILzxVywt',qme,
1671597120317689856,2023-06-21T19:13:04.000Z,"b'Hey, that\xe2\x80\x99s today! https://t.co/j3mQqRIn0B'",en,
1671164300487196672,2023-06-20T14:33:12.000Z,"b'RT @latimes: Daniel Radcliffe was nervous about the release of \xe2\x80\x9cWeird: The Al Yankovic Story."" Specifically: he was nervous about what his\xe2\x80\xa6'",en,
1670913675635625984,2023-06-19T21:57:19.000Z,b'RT @MarkHamill: @alyankovic One of the most unhinged &amp; hilarious movie-bios of all time!',en,
1670878759774490624,2023-06-19T19:38:34.000Z,"b""Hey look, it's Daniel Radcliffe and Eric Appel yakking about our movie!\n\nhttps://t.co/fFBjlrhY8s""",en,
1670864603813920768,2023-06-19T18:42:19.000Z,"b""RT @INDEPTH_Sound: 1/8 Here's a fun FYC sound design thread for Weird: The Al Yankovic Story!\n\nIn an action scene like this where Daniel Ra\xe2\x80\xa6""",en,
1670461833290059777,2023-06-18T16:01:51.000Z,b'Happy Father\xe2\x80\x99s Day! https://t.co/mHN7fPBsgu',en,
1670113967497433090,2023-06-17T16:59:33.000Z,b'Ugh. I keep telling them\xe2\x80\xa6 I AM human!!! https://t.co/ZWq0gpnKqN',en,
1669882120448393224,2023-06-17T01:38:17.000Z,"b""RT @Variety: The Weeknd, Dolly Parton, Common, 'Weird Al' Yankovic Among Entries in Emmy's Music Categories https://t.co/Ncupzsq4Kz""",en,
1669411017670160384,2023-06-15T18:26:17.000Z,"b""RT @GoldDerby: Making of 'Weird: The Al Yankovic Story': Lively roundtable panel with 6 creative Emmy contenders [Exclusive Video Interview\xe2\x80\xa6""",en,
1669386528790040576,2023-06-15T16:48:58.000Z,b'Happy First Day of Emmys Voting to all who celebrate. https://t.co/jO9mw36efa',en,
1669121061538115584,2023-06-14T23:14:06.000Z,"b'RT @DEADLINE: Daniel Radcliffe On Becoming Weird Al And A New Dad, Working With Oscar Winners The Daniels, And Merrily Returning To Broadwa\xe2\x80\xa6'",en,
1665874311851409409,2023-06-06T00:12:41.000Z,"b'RT @TheWrap: TheWrap Magazine: Why \xe2\x80\x98Bohemian Rhapsody\xe2\x80\x99 Inspired @alyankovic  to Make His Own Fake Biopic. ""We want it to be a comedy, obvio\xe2\x80\xa6'",en,
1664322944355667968,2023-06-01T17:28:06.000Z,"b""Hey look, I'm a VW Campervan!  And I get to sing a couple songs with my friend @LisaLoeb on the new episode of #Firebuds (streaming now on @DisneyPlus!) https://t.co/yfi4M0IAmq""",en,
1662550336471724033,2023-05-27T20:04:23.000Z,"b'Sorry, @TheHarryArtist, I have no intention of running - but thanks for the vote of confidence! https://t.co/8uNJOeUKM8'",en,
1661900914519580673,2023-05-26T01:03:49.000Z,"b""RT @Variety: 'Weird Al' Yankovic on Outlasting the Stars He Parodies, Why He's Not Making New Music and the Truth About His Torrid Affair W\xe2\x80\xa6""",en,
1659648787491717123,2023-05-19T19:54:40.000Z,"b""There are now up-res versions of EVERY SINGLE ONE of my music videos, thanks to the work of our friend Pete Holmberg. So good news if you've been looking for an excuse to go down a Weird Al video rabbit hole on YouTube... they've never looked better!""",en,
