twitter_id,date,tweet,lang,data
1679538807454986241,2023-07-13T17:10:30.000Z,b'RT @anghami: \xd8\xa7\xd9\x84\xd9\x84\xd9\x8a\xd9\x84 \xd8\xa8\xd9\x82\xd9\x89 \xd9\x84\xd9\x87 \xd8\xaa\xd8\xb1\xd8\xa7\xd9\x83 \xd9\x88\xd8\xa8\xd9\x8a\xd8\xaa \xd9\x85\xd8\xb9 #\xd8\xb9\xd9\x85\xd8\xb1\xd9\x88_\xd8\xaf\xd9\x8a\xd8\xa7\xd8\xa8 \xf0\x9f\x94\xa5\n\xd8\xa7\xd8\xb3\xd9\x85\xd8\xb9 \xd8\xa3\xd8\xba\xd9\x86\xd9\x8a\xd8\xaa\xd9\x87 \xd8\xa7\xd9\x84\xd8\xac\xd8\xaf\xd9\x8a\xd8\xaf\xd8\xa9 #\xd9\x8a\xd8\xa7_\xd9\x84\xd9\x8a\xd9\x84 \xd8\xad\xd8\xb5\xd8\xb1\xd9\x8a\xd8\xa7\xd9\x8b \xd8\xaf\xd9\x84\xd9\x88\xd9\x82\xd8\xaa\xd9\x8a \xd8\xb9\xd9\x84\xd9\x89 #\xd8\xa3\xd9\x86\xd8\xba\xd8\xa7\xd9\x85\xd9\x8a \xf0\x9f\xa4\xa9\n\n\xf0\x9f\x94\x97https://t.co/KsCLo1E2Df\xf0\x9f\x94\x97\n\n@am\xe2\x80\xa6',ar,
1678461083382607873,2023-07-10T17:48:01.000Z,"b'#Ya_Leil, Out July13 \xf0\x9f\x94\xa5 https://t.co/NekZUNSXbN'",en,
1678110423130800130,2023-07-09T18:34:37.000Z,b'RT @anghami: \xd9\x81\xd9\x8a \xd8\xad\xd8\xaf \xd9\x82\xd8\xa7\xd9\x84 #\xd9\x82\xd9\x88\xd9\x84\xd9\x8a_\xd8\xa7\xd8\xb3\xd9\x85\xd9\x8a\xd8\x9f \xf0\x9f\x98\x8f  \n\xd8\xaa\xd8\xae\xd9\x8a\xd9\x84\xd9\x88\xd8\xa7 \xd9\x85\xd8\xb9\xd8\xa7\xd9\x86\xd8\xa7 #\xd8\xb9\xd9\x85\xd8\xb1\xd9\x88_\xd8\xaf\xd9\x8a\xd8\xa7\xd8\xa8 \xd9\x87\xd9\x8a\xd9\x82\xd9\x88\xd9\x84\xd9\x87\xd8\xa7 \xd8\xa7\xd8\xb2\xd8\xa7\xd9\x8a \xf0\x9f\x94\xa5 \n\xd8\xa7\xd8\xb3\xd9\x85\xd8\xb9\xd9\x88\xd9\x87\xd8\xa7 \xd8\xad\xd8\xb5\xd8\xb1\xd9\x8a\xd8\xa7\xd9\x8b \xd8\xb9\xd9\x84\xd9\x89 #\xd8\xa3\xd9\x86\xd8\xba\xd8\xa7\xd9\x85\xd9\x8a\n\n\xf0\x9f\x94\x97 https://t.co/M792CjrlhB \xf0\x9f\x94\x97\n\n@am\xe2\x80\xa6',ar,
1678103235809222656,2023-07-09T18:06:03.000Z,b'\xd8\xad\xd8\xb5\xd8\xb1\xd9\x8a\xd8\xa7\xd9\x8b \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd9\x86\xd8\xba\xd8\xa7\xd9\x85\xd9\x8a\xd8\x8c \xd8\xa7\xd8\xb3\xd9\x85\xd8\xb9 \xd8\xa7\xd8\xba\xd9\x86\xd9\x8a\xd8\xa9 #\xd8\xb9\xd9\x85\xd8\xb1\xd9\x88_\xd8\xaf\xd9\x8a\xd8\xa7\xd8\xa8 \xd8\xa7\xd9\x84\xd8\xac\xd8\xaf\xd9\x8a\xd8\xaf\xd8\xa9 \xe2\x80\x9c#\xd9\x82\xd9\x88\xd9\x84\xd9\x8a_\xd8\xa5\xd8\xb3\xd9\x85\xd9\x8a\xe2\x80\x9d  @anghami https://t.co/DabQZwSSca',ar,
1676009989381423104,2023-07-03T23:28:14.000Z,b'\xd8\xa8\xd9\x85\xd8\xb2\xd9\x8a\xd8\xaf \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xad\xd8\xb2\xd9\x86 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa3\xd8\xb3\xd9\x89\xd8\x8c \xd8\xa3\xd9\x86\xd8\xb9\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb2\xd9\x85\xd9\x8a\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb2\xd9\x8a\xd8\xb2 \xd8\xa7\xd9\x84\xd9\x81\xd9\x86\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd9\x83\xd8\xa8\xd9\x8a\xd8\xb1 \xd8\xb9\xd9\x84\xd8\xa7\xd8\xa1 \xd8\xb9\xd8\xa8\xd8\xaf \xd8\xa7\xd9\x84\xd8\xae\xd8\xa7\xd9\x84\xd9\x82\xd8\x8c \xd8\xa3\xd8\xb3\xd9\x83\xd9\x86\xd9\x87 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x81\xd8\xb3\xd9\x8a\xd8\xad \xd8\xac\xd9\x86\xd8\xa7\xd8\xaa\xd9\x87 \xd9\x88\xd8\xa3\xd9\x84\xd9\x87\xd9\x85 \xd8\xa7\xd9\x84\xd8\xa7\xd9\x87\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb5\xd8\xa8\xd8\xb1 \xd9\x88\xd8\xa7\xd9\x84\xd8\xb3\xd9\x84\xd9\x88\xd8\xa7\xd9\x86. https://t.co/l0SFF1unpI',ar,
1675799458087305218,2023-07-03T09:31:40.000Z,b'RT @anghami: #\xd8\xaa\xd9\x88\xd8\xa8_\xd8\xa7\xd9\x84\xd8\xa3\xd8\xba\xd8\xa7\xd9\x86\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd9\x84\xd9\x84\xd8\xa3\xd8\xb3\xd8\xa8\xd9\x88\xd8\xb9 \xd8\xaf\xd9\x87 \xf0\x9f\x94\xa5\n\xd9\x88\xd8\xb4\xd8\xb1\xd8\xa7\xd8\xb1 \xd8\xb9\xd9\x84\xd9\x89 #\xd8\xa3\xd9\x86\xd8\xba\xd8\xa7\xd9\x85\xd9\x8a \xd8\xaa\xd9\x81\xd8\xaa\xd9\x83\xd8\xb1\xd9\x88\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xb5\xd9\x8a\xd9\x81 \xd9\x84\xd9\x87 \xd8\xaf\xd9\x88\xd8\xb1 \xd8\x9f  \xf0\x9f\xa4\x94\xf0\x9f\x8f\x96\xef\xb8\x8f  \n\n1- #\xd8\xae\xd9\x84\xd8\xb5_\xd8\xb9\xd9\x84\xd9\x89_\xd9\x82\xd9\x84\xd8\xa8\xd9\x8a [\xd8\xad\xd8\xb5\xd8\xb1\xd9\x8a\xd8\xa7\xd9\x8b] \n@amrdiab \n\n2- #\xd8\xa7\xe2\x80\xa6',ar,
1673983170008547329,2023-06-28T09:14:23.000Z,b'\xd8\xa7\xd9\x84\xd8\xb4\xd8\xa8\xd9\x83\xd8\xa9 \xd8\xa8\xd9\x82\xd8\xaa \xd8\xa7\xd9\x84\xd8\xaf\xd8\xa8\xd9\x84\xe2\x80\xa6\xd8\xad\xd9\x84\xd9\x88\xd8\xa9 \xd9\x86\xd8\xb3\xd9\x85\xd8\xb9 \xd8\xa8\xd8\xb9\xd8\xb6\xf0\x9f\x93\xb7\n\xd8\xac\xd8\xa7\xd9\x87\xd8\xb2\xd9\x8a\xd9\x86 \xd9\x84\xd9\x84\xd8\xb5\xd9\x8a\xd9\x81\xd8\x9f\xf0\x9f\x93\xb7\n#\xd8\xa7\xd9\x84\xd8\xb4\xd8\xa8\xd9\x83\xd8\xa9_\xd8\xa8\xd9\x82\xd8\xaa_\xd8\xa7\xd9\x84\xd8\xaf\xd9\x91\xd9\x93\xd8\xa8\xd9\x84 @VodafoneEgypt \n\nhttps://t.co/b7Yjrw3E6S https://t.co/Wjaj1XGd79',ar,
1673303826852626435,2023-06-26T12:14:55.000Z,b'RT @anghami: #\xd8\xb9\xd9\x85\xd8\xb1\xd9\x88_\xd8\xaf\xd9\x8a\xd8\xa7\xd8\xa8 \xd8\xad\xd8\xb1\xd9\x81\xd9\x8a\xd8\xa7\xd9\x8b \xd8\xae\xd9\x84\xd9\x91\xd8\xb5 \xd8\xb9\xd9\x84\xd9\x89 \xd9\x82\xd9\x84\xd9\x88\xd8\xa8\xd9\x86\xd8\xa7 \xd8\xa8\xd8\xa3\xd8\xba\xd9\x86\xd9\x8a\xd8\xaa\xd9\x87 \xd8\xa7\xd9\x84\xd8\xac\xd8\xaf\xd9\x8a\xd8\xaf\xd8\xa9 #\xd8\xae\xd9\x84\xd9\x91\xd8\xb5_\xd8\xb9\xd9\x84\xd9\x89_\xd9\x82\xd9\x84\xd8\xa8\xd9\x8a \xf0\x9f\xa4\xa9\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\n\xd8\xad\xd8\xb5\xd8\xb1\xd9\x8a\xd8\xa7\xd9\x8b \xd8\xb9\xd9\x84\xd9\x89 #\xd8\xa3\xd9\x86\xd8\xba\xd8\xa7\xd9\x85\xd9\x8a \xd8\xa7\xd8\xb3\xd9\x85\xd8\xb9\xd9\x88\xd9\x87\xd8\xa7 \xd8\xaf\xd9\x84\xd9\x88\xd9\x82\xd8\xaa\xd9\x8a \xf0\x9f\x94\xa5\n\n\xf0\x9f\x94\x97 https://t.co/XkW\xe2\x80\xa6',ar,
1673303676323069953,2023-06-26T12:14:19.000Z,b'\xd8\xad\xd8\xb5\xd8\xb1\xd9\x8a\xd8\xa7\xd9\x8b \xd8\xb9\xd9\x84\xd9\x89 @anghami  \xd8\xa7\xd8\xb3\xd9\x85\xd8\xb9 \xd8\xa7\xd8\xba\xd9\x86\xd9\x8a\xd8\xa9 #\xd8\xb9\xd9\x85\xd8\xb1\xd9\x88_\xd8\xaf\xd9\x8a\xd8\xa7\xd8\xa8 \xd8\xa7\xd9\x84\xd8\xac\xd8\xaf\xd9\x8a\xd8\xaf\xd8\xa9 \xe2\x80\x9c#\xd8\xae\xd9\x84\xd8\xb5_\xd8\xb9\xd9\x84\xd9\x89_\xd9\x82\xd9\x84\xd8\xa8\xd9\x8a\xe2\x80\x9d \xd8\xa7\xd9\x86\xd8\xaa\xd8\xa7\xd8\xac @NayForMedia  \n\n\xd9\x83\xd9\x84\xd9\x85\xd8\xa7\xd8\xaa: \xd9\x85\xd8\xad\xd9\x85\xd8\xaf \xd8\xa7\xd9\x84\xd8\xa8\xd9\x88\xd8\xba\xd9\x87\xd8\x8c \xd8\xa7\xd9\x84\xd8\xad\xd8\xa7\xd9\x86: \xd9\x85\xd8\xad\xd9\x85\xd8\xaf \xd9\x8a\xd8\xad\xd9\x8a\xd9\x89\xd8\x8c \xd8\xaa\xd9\x88\xd8\xb2\xd9\x8a\xd8\xb9: \xd8\xa7\xd8\xb3\xd8\xa7\xd9\x85\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x87\xd9\x86\xd8\xaf\xd9\x8a\xd8\x8c \xd9\x85\xd9\x8a\xd9\x83\xd8\xb3 \xd9\x88\xd9\x85\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xb1: \xd8\xa7\xd9\x85\xd9\x8a\xd8\xb1 \xd9\x85\xd8\xad\xd8\xb1\xd9\x88\xd8\xb3 https://t.co/u1KWXlzT73',ar,
1668003958307147777,2023-06-11T21:15:08.000Z,b'\xd9\x85\xd8\xa8\xd8\xb1\xd9\x88\xd9\x83 \xd9\x84\xd9\x84\xd9\x86\xd8\xa7\xd8\xaf\xd9\x8a #\xd8\xa7\xd9\x84\xd8\xa7\xd9\x87\xd9\x84\xd9\x8a \xd8\xa7\xd9\x84\xd9\x83\xd8\xa8\xd9\x8a\xd8\xb1 \xd9\x88\xd9\x84\xd8\xa7\xd8\xb9\xd8\xa8\xd9\x8a\xd9\x87 \xd8\xa7\xd9\x84\xd8\xa7\xd8\xa8\xd8\xb7\xd8\xa7\xd9\x84 \xd9\x88\xd8\xac\xd9\x85\xd9\x87\xd9\x88\xd8\xb1\xd9\x87 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb8\xd9\x8a\xd9\x85 \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\n@AlAhly https://t.co/VEagh7evTu https://t.co/5bQPKcN5Pk',ar,
