twitter_id,date,tweet,lang,data
1668652043437760516,2023-06-13T16:10:23.000Z,b'RT @NetflixIsAJoke: Marriage is finding someone who can stand you \nAmy Schumer: Emergency Contact streaming NOW on Netflix! https://t.co/tA\xe2\x80\xa6',en,
1667010727687647235,2023-06-09T03:28:23.000Z,b'RT @BravoWWHL: WATCH NOW: @AmySchumer shares her reaction to the recent baby announcements from Hollywood actors. #WWHL https://t.co/TWAFvo\xe2\x80\xa6',en,
1664315338173956120,2023-06-01T16:57:52.000Z,b'My special is out June 13th. Solidarity with the WGA and IATSE @NetflixIsAJoke https://t.co/CQyT3Xva3i',en,
1658881844572454925,2023-05-17T17:07:06.000Z,b'My special is out June 13th @NetflixIsAJoke . Solidarity with the writers guild. @WGAEast @WGAWest https://t.co/qSQVhEQ962',en,
1656358500530810888,2023-05-10T18:00:14.000Z,"b'RT @accountabletech: #HeyGoogle, stop collecting and retaining location data and aiding abortion prosecutors.\n\nAdd your name to demand @Goo\xe2\x80\xa6'",en,
1624935234528477186,2023-02-13T00:55:24.000Z,b'#ad Getting my photos #FixedOnPixel by removing my exes\xe2\x80\xa6 This might take a while. @GooglePixel_US https://t.co/u86IqYQoZ0',en,
1607795733176156161,2022-12-27T17:49:08.000Z,"b'I have a featured guest role in a new series of animated shorts on @PBSKids called ""City Island.""\n\nCity Island was produced by my friends at @futurebrainmedia, you can watch @cityislandpbs on @pbskids and the PBS KIDS app https://t.co/nQyavBJFBL'",en,
1601024777900081152,2022-12-09T01:23:47.000Z,b'The Last Noelle written by: @nanglish @paramountplus #InsideAmySchumer @KevinKaneNY https://t.co/2wKESw9sCe',en,
1589706266192277504,2022-11-07T19:48:03.000Z,"b'RT @kaceytron: Elon Musk has had more gender affirming surgeries than most trans people. \n\nI\xe2\x80\x99m not trying to upset the fanboys, just simply\xe2\x80\xa6'",en,
1587842933759295488,2022-11-02T16:23:50.000Z,b'@hulu A must see!! #GodForbidDoc https://t.co/V7hp8Q9HFw',en,
1587555144249577472,2022-11-01T21:20:16.000Z,"b""RT @CCDHate: We've joined over 40 of the world's leading civil society organizations in a letter to Twitter's top advertisers.\n\nWe're askin\xe2\x80\xa6""",en,
1586038525442625541,2022-10-28T16:53:46.000Z,"b'New York has a big election coming up on November 8th. I\xe2\x80\x99m voting for @KathyHochul a champion for abortion access, gun safety, and equality Her opponent, Lee Zeldin, is Trump 2.0.\n\nDonate to her campaign here: https://t.co/gfNMVQABKo https://t.co/23BDUTic6S'",en,
1585757923812282368,2022-10-27T22:18:45.000Z,"b'Rest of 2022 tour \xe2\x9d\xa4 Las Vegas, San Jose and Riverside rescheduled to new dates (all tickets for original shows will be honored for the new dates) and third show just added in LA. \n\nTickets and all info at https://t.co/vzkm833Qxq https://t.co/3cObq917eR'",en,
1585701313194913792,2022-10-27T18:33:48.000Z,b'That\xe2\x80\x99s one way to start your freshman year. \xf0\x9f\xa5\xb4 New episodes of #InsideAmySchumer are now streaming on @paramountplus. Learn the signs of an unhealthy relationship with @Join1Love. Get the tools and resources needed to identify and avoid abuse at https://t.co/v0pB2PgiMw. https://t.co/TNHBgHNh0P',en,
1585380567578980352,2022-10-26T21:19:16.000Z,"b'Third show added in LA on Friday, December 9 at the Orpheum Theatre! Tickets on pre-sale now with code AMY. General on sale Thursday at 10AM PT \xe2\x9d\xa4 tickets at https://t.co/GGBNmC3YYj https://t.co/roFToqBdtS'",en,
1584980770292371457,2022-10-25T18:50:37.000Z,"b'Join me and @questlove Thursday night to #GetDownforDemocracy. We\xe2\x80\x99re throwing a live virtual event with music, midterm updates, and lots of special guests, including @staceyabrams. \nSign Up, Get Down, Get Out (the vote) at\xc2\xa0https://t.co/JMkyFQ58kZ. https://t.co/ktFYznVkdx'",en,
1584962182315274240,2022-10-25T17:36:46.000Z,b'Hope to see you tonight at 6 PM ET with @RedWineBlueUSA https://t.co/sNIdqGu2Wx',en,
1584660229236875265,2022-10-24T21:36:54.000Z,"b""Do you hear us @ManhattanDA? It's Domestic Violence Awareness Month and we supporters of Tracy McCarter are in your neighborhood calling on you to #StandWithTracy, stop criminalizing survivors, and #DropHerCharges!""",en,
1584592535301025792,2022-10-24T17:07:55.000Z,b'Come join me on Tuesday at 6PM ET with @redwineblueusa to learn how to win this election! Don\xe2\x80\x99t miss it! \n\nLearn more here: https://t.co/icKmXjq839 https://t.co/IJRXkun8qV',en,
1584590544168108033,2022-10-24T17:00:00.000Z,"b'Not only is Blake Masters Trump\'s guy. Not only does he support overturning the decision making contraception legal. Not only did he quote a Nazi. Not only did he call abortion ""demonic"". He\'s points away from winning. We have to re-elect @CaptMarkKelly \n\nhttps://t.co/R5bcNLaA0I'",en,
1584590355932274688,2022-10-24T16:59:15.000Z,b'RT @CaptMarkKelly: Had so much fun at the Navajo Nation parade! Even got to show off my skateboarding skills. \xf0\x9f\x9b\xb9 https://t.co/DXeOKTSEx8',en,
