twitter_id,date,tweet,lang,data
1678803431106936836,2023-07-11T16:28:23.000Z,"b'This came in the mail today! If you\xe2\x80\x99d like to pre-order my new book ASTOR - The Rise and Fall of an American Dynasty, co-written with @katherinebhowe, the link is in my bio! @harperbooks https://t.co/m4xZOhrHY5'",en,
1658480644492763140,2023-05-16T14:32:53.000Z,b'My friend @MitchAlbom oversees an orphanage &amp; school in #Haiti that is caught in the crossfire of gang violence. He is raising funds to help increase security in a very difficult situation. I\xe2\x80\x99ve donated. If interested here is more information. https://t.co/mEugKsvVch',en,
1654915024538808323,2023-05-06T18:24:23.000Z,"b'RT @60Minutes: Photographer James Nachtwey has made a career covering the world\xe2\x80\x99s most violent conflicts. This Sunday, he tells @andersonco\xe2\x80\xa6'",en,
1643711606776537088,2023-04-05T20:26:00.000Z,"b'RT @pressfreedom: Evan Gershkovich is a journalist, not a spy.\n\nTweet your support of American @WSJ journalist @evangershkovich, currently\xe2\x80\xa6'",en,
1612496852670111745,2023-01-09T17:09:43.000Z,b'https://t.co/8GemyKkOTo',zxx,
1611150692869103617,2023-01-06T00:00:33.000Z,"b'RT @60Minutes: Prince Harry tells @andersoncooper, ""I was probably bigoted before the relationship with Meghan."" See the interview, Sunday\xe2\x80\xa6'",en,
1609731963145039877,2023-01-02T02:03:02.000Z,b'https://t.co/m4Q7Ljg2iR',zxx,
1587787659438686211,2022-11-02T12:44:12.000Z,"b'Last episode of All There Is, my podcast about loss and grief is now available on @ApplePodcasts. It is perhaps the most powerful episode yet. https://t.co/E0dF4lfEMM'",en,
1583192248896090112,2022-10-20T20:23:41.000Z,"b'Just posted a new episode of All There Is, my podcast about loss and grief. #LaurieAnderson @OnlyAnExpert joins me to talk about the loss of her husband #LouReed. It\xe2\x80\x99s a moving, fascinating, and often funny conversation. Available on @ApplePodcasts or wherever you get podcasts. https://t.co/JSIsiClnru'",en,
1583191913800536065,2022-10-20T20:22:21.000Z,"b'Just posted a new episode of All There Is, my podcast about loss and grief. #LaurieAnderson @OnlyAnExpert joins me to talk about the loss of her husband #LouReed. It\xe2\x80\x99s a moving, fascinating, and often funny conversation. Available on @ApplePodcasts now. https://t.co/6ke3IhFe3f'",en,
1580211681984073728,2022-10-12T14:59:58.000Z,b'listen to the new episode of All There Is - this one is about anticipatory grief which one feels watching someone your love disappear due to dementia or terminal illnesss. https://t.co/hIo4fOMJPL https://t.co/XT9sHXaMlj https://t.co/xfAZeGUpck',en,
1580210557432795136,2022-10-12T14:55:30.000Z,"b'Just out today! Episode 5 of my podcast about grief and loss. It\xe2\x80\x99s about the long decline from dementia of one of the most important people in my life, May McLinden, and i interview filmmaker Kirsten Johnson about dealing with anticipatory grief. https://t.co/wClvOm5BcD'",en,
1580209887941783554,2022-10-12T14:52:50.000Z,"b'RT @jamieblynn: In a deeply personal conversation, i spoke to @andersoncooper about how the deaths of his mom, dad &amp; brother impacted the c\xe2\x80\xa6'",en,
1578177490811502592,2022-10-07T00:16:49.000Z,"b'Just posted episode 4 of ALL THERE IS, my new podcast about grief and loss. I have a really personal, and at times really funny, talk with #MollyShannon about the sometimes unusual, life-long ripple effects of childhood loss. https://t.co/hIo4fOv8Yd https://t.co/MfUx0ao97U'",en,
1578177486130540550,2022-10-07T00:16:48.000Z,"b'Episode 4 of my podcast ALL THERE IS is available now on apple podcasts. https://t.co/m7BZOIayau. It\xe2\x80\x99s a very personal, and at times very funny, talk with Molly Shannon about the ripple effects of loss and grief. https://t.co/XRBp0ZwC24'",en,
1575189078202806272,2022-09-28T18:21:56.000Z,"b'Episode 3 of ALL THERE IS is out now. It\xe2\x80\x99s a podcast about my Brother\xe2\x80\x99s suicide and the ripple effects it had on my mom and me. @bjmillermd, whose sister, Lisa, died by suicide, joins me with some extremely helpful ways to look at loss and grief. https://t.co/hIo4fOvGNL https://t.co/mRsPNM2zOa'",en,
1575150254097371144,2022-09-28T15:47:40.000Z,"b'Ep. 3 of ALL THERE IS, a podcast about loss and grief, is now available @ApplePodcasts. It\xe2\x80\x99s a deeply personal look at my brother\xe2\x80\x99s suicide and the ripple effects it\xe2\x80\x99s had on my life. @bjmillermd helps me look at grief in a new way, and can help you too. https://t.co/m7BZOHSXiW https://t.co/vr6nKkuCX3'",en,
1575147247783878657,2022-09-28T15:35:43.000Z,"b'Episode 3 of ALL THERE IS is out now! It\xe2\x80\x99s about the people suicide leaves behind and the ripple effects of loss in our lives.  Joining me is @bjmillermd. He helped me look at grief in a new way, and can help you do that too. Here is link to listen: https://t.co/hIo4fOv8Yd https://t.co/5nLaoiwdZq'",en,
1572623573558398976,2022-09-21T16:27:32.000Z,"b'Few in public life speak so honestly and poignantly about their experiences with grief as @StephenAtHome. This new conversation is extraordinarily moving, honest, and at time hilarious. Listen to #AllThereIs @ApplePodcasts  https://t.co/m7BZOHTv8u https://t.co/AUuLURwp6h'",en,
1572593818809303044,2022-09-21T14:29:18.000Z,b'I\xe2\x80\x99ve never heard someone talk about grief in the way @StephenAtHome does in this deeply moving conversation. How Stephen came to \xe2\x80\x9clove the thing he most wish had never happened.\xe2\x80\x9d It\xe2\x80\x99s episode 2 of my new podcast #AllThereIs. Listen on @ApplePodcasts. https://t.co/m7BZOHTv8u https://t.co/a9rL4DxpDH',en,
1572257890345586689,2022-09-20T16:14:26.000Z,"b'My NYTimes bestselling book, co-written with historian @katherinebhowe, VANDERBILT - The Rise And Fall Of An American Dynasty just came out in paperback today\xe2\x80\xa6. hope you like it! https://t.co/cTNp1iqf2s'",en,
1570083553588940801,2022-09-14T16:14:24.000Z,b'#NewProfilePic https://t.co/5OJYdeTxQ8',qme,
1570076907944955908,2022-09-14T15:48:00.000Z,b'Hear the 1st episode of my new podcast - All There Is - wherever you get your podcasts. It\xe2\x80\x99s a deeply personal exploration of loss and grief. here is a link to the first episode: https://t.co/ZsbU50oCEq https://t.co/FbMMmmJqgH',en,
1570074851230220288,2022-09-14T15:39:49.000Z,"b'the 1st episode of my podcast - All There Is -  is now available on @ApplePodcasts or wherever you get your podcasts. It\xe2\x80\x99s about the people we lose, the things they leave behind, and how we can live on - with loss, with laughter, and with love. https://t.co/Mm09LCCgBE https://t.co/DphwPJAHwI'",en,
1567535046424150016,2022-09-07T15:27:33.000Z,"b'I started this podcast while packing up my mom\xe2\x80\x99s apartment after she died. It\xe2\x80\x99s about the people we lose, the things they leave behind, and how we can go on - with loss, laughter, and love. It starts September 14 on @ApplePodcasts. Here is the trailer \xc2\xa0https://t.co/gMNO2sQ5OG https://t.co/Y5MBEgSQmT'",en,
1561408806147563528,2022-08-21T17:44:03.000Z,"b'Tonight on @60Minutes: My report on Alexander McLean and his organization Justice Defenders,  @justicedefends. They are providing legal training to hundreds of inmates in Kenya, Uganda and The Gambia so that they can help their fellow prisoners have a fair trial. https://t.co/7ZnwTnCGT2'",en,
