twitter_id,date,tweet,lang,data
1680653652107620355,2023-07-16T19:00:30.000Z,"b""RT @pranksy: This @refikanadol advised open edition is $147 and it's a collaboration with @andy_murray &amp; @Wimbledon to add to the mix. Just\xe2\x80\xa6""",en,
1680304713177128963,2023-07-15T19:53:56.000Z,b'@NBCSports @ACChampionship @nbc @peacock This is how all golfers should celebrate a hole in one \xf0\x9f\x98\x84\xf0\x9f\x91\x8c',en,
1680303761397366784,2023-07-15T19:50:09.000Z,b'@HerdImmunity12 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x8c',qme,
1679089611451031554,2023-07-12T11:25:34.000Z,"b'If you are in London on Friday, check out my project with @refikanadol Studios &amp; @Wimbledon going live on Oxford Street: https://t.co/NTCigWNuNa https://t.co/PLkkxdiyf8'",en,
1679088095902179329,2023-07-12T11:19:32.000Z,"b'RT @andr3w: Refik Anadol\'s newest piece dropped today and it\'s a banger. Everything you need to know about ""The Exposition"" \xf0\x9f\x8e\xbex\xf0\x9f\x8e\xa8 \n\n(Yes I\'ve\xe2\x80\xa6'",en,
1679088063446654976,2023-07-12T11:19:24.000Z,"b'RT @33NFT: Great collaboration between Andy Murray, Wimbledon and @refikanadol exploring how high performance sport data can transcend in t\xe2\x80\xa6'",en,
1678416651136430081,2023-07-10T14:51:27.000Z,b'Beat my time on Race to Wimbledon for a chance to win 2 tickets to the Gentlemen\xe2\x80\x99s Singles Final 2024. Terms apply.\n \n@AmexUK #WithAmex https://t.co/fMZkBVNFwV',en,
1678129295695179777,2023-07-09T19:49:36.000Z,"b""RT @stu_fraser: Scrap the 1:30pm starts! On another evening where the 11pm curfew could come into play, it's time for Wimbledon organisers\xe2\x80\xa6""",en,
1677613452766982146,2023-07-08T09:39:50.000Z,"b'RT @Wimbledon: ""Go, go, go"" \xf0\x9f\x98\x85\n\nAndy Murray trades a tennis racket for a controller in the latest instalment of Around the Grounds #WithAmex\xe2\x80\xa6'",en,
1677308307491389442,2023-07-07T13:27:18.000Z,b'Excited to be partnering with @Wimbledon and @refikanadol Studio on a data-inspired digital art project involving every match I\xe2\x80\x99ve ever played at Wimbledon.  \n\nMore details on the drop page: https://t.co/QrbY9AmBBm https://t.co/VFdMzd6HvU',en,
1676635854830272524,2023-07-05T16:55:12.000Z,b'RT @Wimbledon: \xe2\x80\x9cThat was working really well until I lost them\xe2\x80\x9d \xf0\x9f\x98\xac\n\n@andy_murray joins us for the first episode of Around the Grounds #WithA\xe2\x80\xa6',en,
1676531021297188866,2023-07-05T09:58:38.000Z,b'We love you NHS. Thank you for 75 years of amazing service and dedication. https://t.co/m9U1df7iZn',en,
